"Time"	G1	G3	G8	G5	G4	G22	G83	G7	G6	G85	G86	G87	G54	G88	G89	G30	G29	G35	G100	G99	G32	G19	G18	G20	G81	G23	G80	G82	G51	G31	G58	G50	G78	G94	G95

0	0.0221407	0.0215772	0.6955979	0.5398313	0.0878936	0.6666977	0.0863464	0.7500977	0.6454550	0.1079504	0.7147386	0.5429336	0.0627554	0.8117110	0.2964368	0.4496146	0.2356736	0.8529285	0.7172569	0.0028442	0.6984546	0.2383785	0.6354148	0.6093581	0.0297955	0.5248441	0.1888587	0.4402854	0.0082584	0.3498522	0.5525525	0.0201597	0.3367691	0.6680612	0.5840217
50	0.0161731	0.0040258	0.8323858	0.6892094	0.0786164	0.6069794	0.0453310	0.3356849	0.7198306	0.0761595	0.6095582	0.5073163	0.0517918	0.6883365	0.3320370	0.3482746	0.2331658	0.5755372	0.6952899	0.0009900	0.4882203	0.2750664	0.5784188	0.6173669	0.0104009	0.4174029	0.0947828	0.3199127	0.0898968	0.2419895	0.7733677	0.0333392	0.4007441	0.8088526	0.6720881
100	0.0382332	0.0044294	0.8487400	0.6373265	0.0940392	0.7211737	0.0636230	0.1298363	0.8066470	0.0713116	0.8334926	0.5315669	0.0322422	0.6796079	0.5128008	0.3583217	0.1762758	0.5712234	0.6226427	0.0015749	0.7510421	0.3109077	0.6802785	0.5861757	0.0069410	0.4473803	0.1462356	0.4629832	0.1144070	0.2955264	0.7363824	0.0492326	0.3560527	0.7195168	0.6356866
150	0.0130060	0.0163650	0.7236912	0.5195198	0.0660366	0.6874798	0.0662360	0.1209690	0.6949144	0.1033177	0.6406669	0.5278747	0.0337377	0.7572204	0.6263422	0.4195213	0.2124561	0.6865198	0.6365961	0.0079722	0.5766223	0.3786444	0.8076449	0.5636736	0.0008690	0.4063321	0.1542231	0.4135654	0.0944598	0.2908777	0.6943215	0.0804919	0.2745028	0.6353001	0.5555182
200	0.0400082	0.0383713	0.6797029	0.6794257	0.0781249	0.7874334	0.0538787	0.0859061	0.6476990	0.1130140	0.5743207	0.5077608	0.0900571	0.6294198	0.4232955	0.4455830	0.3105374	0.6513195	0.6444979	0.0018888	0.6455429	0.3289545	0.6955881	0.6749852	0.0025178	0.5214762	0.1195683	0.3901872	0.0835759	0.2862088	0.6446672	0.0531644	0.3119352	0.6186799	0.5889584
250	0.0275001	0.0150779	0.6981716	0.6992882	0.1015022	0.6834793	0.1061934	0.0957184	0.6910064	0.0871805	0.6752323	0.5915171	0.0525326	0.5949937	0.5138943	0.3744584	0.2047105	0.7639538	0.7916490	0.0004017	0.7401496	0.2648728	0.7633386	0.7675526	0.0043870	0.5068014	0.1620802	0.3616765	0.0710262	0.2854889	0.6071015	0.0540963	0.2744129	0.7357398	0.5682780
300	0.0150118	0.0116424	0.6603047	0.6299576	0.1202544	0.6254230	0.0809276	0.1309075	0.6155311	0.1366461	0.6489743	0.6416393	0.0341062	0.7474535	0.4845606	0.2750934	0.2417539	0.6062238	0.7062454	0.0119211	0.6035520	0.4119412	0.7035768	0.6766588	0.0034537	0.5979431	0.1483792	0.3958173	0.1035131	0.2515827	0.7395350	0.0458144	0.3264733	0.6215184	0.6285584
350	0.0264933	0.0164953	0.7535256	0.6786768	0.0769310	0.8098011	0.0777474	0.1166315	0.7261098	0.1121107	0.7131875	0.5763569	0.0502699	0.6187446	0.5052681	0.3365229	0.1905434	0.6134902	0.8338318	0.0013742	0.5762363	0.2388342	0.6749268	0.7230764	0.0016316	0.4751795	0.0850879	0.3042317	0.0779407	0.1951884	0.6426368	0.0747661	0.3068957	0.6814619	0.7868818
400	0.0499941	0.0284887	0.6403822	0.6048275	0.0699632	0.8130214	0.0409192	0.0767943	0.8560995	0.0574819	0.6642635	0.4448305	0.0453154	0.6575840	0.4662188	0.3273046	0.1941758	0.5802066	0.6323909	0.0009477	0.6488126	0.3115541	0.7416867	0.7350197	0.0032876	0.4956544	0.1590822	0.3325115	0.0698287	0.3367493	0.7190778	0.0427591	0.3840205	0.6838814	0.6286283
450	0.0301215	0.0181139	0.6474448	0.6534777	0.0978295	0.7223293	0.0724927	0.1368727	0.6139357	0.0719110	0.5681110	0.3386862	0.0513262	0.6858178	0.5214990	0.3651986	0.2058416	0.5655095	0.6799000	0.0087185	0.6363493	0.2916373	0.6712403	0.8240440	0.0297841	0.5996860	0.1265745	0.3173118	0.1016807	0.2381680	0.7640375	0.0252726	0.3438033	0.5799759	0.7647178
500	0.0320570	0.0179332	0.6244264	0.7559166	0.0831793	0.7959308	0.0735953	0.1047480	0.6732458	0.0721657	0.6665618	0.5827470	0.0426539	0.7265897	0.5844806	0.3739324	0.1654678	0.6808224	0.7228821	0.0001633	0.6090502	0.3340645	0.7162605	0.7210681	0.0030061	0.4965411	0.1328837	0.3526563	0.0797361	0.3073231	0.6999473	0.0279633	0.2889547	0.6735458	0.6677655
