"Time"	G1	G3	G7	G8	G4	G83	G6	G87	G86	G89	G54	G85	G88	G30	G29	G35	G99	G100	G32	G81

0	0.6851559	0.6339744	0.3386526	0.1709220	0.5894342	0.7028005	0.1720799	0.5890099	0.4789890	0.0162310	0.1386276	0.3429606	0.9378100	0.6420094	0.0727732	0.7228202	0.4538947	0.0908751	0.6656738	0.1466534
50	0.3795499	0.6143816	0.4200177	0.1934841	0.7104223	0.4013718	0.1702957	0.4275251	0.3493561	0.2639403	0.1517844	0.3097008	0.7373170	0.5309764	0.3539422	0.2709088	0.5662468	0.0950391	0.4338296	0.1903163
100	0.2791428	0.6713291	0.4045378	0.2008228	0.6507762	0.2327167	0.2642604	0.4993254	0.3360700	0.3599380	0.0752561	0.4900092	0.7202584	0.3182766	0.5764840	0.1769185	0.6925397	0.0339835	0.2730729	0.1168486
150	0.3444054	0.6500103	0.6173631	0.2954317	0.7227400	0.2226566	0.3721049	0.5089041	0.3140745	0.5237687	0.0998056	0.6953884	0.6704466	0.1167256	0.6260802	0.1552162	0.6001319	0.0526980	0.0748488	0.1447264
200	0.3222759	0.6029592	0.6135899	0.4502232	0.6900138	0.2464891	0.4901777	0.4938975	0.3297935	0.3881288	0.1489387	0.6795589	0.7120181	0.1487014	0.6189758	0.2009394	0.6094087	0.0792445	0.0143852	0.1516111
250	0.3325146	0.4349143	0.6788722	0.3827786	0.7006925	0.1564624	0.6080439	0.5566060	0.4392081	0.4166180	0.1590070	0.5738675	0.5857306	0.0505186	0.5893682	0.1151230	0.5178112	0.0589320	0.0107531	0.1081860
300	0.2895627	0.3802640	0.6508074	0.4258726	0.6653001	0.1703549	0.5066685	0.5727891	0.4028498	0.4156626	0.1590353	0.5085853	0.6658194	0.0789279	0.5860589	0.1101647	0.5181806	0.0420258	0.0128694	0.1620820
350	0.3042537	0.4146423	0.8009923	0.4297866	0.6978639	0.1256955	0.3866225	0.6703568	0.3557280	0.4834608	0.1706536	0.5349813	0.6987538	0.1149762	0.6633431	0.1371793	0.5461173	0.0404630	0.0087227	0.2017631
400	0.2330658	0.4770875	0.6876797	0.3910047	0.7707874	0.2132294	0.3911296	0.5289206	0.3562900	0.4022157	0.2569913	0.4326695	0.7051910	0.0946862	0.6795574	0.0939719	0.7119156	0.0277604	0.0088485	0.1848488
450	0.2715050	0.4923303	0.7215599	0.5054496	0.7830128	0.1942981	0.4694977	0.6207275	0.3406926	0.4064961	0.2057829	0.4293106	0.6668131	0.1283832	0.6374983	0.1629695	0.8096033	0.0419724	0.0047026	0.1366728
500	0.2057003	0.4345533	0.6191170	0.4596699	0.7457490	0.1734746	0.5341110	0.5787400	0.3748254	0.4039985	0.1412842	0.5136384	0.7156995	0.0843688	0.5579245	0.1047713	0.7694934	0.0599363	0.0189375	0.1388983
550	0.5714999	0.5998129	0.6266298	0.3205887	0.8008817	0.4386295	0.5166043	0.5393770	0.4981830	0.2746655	0.5440351	0.4636150	0.6745689	0.0846636	0.1424776	0.5389741	0.6653595	0.0546827	0.0495024	0.2485192
600	0.7072828	0.6307961	0.5578126	0.2140939	0.8105600	0.5437461	0.2845830	0.6043155	0.5030756	0.2303778	0.6993254	0.4957120	0.6433178	0.1351311	0.0559033	0.7815825	0.7247262	0.0656178	0.0676463	0.2342578
650	0.7450675	0.6951861	0.4269504	0.1712398	0.6799408	0.7136726	0.1848321	0.4898560	0.4217129	0.2129051	0.5758215	0.3188754	0.6278112	0.4285853	0.0175074	0.6926342	0.7035124	0.0915559	0.2196438	0.2873642
700	0.7232138	0.7078057	0.3726661	0.3082029	0.8673246	0.5922060	0.1343457	0.2333386	0.3876603	0.1452109	0.5913528	0.2606421	0.5227403	0.6853159	0.0028981	0.7018657	0.5938109	0.0768156	0.4850430	0.3650511
750	0.7784514	0.7947728	0.3841706	0.1841086	0.9152132	0.7420017	0.1569295	0.2550596	0.4468435	0.0873680	0.4327761	0.1891890	0.5033126	0.5773848	0.0071201	0.7341399	0.7248875	0.0412028	0.5898897	0.3136748
800	0.7630080	0.6704094	0.3701698	0.1543659	0.7064628	0.7126836	0.1686360	0.4737206	0.5134966	0.1023452	0.3192940	0.2614817	0.5747687	0.5359767	0.0106977	0.6802154	0.6174794	0.0355131	0.6385631	0.2878746
850	0.6635020	0.7706505	0.3188411	0.1178141	0.8416947	0.9011965	0.1936692	0.5291237	0.3959532	0.0563732	0.2476266	0.2051097	0.7575837	0.6732833	0.0009698	0.7634412	0.7572141	0.1113022	0.6470555	0.3789635
900	0.7323887	0.7782518	0.3346106	0.1438696	0.6888565	0.7302135	0.2158805	0.4765922	0.4106100	0.0278109	0.1751864	0.2460961	0.7362796	0.6368691	0.0145581	0.6468187	0.6942487	0.0677283	0.7150234	0.1821454
950	0.7713139	0.7032768	0.3025618	0.1278203	0.6248131	0.8018762	0.1733442	0.4781185	0.3804221	0.0232935	0.1949544	0.2490416	0.6564376	0.4932110	0.0111812	0.7200869	0.4654985	0.0589919	0.7148009	0.2503632
1000	0.5873339	0.7961652	0.2533382	0.1472380	0.7244839	0.6620774	0.1774587	0.5587110	0.4118409	0.0137218	0.1910345	0.4462002	0.6773170	0.5010150	0.0530910	0.7864121	0.3522303	0.1381066	0.7108877	0.1553460

0	0.6625727	0.7676625	0.3590627	0.1365360	0.5966008	0.6244456	0.2376552	0.4398205	0.5474970	0.0153739	0.2186603	0.4498482	0.8276913	0.5303312	0.0685204	0.6186322	0.4233706	0.1323895	0.6262724	0.1283265
50	0.7309305	0.7173567	0.3771424	0.2357850	0.6920199	0.7422909	0.1434668	0.5275644	0.4481886	0.0073869	0.0982466	0.3294680	0.7095302	0.4546528	0.0340140	0.2031727	0.4919731	0.0622980	0.1692499	0.1799912
100	0.7069084	0.7363256	0.3222894	0.1888993	0.7717783	0.7920923	0.1400203	0.4736230	0.5107492	0.0228095	0.0626498	0.5761963	0.6805220	0.4210948	0.0767521	0.0850980	0.3140725	0.0834565	0.0862253	0.1449186
150	0.7305423	0.7485058	0.2775185	0.1992914	0.6136016	0.7182853	0.2048833	0.4622323	0.4402782	0.0044070	0.0156845	0.7418792	0.9895728	0.3005779	0.2966788	0.1044443	0.1985355	0.1365054	0.0496407	0.1246311
200	0.6991965	0.8388580	0.3696514	0.1586742	0.7736578	0.6774768	0.2035480	0.3318272	0.4782007	0.0071799	0.0457816	0.8445989	0.8396750	0.3009666	0.3261965	0.0848705	0.0488744	0.1613146	0.0223307	0.0865484
250	0.6265616	0.7800288	0.3882547	0.2243019	0.7938979	0.6965327	0.1586447	0.4366747	0.5101567	0.0016164	0.0351315	0.6806733	0.8343544	0.0999762	0.2972038	0.0604350	0.0441204	0.2056455	0.0094008	0.1012902
300	0.6648622	0.7416181	0.4217651	0.2128335	0.7597205	0.7026566	0.1984956	0.3844591	0.5003186	0.0017389	0.0623001	0.7748795	0.6515381	0.0587553	0.4804475	0.1139707	0.1041722	0.1679549	0.0103100	0.0844515
350	0.6377032	0.7704477	0.4108244	0.1923766	0.6916737	0.6869854	0.1375379	0.4123213	0.4853496	0.0021479	0.0563318	0.6511610	0.7970545	0.0536420	0.3461038	0.0605053	0.0647358	0.2164842	0.0014278	0.0789674
400	0.7191896	0.6723722	0.3802389	0.2314087	0.6461120	0.6699898	0.2261706	0.4466309	0.4961733	0.0154077	0.0674631	0.7571043	0.6663109	0.0232385	0.3868755	0.0935069	0.0198105	0.1913468	0.0046483	0.0349592
