"Time"	G1	G10	G20	G2	G17	G16	G4	G9	G8	G18	G94	G11	G95	G98	G7	G46	G6	G100	G36	G37	G38	G34	G3	G56	G35	G5	G19	G15	G14	G12	G49	G39	G41	G44	G22	G21	G50	G13	G52	G53	G51	G55	G42	G40	G45	G54	G61	G47	G43	G48	G57	G72	G67	G60	G59	G99	G58	G80	G84	G83	G89	G82	G81	G79	G88	G78	G77	G85	G75	G90	G91	G86	G69	G93	G92	G87	G68	G96	G97	G63	G27	G26	G25	G23	G24

0	0.8429990	0.1826363	0.6255697	0.3279870	0.1791135	0.2530200	0.2564551	0.0455667	0.0007063	0.6113711	0.7848660	0.1400745	0.4927274	0.6615408	0.0790231	0.4962505	0.4611434	0.7632440	0.5947860	0.7756313	0.6691938	0.6838086	0.4133861	0.5643341	0.0345311	0.1567960	0.5020606	0.2356760	0.8372164	0.6637435	0.1780512	0.0720985	0.1553395	0.5322337	0.0938403	0.3304846	0.6637603	0.1766053	0.3642979	0.3606926	0.6092507	0.2100584	0.3797087	0.0382590	0.0043210	0.4104406	0.0113757	0.4536634	0.3434366	0.8526749	0.4074285	0.8524871	0.6539959	0.0884891	0.6978359	0.7609408	0.4251873	0.7555998	0.0590857	0.5032545	0.4764545	0.0166637	0.3804156	0.0058855	0.6451704	0.0015339	0.4729132	0.4396771	0.3846796	0.7043242	0.2403024	0.1678601	0.0283770	0.3676679	0.2769959	0.4989693	0.6453520	0.6646066	0.5802146	0.6632540	0.0876384	0.2683797	0.0081553	0.6909970	0.7017995
50	0.7641488	0.1679568	0.6390072	0.4156139	0.2106275	0.1556173	0.2400466	0.0232970	0.1041192	0.5771269	0.6524008	0.1275588	0.3820572	0.5800247	0.0835285	0.3188530	0.5453878	0.4914563	0.6666509	0.7584521	0.6271190	0.7319107	0.7740364	0.6605484	0.3769955	0.1430432	0.5127494	0.1725100	0.5648207	0.6725275	0.1759595	0.1721196	0.1771226	0.5172346	0.5185032	0.3754629	0.2566628	0.1843204	0.4524768	0.2808393	0.4089548	0.2058376	0.4070146	0.3041711	0.0003750	0.4129831	0.0290871	0.3753439	0.3359748	0.3115157	0.4061619	0.3967246	0.7855270	0.0617199	0.7671787	0.2147680	0.4369322	0.6955431	0.0403020	0.6054145	0.5431720	0.0092919	0.4227754	0.0054186	0.4143134	0.0017260	0.4248150	0.3680015	0.3790492	0.7478759	0.1509948	0.2619051	0.0169182	0.3103487	0.3236839	0.4940290	0.6342156	0.3557517	0.4793061	0.5563140	0.3094926	0.3135494	0.0634313	0.6167018	0.6801239
100	0.6113159	0.2072404	0.6445885	0.4540365	0.1979674	0.1613217	0.2839334	0.0450393	0.2335579	0.4645518	0.6801382	0.1737796	0.3957929	0.4989685	0.0937744	0.1354909	0.4485172	0.5185071	0.7524470	0.5985941	0.6374002	0.8087433	0.6922608	0.7214076	0.6613011	0.1414026	0.3991785	0.1823312	0.5070126	0.6425961	0.2175734	0.1905218	0.2131218	0.3947666	0.6051450	0.3047351	0.2813507	0.2243829	0.4050963	0.3831228	0.4565337	0.2374360	0.5410562	0.4419802	0.0040149	0.5248951	0.0606612	0.4173966	0.2740709	0.1191209	0.4603573	0.1630613	0.7234150	0.0580827	0.6373107	0.1188072	0.3819894	0.7519906	0.0408512	0.7245124	0.6078116	0.0068268	0.5918826	0.0115903	0.4131165	0.0043026	0.4361945	0.4353812	0.2984290	0.5466067	0.3049217	0.1355767	0.0328673	0.4450069	0.3472276	0.6160020	0.5410033	0.2755548	0.5010205	0.5301413	0.4373800	0.2723599	0.0212883	0.6627748	0.6998234
150	0.6531283	0.1614978	0.5980788	0.3714460	0.2164110	0.1509953	0.2559586	0.0330701	0.3026581	0.4519699	0.5925069	0.0823691	0.4262227	0.5085503	0.1350772	0.0873527	0.6110129	0.3599188	0.6399293	0.6818298	0.6201752	0.6625332	0.7217642	0.5443346	0.6065038	0.1663148	0.4124261	0.1835085	0.4683079	0.6716456	0.1792403	0.2803221	0.3148991	0.5039764	0.7876661	0.4263894	0.1769803	0.1966018	0.2679073	0.6206964	0.4052972	0.2629676	0.5846169	0.2913160	0.0062523	0.4688413	0.0468355	0.3061998	0.3805251	0.0645919	0.5590769	0.1463489	0.7179138	0.0609653	0.5505811	0.0662639	0.3296072	0.6915012	0.0635713	0.6449381	0.6769362	0.0060744	0.5452731	0.0348108	0.4703161	0.0125776	0.4257269	0.3419756	0.3411219	0.8104538	0.2343564	0.2821139	0.0096398	0.5094539	0.4100353	0.6323284	0.6051535	0.2833500	0.2982142	0.5502782	0.5442333	0.3402932	0.0342686	0.7998727	0.7265507
200	0.8446819	0.1719609	0.6872486	0.3738892	0.1927437	0.1005638	0.2507140	0.0118822	0.2474166	0.3977550	0.8612873	0.1155813	0.2847628	0.5207432	0.0721113	0.0523415	0.6999771	0.3787685	0.5881739	0.6920782	0.5781212	0.8027489	0.8194940	0.6369765	0.6906028	0.1022940	0.4342373	0.1189255	0.3434385	0.7447128	0.1703478	0.3535490	0.2472468	0.5690018	0.5607328	0.4222075	0.1859923	0.1793877	0.2570086	0.7696245	0.3752348	0.3192173	0.3729030	0.3280563	0.0029093	0.4418586	0.0344399	0.4894663	0.2858545	0.0505355	0.3553655	0.1634063	0.6230271	0.0960279	0.6024322	0.0453061	0.2371552	0.6708061	0.0710701	0.7304734	0.6557570	0.0096747	0.5540875	0.0229474	0.4719272	0.0134929	0.4637851	0.3906350	0.4111088	0.7963875	0.2009085	0.2287862	0.0104339	0.4225009	0.3003522	0.5357701	0.6178188	0.2619594	0.2921497	0.5382779	0.5169592	0.3336815	0.0109394	0.6781497	0.7606324
250	0.7044258	0.1780207	0.8073664	0.2939528	0.2149781	0.1519893	0.2841484	0.0161749	0.2686289	0.4587693	0.5253703	0.0686413	0.3785461	0.6369889	0.1101129	0.0852883	0.6814146	0.3476914	0.6848252	0.7956006	0.6657308	0.7219785	0.7368444	0.4876732	0.8061604	0.0999711	0.4788669	0.0987902	0.3865609	0.5688299	0.1655724	0.3214226	0.2172711	0.5501898	0.6121885	0.5690768	0.1377249	0.1450217	0.2296029	0.6291870	0.4751958	0.2819771	0.4957308	0.3087119	0.0027533	0.5935115	0.0374385	0.4816408	0.3174698	0.0196748	0.4180547	0.1390469	0.7731164	0.0738869	0.7127850	0.0486396	0.2971132	0.6345373	0.0833329	0.7538444	0.5850885	0.0171100	0.5044503	0.0056791	0.4161259	0.0103944	0.4543586	0.4348028	0.3714448	0.7738334	0.1977946	0.2229403	0.0313991	0.4446082	0.2577519	0.5635546	0.6859982	0.2523034	0.2758883	0.5157462	0.4893120	0.3007863	0.0171634	0.6469291	0.6871638
300	0.6785883	0.1559240	0.5148933	0.3201070	0.1831226	0.0950779	0.3154537	0.0270216	0.2566591	0.3727760	0.6877293	0.0541817	0.3390790	0.4926666	0.1729294	0.0756903	0.5825539	0.2791266	0.6799514	0.8519622	0.6267941	0.7529569	0.6388329	0.5445076	0.5717048	0.1097606	0.4750166	0.1036384	0.3265538	0.6105219	0.1583982	0.3017933	0.2647526	0.4544630	0.5497807	0.3964410	0.1756853	0.1484997	0.1735019	0.5579540	0.5700943	0.2753334	0.4519688	0.4240769	0.0095108	0.5397827	0.0188311	0.4433936	0.3826977	0.0120685	0.3765012	0.1505625	0.6887091	0.0408071	0.4662838	0.0297755	0.1853957	0.5730877	0.0803491	0.6359707	0.5801371	0.0074599	0.5191142	0.0067484	0.4855758	0.0173984	0.4818063	0.3988081	0.3568810	0.6489124	0.2038309	0.1931459	0.0275375	0.4695190	0.2734828	0.5478713	0.4786684	0.3426933	0.3011846	0.6148757	0.4948090	0.2530594	0.0483036	0.6294118	0.6792111
350	0.8689194	0.1783281	0.5813727	0.3300040	0.1281916	0.0821545	0.3123964	0.0303222	0.3069711	0.4786149	0.6314895	0.1141033	0.3740453	0.4819431	0.1180158	0.0677922	0.5423336	0.3873735	0.5279929	0.8350437	0.7276115	0.6851946	0.8613336	0.5870752	0.5987649	0.1621121	0.4399561	0.0875071	0.4141025	0.6486170	0.3095298	0.3323888	0.3299397	0.3985972	0.6068606	0.5994376	0.1463284	0.2005108	0.1674348	0.6544233	0.3962293	0.2344098	0.4167454	0.2937895	0.0041143	0.4767767	0.0278239	0.4765573	0.3345320	0.0037459	0.3598491	0.0991136	0.6219071	0.0726803	0.5798349	0.0278551	0.1937802	0.6718788	0.1151589	0.6592370	0.5767026	0.0086467	0.5317701	0.0124183	0.4685958	0.0061959	0.4011190	0.4757410	0.4535488	0.6486197	0.2252170	0.2618515	0.0161259	0.5345777	0.2957010	0.4999548	0.6154657	0.2950482	0.3460713	0.6509774	0.4532297	0.2834873	0.0275063	0.5748837	0.7383234
400	0.7873613	0.1509448	0.5832590	0.2833368	0.1540749	0.0929139	0.3140962	0.0441484	0.2971224	0.4622073	0.7010180	0.0530924	0.2974957	0.5222730	0.1712433	0.0529326	0.6016936	0.3220779	0.7437638	0.7174119	0.7524860	0.6856467	0.6036446	0.6167390	0.6139214	0.1059036	0.3857191	0.0738989	0.4804955	0.5669964	0.2449811	0.3648933	0.2403968	0.4750648	0.7306961	0.6316235	0.1728861	0.1541697	0.1307592	0.6811094	0.4051423	0.3245562	0.4251603	0.3597600	0.0033647	0.5039092	0.0305501	0.3532094	0.3209184	0.0128352	0.4061368	0.1067642	0.8079185	0.0505852	0.5597069	0.0465925	0.2536572	0.8144486	0.0693407	0.5911464	0.5411132	0.0099252	0.5064427	0.0031493	0.4909699	0.0114008	0.3672602	0.4621505	0.3305331	0.6684579	0.2438547	0.2357632	0.0242787	0.5452449	0.3271624	0.5021432	0.5991983	0.2482829	0.3923669	0.6204066	0.4978710	0.3399024	0.0207317	0.6702292	0.7155827
