"Time"	G1	G2	G10	G20	G4	G17	G16	G9	G11	G18	G94	G56	G3	G5	G19	G13	G12	G14	G15	G50	G41	G51	G53	G52	G42	G55	G21	G22	G54	G40	G49	G44	G35	G39	G45	G48	G95	G61	G47	G98	G43	G8	G72	G67	G57	G79	G60	G82	G88	G80	G84	G81	G83	G89	G85	G77	G78	G91	G90	G75	G86	G59	G58	G99	G92	G69	G93	G87	G68	G34

0	0.3649014	0.0008575	0.4019704	0.1608125	0.6635120	0.5066405	0.5402328	0.1063239	0.3996218	0.5077799	0.5616952	0.4819851	0.0054305	0.3837576	0.2907928	0.3243755	0.6367492	0.4676786	0.3692180	0.3114508	0.2073711	0.3175971	0.2548615	0.3331151	0.6461183	0.0132254	0.2164193	0.5206123	0.0184453	0.2938396	0.5197483	0.6699192	0.7911377	0.3213834	0.3460642	0.3133125	0.7981773	0.4041845	0.3346718	0.7271462	0.0034360	0.3443226	0.7637730	0.7132798	0.5434374	0.9192769	0.2410813	0.0139667	0.0040784	0.0093989	0.8473748	0.3826727	0.5118105	0.4257018	0.2612245	0.0300031	0.6797570	0.3406295	0.5747840	0.4494873	0.6808305	0.2889003	0.0192386	0.6436133	0.0310146	0.4100720	0.2763300	0.7478656	0.2735608	0.6757878
50	0.5405930	0.0015076	0.3315827	0.2731763	0.7148403	0.6250459	0.2676267	0.0228919	0.4915448	0.4197318	0.6433097	0.4753679	0.0006240	0.3597368	0.2591213	0.3646772	0.2506784	0.4199630	0.1933522	0.2245850	0.3306962	0.2845802	0.1528024	0.2675582	0.5441584	0.3431426	0.1934266	0.6769321	0.0066371	0.3576210	0.3066543	0.6432166	0.7116480	0.3270916	0.3527972	0.4308733	0.7095135	0.4695686	0.1580652	0.6457157	0.0037268	0.3105934	0.7364504	0.8330622	0.5462452	0.2913211	0.1251917	0.0038219	0.0015774	0.0061367	0.7811736	0.2544164	0.4807896	0.3875113	0.3410900	0.0451639	0.6247284	0.3177943	0.5024602	0.4376261	0.6117285	0.3942740	0.0258393	0.8112995	0.1552273	0.2892560	0.4808404	0.6626918	0.1097157	0.6852655
100	0.4260496	0.0014488	0.4035954	0.2023718	0.6624587	0.5044110	0.1850602	0.0191869	0.3730873	0.5197526	0.8302876	0.3936079	0.0009316	0.3405940	0.3072705	0.3351184	0.2357576	0.5108896	0.1082254	0.2164269	0.3381878	0.4334873	0.1155462	0.3826558	0.6503940	0.4039220	0.2393881	0.8312598	0.0164184	0.5519344	0.2246130	0.5905719	0.6085762	0.3549901	0.2766457	0.5227821	0.7308234	0.3910738	0.1453758	0.7395942	0.0039792	0.3584921	0.6543911	0.7245613	0.3865139	0.1553226	0.0747491	0.0068484	0.0051969	0.0016377	0.5341621	0.0905074	0.3665463	0.3652586	0.3887006	0.0884489	0.6617106	0.3009539	0.4577245	0.5622757	0.3278904	0.4268227	0.0293462	0.7689299	0.1211714	0.1618912	0.3723623	0.7304874	0.1003881	0.6698331
150	0.4350297	0.0068565	0.3227069	0.1649498	0.7524530	0.5406610	0.2276637	0.0164259	0.3357358	0.4835869	0.8086222	0.4007382	0.0070268	0.4319391	0.3813538	0.3651418	0.1750782	0.4492835	0.0988158	0.3067744	0.3019115	0.4816855	0.1448342	0.4723264	0.7108866	0.5780992	0.1894968	0.7894387	0.0177215	0.6735064	0.2463704	0.6669394	0.8262701	0.2771019	0.3707278	0.7371041	0.8087888	0.2934912	0.1853668	0.7455830	0.0032322	0.3108912	0.6205084	0.7840378	0.3427127	0.1595999	0.0411324	0.0165156	0.0072996	0.0021082	0.3268004	0.1100712	0.2187954	0.2578872	0.5631981	0.0601067	0.5486742	0.1300100	0.3362243	0.5682401	0.2096073	0.3826084	0.0142794	0.6472939	0.2595022	0.1371894	0.2847652	0.8754784	0.0754561	0.6233037
200	0.4646170	0.0055811	0.3200854	0.1343947	0.7588396	0.4996917	0.2928583	0.0272027	0.4212368	0.4115674	0.6421360	0.4147428	0.0024592	0.4109865	0.3094740	0.4334494	0.2187488	0.5760551	0.1034582	0.3145232	0.3359288	0.3318626	0.1346784	0.5365322	0.5015105	0.5065636	0.1911930	0.6649145	0.0055091	0.6932061	0.1862196	0.7187198	0.6305007	0.2718353	0.2741711	0.7272450	0.5955270	0.1574130	0.2359409	0.6361569	0.0027132	0.2756365	0.5604331	0.5287055	0.3460433	0.1335369	0.0507424	0.0085921	0.0017771	0.0035129	0.4587264	0.0782785	0.1869510	0.1672305	0.6256841	0.0570164	0.6143845	0.0322521	0.3806364	0.6771032	0.1161011	0.4086993	0.0282851	0.7013275	0.1842936	0.0613613	0.2420670	0.8760005	0.0832439	0.7952631
250	0.3731150	0.0116875	0.3780750	0.1748462	0.6282648	0.4667814	0.2528019	0.0220525	0.3358390	0.4032310	0.6771155	0.4692068	0.0084290	0.4170173	0.4356676	0.3765003	0.1897626	0.3773258	0.0652925	0.2989739	0.4738888	0.5129151	0.1630456	0.4879199	0.5681292	0.4041658	0.2248336	0.8254692	0.0118814	0.6287708	0.2170776	0.5758862	0.7563487	0.3165787	0.3501426	0.7823770	0.6319469	0.1831730	0.2292019	0.7400375	0.0040644	0.3518008	0.5952731	0.7009982	0.3605518	0.1442991	0.0222573	0.0009813	0.0041476	0.0048593	0.5785386	0.0854609	0.1728868	0.1059464	0.6520923	0.0920259	0.4507072	0.0314458	0.4119263	0.5592655	0.0586931	0.4086306	0.0131973	0.7368546	0.1967240	0.0140428	0.3603479	0.6840981	0.1327930	0.7143657
300	0.4356742	0.0017131	0.4252812	0.1947029	0.8686978	0.5568162	0.2879868	0.0201905	0.4125797	0.5041511	0.8894521	0.5152331	0.0003216	0.3413640	0.3960154	0.3641933	0.1725736	0.6415754	0.1411951	0.2795156	0.4016761	0.4813145	0.1244379	0.4622117	0.7154664	0.5316971	0.2354099	0.6425999	0.0127407	0.6617369	0.2169555	0.6195336	0.8597923	0.3842695	0.3533784	0.6133380	0.6551799	0.1490773	0.2151908	0.6268267	0.0016511	0.2142024	0.6331661	0.7492832	0.2164877	0.1549598	0.0205996	0.0051382	0.0027248	0.0069079	0.6899142	0.0620623	0.0961977	0.0935807	0.5960202	0.0523535	0.4777582	0.0116819	0.4865335	0.5981844	0.0378509	0.3138230	0.0298053	0.7539882	0.2294076	0.0226455	0.2639815	0.9553273	0.0664396	0.6892474
350	0.5078803	0.0013764	0.3450213	0.2396790	0.8518865	0.5852168	0.2012289	0.0338713	0.3889716	0.3155655	0.7293065	0.4210087	0.0009656	0.4088932	0.4555878	0.4560779	0.1649938	0.4535305	0.0761744	0.2412744	0.4903288	0.4324863	0.1916954	0.3596919	0.5869576	0.5296884	0.2003464	0.7371752	0.0378419	0.5208700	0.1880356	0.6556101	0.6326008	0.3492144	0.3660642	0.6176058	0.6591776	0.1774337	0.2483892	0.6058293	0.0062096	0.2827363	0.5473118	0.6346939	0.2691802	0.1317851	0.0410891	0.0030778	0.0093248	0.0250209	0.6183602	0.0833201	0.1370407	0.0860860	0.6550691	0.0482071	0.4369511	0.0158106	0.3910399	0.5339248	0.0625215	0.3943286	0.0125513	0.7432202	0.1619893	0.0331759	0.3192533	0.6914110	0.1027213	0.6105339
400	0.4527392	0.0166482	0.4103460	0.1349617	0.6488383	0.6547297	0.2731288	0.0260892	0.4397351	0.3799362	0.7004582	0.4496556	0.0003680	0.3698086	0.3872196	0.4542649	0.1738105	0.5363875	0.0960225	0.2401831	0.4145014	0.3846902	0.1424291	0.5204676	0.4811619	0.4636480	0.1844344	0.6502358	0.0060485	0.7668601	0.2376535	0.7381762	0.7551146	0.3368091	0.3480123	0.5764747	0.8651124	0.2329525	0.2080848	0.7250540	0.0033329	0.3201636	0.6103775	0.6644030	0.3202400	0.1825620	0.0164600	0.0035968	0.0026481	0.0074282	0.6496164	0.0811455	0.1346465	0.0763172	0.7044777	0.0482655	0.4589320	0.0255888	0.3033796	0.5192844	0.0344734	0.3103990	0.0370255	0.8406294	0.1980045	0.0301736	0.2122782	0.6218732	0.0836690	0.6149237
450	0.5596528	0.0069351	0.2968129	0.2078926	0.7059289	0.5375007	0.1414446	0.0171714	0.3720710	0.3780931	0.5833083	0.3893171	0.0009852	0.3723219	0.4560940	0.3050643	0.2088167	0.3921603	0.1236691	0.2221336	0.3942776	0.4670074	0.1251059	0.5598126	0.5989993	0.4979452	0.2139409	0.5921511	0.0036188	0.7024456	0.2950886	0.6216230	0.6841186	0.2963222	0.4038527	0.8408647	0.6013231	0.2004102	0.2754640	0.6382979	0.0089909	0.3371319	0.5023757	0.7561310	0.3491073	0.1813010	0.0190444	0.0031212	0.0031142	0.0085096	0.7304442	0.0798886	0.1736733	0.1330466	0.6842804	0.0470133	0.4420410	0.0423101	0.3968644	0.5253786	0.0304366	0.3106145	0.0193233	0.7599980	0.2311771	0.0179643	0.2669840	0.7786149	0.0562372	0.6326994
500	0.4602554	0.0031858	0.2282886	0.2815356	0.7187657	0.4944222	0.1808736	0.0171048	0.5172354	0.4573986	0.7283318	0.4077867	0.0021771	0.3320770	0.3290950	0.3158317	0.1326893	0.4352776	0.0838004	0.3188787	0.4307597	0.3542916	0.1594763	0.4869794	0.5807680	0.5504471	0.1626918	0.7782737	0.0118873	0.7003866	0.2939422	0.6366044	0.7936920	0.3507361	0.5118212	0.6431745	0.7073677	0.2646966	0.2355019	0.6489442	0.0000000	0.3291298	0.6448635	0.7962707	0.2782570	0.1140937	0.0211813	0.0100102	0.0025168	0.0026036	0.6925363	0.0564946	0.1884590	0.1279543	0.6006749	0.0551981	0.4247794	0.0359773	0.3118752	0.6539035	0.0475553	0.3354941	0.0178025	0.6261669	0.1756207	0.0686905	0.2876591	0.7264648	0.1071065	0.6506588
550	0.4461239	0.0095881	0.3005800	0.2133347	0.6860182	0.4555799	0.4168647	0.0797444	0.3732252	0.4250216	0.7443882	0.4114444	0.0031997	0.3326955	0.3939768	0.3798938	0.4189345	0.4071329	0.2806089	0.2551724	0.3647407	0.4846648	0.1830402	0.5051702	0.4655217	0.2029274	0.2465419	0.5732812	0.0100180	0.6726276	0.5010540	0.6249653	0.7084120	0.3314880	0.4440859	0.8301832	0.6938254	0.2574557	0.2819074	0.8346531	0.0014342	0.3367245	0.6570329	0.8599983	0.3959896	0.6652512	0.1057704	0.0171555	0.0010922	0.0050284	0.7224539	0.0537610	0.2694870	0.2837841	0.6937888	0.0384375	0.5152537	0.1334894	0.5008787	0.5075226	0.0847406	0.2660726	0.0308161	0.6889567	0.1208284	0.0682964	0.1018750	0.6621946	0.1534852	0.7142178
