"Time"	G1	G3	G5	G22	G7	G8	G4	G83	G6	G87	G86	G88	G54	G85	G89

0	0.8056830	0.5069795	0.1512596	0.7741588	0.1243971	0.3130012	0.4172499	0.7639527	0.0890953	0.2709463	0.1497925	0.5518879	0.6764053	0.0775082	0.0278692
50	0.7209766	0.4859985	0.1784155	0.6885883	0.0884239	0.3755454	0.5069491	0.6818642	0.0883224	0.2985681	0.1299349	0.3266592	0.7454148	0.0458484	0.0684106
100	0.6716085	0.4611129	0.1657059	0.7175467	0.0724599	0.2321907	0.6497207	0.5520146	0.1081920	0.2138593	0.1249112	0.4716765	0.6780963	0.0395870	0.0634874
150	0.7621115	0.5019964	0.1212611	0.7520566	0.0828316	0.2659707	0.6970771	0.7192120	0.1020017	0.3290112	0.1718339	0.4756519	0.6590602	0.0750974	0.1179053
200	0.6520532	0.4391927	0.1930113	0.7301253	0.1055582	0.2105449	0.6785187	0.8539964	0.1199073	0.2503985	0.1361880	0.3179243	0.8018336	0.0264472	0.0540843
250	0.7447267	0.4961316	0.1917338	0.8322533	0.0792183	0.2692792	0.5979751	0.8003059	0.1136746	0.2193288	0.1195891	0.4072339	0.6860072	0.0175679	0.0506594
300	0.8458585	0.4106905	0.1458655	0.7348816	0.0536953	0.2106607	0.7281572	0.7086911	0.0929715	0.2576956	0.1228245	0.3293239	0.6709638	0.0346440	0.0608119
350	0.7487742	0.5388208	0.1325275	0.7527993	0.0926428	0.2820118	0.4449390	0.7647312	0.1129398	0.4325248	0.1378806	0.5853921	0.9376396	0.0238911	0.0908441
400	0.6278362	0.3961999	0.1661613	0.7172147	0.0466621	0.2446862	0.5926037	0.6799969	0.0968652	0.2981256	0.1311829	0.4518888	0.6593704	0.0217084	0.0399000
450	0.6439073	0.5209623	0.1162041	0.7060336	0.1048035	0.2451678	0.6165342	0.6570634	0.0821265	0.3443432	0.1171444	0.3777164	0.7562021	0.0200676	0.0808262
500	0.6473002	0.4619716	0.2116318	0.8331553	0.1170493	0.3283222	0.6830153	0.7965939	0.0719689	0.2976410	0.1298902	0.4313123	0.8449855	0.0303521	0.0495925
550	0.6639286	0.5092529	0.1581937	0.7243489	0.1259476	0.2993776	0.4941445	0.7775442	0.0693964	0.3042982	0.1066635	0.3863286	0.5513816	0.0603041	0.0806595
