"Time"	G1	G10	G2	G20	G17	G16	G4	G9	G11	G18	G94	G98	G7	G46	G6	G100	G36	G37	G38	G34	G3	G56	G35	G5	G19	G15	G12	G13	G14	G41	G50	G52	G53	G51	G21	G22	G55	G42	G44	G39	G49	G40	G54	G45	G47	G43	G61	G72	G67	G57	G48	G95	G8	G60	G59	G99	G58	G79	G82	G83	G81	G89	G84	G80	G88	G91	G90	G75	G78	G77	G86	G85	G69	G93	G92	G87	G68	G27	G96	G97	G63	G26	G25	G23	G24	G62	G76	G71	G74	G31

0	0.4012821	0.1316475	0.1041430	0.1340796	0.4548477	0.2417886	0.7428394	0.0465649	0.7445106	0.2074784	0.7573604	0.6586185	0.4410992	0.1491170	0.1480447	0.7508817	0.8983943	0.7723650	0.7017935	0.6684320	0.5718785	0.0926681	0.6342436	0.2427484	0.5975592	0.6280907	0.3992827	0.3579480	0.7619721	0.1387488	0.2307603	0.6787157	0.1774461	0.7337525	0.6508944	0.2589510	0.4500689	0.3288120	0.6882232	0.6524101	0.6154528	0.4558403	0.6645263	0.6740079	0.3064520	0.2740658	0.0996774	0.6614483	0.4954148	0.0132413	0.7220387	0.6967798	0.0161979	0.4048031	0.0042826	0.7744321	0.0264106	0.0565292	0.8995279	0.1229912	0.3471039	0.6466327	0.0792301	0.7970637	0.3554305	0.2582470	0.6376967	0.1789754	0.4113964	0.4142740	0.0546020	0.1913180	0.4161284	0.0530758	0.5696484	0.4084017	0.3905361	0.0010055	0.8208278	0.2934494	0.4498739	0.1433302	0.0508530	0.7975825	0.4136255	0.5620914	0.3312414	0.3417879	0.2286624	0.7023872
50	0.4701148	0.0152177	0.0248009	0.1360530	0.3020121	0.0890437	0.6305107	0.0792981	0.6957788	0.3490954	0.2764839	0.7858421	0.3867099	0.4941676	0.2606385	0.6424255	0.6438913	0.8183298	0.6475520	0.7018255	0.2369706	0.0807312	0.5760313	0.2568080	0.4314371	0.2640359	0.3513606	0.2813356	0.2817807	0.1556919	0.3300147	0.6450819	0.2040727	0.3424955	0.5031757	0.2367157	0.5966890	0.2999767	0.6250178	0.6296031	0.7839023	0.4939074	0.6409569	0.5612760	0.2549967	0.3270513	0.1967879	0.3472076	0.4574491	0.0367724	0.2202616	0.6292276	0.0058099	0.3237999	0.1133416	0.6667629	0.1244129	0.0631813	0.5503946	0.1540573	0.3744250	0.6072933	0.0223159	0.2723672	0.4198576	0.2782727	0.4348975	0.1591658	0.4140554	0.4284888	0.1278769	0.0970389	0.4729891	0.2843433	0.6430737	0.4255495	0.5007835	0.0000068	0.6414045	0.3904982	0.4958587	0.0882402	0.0497551	0.7823314	0.5381276	0.7494163	0.3241566	0.5251167	0.0721270	0.7292217
100	0.6237594	0.0085253	0.0226237	0.2011227	0.2856624	0.0684042	0.7582712	0.0591178	0.6747755	0.2291015	0.1420577	0.6758814	0.5326992	0.7211757	0.2291015	0.7125975	0.8258543	0.7426104	0.8244481	0.7378737	0.1561926	0.1484006	0.6715121	0.2127813	0.3939776	0.2673076	0.7064655	0.4027128	0.1110971	0.1160231	0.4453803	0.7504344	0.2763154	0.2321372	0.5792765	0.3178305	0.5276651	0.3308987	0.6706831	0.6255586	0.6250814	0.5353074	0.5167211	0.2797924	0.3998227	0.2277290	0.0932535	0.2053852	0.2917479	0.0243160	0.1147730	0.8118009	0.0138693	0.3416262	0.1401075	0.7003886	0.2317184	0.0711277	0.6787682	0.0953657	0.4043214	0.4875888	0.0244698	0.1695541	0.2700161	0.2132657	0.5325029	0.2008971	0.2014357	0.5204400	0.1707918	0.1401821	0.3964946	0.2530104	0.4535326	0.4885789	0.4262919	0.0000132	0.7877184	0.4317044	0.4035768	0.1225370	0.0445805	0.7844991	0.6559119	0.6701299	0.4154212	0.4182552	0.0614483	0.6344583
150	0.7927107	0.0000000	0.0051212	0.2805732	0.3242825	0.0206124	0.6587442	0.0358484	0.6867159	0.2636424	0.1526153	0.7743938	0.5707371	0.6159418	0.2524747	0.6054795	0.7281045	0.8126100	0.7591666	0.7741492	0.1224053	0.1000133	0.8815091	0.1874218	0.3003984	0.2310242	0.5632334	0.3805849	0.0718724	0.1108588	0.3496385	0.6531055	0.3113172	0.1719556	0.4995298	0.2759599	0.6407486	0.3004495	0.7386576	0.6878755	0.7252870	0.6133056	0.6539784	0.2431855	0.5235731	0.2287404	0.0627926	0.2576749	0.2520872	0.0138063	0.1670631	0.5799932	0.0166502	0.2556729	0.1782957	0.6685838	0.1931906	0.1188504	0.6541282	0.0885695	0.3345365	0.8343099	0.0117156	0.1150750	0.2823784	0.1414783	0.7041175	0.1737798	0.0730602	0.2954926	0.2022451	0.1491596	0.2894639	0.2796628	0.4722280	0.6686945	0.4804756	0.0021545	0.8133929	0.5530235	0.4467691	0.1791227	0.0572454	0.6674303	0.6060850	0.7597556	0.3268678	0.5933893	0.0821094	0.7810555
200	0.7621699	0.0021144	0.0094354	0.3537884	0.3305892	0.0353374	0.6107744	0.0510747	0.6280182	0.2742571	0.1540673	0.6051368	0.5975670	0.5956998	0.2290563	0.6398159	0.7150460	0.7806886	0.6382330	0.7138587	0.0663232	0.1392524	0.7095702	0.2142887	0.3598261	0.2466495	0.5891092	0.3179422	0.0547148	0.1450599	0.3285057	0.6768300	0.2999883	0.1702717	0.4173519	0.2932214	0.6419570	0.2463397	0.7795807	0.6318947	0.3646468	0.5679540	0.6093458	0.1482881	0.5883764	0.1765727	0.0522581	0.2424798	0.1913634	0.0371358	0.0762048	0.4758663	0.0196797	0.2862384	0.1656513	0.8143976	0.2101614	0.4009479	0.6558707	0.0556792	0.2409062	0.6451879	0.0162971	0.1028636	0.3127977	0.1578773	0.7166388	0.1305152	0.0437363	0.4250148	0.2313129	0.1707924	0.3106868	0.2202150	0.5232617	0.5231083	0.4178247	0.0000000	0.6972062	0.4528454	0.5523709	0.2395635	0.0801717	0.6720820	0.5787431	0.7043531	0.4031775	0.5247565	0.1007657	0.6435467
250	0.6865581	0.0002769	0.0001787	0.4115758	0.3504608	0.0334333	0.7839095	0.0414928	0.7421745	0.2653284	0.1915497	0.5818988	0.4984902	0.6490396	0.2446691	0.6397636	0.6501176	0.8153240	0.7556099	0.7728919	0.0607748	0.1723713	0.7066871	0.1636461	0.2883409	0.1690999	0.6064433	0.2963648	0.0216288	0.1860304	0.4308069	0.5987415	0.3263160	0.1319180	0.5299900	0.3172062	0.7331963	0.2267891	0.6532120	0.7863890	0.5123815	0.6418490	0.6411296	0.2482249	0.5542618	0.5155306	0.0231373	0.1623600	0.2484666	0.1228926	0.0408863	0.3923121	0.0163994	0.3197170	0.1655867	0.7362645	0.1209935	0.7106339	0.7355807	0.0708335	0.3486825	0.6805567	0.0360814	0.0406991	0.6003136	0.2636974	0.7410810	0.0938969	0.0167521	0.5065733	0.3402308	0.1565422	0.3202832	0.2423631	0.5235221	0.5127589	0.2687726	0.0001885	0.6622338	0.4617174	0.3293793	0.2935888	0.1201955	0.6585808	0.6039053	0.6185262	0.4777718	0.4332641	0.0631499	0.6283330
300	0.6320962	0.0004476	0.0023125	0.3560759	0.3798817	0.0303684	0.7072381	0.0540702	0.6469668	0.3711704	0.1431082	0.6437323	0.4971166	0.6634128	0.2492376	0.6421506	0.6916109	0.7448645	0.8409082	0.6916076	0.0955282	0.2565597	0.6947565	0.1935349	0.3072554	0.1493728	0.6651959	0.1842386	0.0236868	0.1453602	0.4815311	0.6465943	0.2064933	0.1571312	0.5767668	0.2527523	0.6048418	0.1604499	0.7767046	0.7607207	0.4365149	0.5359674	0.6538358	0.3270343	0.5470822	0.5423822	0.0126620	0.2743128	0.1745460	0.1093702	0.0589698	0.3109713	0.0171452	0.4296538	0.3176463	0.6989629	0.1886565	0.7952011	0.6835545	0.0558030	0.4747291	0.5594397	0.0307669	0.0558043	0.4616517	0.3253035	0.6057805	0.1026426	0.0337796	0.5908835	0.4956780	0.1028258	0.4418158	0.3104636	0.4588051	0.4915349	0.2936335	0.0001631	0.6748793	0.3959620	0.4759760	0.4063244	0.1768988	0.7109229	0.5459263	0.6859929	0.3821240	0.4935984	0.1959365	0.7256174
350	0.6539250	0.0002114	0.0018313	0.3246451	0.3646225	0.0353146	0.6652806	0.0358412	0.6130868	0.3025802	0.1355461	0.5758521	0.5111783	0.7764250	0.3658374	0.7957580	0.6435738	0.8289537	0.7983544	0.7211873	0.1279952	0.1782199	0.6753655	0.1730884	0.3419409	0.1115964	0.6459623	0.2309082	0.0270350	0.1264590	0.5394694	0.7029946	0.2324084	0.1575560	0.3630952	0.2391377	0.6651965	0.2018577	0.6610229	0.5908466	0.5531707	0.6137581	0.8162937	0.3369592	0.5525618	0.4959072	0.0222538	0.2089470	0.1670866	0.0475210	0.0779985	0.2557546	0.0208925	0.4306900	0.3205270	0.7016813	0.1438117	0.7212693	0.6904953	0.0625083	0.4794466	0.4892693	0.0683235	0.0307961	0.4079675	0.5182050	0.6546650	0.1485016	0.0216900	0.5749877	0.5237568	0.1750181	0.3848512	0.4001473	0.5492401	0.3702923	0.3927621	0.0003507	0.6780701	0.4501941	0.5265346	0.1845059	0.2602382	0.6887259	0.5710084	0.6938958	0.3982992	0.4908794	0.1309200	0.7601249
400	0.6172420	0.0013664	0.0026082	0.3705004	0.2460469	0.0249644	0.7172106	0.0471195	0.5401665	0.3243472	0.1548799	0.6158417	0.5658285	0.6819221	0.2459069	0.7502838	0.6720098	0.6817529	0.7254201	0.7026174	0.1010788	0.2781230	0.7999039	0.1696179	0.2601319	0.1688737	0.7441239	0.3113742	0.0130534	0.1353824	0.4130821	0.6535324	0.2748791	0.1853567	0.2803981	0.2624596	0.5860971	0.1421883	0.6461689	0.5857338	0.7977040	0.6977013	0.6508411	0.2474427	0.4700908	0.5039635	0.0255059	0.2539574	0.1304213	0.0218659	0.0506780	0.2961950	0.0168975	0.4770379	0.2091862	0.7804845	0.1895357	0.6379518	0.6051937	0.0693039	0.4351672	0.5656909	0.0197487	0.0418003	0.4883921	0.3159659	0.6417316	0.1856935	0.0350235	0.4892143	0.6061481	0.0842160	0.3192552	0.2495533	0.6216715	0.4168446	0.3511873	0.0010913	0.6585065	0.4486453	0.5084135	0.2977261	0.1859522	0.7219471	0.5248261	0.7374142	0.2886011	0.4334246	0.1786947	0.7606041
450	0.6055243	0.0025304	0.0134820	0.4187295	0.2727014	0.0434005	0.6104454	0.0397869	0.6595649	0.2550756	0.2761840	0.6475349	0.3928416	0.6456134	0.2771628	0.7647749	0.5388064	0.6230116	0.7135079	0.7520184	0.1179607	0.1607634	0.6346422	0.1879584	0.3379503	0.1196504	0.6918895	0.2566532	0.0212315	0.0959840	0.4516359	0.6073641	0.3800680	0.2535551	0.3234694	0.2644788	0.6939694	0.1243334	0.6687493	0.7209664	0.5168449	0.5976964	0.6832045	0.1666620	0.5968562	0.6088144	0.0203511	0.1885248	0.1899608	0.0342784	0.0338808	0.2675757	0.0109188	0.4154153	0.3086928	0.7768900	0.2446952	0.8523277	0.5123455	0.0826490	0.5459785	0.4604933	0.0346760	0.0469819	0.4982916	0.4463624	0.6200277	0.2020155	0.0105246	0.6949174	0.4977184	0.0829343	0.4352770	0.2650581	0.5432688	0.4212047	0.4337838	0.0001101	0.7127726	0.4338609	0.4953643	0.2300640	0.2372187	0.6363340	0.6700196	0.7838946	0.3498833	0.5531496	0.1243784	0.7896659
500	0.5731397	0.0011370	0.0038546	0.3239524	0.1802764	0.0539480	0.7865429	0.0576488	0.7405271	0.3102213	0.1338832	0.7542303	0.5725861	0.6677391	0.2231567	0.7415481	0.7704167	0.7299701	0.5997863	0.7024502	0.0718987	0.2085303	0.6608245	0.2054418	0.3366467	0.1842720	0.9112808	0.1817102	0.0349219	0.0868290	0.4480678	0.6758576	0.3206616	0.1798821	0.4129226	0.2396828	0.6491479	0.1923823	0.7678075	0.6914454	0.5049700	0.5078543	0.6542173	0.2425046	0.4983262	0.5020485	0.0109417	0.1807704	0.1644390	0.0223950	0.0689307	0.2333584	0.0110982	0.4016846	0.2544782	0.5598237	0.2541737	0.6038978	0.5846302	0.0484335	0.5031792	0.4894213	0.0549033	0.0329259	0.4773319	0.4276409	0.7656313	0.2075567	0.0111946	0.6040752	0.5600756	0.1468816	0.5272974	0.2824094	0.5058990	0.5282344	0.3575611	0.0001853	0.5677883	0.5243679	0.5051173	0.2619457	0.2481187	0.5891735	0.5710464	0.6838576	0.3985513	0.5289361	0.1988461	0.6542333
550	0.4750774	0.0845782	0.0106522	0.3377189	0.2645570	0.1519784	0.7208238	0.0216581	0.5442133	0.2026529	0.6047612	0.7006411	0.5406739	0.3658511	0.1771488	0.6067869	0.7546317	0.6643023	0.6848194	0.7358574	0.2647736	0.2774829	0.6682547	0.1413163	0.4246773	0.4933585	0.8726537	0.1808610	0.6139481	0.1300026	0.4460664	0.6249561	0.1452707	0.3758604	0.3573570	0.1019643	0.5490078	0.1901084	0.3683624	0.6798030	0.4063316	0.6837795	0.7404685	0.3098052	0.5608235	0.4798355	0.0181781	0.4828564	0.2618031	0.0784153	0.3602471	0.4648473	0.0196448	0.5223836	0.1406928	0.7275772	0.0816794	0.6055814	0.7411830	0.1158387	0.4634837	0.5200351	0.0468559	0.2496783	0.4878690	0.4438759	0.6250905	0.1407457	0.0456894	0.6638731	0.4287932	0.1042534	0.4784647	0.2470022	0.5153964	0.4021552	0.2736856	0.0000000	0.8570967	0.2824744	0.5332431	0.3234622	0.3130332	0.8025361	0.4333689	0.7096762	0.3822963	0.3450193	0.1326222	0.7248049
600	0.2770115	0.0942491	0.0386220	0.2919087	0.2872010	0.2853607	0.8475516	0.0532321	0.7951358	0.2590873	0.6818117	0.6806889	0.4889504	0.2589313	0.1593119	0.5982420	0.7206999	0.7132280	0.6512035	0.7286292	0.3131851	0.3715687	0.4989189	0.1845440	0.6023796	0.6501252	0.7474157	0.2478456	0.6822711	0.1135830	0.4783778	0.7022548	0.0745235	0.5584319	0.3955353	0.1365415	0.3777279	0.2573313	0.5176240	0.7086363	0.5309707	0.3174237	0.7020025	0.3844305	0.4885833	0.4528747	0.0626453	0.6367143	0.4546800	0.1519266	0.4585505	0.6882844	0.0406567	0.3318399	0.0829897	0.6625327	0.0626248	0.1500405	0.7967441	0.2037755	0.4343668	0.5444468	0.0782228	0.4653056	0.4885153	0.2714487	0.3222087	0.0349048	0.0327743	0.6176737	0.3005649	0.1329557	0.6047876	0.3667100	0.6193566	0.3395956	0.4157333	0.0001909	0.6886574	0.3212047	0.4889845	0.2094489	0.2329096	0.5980755	0.4320289	0.7123747	0.4799872	0.3681491	0.1066514	0.8290041
650	0.3250947	0.1162385	0.0547600	0.1249550	0.3467816	0.2609337	0.7817121	0.0984232	0.8012741	0.3114180	0.7001527	0.7318306	0.3630329	0.3273763	0.1656227	0.7488830	0.6474015	0.7422347	0.6736157	0.7196272	0.5359172	0.3134025	0.6716014	0.3249457	0.6483086	0.6976753	0.5567731	0.3586867	0.7155884	0.1211182	0.3594351	0.6145744	0.0849666	0.5744221	0.3815115	0.0547676	0.3127031	0.2175078	0.7063824	0.7050610	0.7085663	0.3935783	0.7029461	0.5434434	0.4700224	0.2633770	0.1321026	0.6464658	0.4165682	0.0452787	0.5735630	0.8396296	0.0276396	0.2591049	0.0633181	0.6135228	0.0343015	0.0767333	0.6020357	0.1627545	0.4220453	0.5907512	0.0361243	0.5636192	0.4682544	0.3199706	0.4348719	0.0654029	0.1093474	0.7782463	0.2461004	0.1313457	0.4501749	0.1246243	0.5783174	0.3322399	0.3914716	0.0000000	0.8245910	0.3592385	0.4227429	0.1974496	0.2232626	0.7276196	0.3765985	0.7333091	0.4286722	0.4748076	0.0860294	0.6579013
700	0.3988426	0.1100957	0.0666568	0.0700475	0.3486075	0.3781529	0.7578534	0.1402418	0.7758539	0.2392897	0.6536638	0.7231937	0.3364373	0.1984488	0.0926831	0.6444395	0.8101441	0.6259103	0.7777927	0.7577562	0.5639910	0.1953170	0.7367748	0.3510426	0.5690191	0.6057128	0.4672261	0.3722608	0.6787415	0.1748934	0.2990234	0.5667896	0.1303113	0.5792744	0.5946109	0.1747811	0.2783474	0.3155327	0.5169053	0.7129245	0.5648317	0.4961285	0.6570181	0.4809415	0.3175162	0.2477810	0.0799105	0.7057077	0.3858405	0.0253627	0.6212669	0.6100097	0.0153099	0.4284045	0.0139172	0.5904235	0.0406133	0.0766539	0.6028855	0.1229818	0.3600439	0.5249724	0.0332913	0.6238184	0.3859862	0.1851083	0.5036768	0.0975565	0.1940247	0.6309347	0.1352402	0.2209945	0.3193537	0.0525776	0.5598981	0.3612090	0.3688749	0.0004388	0.7426246	0.2729366	0.5463358	0.1552291	0.1305775	0.7274177	0.4181802	0.6708613	0.4265312	0.3819923	0.1051472	0.7966012
