"Time"	G1	G3	G8	G4	G7	G83	G6	G89	G85	G5	G88	G54	G87	G86	G30	G29	G35	G99	G100	G32	G19	G18	G20	G81	G22	G23	G80	G82	G58	G51

0	0.0336969	0.0211558	0.6271638	0.0668804	0.6263922	0.6855066	0.2691331	0.2178290	0.5560708	0.3801844	0.3840979	0.3891248	0.1401361	0.0834855	0.6445787	0.3136504	0.0486770	0.5240130	0.4919132	0.5933455	0.4775703	0.6188500	0.6081340	0.1557148	0.7517167	0.7735457	0.3233055	0.0115327	0.6849223	0.2372035
50	0.0048733	0.0280188	0.5804032	0.3463042	0.4985026	0.4564255	0.0381332	0.1708932	0.3538768	0.4209226	0.4679025	0.4719337	0.0831332	0.0768740	0.5294495	0.2643389	0.0109978	0.5538260	0.5306457	0.1912102	0.5703419	0.5620238	0.5705783	0.2465101	0.6794611	0.7140186	0.1251228	0.0017762	0.7163033	0.2805072
100	0.0011117	0.0472777	0.6146554	0.4792491	0.6687593	0.3954809	0.1758362	0.2811887	0.2886712	0.4508104	0.5207911	0.4129523	0.0126964	0.0562752	0.6132026	0.2632066	0.0061469	0.6237595	0.5157947	0.1497006	0.4736515	0.7019427	0.4672643	0.2269557	0.7004456	0.7315822	0.0255877	0.0040119	0.6190279	0.3305162
150	0.0016908	0.0396782	0.6016014	0.5533940	0.6108569	0.3299018	0.2222082	0.4130959	0.1934593	0.5049856	0.4588384	0.5254250	0.0066504	0.0911135	0.6447705	0.2481313	0.0023942	0.6652725	0.3929562	0.1607569	0.4159704	0.7158339	0.4885968	0.2360091	0.7607094	0.8083848	0.0049203	0.0202394	0.7025104	0.4988001
200	0.0090309	0.0261308	0.6833534	0.5004920	0.6070773	0.4077914	0.2148006	0.3613417	0.3119065	0.4607382	0.4545658	0.5627370	0.0204316	0.0582983	0.6015305	0.1966203	0.0001835	0.6693057	0.4178526	0.1590597	0.4932875	0.7107358	0.4525454	0.3299393	0.7655439	0.8074772	0.0053258	0.0432894	0.6201789	0.5080089
250	0.0048347	0.0457756	0.7271507	0.5031423	0.6454499	0.2845069	0.2056464	0.3840578	0.3321832	0.4707251	0.3583674	0.7341091	0.0396291	0.0480415	0.5868594	0.1327264	0.0004095	0.7159480	0.3229068	0.1450844	0.5281901	0.6451235	0.5128202	0.3622498	0.5896213	0.7882051	0.0052629	0.0091367	0.7115245	0.5812352
300	0.0109291	0.0186014	0.5534129	0.6415740	0.4819088	0.3381877	0.1964450	0.5822068	0.2946680	0.5078563	0.3122543	0.6316885	0.0342021	0.0443487	0.7451184	0.1630873	0.0010028	0.7217843	0.3102034	0.2237459	0.5406443	0.7000374	0.5904440	0.4433547	0.7190938	0.8034435	0.0015936	0.0035628	0.7134681	0.6343288
350	0.0048268	0.0328046	0.7839205	0.6417395	0.4476654	0.3191204	0.1948087	0.6125472	0.3203632	0.4855390	0.3774602	0.6124608	0.0257157	0.0214842	0.7016638	0.1322892	0.0004869	0.7641180	0.2945182	0.1625857	0.5218398	0.6706310	0.5503497	0.4667183	0.7740170	0.6643682	0.0010290	0.0042784	0.6599182	0.6902629
400	0.0019571	0.0354264	0.6936585	0.5506276	0.6250377	0.2716236	0.1489628	0.6071892	0.3176439	0.6131542	0.3407911	0.6589558	0.0068526	0.0350479	0.6548851	0.0923486	0.0008457	0.6202032	0.3139022	0.1279249	0.5525989	0.6445560	0.4937848	0.4563491	0.7757914	0.6586583	0.0014032	0.0137853	0.6908021	0.5664148
