"Time"	G1	G3	G7	G8	G5	G22	G4	G83	G6	G88	G85	G89	G54	G86	G87	G30	G29	G35	G99	G100	G32	G19	G18	G20	G81	G23	G82	G80	G58	G31	G50	G51	G78	G94	G95	G93	G91	G90	G2	G69

0	0.3293278	0.4850968	0.7255158	0.5174018	0.0355317	0.6910436	0.2790912	0.6053759	0.4597219	0.7301414	0.6363516	0.3015714	0.0159059	0.6178291	0.5323406	0.2064859	0.4700352	0.3127646	0.0385104	0.6952706	0.6369209	0.5378984	0.7766189	0.7403698	0.1945871	0.7545832	0.0691783	0.0924320	0.7370508	0.0193542	0.1390637	0.0095505	0.5044909	0.3275396	0.7649412	0.6057537	0.2648518	0.7496578	0.3919046	0.7156230
50	0.4056333	0.6536690	0.5029711	0.5514300	0.0430164	0.6965511	0.2158798	0.6468242	0.4456602	0.7055895	0.5191524	0.4018541	0.0195314	0.5051480	0.3919042	0.1875301	0.3979024	0.1967402	0.3489736	0.9199028	0.6747446	0.5344132	0.4486921	0.7361472	0.2378465	0.6191115	0.0938338	0.1121103	0.6589927	0.0336176	0.0934318	0.0018303	0.4902182	0.2548848	0.7583179	0.4638052	0.2263587	0.7364110	0.6785992	0.7259349
100	0.4336617	0.5336869	0.5654314	0.5457158	0.0499637	0.6554212	0.2592140	0.8012668	0.5757576	0.7133252	0.5065399	0.3623170	0.0098587	0.6726447	0.4476241	0.2605632	0.4198179	0.1748255	0.5155500	0.7298492	0.6381788	0.6222568	0.4085106	0.6635013	0.2594541	0.6334681	0.0997565	0.1663270	0.6778517	0.0265654	0.0821913	0.0087280	0.3830764	0.2572013	0.8034108	0.5160099	0.2796224	0.8356090	0.6073983	0.7079778
150	0.4238002	0.6391544	0.5376589	0.5437997	0.0500744	0.5298572	0.3307963	0.8198329	0.5048382	0.6696310	0.5761911	0.3996291	0.0123146	0.5489190	0.4867264	0.2197915	0.4287607	0.1975052	0.5765851	0.6624955	0.4396659	0.5726080	0.4273707	0.6179775	0.2915144	0.6819863	0.1132811	0.1464366	0.7154957	0.0156319	0.0660308	0.0037039	0.4074038	0.3486575	0.7432501	0.6087382	0.2697975	0.7521894	0.4561081	0.7258882
200	0.4964906	0.7333092	0.6753758	0.4923436	0.0361366	0.5821856	0.3059939	0.7700890	0.3900025	0.7215793	0.5918519	0.4986118	0.0094061	0.5053959	0.4740577	0.2118143	0.3837669	0.3534899	0.6510598	0.6280677	0.5442815	0.5344133	0.3791017	0.7219760	0.1908340	0.6801116	0.0657352	0.0786108	0.7665328	0.0294979	0.0522410	0.0008678	0.3573113	0.2844363	0.7870215	0.6602069	0.2507368	0.6487762	0.4734971	0.9237696
250	0.4426343	0.6175464	0.5223951	0.5427130	0.0511884	0.6588168	0.2542094	0.7345474	0.4475169	0.6747507	0.5295009	0.3832090	0.0061722	0.6070737	0.5283082	0.1860484	0.3950655	0.5317595	0.6024093	0.8606329	0.5602590	0.5446010	0.4332243	0.6590700	0.2841086	0.7541691	0.0938255	0.1143989	0.8122233	0.0279126	0.0544595	0.0004583	0.4931289	0.2490673	0.6709210	0.4779152	0.2369335	0.6324591	0.5163798	0.7089642
300	0.3328100	0.7575103	0.5908678	0.3832584	0.0304916	0.7784069	0.3293070	0.7141353	0.4129602	0.8658468	0.5705416	0.3793162	0.0195176	0.5470003	0.6976927	0.2550428	0.3470409	0.6237640	0.6393915	0.6518226	0.4533988	0.5641340	0.4808059	0.7211861	0.2297896	0.7686625	0.0602635	0.0757144	0.7776363	0.0227922	0.1129581	0.0004153	0.5014720	0.3416924	0.6375402	0.5203377	0.2166811	0.5909781	0.5471860	0.8075554
350	0.3834222	0.6701868	0.5051256	0.3682003	0.0361728	0.7053371	0.3630274	0.6307490	0.4982235	0.8159725	0.5545532	0.3519923	0.0184329	0.5784930	0.6012250	0.2728614	0.3755301	0.6089587	0.6642806	0.7416273	0.5181209	0.5379315	0.4234292	0.6189550	0.2771756	0.7785051	0.1245200	0.1068280	0.6952328	0.0540542	0.0743305	0.0022944	0.5140174	0.3062143	0.6888790	0.6281583	0.2625020	0.6628458	0.7193505	0.5852558
400	0.3345318	0.6780331	0.4809068	0.5440704	0.0423554	0.6457241	0.3370205	0.7460593	0.3874109	0.7457067	0.4991370	0.3276248	0.0094258	0.4707195	0.4177701	0.3157489	0.3942209	0.4102332	0.6282634	0.6812579	0.5440732	0.5588286	0.4390104	0.6220864	0.2420677	0.8253637	0.1390563	0.1036975	0.7019774	0.0282666	0.1059436	0.0083341	0.5163958	0.2605411	0.7393655	0.6267475	0.1920946	0.6987601	0.6816354	0.7120303
450	0.5060600	0.6840847	0.5947060	0.6967333	0.0354643	0.8229419	0.3528469	0.6671358	0.4359882	0.6178594	0.5653126	0.4149034	0.0201951	0.5435789	0.4694261	0.2656342	0.4057468	0.5624935	0.7104280	0.6535186	0.5918309	0.5072327	0.3970574	0.8788482	0.2229460	0.7493415	0.1163477	0.0790818	0.6244254	0.0239962	0.0260979	0.0226568	0.4582270	0.2326152	0.6509181	0.5318785	0.3545073	0.7493082	0.6038252	0.8442006
500	0.6065889	0.6385356	0.5271159	0.5763430	0.0162103	0.5878080	0.3413844	0.6987698	0.3961867	0.7449122	0.4175992	0.3568879	0.0476812	0.5552956	0.5850286	0.2014796	0.4529110	0.6303285	0.6370718	0.7345320	0.5133733	0.5268640	0.4520769	0.7038775	0.1633376	0.5169238	0.1569869	0.1341968	0.8267606	0.0265599	0.0650261	0.0035425	0.4550256	0.3644850	0.6479246	0.5826368	0.2672601	0.6823718	0.5529328	0.7615843
