"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100

0	0.5928855	0.0571847	0.4022989	0.5048058	0.2421596	0.5111273	0.4408469	0.1039729	0.6423374	0.2758619	0.6845729	0.5764662	0.4995440	0.3580204	0.6485601	0.1316807	0.3781275	0.3878483	0.1794292	0.7371090	0.2116588	0.0159115	0.6650059	0.3952172	0.0164203	0.0571285	0.1351692	0.7110515	0.4811058	0.7291779	0.5458822	0.6756106	0.1089825	0.6738557	0.5720420	0.3269359	0.3861874	0.4810576	0.5526316	0.2669994	0.0182334	0.2420567	0.2544397	0.6550572	0.5933371	0.0060515	0.0563284	0.4697475	0.4076270	0.4844950	0.2623140	0.5906288	0.1549713	0.5366848	0.5816667	0.1077530	0.4554078	0.5437396	0.5673862	0.5876212	0.5682783	0.7212000	0.2689679	0.3433605	0.2587414	0.6158234	0.3271189	0.2451815	0.6975092	0.1575428	0.1561335	0.1344565	0.1335209	0.4188367	0.4196958	0.1142240	0.0204472	0.4656281	0.5019713	0.2308487	0.3478968	0.2833579	0.5724166	0.1288915	0.3170114	0.7338592	0.2442525	0.5348653	0.4474183	0.5405186	0.4654118	0.3944819	0.5992569	0.6726101	0.5971112	0.6823096	0.2923444	0.7246788	0.6606015	0.7320750
50	0.6471671	0.1104529	0.1062554	0.4717394	0.2879132	0.4301073	0.5167971	0.3280370	0.6557065	0.1588913	0.3204387	0.5231046	0.5176552	0.0910715	0.5977289	0.0477067	0.5679737	0.6314998	0.1342094	0.6701623	0.1990277	0.0202309	0.4793402	0.3598350	0.0210208	0.0429911	0.1724408	0.4449417	0.5115068	0.7080352	0.6496693	0.5886546	0.1142049	0.7051933	0.5106217	0.4116766	0.3915647	0.4809388	0.2281446	0.0520375	0.0064311	0.1483299	0.2470106	0.6074865	0.7042200	0.0033161	0.1088334	0.3027129	0.3273936	0.5642999	0.2777335	0.6065434	0.1034404	0.4798817	0.5547449	0.1017334	0.3588337	0.6279873	0.5646174	0.4978856	0.6172647	0.7656905	0.3530789	0.0596446	0.1661176	0.4985720	0.3015343	0.2349927	0.5507560	0.1675559	0.1685042	0.2370167	0.0809869	0.3170890	0.1967050	0.1215370	0.0519890	0.4605484	0.4508041	0.2428492	0.3622752	0.2823631	0.4576413	0.1425348	0.0825473	0.3744752	0.0887002	0.6325675	0.5662748	0.6592873	0.2923018	0.5336871	0.5352872	0.5776226	0.7890631	0.6244302	0.2184727	0.7131559	0.6244370	0.3800044
100	0.6596855	0.1021928	0.0647529	0.4540060	0.3115102	0.5306406	0.4689312	0.5291987	0.6684815	0.2006094	0.2558265	0.6028544	0.5118948	0.0370150	0.6130765	0.0286242	0.6135804	0.6303643	0.2116027	0.6904435	0.2766761	0.0293884	0.4442720	0.2906279	0.0156826	0.0597096	0.1032882	0.4561814	0.4278862	0.6291836	0.5647548	0.6443661	0.1644688	0.7412220	0.5067770	0.2912935	0.4845924	0.4991353	0.2083773	0.0155217	0.0166737	0.3039583	0.2995209	0.5516959	0.6755726	0.0086940	0.1170048	0.2880952	0.2592809	0.4493523	0.3092828	0.6281076	0.1193272	0.5357373	0.5177564	0.1030534	0.5405809	0.8000512	0.6133088	0.4562292	0.5970937	0.7031007	0.3286039	0.0348093	0.0871510	0.4688313	0.3003028	0.2195630	0.6024742	0.1526248	0.1399212	0.1555798	0.1510476	0.3309436	0.1610520	0.1082140	0.0776983	0.5319264	0.5661068	0.2095217	0.3722465	0.3153830	0.5522820	0.2045528	0.0494666	0.3362248	0.0652779	0.8509279	0.4595248	0.5145469	0.3764506	0.4119840	0.5102652	0.5812315	0.5221287	0.5479542	0.2849927	0.7224754	0.6323819	0.1448035
150	0.6613229	0.0592683	0.0151600	0.5899730	0.2943978	0.7392065	0.4860436	0.5827374	0.6064491	0.1514954	0.2346756	0.6196434	0.6610812	0.0295542	0.6252994	0.0175323	0.6552879	0.6096839	0.1482626	0.6616285	0.2930024	0.0178477	0.3821544	0.2644226	0.0211534	0.0267807	0.0856623	0.3483193	0.4366505	0.6978375	0.5584478	0.7029410	0.0800718	0.7310059	0.5734243	0.3157570	0.3632414	0.5396822	0.1965038	0.0074556	0.0136116	0.1957713	0.1891856	0.7560537	0.7281806	0.0107433	0.0992077	0.2299035	0.2308871	0.4688686	0.3091479	0.6347314	0.0900131	0.5134552	0.5337570	0.1260713	0.4338839	0.5683348	0.7569084	0.4667757	0.4723728	0.6787247	0.3312921	0.0391956	0.1113688	0.5201565	0.2951531	0.2432363	0.6252890	0.1438013	0.1611552	0.2233185	0.0737226	0.3357793	0.1447161	0.1472598	0.0816140	0.4172906	0.4625659	0.1814381	0.4433512	0.3165879	0.3925409	0.2168763	0.0147384	0.4220430	0.0479333	0.6501251	0.4926805	0.5304555	0.4763197	0.3192699	0.4891992	0.7894387	0.5598880	0.5022924	0.2052229	0.6235174	0.6459381	0.1368364
200	0.6968639	0.0764973	0.0247397	0.4593174	0.2375592	0.7394283	0.5923532	0.6993713	0.5848893	0.1381290	0.1678902	0.5910121	0.5554575	0.0391030	0.6649597	0.0020586	0.5060006	0.5895357	0.2114759	0.7487282	0.2786364	0.0320902	0.3949566	0.3275403	0.0096858	0.0204192	0.1188729	0.4297769	0.3680854	0.6523786	0.6750675	0.6542716	0.0953032	0.6374723	0.5259305	0.2283559	0.4889764	0.5016443	0.2131276	0.0013857	0.0132134	0.2315960	0.2581447	0.6660752	0.6270961	0.0172941	0.1352542	0.2803706	0.2031856	0.4124247	0.3389964	0.6028643	0.0576479	0.5546385	0.7157996	0.0752235	0.3985774	0.6483928	0.6182701	0.5602352	0.5194666	0.6468688	0.3656061	0.0692973	0.0964766	0.3342532	0.2488736	0.2639919	0.6752016	0.1689002	0.1579018	0.1823902	0.1353559	0.1819131	0.2070105	0.1678722	0.0831495	0.5228301	0.5362326	0.1717493	0.3099729	0.3326889	0.5222825	0.1463855	0.0170362	0.3437451	0.0440540	0.6420335	0.4744655	0.5578952	0.3616199	0.3540865	0.3603080	0.7564263	0.6475583	0.5469823	0.2838487	0.6960456	0.6984219	0.0789828
250	0.7352827	0.1170597	0.0406461	0.4475500	0.2471094	0.6714978	0.7512991	0.4921937	0.5837944	0.2767383	0.0986380	0.6921044	0.5273676	0.0186398	0.6852149	0.0029131	0.5864355	0.7205975	0.2586224	0.6287856	0.2936939	0.0304083	0.3552879	0.3110442	0.0155884	0.0392349	0.0823317	0.2872612	0.4163282	0.7486084	0.5967614	0.7774963	0.1106756	0.8114173	0.5765878	0.3510746	0.4664119	0.4968759	0.1379037	0.0021754	0.0074440	0.2268246	0.2925924	0.7052751	0.5679074	0.0195960	0.1865405	0.2702052	0.2273652	0.5792705	0.2884055	0.6473848	0.0455339	0.4131641	0.6082091	0.1493791	0.3391645	0.6336194	0.7976437	0.4330974	0.5371248	0.6582583	0.3349620	0.0410615	0.1433806	0.3665396	0.2751168	0.2885014	0.6703114	0.1940508	0.2435048	0.3397397	0.0927192	0.3744197	0.1799955	0.2124494	0.0392171	0.4674876	0.4924269	0.1732276	0.3895266	0.3087751	0.4638835	0.1697822	0.0051224	0.5617699	0.0274100	0.6861813	0.4290193	0.6927529	0.3107747	0.4113027	0.5137666	0.6522732	0.7114810	0.5324810	0.2902030	0.7528081	0.7198559	0.1099586
300	0.6712199	0.0836883	0.0348833	0.3094307	0.2253611	0.7319950	0.4955704	0.5212865	0.5775639	0.2023699	0.1795891	0.6357896	0.4672717	0.0705654	0.7011345	0.0064037	0.5827127	0.5667149	0.1818387	0.6200651	0.2248806	0.0312096	0.3641121	0.2840152	0.0256419	0.0379704	0.0618657	0.3408114	0.3360439	0.7454117	0.6155067	0.5670909	0.0540742	0.8034383	0.5108707	0.2646389	0.5118056	0.5468178	0.1613296	0.0000000	0.0123716	0.2024499	0.2627126	0.7030375	0.6995379	0.0079175	0.1324540	0.1784010	0.1903290	0.5667269	0.3200253	0.7377653	0.0472487	0.4997722	0.5345229	0.1413550	0.3644062	0.6882602	0.7571786	0.5479821	0.6530362	0.6224761	0.3965866	0.0756799	0.1383910	0.4058934	0.4506151	0.2902012	0.6840707	0.1350741	0.2414799	0.2666111	0.1835662	0.2201388	0.1578145	0.2388508	0.0467883	0.3771641	0.5323082	0.2320408	0.3490294	0.3690575	0.4955843	0.2065621	0.0041702	0.3736043	0.0725433	0.7355540	0.4992248	0.5530853	0.3661926	0.4092028	0.5094847	0.7142942	0.7343620	0.4995217	0.2577451	0.7367948	0.8754441	0.2025357
350	0.5947647	0.0585081	0.0203859	0.2788726	0.3492152	0.6641800	0.6028222	0.5242960	0.5733438	0.1948962	0.1741920	0.6534290	0.5365440	0.0652896	0.6453112	0.0066638	0.6065201	0.6388947	0.2593549	0.6896642	0.2539822	0.0228116	0.4554835	0.3069313	0.0087590	0.0298982	0.0495244	0.3118184	0.2970727	0.7338797	0.5534646	0.6909479	0.0875539	0.5432484	0.5116815	0.3881905	0.4315218	0.3842180	0.1534080	0.0021160	0.0088674	0.2881189	0.2466692	0.7115787	0.7248386	0.0222063	0.0925576	0.2463181	0.2555647	0.5598432	0.3257443	0.8506482	0.0532729	0.4420298	0.6617953	0.1597500	0.4062971	0.6713118	0.7065426	0.5311251	0.5578802	0.7266792	0.3599830	0.0724449	0.1758216	0.3333169	0.3662624	0.3232220	0.6860898	0.2237869	0.2408737	0.2990114	0.2682558	0.2269402	0.1094954	0.2564054	0.0384334	0.4532324	0.6840641	0.1630554	0.3095456	0.3560864	0.5431730	0.1521179	0.0243597	0.3790889	0.0872986	0.6393536	0.4328559	0.6463459	0.3798743	0.4038762	0.4866512	0.7480843	0.6419798	0.4961328	0.3370816	0.7815846	0.6356976	0.1030576
400	0.6616653	0.0651111	0.0196239	0.3156727	0.2620336	0.5956832	0.6182030	0.4125744	0.6687935	0.1672865	0.1600042	0.6343565	0.3902788	0.0174335	0.6264898	0.0072469	0.4291934	0.6012937	0.2810407	0.5103067	0.2561758	0.0124659	0.4641006	0.1916385	0.0139813	0.0497354	0.0778438	0.3860530	0.2803610	0.6366000	0.4512632	0.5546400	0.0854882	0.5234970	0.6662714	0.3499646	0.4840969	0.5744143	0.1132779	0.0000000	0.0163037	0.1943893	0.2942506	0.7163391	0.8306426	0.0122180	0.1092086	0.2543662	0.1845284	0.5027894	0.2589218	0.6025001	0.0874682	0.5218985	0.5875086	0.1257769	0.3194726	0.6920753	0.7091921	0.5321719	0.4986126	0.6823916	0.4190537	0.0255522	0.1245528	0.2654765	0.3632441	0.3432233	0.6882019	0.2499469	0.2816068	0.3736419	0.2698605	0.3187727	0.0892263	0.3129982	0.0436798	0.5282240	0.6273123	0.2184561	0.2496191	0.3188506	0.4660598	0.1127080	0.0092920	0.3332626	0.0263609	0.6022318	0.4590061	0.6849952	0.3694693	0.3402436	0.4317213	0.7440217	0.6162049	0.4921283	0.3164112	0.5680957	0.6519132	0.1172381
