"Time"	G1	G2	G20	G10	G16	G4	G17	G8	G11	G56	G3	G5	G19	G12	G13	G14	G15	G50	G41	G52	G53	G51	G21	G22	G55	G42	G54	G40	G44	G39	G35	G49	G45	G48	G61	G9	G47	G43	G79	G57	G60	G89	G80	G84	G81	G82	G83	G88	G86	G78	G77	G75	G91	G90	G85	G58	G59	G99	G92	G93

0	0.6734493	0.0101830	0.4682243	0.3397185	0.0851688	0.5168615	0.1967874	0.0713460	0.1171073	0.5648759	0.0549159	0.2640016	0.8196091	0.0096983	0.2853613	0.0443009	0.5836958	0.6143551	0.5217012	0.6402911	0.0293214	0.2898273	0.4069038	0.1919378	0.1695876	0.5173991	0.5171549	0.5675466	0.1356412	0.2850442	0.5654687	0.0621100	0.3058416	0.6230119	0.3290149	0.0828078	0.3819614	0.0176282	0.6397140	0.0116135	0.2566669	0.0891776	0.0016017	0.3108514	0.4258495	0.5153396	0.0409643	0.1674599	0.6535900	0.4007856	0.0699875	0.7612957	0.0268547	0.4861266	0.7301630	0.6142585	0.5332839	0.8243524	0.4593776	0.0146729
50	0.7410008	0.0003846	0.4138693	0.3862239	0.1776749	0.6141890	0.1344497	0.0670940	0.0920864	0.6296969	0.0362089	0.2517806	0.8094410	0.0169676	0.2342279	0.0233212	0.5371376	0.8010676	0.4401679	0.7174326	0.0237127	0.4739486	0.6107648	0.2493889	0.1720135	0.3944716	0.5587444	0.5101979	0.1542017	0.2923296	0.5955110	0.1472320	0.2446941	0.5963869	0.2289841	0.1246914	0.4261618	0.0287880	0.7496727	0.1073261	0.5015541	0.0637058	0.0048475	0.4203630	0.4034040	0.4946020	0.0816044	0.4110832	0.7654794	0.1397918	0.1910290	0.6550365	0.0176342	0.3012294	0.6623126	0.6640735	0.5559542	0.6920337	0.3707347	0.4987862
100	0.7155313	0.0017278	0.5522284	0.3491345	0.0512239	0.7681370	0.1641070	0.0436443	0.0993229	0.5704230	0.0604736	0.2901031	0.7166607	0.0430976	0.3866094	0.0265401	0.5261704	0.6711991	0.3800134	0.6976245	0.0174526	0.3653318	0.6054642	0.2643659	0.2569375	0.5095803	0.4670490	0.4653997	0.1886541	0.3412222	0.7079996	0.1914287	0.2520836	0.6289163	0.2563175	0.0939105	0.4220101	0.0386721	0.6547996	0.1032505	0.5171010	0.0923239	0.0018424	0.3239550	0.3885723	0.4498279	0.1266512	0.3705057	0.8265907	0.0384090	0.2619304	0.8208510	0.0096947	0.2904193	0.5660465	0.9253172	0.4840874	0.6118706	0.4720326	0.5209117
150	0.5950574	0.0003337	0.4727719	0.3281726	0.0425417	0.6891922	0.1291163	0.0697151	0.1457466	0.6367065	0.0202967	0.2372967	0.7200468	0.0355543	0.2509749	0.0355120	0.5495814	0.6518468	0.3584114	0.7524308	0.0076865	0.3582593	0.5849968	0.3349696	0.1344799	0.4708570	0.4974393	0.4939775	0.0932793	0.3184319	0.7910933	0.1897324	0.2713359	0.6289700	0.3190508	0.0665894	0.4268559	0.0607122	0.7620506	0.2544540	0.5741468	0.0809712	0.0005798	0.4720688	0.3371484	0.4548567	0.0945764	0.5261438	0.7352845	0.0299521	0.2598351	0.5726651	0.0249622	0.3429572	0.6277396	0.6811333	0.6358349	0.6248829	0.4205784	0.5485510
200	0.6050149	0.0024689	0.5186827	0.2590696	0.0535749	0.7697532	0.1409795	0.0811197	0.1115510	0.5277916	0.0732974	0.2615179	0.6268684	0.0176842	0.3817853	0.0329654	0.5110934	0.6515750	0.3455128	0.7755854	0.0074573	0.3747153	0.5817264	0.4268217	0.1386715	0.3891071	0.5645898	0.6665005	0.1096904	0.2831580	0.7159789	0.1851559	0.1563432	0.6362612	0.3768420	0.0655930	0.3193405	0.0162756	0.6303510	0.2025706	0.4126368	0.0446325	0.0000588	0.3820059	0.3942399	0.4235482	0.1405731	0.4539137	0.7470918	0.0144335	0.2935705	0.7613197	0.0331709	0.2595721	0.7052863	0.6620565	0.7233658	0.6826505	0.4534316	0.5471176
250	0.5873373	0.0005986	0.5369048	0.3282071	0.0858959	0.6334572	0.1202475	0.0833213	0.1617062	0.4796721	0.0632875	0.2682485	0.7087286	0.0535383	0.3542559	0.0178418	0.5788904	0.6130615	0.3174847	0.7028583	0.0172466	0.4532636	0.6264363	0.4261505	0.1436285	0.4392046	0.4976151	0.5964907	0.1229633	0.2651904	0.5628216	0.1384686	0.1829907	0.6346179	0.3090842	0.1014055	0.4127574	0.0354255	0.5353612	0.1918501	0.5973856	0.0413061	0.0003988	0.4393346	0.3225256	0.4305183	0.1051228	0.4335753	0.6856205	0.0146947	0.2728802	0.6421515	0.0153485	0.3230826	0.7006769	0.6154513	0.6764401	0.6576263	0.3943847	0.7341488
300	0.6211134	0.0047513	0.5048317	0.3805212	0.1369371	0.7296823	0.0897839	0.1093446	0.1194187	0.5227121	0.0599442	0.2368714	0.6733550	0.0099431	0.1984747	0.0263384	0.4834103	0.6015990	0.3532743	0.6136337	0.0142978	0.4830005	0.5721671	0.3632092	0.1396479	0.4819329	0.4293605	0.5307383	0.1445735	0.3251459	0.6663939	0.1345861	0.2554391	0.7111978	0.3374924	0.0909364	0.3736051	0.0748780	0.6423273	0.1807248	0.5309514	0.0609469	0.0002142	0.3598109	0.5062941	0.4250689	0.1001692	0.3585645	0.7188354	0.0240175	0.2607074	0.6920754	0.0032211	0.3147800	0.6852222	0.6625064	0.5383780	0.6319184	0.4191194	0.6008660
350	0.6292362	0.0014666	0.4276012	0.3398558	0.0618441	0.6527427	0.1296357	0.0534103	0.1008391	0.4119372	0.0560504	0.2312729	0.6536853	0.0122999	0.2931616	0.0459532	0.4384118	0.6495232	0.2783952	0.6739408	0.0177856	0.3825213	0.5690501	0.3575227	0.1792200	0.3883407	0.4272232	0.4803462	0.0869864	0.3340254	0.7137677	0.1259715	0.2220614	0.6624259	0.3454730	0.0646122	0.3953333	0.0246090	0.7176306	0.1796751	0.5517416	0.0579225	0.0000155	0.3682688	0.3317618	0.6219165	0.1031570	0.4503345	0.8821028	0.0045781	0.3646593	0.6018209	0.0180314	0.3131866	0.8437305	0.6747660	0.5331842	0.7378825	0.4085266	0.7072834
400	0.5860827	0.0000000	0.5463626	0.3987099	0.0801603	0.6608845	0.1127840	0.1461723	0.1130330	0.5590005	0.0513459	0.1863211	0.6491019	0.0328426	0.3241554	0.0872797	0.4241203	0.6217504	0.2618598	0.9068702	0.0149963	0.4827258	0.5361226	0.4216900	0.2122526	0.3963437	0.5485717	0.5285019	0.1141142	0.3160697	0.6505300	0.1704759	0.1308694	0.7125810	0.1881409	0.0876756	0.2721872	0.0390263	0.8152648	0.1240786	0.6038199	0.0628711	0.0000000	0.3531787	0.3435807	0.6088357	0.1186262	0.4015252	0.7659514	0.0110863	0.2717535	0.6166804	0.0596347	0.3836084	0.7562656	0.7160958	0.6305345	0.7632561	0.3822982	0.6570188
450	0.6949121	0.0012869	0.5562002	0.3722699	0.1099826	0.6933000	0.0662494	0.0485468	0.1759244	0.6239377	0.0456018	0.1727276	0.8243771	0.0471732	0.3550195	0.1484035	0.5490211	0.6366354	0.2712068	0.7062925	0.0194086	0.4425648	0.5682830	0.4864643	0.1734377	0.4283287	0.4187796	0.4298170	0.0498233	0.2928317	0.5790328	0.1518410	0.1212308	0.7300479	0.2535838	0.0821686	0.2469125	0.0150726	0.5538402	0.0813528	0.5820774	0.0748033	0.0009107	0.3295967	0.3804786	0.5516467	0.0961794	0.4138871	0.6646495	0.0058577	0.2712791	0.6665217	0.0172769	0.3488267	0.7702602	0.7928070	0.5977191	0.6085552	0.5152132	0.6328090
