"Time"	G1	G2	G20	G10	G17	G4	G16	G9	G8	G18	G94	G11	G95	G98	G7	G6	G46	G100	G36	G37	G38	G34	G3	G56	G35	G5	G19	G12	G14	G13	G39	G49	G22	G21	G41	G50	G15	G52	G53	G51	G55	G42	G44	G54	G45	G40	G48	G61	G43	G57	G47	G72	G67	G60	G58	G99	G59	G80	G84	G82	G89	G88	G83	G79	G81	G77	G78	G75	G85	G90	G91	G86	G69	G92	G93	G87	G68	G96	G97	G63	G27	G26	G25	G23	G24	G62	G74	G71	G76	G31	G30	G70	G29	G28	G73

0	0.4223445	0.0121798	0.2399384	0.3453751	0.3846459	0.6288182	0.0156521	0.4727331	0.3458699	0.0211023	0.6857107	0.0502412	0.6381159	0.6908877	0.3983100	0.2718742	0.1262854	0.7584972	0.6534105	0.8346238	0.6729095	0.6942318	0.7426883	0.1130027	0.5298422	0.5405531	0.2466694	0.0208357	0.0089307	0.5280887	0.4546245	0.5078309	0.4519655	0.1292855	0.3057050	0.0406077	0.2114251	0.5977793	0.6626092	0.4007308	0.6302017	0.1943937	0.6364634	0.1794789	0.4368261	0.0077279	0.7966445	0.2479879	0.0476941	0.0178527	0.5399033	0.3488031	0.1971083	0.6145302	0.2747898	0.7140286	0.7032361	0.0247252	0.7546808	0.2068418	0.3811363	0.0914443	0.6286632	0.6823183	0.3193839	0.0362863	0.3724443	0.3041418	0.1927205	0.1015129	0.0777820	0.5257110	0.7269241	0.6577869	0.5987825	0.2009567	0.3299236	0.5578605	0.4970686	0.7162977	0.1370373	0.0062936	0.0197967	0.7075706	0.3690042	0.7725648	0.0721312	0.1297993	0.2171925	0.3233769	0.7390603	0.0456984	0.6479172	0.7332892	0.3219347
50	0.6054635	0.0279100	0.4111476	0.5156966	0.3577322	0.7155800	0.0102188	0.5678072	0.3586161	0.0099220	0.6370388	0.0094815	0.6934293	0.7066576	0.3984783	0.1348359	0.0536575	0.5014584	0.6814142	0.7605912	0.7155158	0.6390040	0.7240153	0.1523370	0.6079996	0.5776964	0.1258786	0.0749889	0.0301853	0.5940337	0.4824495	0.4914596	0.4599229	0.1169416	0.3798434	0.0013810	0.0893214	0.6515017	0.6846022	0.5837582	0.6287201	0.1091123	0.5807004	0.1730877	0.5473703	0.0299212	0.6916837	0.4414068	0.4761480	0.0125389	0.4754264	0.1686240	0.2091037	0.6356526	0.3621766	0.4718583	0.6966970	0.0492596	0.7424895	0.2631050	0.5890954	0.0960393	0.4865903	0.6726852	0.4589584	0.0498357	0.2955082	0.3612883	0.1399090	0.0443106	0.0568277	0.5088038	0.8991025	0.6726829	0.5810746	0.1815943	0.5785450	0.6283864	0.4875094	0.6626322	0.1504356	0.0036040	0.0026731	0.6274390	0.4156921	0.8017877	0.1333104	0.5378714	0.2276146	0.0941675	0.7230104	0.0647046	0.7180659	0.4875277	0.2365889
100	0.6534621	0.0139381	0.6293064	0.2944949	0.4330521	0.8696609	0.0271982	0.5168389	0.3554063	0.0800344	0.6002682	0.0009236	0.6435692	0.6790098	0.3943671	0.2802320	0.0924875	0.5092859	0.5838355	0.7264835	0.5778100	0.7179200	0.7238030	0.1487061	0.5251814	0.4842143	0.0495182	0.0551711	0.0417725	0.5599070	0.4882913	0.4567620	0.4462049	0.0822478	0.3765863	0.0000128	0.0970093	0.5987459	0.6546787	0.5067953	0.6212942	0.1189130	0.5354759	0.1674579	0.4435676	0.0811816	0.5888088	0.5408718	0.4631633	0.0237469	0.6173854	0.0869139	0.1252113	0.7163569	0.2204755	0.4790641	0.6692106	0.0579314	0.6029616	0.2336202	0.4919478	0.0647193	0.3731098	0.5988433	0.4259507	0.0640139	0.2961789	0.3390984	0.1637876	0.0266362	0.0564296	0.6113940	0.6351222	0.5703962	0.5752412	0.1596538	0.3795172	0.8353062	0.5495086	0.5986940	0.0983329	0.0102741	0.0025531	0.6116557	0.3980953	0.7254291	0.0600863	0.4428536	0.2101760	0.1659138	0.7000483	0.0500788	0.7610413	0.5148800	0.1632193
150	0.6269112	0.0455613	0.6473402	0.0750381	0.4221004	0.7615552	0.0094966	0.4744873	0.2856642	0.0301993	0.6987074	0.0010858	0.7010616	0.7934756	0.3549425	0.3119977	0.1472543	0.6504846	0.5975782	0.6340930	0.6904026	0.6287476	0.6197297	0.2382379	0.5138691	0.3765506	0.0634138	0.0326214	0.0139833	0.5156685	0.4472107	0.4401194	0.4424435	0.0808650	0.3280636	0.0004252	0.0509927	0.4849169	0.6260387	0.5584656	0.5037040	0.0327007	0.5342069	0.1299693	0.4755580	0.0517177	0.6091682	0.4685985	0.5380735	0.0192842	0.4538814	0.0640248	0.0398962	0.6504026	0.1481408	0.3850059	0.6404128	0.0344917	0.6784565	0.2012020	0.5802251	0.1808688	0.4185722	0.8181742	0.5589530	0.0596154	0.2997068	0.3202056	0.1187200	0.0189661	0.0757379	0.5097920	0.7161876	0.5647406	0.6845594	0.2538863	0.4085200	0.8462504	0.5641885	0.5776150	0.1967287	0.0050652	0.0031900	0.6755183	0.4496971	0.6511408	0.0472234	0.3909152	0.1905085	0.1275947	0.6415297	0.0786772	0.6396291	0.3614356	0.1882771
200	0.7193122	0.0160146	0.5604521	0.0468631	0.4324326	0.7162183	0.0095051	0.4622240	0.2397907	0.0840227	0.7598339	0.0000319	0.6653873	0.7175222	0.4407512	0.3746092	0.1691949	0.6855117	0.6874141	0.7157138	0.8792984	0.6384881	0.8047160	0.2699482	0.5571677	0.2288295	0.0179129	0.0175513	0.0097058	0.4994907	0.3866283	0.5234562	0.4148642	0.0307001	0.2282217	0.0000242	0.0492041	0.5017419	0.5500324	0.5565803	0.5060551	0.0308955	0.5582583	0.1309771	0.4908908	0.0859718	0.5909585	0.5084576	0.4336487	0.0084237	0.4271227	0.1080635	0.0719531	0.7322550	0.1383280	0.4378328	0.6035385	0.0160785	0.7770171	0.2096706	0.5708256	0.1253140	0.5713583	0.8519246	0.6307686	0.0496752	0.4180409	0.2804455	0.1728346	0.0063652	0.0544164	0.5697994	0.6967071	0.6349378	0.5390986	0.2449828	0.3449497	0.6737561	0.5118516	0.5570990	0.1430456	0.0023411	0.0000098	0.7301117	0.3991480	0.7548502	0.0696334	0.5385815	0.2096308	0.1511224	0.7575013	0.0548861	0.6310986	0.4785443	0.1639452
250	0.7231862	0.0035335	0.5780030	0.0755199	0.3813363	0.6724680	0.0071163	0.4565308	0.3108594	0.0520099	0.7872530	0.0000031	0.6486174	0.6699886	0.3167346	0.4657462	0.1497640	0.4822190	0.6669041	0.6759798	0.6026713	0.6492618	0.6492927	0.3768642	0.3763356	0.3211942	0.0370750	0.0301999	0.0283323	0.4915385	0.3849686	0.6442833	0.3809311	0.0150723	0.1715490	0.0002364	0.0602221	0.4639330	0.6019674	0.5328982	0.5502848	0.0273302	0.4916260	0.0882562	0.4191755	0.0510332	0.6984712	0.4217558	0.5615874	0.0347005	0.3470495	0.0667563	0.0728867	0.6705925	0.1241663	0.3925427	0.6398557	0.0219074	0.6688432	0.2434011	0.6094057	0.1030695	0.4726251	0.7414885	0.4393039	0.0441560	0.2597935	0.3844591	0.1381875	0.0290511	0.0499964	0.6531368	0.7243380	0.6971140	0.5766022	0.1735611	0.2793856	0.6632338	0.5459163	0.4883003	0.1817518	0.0077842	0.0001471	0.8119552	0.4707803	0.7275587	0.1061045	0.4041594	0.2392912	0.1719931	0.8164742	0.0390762	0.6928243	0.3868514	0.1154844
300	0.6892722	0.0033245	0.6947081	0.0295561	0.3911747	0.7445690	0.0084910	0.4498769	0.2423243	0.0695496	0.7681405	0.0000030	0.6190850	0.6802240	0.3943645	0.5735247	0.1603771	0.5624099	0.6186840	0.8417180	0.7115952	0.6421637	0.6224240	0.3578323	0.4408143	0.3707920	0.0079797	0.0183142	0.0271763	0.4398598	0.4335943	0.6136717	0.4172486	0.0133481	0.1826330	0.0000295	0.0955326	0.4641668	0.5928118	0.5129550	0.4563751	0.0167693	0.6548623	0.0933170	0.4858947	0.1098200	0.7350498	0.4489318	0.5529734	0.0210406	0.3359389	0.0433959	0.0388027	0.6748391	0.0594123	0.3370074	0.5942235	0.0346436	0.8085596	0.1958917	0.6307871	0.0346750	0.4260225	0.7316964	0.4317581	0.0653447	0.3323823	0.2773418	0.1691902	0.0854652	0.0460320	0.6583816	0.6423110	0.6200441	0.5325128	0.1862646	0.2657671	0.6645860	0.6048807	0.5436245	0.1350813	0.0029288	0.0000013	0.6791326	0.4257808	0.7284725	0.0700410	0.4530411	0.2620631	0.1380070	0.6285694	0.0550728	0.8713138	0.3976892	0.1469752
350	0.7790716	0.0055833	0.5716706	0.0639508	0.4025709	0.6930858	0.0122388	0.4893623	0.2455918	0.0531905	0.5260976	0.0003004	0.7239755	0.6816202	0.4088975	0.4745648	0.1116970	0.4912542	0.6486680	0.8220365	0.5954469	0.7491953	0.6706275	0.4017933	0.4998514	0.3829610	0.0266583	0.0192555	0.0250429	0.3975949	0.3746777	0.6228310	0.4161445	0.0186953	0.2966738	0.0000013	0.0915937	0.5129755	0.6694216	0.4521909	0.3873699	0.0297872	0.7071434	0.1127161	0.4865961	0.0460605	0.6416659	0.4916882	0.5208164	0.0116306	0.3555002	0.0705481	0.0292641	0.5792819	0.1177486	0.4210213	0.6568162	0.0128065	0.7871349	0.2039211	0.6363490	0.0562835	0.3915306	0.6557011	0.3131543	0.0509683	0.4057486	0.2762654	0.1481477	0.0522027	0.0616204	0.6206004	0.6607366	0.8348497	0.4766152	0.2177352	0.4070007	0.8919853	0.5077858	0.5061222	0.0969569	0.0033053	0.0003826	0.6843893	0.4539687	0.7346180	0.0353001	0.4587264	0.2647030	0.1285402	0.6813324	0.0772188	0.6604857	0.3108540	0.1486905
400	0.6375943	0.0031887	0.5655106	0.0511645	0.4059211	0.7261740	0.0096797	0.5052365	0.1806072	0.0717546	0.7058054	0.0002654	0.5187576	0.7322470	0.3872356	0.5084842	0.0873474	0.5815411	0.5695279	0.7106132	0.6807663	0.7373096	0.6379813	0.3072773	0.5384717	0.3171027	0.0063892	0.0199035	0.0246457	0.4069665	0.4750011	0.5042754	0.4618185	0.0171175	0.2649286	0.0002519	0.0771568	0.5409502	0.7208836	0.5331292	0.5534186	0.0280653	0.5927075	0.1390673	0.3645395	0.0666896	0.7249255	0.4345627	0.6382638	0.0043063	0.3375880	0.0349640	0.0216066	0.6926448	0.0932162	0.4157440	0.6342118	0.0102767	0.7727489	0.2393151	0.6739724	0.0807583	0.4900455	0.6943707	0.2352977	0.0774654	0.3080636	0.3028667	0.1762253	0.0531633	0.0501735	0.6149048	0.7086646	0.8092323	0.6087241	0.2103325	0.3463467	0.5721547	0.5698967	0.5883193	0.1349279	0.0044357	0.0006369	0.7030359	0.5337831	0.6987565	0.0489586	0.4257895	0.2361115	0.1289818	0.6592816	0.0469435	0.6179558	0.4195861	0.0984114
