"Time"	G1	G3	G8	G5	G4	G22	G83	G7	G6	G85	G86	G87	G54	G88	G89	G30	G29	G35	G100	G99	G32	G19	G18	G20	G81	G23	G80	G82	G51	G31	G58	G50	G78	G94	G95

0	0.0188374	0.0180708	0.8739972	0.6306331	0.1124475	0.7147314	0.0343180	0.6294571	0.6632018	0.0578304	0.6876943	0.5327659	0.0567002	0.7864656	0.4570838	0.3564817	0.1644153	0.8170509	0.6436627	0.0034716	0.7010219	0.3596628	0.6280367	0.7397347	0.0061857	0.5153367	0.1364362	0.4038718	0.0073908	0.2776904	0.7173719	0.0314972	0.3130399	0.6657839	0.7228232
50	0.0245569	0.0175545	0.7072975	0.6794417	0.1180594	0.7162204	0.0607119	0.4555258	0.6478861	0.0857744	0.6320478	0.5771080	0.0403793	0.7122892	0.5779699	0.4835352	0.3726096	0.7155455	0.8377046	0.3580195	0.7306878	0.3958545	0.7611361	0.6969548	0.1631555	0.4407327	0.0013810	0.1680541	0.0007301	0.2566746	0.7389971	0.0761074	0.1362817	0.7206718	0.6525047
100	0.0197777	0.0180960	0.6493032	0.6042186	0.0666298	0.7932790	0.0619029	0.5946619	0.6459918	0.0789775	0.6284849	0.6753331	0.0472109	0.9122238	0.4865549	0.3739430	0.4898749	0.6476910	0.7353145	0.3601436	0.5989178	0.2428499	0.8120872	0.6481140	0.3029979	0.4440824	0.0002623	0.1144570	0.0062339	0.2011570	0.6954973	0.1027256	0.0956708	0.5822725	0.5221741
150	0.0155932	0.0100585	0.5456935	0.6514718	0.0779825	0.7484397	0.0595416	0.3662480	0.5805254	0.0805967	0.6969809	0.5448987	0.0763149	0.6738621	0.4206890	0.3270931	0.5133116	0.6291889	0.5645318	0.4110876	0.5229859	0.3894501	0.6850114	0.7158050	0.2805792	0.4026626	0.0002310	0.1546651	0.0054811	0.1911497	0.6284610	0.0844592	0.0191483	0.3159997	0.2460287
200	0.0266599	0.0242321	0.7057862	0.7457873	0.1253013	0.7387606	0.0372484	0.4379090	0.5955796	0.0753820	0.8284855	0.4771308	0.0621838	0.7217545	0.4136456	0.2646290	0.3330481	0.6904515	0.7037126	0.3725690	0.4802078	0.3848739	0.7282255	0.7283733	0.2988592	0.4516466	0.0014880	0.0857308	0.0031423	0.2043068	0.7733245	0.0695229	0.0034718	0.2054249	0.0859524
250	0.0381136	0.0102447	0.7590936	0.6511760	0.0944264	0.8219304	0.0377741	0.4884156	0.6234598	0.1068539	0.7703459	0.5238902	0.0505856	0.6928747	0.4620513	0.3308886	0.3875776	0.6941039	0.6631548	0.3727055	0.4895884	0.4782865	0.8055124	0.8418433	0.2769873	0.4779489	0.0077146	0.0933682	0.0079888	0.2046744	0.7481513	0.0860089	0.0069873	0.1415967	0.0204109
300	0.0375921	0.0308188	0.8315445	0.6719954	0.1285319	0.7463769	0.0801584	0.4463804	0.5751378	0.0699088	0.7120003	0.4418312	0.0778785	0.7596407	0.5021378	0.4574687	0.3817493	0.6572820	0.7180155	0.4177281	0.5347540	0.4182280	0.9097618	0.7008616	0.2657683	0.4098900	0.0011260	0.0880967	0.0003909	0.2292277	0.7122282	0.0810707	0.0008807	0.1812352	0.0170417
350	0.0469282	0.0276992	0.7475140	0.6527066	0.1079136	0.6811002	0.0574920	0.5932168	0.6225390	0.0532486	0.7851003	0.5228516	0.0546589	0.5973038	0.4341463	0.4798379	0.4190805	0.7112907	0.6734175	0.3770040	0.3585829	0.3123964	0.8304910	0.7155874	0.2971520	0.4461547	0.0000000	0.0734515	0.0044154	0.2470532	0.6182653	0.1080504	0.0006873	0.2388731	0.0016583
400	0.0375991	0.0397534	0.6844877	0.5449110	0.0934464	0.7258241	0.0508718	0.4493829	0.5419810	0.0659696	0.7028977	0.5209487	0.0798336	0.7814303	0.3790953	0.3721775	0.4356224	0.6302666	0.7177164	0.3747093	0.5114888	0.3254547	0.7465582	0.6955010	0.1921304	0.3976509	0.0008311	0.1216744	0.0097557	0.1454967	0.6186745	0.1276976	0.0026846	0.1513748	0.0054140
450	0.0518528	0.0179344	0.6622659	0.6049608	0.0682099	0.5750508	0.1008294	0.4795709	0.6496576	0.1365614	0.7872175	0.4989286	0.0841541	0.7370719	0.4982045	0.3364654	0.3489884	0.6998561	0.6653964	0.4388365	0.5818828	0.5035207	0.6747444	0.6676808	0.2654992	0.4268731	0.0009392	0.0916685	0.0090618	0.1873027	0.4534265	0.0574710	0.0000000	0.1927072	0.0013832
500	0.0309001	0.0103926	0.6227383	0.7911551	0.0784687	0.7224283	0.0349226	0.4584979	0.6725005	0.0530173	0.7064899	0.5031493	0.0555637	0.6838893	0.5741433	0.3127310	0.2977888	0.8131703	0.5748391	0.4356013	0.5916792	0.4742992	0.5686961	0.6353887	0.3225908	0.5436211	0.0008877	0.1374146	0.0015957	0.1520851	0.6256066	0.0835483	0.0009932	0.1677899	0.0036587
550	0.0425595	0.0341369	0.6814557	0.6293286	0.0902849	0.6592307	0.0731080	0.5554792	0.6614989	0.0426230	0.6014812	0.5481735	0.0262514	0.7039867	0.3684064	0.3435344	0.1675502	0.6481621	0.7255776	0.0933916	0.6037854	0.2869079	0.8417976	0.6376715	0.0524933	0.5204511	0.2261069	0.3222304	0.0070140	0.2401738	0.6291627	0.0573485	0.2153255	0.1033511	0.0294686
600	0.0167207	0.0459255	0.6169825	0.6743749	0.0629715	0.6506140	0.0606708	0.6742943	0.7570922	0.0521680	0.7579170	0.5694448	0.0598280	0.6298042	0.4099456	0.4564835	0.1296803	0.6102569	0.8483053	0.0327522	0.6093842	0.4785954	0.7080361	0.6061184	0.0299308	0.5187096	0.1468052	0.3290270	0.0035362	0.3112585	0.7208366	0.0351493	0.3020946	0.1306757	0.3598895
650	0.0219851	0.0072349	0.6343552	0.6326069	0.1202454	0.6439414	0.0175248	0.7868570	0.6627800	0.0466330	0.6499452	0.3776166	0.0518235	0.8304799	0.4404760	0.4728405	0.1825854	0.5806768	0.6948372	0.0071047	0.7542653	0.3768648	0.7902024	0.7162406	0.0068210	0.4447371	0.1193199	0.4119338	0.0041014	0.2794882	0.6868846	0.0606036	0.3531509	0.4904488	0.5968217
700	0.0206681	0.0035192	0.6845715	0.4961680	0.0668896	0.6742300	0.0566977	0.6564902	0.7479188	0.0354990	0.6830276	0.3994104	0.0485508	0.6461340	0.3436095	0.5568278	0.2031838	0.7482330	0.6642262	0.0027634	0.6742724	0.2609906	0.6731863	0.7479995	0.0086414	0.4179332	0.1047399	0.4325774	0.0180590	0.2729710	0.6404380	0.0339141	0.2755526	0.5603839	0.6627393
750	0.0236376	0.0289413	0.8649040	0.6304542	0.1306346	0.5840861	0.0383439	0.8885191	0.6629227	0.0700701	0.6205101	0.3986043	0.0617399	0.7615476	0.4728899	0.5607431	0.1064704	0.6445647	0.6958015	0.0008392	0.6310310	0.3126316	0.7905450	0.6204461	0.0118360	0.5386671	0.1112699	0.4018160	0.0134437	0.3256111	0.7082458	0.0542921	0.3603213	0.6910097	0.5853738
800	0.0354562	0.0135974	0.6886824	0.6331476	0.0765240	0.6971609	0.0497205	0.7061347	0.7977083	0.0772939	0.8003657	0.4919378	0.0370247	0.6559019	0.3455998	0.5882712	0.1798068	0.7079036	0.5905528	0.0021416	0.7646194	0.3082430	0.7368863	0.6819820	0.0077399	0.4796363	0.1397652	0.4923325	0.0062477	0.3364584	0.6823029	0.0504752	0.3886180	0.5554330	0.7351482
850	0.0131362	0.0091615	0.7204738	0.7497328	0.1153482	0.6453222	0.0575908	0.7031401	0.6680680	0.0757469	0.6486030	0.6444112	0.0971812	0.7084308	0.3121171	0.5439097	0.2536458	0.6297341	0.7109451	0.0010384	0.6020450	0.2469318	0.6818427	0.7741626	0.0065638	0.4125475	0.1671766	0.3754430	0.0030693	0.2787033	0.7609396	0.0294615	0.4153634	0.5033885	0.6236952
900	0.0491446	0.0396969	0.7554914	0.5663152	0.0852080	0.6956748	0.1010034	0.6270907	0.6023577	0.0900187	0.7283735	0.5253702	0.0284732	0.6609110	0.2858663	0.4760833	0.1569693	0.7699280	0.6802195	0.0046053	0.5696450	0.1987768	0.7606579	0.7283649	0.0090238	0.5617360	0.1392972	0.3862124	0.0095297	0.2366695	0.6878686	0.0473857	0.3907706	0.6270093	0.6062479
950	0.0111637	0.0222901	0.5799977	0.4917301	0.1001591	0.6169723	0.0585882	0.5727758	0.8202303	0.0830925	0.8253542	0.4703227	0.0616894	0.8293748	0.3640410	0.5417395	0.2557106	0.6820248	0.5806550	0.0025679	0.7371579	0.2320338	0.5584095	0.6441565	0.0216742	0.3785419	0.1462706	0.3324097	0.0091585	0.2359792	0.7421872	0.0622196	0.3968657	0.8180152	0.6368468
1000	0.0453083	0.0237493	0.6628056	0.7444193	0.0644153	0.7311062	0.0684803	0.6861460	0.7000511	0.0594574	0.6597482	0.4366306	0.1292789	0.8009762	0.3160497	0.5398997	0.1559409	0.7303829	0.6893177	0.0009315	0.7440752	0.3252415	0.7666257	0.5749522	0.0045802	0.4006700	0.1293559	0.3265767	0.0060131	0.2652330	0.7605772	0.0266014	0.2390645	0.7599907	0.5763429

0	0.0293826	0.0184509	0.7680214	0.7520734	0.1136807	0.6861502	0.0412273	0.6824076	0.7970799	0.0869300	0.6867102	0.4102508	0.0306144	0.7773470	0.4401657	0.3415600	0.2391013	0.8226011	0.6997989	0.0007018	0.7482289	0.3712394	0.6625600	0.5774226	0.0097647	0.5780173	0.1897642	0.4187149	0.0011511	0.3482322	0.7563329	0.0323566	0.3524549	0.6956500	0.7261787
50	0.0234695	0.0128039	0.7181586	0.5734062	0.1055615	0.7264640	0.0120470	0.6101181	0.6908793	0.3310430	0.7892641	0.6294850	0.0514456	0.7564843	0.3106588	0.3854406	0.2454452	0.6449854	0.6718685	0.0008989	0.7633954	0.3137891	0.2936275	0.5680137	0.0027416	0.4479243	0.0043354	0.3173264	0.0113657	0.1371557	0.4569807	0.0519894	0.2991491	0.6014637	0.7527193
100	0.0427074	0.0234904	0.6958120	0.7055931	0.0882984	0.6267417	0.0320940	0.5827294	0.7895149	0.2839425	0.8718080	0.4294216	0.0433835	0.8246445	0.4011305	0.4414342	0.1971994	0.7453197	0.7772539	0.0006309	0.6304546	0.2462135	0.1541855	0.5693935	0.0084959	0.5879480	0.0033804	0.3296976	0.0038721	0.1242316	0.3642838	0.0243799	0.3104525	0.6258873	0.6855140
150	0.0536860	0.0100722	0.7243566	0.7119121	0.0630347	0.6998024	0.0054751	0.6980839	0.6896476	0.4046872	0.7411557	0.3892361	0.0520544	0.7614211	0.4368152	0.3926877	0.1186812	0.6734655	0.6659776	0.0015207	0.7427696	0.2352839	0.1283502	0.6491749	0.0030567	0.4528880	0.0020181	0.3292860	0.0068381	0.0890354	0.2292669	0.0160061	0.3558793	0.7002176	0.7537537
200	0.0905350	0.0536211	0.7183049	0.5838193	0.1167206	0.7386085	0.0354716	0.5728282	0.6909383	0.3877152	0.6531130	0.5296814	0.0367027	0.6799899	0.3418651	0.5211510	0.1846433	0.6371691	0.6740922	0.0000000	0.6907243	0.0872596	0.1338776	0.5875067	0.0064289	0.5044758	0.0010391	0.3515462	0.0105348	0.1271741	0.2394011	0.0427660	0.4287296	0.6345267	0.7115118
250	0.3332989	0.4304441	0.5628286	0.5358896	0.2824183	0.8437327	0.0330122	0.5580382	0.4722702	0.4319935	0.7270468	0.5248940	0.0490600	0.7769342	0.4039687	0.5945500	0.1869517	0.7990442	0.6093747	0.0012483	0.6794424	0.0756909	0.1177302	0.3548013	0.0193777	0.4401460	0.0057046	0.3654584	0.0111484	0.1264528	0.2924929	0.0359036	0.3263692	0.8029300	0.6499369
300	0.5162013	0.5362718	0.5364761	0.3561206	0.4431105	0.7126369	0.0579982	0.3678480	0.1888314	0.3228204	0.6945496	0.4551604	0.0586458	0.6680812	0.2416016	0.6161469	0.1572231	0.7491454	0.6833722	0.0032927	0.6706301	0.0580920	0.1389196	0.2287134	0.0088895	0.5174293	0.0025469	0.3057466	0.0037739	0.1476175	0.2856360	0.0141861	0.3729049	0.6378028	0.5310803
350	0.6206382	0.6963781	0.4100569	0.2799962	0.4842779	0.7277529	0.0392756	0.3081456	0.0699270	0.3074559	0.7721592	0.4357661	0.0493193	0.6222557	0.1200744	0.6945685	0.0691762	0.6264654	0.8440416	0.0001511	0.6938686	0.0409895	0.1397278	0.2221416	0.0030543	0.5287078	0.0029311	0.3584199	0.0134581	0.1399969	0.2575171	0.0732161	0.4530295	0.5412180	0.6611680
400	0.3549092	0.7155365	0.4044292	0.1950180	0.5538746	0.7673084	0.0420706	0.2307327	0.0487718	0.3182253	0.6394731	0.5085075	0.0589918	0.6367594	0.0916720	0.7507451	0.0322769	0.6351045	0.7470618	0.0023964	0.7754482	0.0406401	0.1005837	0.1688506	0.0016661	0.5256742	0.0021316	0.4186654	0.0224797	0.2242277	0.3745584	0.0276806	0.6060321	0.6706173	0.5761560
