"Time"	G1	G3	G5	G7	G8	G4	G83	G22	G6	G87	G85	G86	G54	G89	G88	G30	G29	G35	G99	G100	G32	G19	G18	G20	G81	G23	G80	G82	G51	G50	G58	G31	G78	G94	G93	G95	G91	G90	G17	G65	G16	G57	G52	G34	G55	G56	G33	G36	G37	G72

0	0.1410302	0.1555193	0.1355635	0.7976683	0.6055530	0.1900613	0.4680053	0.7437888	0.0581034	0.0014013	0.5732605	0.7328043	0.0905351	0.0744908	0.7887960	0.4877880	0.3196054	0.3904617	0.0509822	0.6325901	0.5058278	0.5840639	0.8588981	0.4087072	0.3212012	0.4705152	0.5730818	0.5593735	0.2333725	0.0199311	0.7000631	0.1210964	0.6890968	0.5696810	0.4159395	0.3015489	0.0231236	0.6706877	0.4539585	0.8683191	0.3253049	0.1020363	0.5405792	0.6400567	0.3866752	0.2851224	0.3977114	0.7391929	0.1906187	0.8980747
50	0.1344355	0.0937790	0.1776350	0.6554582	0.7035802	0.3197339	0.5255502	0.8240078	0.0723529	0.5371445	0.6050549	0.7416186	0.1316878	0.0498723	0.8659855	0.3765877	0.2030202	0.3572131	0.3523844	0.5932710	0.4781349	0.5643325	0.4005511	0.4552471	0.3763243	0.3142209	0.6732458	0.3422734	0.2176503	0.0307139	0.6437260	0.1104737	0.3719313	0.6032477	0.4108000	0.3579003	0.4402164	0.7554350	0.3970732	0.7477333	0.3434501	0.3286535	0.5292314	0.4396755	0.4536787	0.3479709	0.4244811	0.4943128	0.1269744	0.7347721
100	0.1490094	0.0997665	0.1503762	0.6992208	0.6866498	0.3261346	0.5679877	0.8680906	0.0406454	0.5777242	0.4985116	0.7665613	0.1029917	0.0490238	0.8604667	0.3932142	0.1623602	0.3114890	0.4284522	0.6385051	0.4007540	0.6462143	0.3971935	0.3297275	0.3944354	0.4575691	0.6544702	0.3337415	0.2119091	0.0235206	0.7747255	0.1320341	0.2173455	0.4476240	0.2529989	0.2339781	0.4997845	0.6082357	0.4664386	0.7813512	0.3235571	0.2778393	0.5441063	0.4338646	0.4068246	0.2170825	0.4876690	0.4568732	0.1282013	0.7021605
150	0.1765006	0.1801708	0.1247670	0.5914924	0.6852115	0.5170000	0.5613775	0.6894269	0.0102457	0.4694035	0.5740229	0.6505328	0.1027823	0.0555625	0.7255892	0.4689705	0.1476098	0.2858278	0.4709946	0.5236494	0.3355888	0.5575651	0.5091030	0.3814965	0.3322404	0.3486416	0.5890763	0.3536824	0.2178331	0.0414200	0.7675682	0.1034145	0.2072067	0.2474300	0.2536383	0.2203429	0.4016768	0.7190944	0.4760306	0.6729651	0.3178838	0.4127923	0.5940553	0.4624077	0.3617339	0.2856937	0.4973209	0.3943135	0.1724062	0.6913618
200	0.1975292	0.1642498	0.0993571	0.6479214	0.6612832	0.4639496	0.4192350	0.7783074	0.0249187	0.6226302	0.3896531	0.7463030	0.1790908	0.0906470	0.8133507	0.4232238	0.2204794	0.3467027	0.4790870	0.5452883	0.4715261	0.5883721	0.4760962	0.3032615	0.3640334	0.3971591	0.6882612	0.3020968	0.2262662	0.0333474	0.7970438	0.1769201	0.1998370	0.1796571	0.1511141	0.1034965	0.4368535	0.6029192	0.3676208	0.6359545	0.4229525	0.4571687	0.6681108	0.3868764	0.3582519	0.2488374	0.4746362	0.4325707	0.1594252	0.8053057
250	0.1469508	0.2205616	0.0404160	0.5518210	0.7873824	0.5882474	0.4661318	0.7437692	0.0097866	0.6255664	0.3706505	0.6324296	0.1114651	0.0385770	0.7920483	0.4158839	0.1125022	0.2764115	0.5817548	0.3914354	0.4950828	0.4787343	0.5589900	0.3294012	0.4827374	0.4016633	0.5861216	0.2508237	0.2722185	0.0517516	0.7032142	0.2116308	0.2231113	0.1121671	0.1657296	0.1807735	0.4052071	0.6805449	0.4225926	0.6828050	0.3244540	0.2595738	0.7687128	0.4328702	0.3452751	0.2268934	0.4362712	0.3297276	0.2619715	0.7728037
300	0.2294724	0.2500553	0.0233004	0.6730188	0.6265384	0.5792129	0.4048444	0.6197788	0.0141278	0.7453511	0.4753247	0.6667244	0.0981394	0.0610808	0.5970096	0.4169139	0.1045153	0.2795599	0.5420175	0.5036447	0.5050359	0.5344931	0.4358250	0.4175231	0.3316021	0.3539801	0.6928534	0.3458561	0.2617860	0.0455848	0.6729059	0.1715255	0.3005182	0.0475130	0.1308152	0.1397313	0.4890846	0.6777100	0.4238522	0.6713549	0.2607591	0.4439031	0.6501655	0.5413581	0.4192286	0.2622074	0.5445559	0.4002884	0.2071275	0.6399710
350	0.2086473	0.2186353	0.0576185	0.6516175	0.7986163	0.5552584	0.3510116	0.6834727	0.0177361	0.6131847	0.5075356	0.7355812	0.1624387	0.0745765	0.7848908	0.4447191	0.1965107	0.2234596	0.5218775	0.5509600	0.3985208	0.4490969	0.4185067	0.3641315	0.2138939	0.4064086	0.7161392	0.3528243	0.2893315	0.0499137	0.6775041	0.1852372	0.1486428	0.0544477	0.0989922	0.1085675	0.4730918	0.6708885	0.4757003	0.7271017	0.3693683	0.3534584	0.7244319	0.4883326	0.5143688	0.2358630	0.4934954	0.3221426	0.1936357	0.6633704
400	0.2462043	0.2343904	0.0428523	0.6571444	0.7385011	0.5931950	0.4325449	0.7084449	0.0017671	0.6016839	0.5031203	0.6745790	0.1565573	0.0313881	0.7413635	0.3251050	0.1319383	0.2522797	0.6110752	0.6083586	0.2998716	0.5475984	0.3898940	0.3144085	0.2782149	0.2743125	0.7642271	0.3423776	0.1493483	0.0532641	0.7350640	0.1655161	0.1237239	0.0798778	0.1311925	0.1000493	0.4544727	0.6680484	0.4875940	0.7095515	0.3313418	0.3680646	0.6285835	0.5568440	0.4927277	0.2760061	0.4774224	0.4018728	0.1800903	0.6267233
450	0.1300526	0.2674833	0.0434547	0.6623815	0.7188433	0.6945425	0.4763361	0.5671687	0.0131009	0.5918535	0.5859203	0.8058472	0.1137491	0.0153421	0.7451978	0.4888876	0.1964522	0.4078730	0.5233610	0.4993678	0.3950746	0.6129480	0.4347273	0.3485473	0.2862473	0.3525936	0.5270887	0.2596965	0.2154423	0.0508399	0.6753546	0.1847876	0.1485914	0.0817197	0.1540175	0.0830824	0.4061179	0.7579391	0.4598165	0.7592806	0.3076529	0.3401636	0.4718497	0.5064206	0.4773926	0.2382413	0.5153494	0.3684985	0.1493600	0.6758855
500	0.1985913	0.2767022	0.0266006	0.7818274	0.6711123	0.6610643	0.4443619	0.7827625	0.0110364	0.6456019	0.4460941	0.5440288	0.1225086	0.0445987	0.7352747	0.4834029	0.1362421	0.3296007	0.5198673	0.4513218	0.4089381	0.5014595	0.5240133	0.3767026	0.2787325	0.2991563	0.7425361	0.3765836	0.3036020	0.0320205	0.6089160	0.1509473	0.2072015	0.0524497	0.1517560	0.0667522	0.4712066	0.7143956	0.3552884	0.6604324	0.3336984	0.4162481	0.6185093	0.4484232	0.4009839	0.2883464	0.4238729	0.3087779	0.1469572	0.6583993
550	0.1130763	0.2880535	0.0566632	0.7755238	0.6782975	0.4161336	0.5462809	0.7136253	0.0180537	0.1406306	0.4198018	0.6876194	0.1578244	0.0522487	0.6209919	0.4138751	0.2563423	0.2912831	0.2026450	0.3809507	0.7946325	0.5763543	0.6083956	0.3065552	0.3138500	0.2972534	0.5403077	0.5421170	0.1665041	0.0327498	0.6990696	0.1497440	0.6578798	0.1427633	0.2296864	0.1392455	0.0883934	0.6238787	0.3739287	0.5956480	0.3493532	0.1672232	0.6610294	0.5461726	0.4787036	0.2745447	0.3630332	0.5298725	0.2111446	0.6959512
600	0.1434112	0.1822448	0.0666333	0.6427584	0.6875347	0.4096074	0.5447947	0.7171175	0.0097605	0.0203014	0.5453051	0.6475800	0.0993207	0.0668937	0.7597769	0.3696642	0.3062799	0.4041706	0.1625689	0.4995520	0.8626420	0.6339089	0.6388977	0.3722279	0.2362274	0.3910268	0.5551521	0.6433023	0.2097330	0.0547621	0.7376170	0.1348043	0.5994287	0.3553506	0.3792716	0.1989060	0.0434043	0.6634320	0.4497302	0.7618475	0.3377783	0.1130949	0.6505693	0.3973146	0.4454101	0.2429068	0.4713703	0.5672164	0.1941537	0.8101706
650	0.0540175	0.1906806	0.1251325	0.6489479	0.6231696	0.3666206	0.5072754	0.7329564	0.0168053	0.0044705	0.5752837	0.6928457	0.0846122	0.0263806	0.6864370	0.4330838	0.3844315	0.4615046	0.0389067	0.5806985	0.5042612	0.5918722	0.6891501	0.4315126	0.3801647	0.3827420	0.6599251	0.6256862	0.2352313	0.0391572	0.6637208	0.1348869	0.8225412	0.5356749	0.4290440	0.2910089	0.0421816	0.6227081	0.3997805	0.6733201	0.3406803	0.0645501	0.4707186	0.4087492	0.4772908	0.2497961	0.5501998	0.6515363	0.1478988	0.6533354
700	0.0897788	0.1163181	0.1409421	0.6898334	0.6725808	0.1922103	0.5900108	0.6540027	0.0263324	0.0014231	0.5684365	0.7310810	0.0869655	0.0630253	0.8093543	0.4119311	0.3675567	0.2761726	0.0580552	0.7071539	0.5866909	0.6406417	0.7293139	0.5519565	0.4669401	0.3232499	0.7465189	0.5382906	0.1707457	0.0449688	0.7435199	0.1294051	0.7747845	0.5335259	0.3827419	0.3982824	0.0407602	0.7476604	0.4498188	0.7287682	0.3176513	0.0776370	0.3623393	0.3768639	0.5538157	0.3482643	0.3907479	0.6685835	0.1962720	0.7633324
750	0.0822215	0.1151618	0.1821580	0.7795615	0.6884463	0.3423642	0.5801316	0.6732052	0.0124897	0.0003417	0.5536178	0.6401022	0.0788810	0.0844548	0.6759812	0.3912345	0.4221022	0.3269732	0.0314053	0.6852875	0.4828144	0.5909944	0.7474029	0.4339150	0.2940045	0.3657303	0.6290419	0.5790514	0.1616273	0.0313645	0.7169441	0.1103413	0.7205247	0.6399883	0.3896424	0.4013575	0.0134810	0.7412938	0.4983354	0.7113526	0.3217409	0.0882420	0.4687604	0.4516634	0.4250178	0.3437915	0.5008886	0.6842523	0.1350383	0.5074415
800	0.1188778	0.1817786	0.1250080	0.8289571	0.7393497	0.3241634	0.5145213	0.6658468	0.0121345	0.0003747	0.5472624	0.6954117	0.1196062	0.0624044	0.5813881	0.2880768	0.3876375	0.3447065	0.0456309	0.5071609	0.5969816	0.5897438	0.7380426	0.3664127	0.3450587	0.3182706	0.5317343	0.5044695	0.2579047	0.0167547	0.7635734	0.1129472	0.7808766	0.5507185	0.3695893	0.4258121	0.0240954	0.6948513	0.4663777	0.6714643	0.3033599	0.1496016	0.5356602	0.4021601	0.4400018	0.3012640	0.4180244	0.5697092	0.1444268	0.8365468
850	0.1386759	0.1653747	0.1623395	0.7002981	0.6609675	0.3074100	0.5684085	0.5996149	0.0369883	0.0000715	0.6054285	0.7196167	0.1095577	0.0807236	0.6219915	0.2957495	0.3269053	0.3196361	0.0322997	0.6278964	0.7644446	0.6542027	0.6704065	0.4372953	0.3187350	0.3926798	0.5349025	0.4888995	0.2068926	0.0213686	0.6228200	0.1282958	0.7191022	0.5835669	0.3575595	0.3765935	0.0046693	0.7511410	0.5195588	0.7494024	0.3436980	0.0666822	0.5774451	0.4967903	0.5082966	0.1909481	0.5346607	0.6672905	0.1995189	0.7090717
900	0.0719429	0.1450997	0.1283543	0.6509006	0.6415256	0.2442920	0.4495864	0.7501679	0.0479657	0.0031550	0.5015017	0.5996223	0.1570386	0.0702786	0.6465672	0.4363083	0.4397343	0.2406750	0.0793292	0.5180204	0.6022468	0.6726690	0.8084045	0.4237886	0.4686047	0.4462537	0.6392366	0.5437134	0.2199752	0.0156568	0.6169046	0.1217986	0.6558009	0.5800320	0.3965436	0.5012211	0.0145109	0.6559784	0.4774208	0.6990338	0.3140895	0.0515579	0.6112334	0.4789764	0.4685831	0.2668841	0.4917033	0.6707111	0.2275317	0.7253624
950	0.1270431	0.1082408	0.2501180	0.6422623	0.6821200	0.1828952	0.5081993	0.7545834	0.0492084	0.0021441	0.4694472	0.7239440	0.0943008	0.0857685	0.7280800	0.3991045	0.3741108	0.3245448	0.0240424	0.5558179	0.5554774	0.6412711	0.6797388	0.4424829	0.3331130	0.4545252	0.5835464	0.5600641	0.2119432	0.0426611	0.7147997	0.1182477	0.6306542	0.6088883	0.2734001	0.2811173	0.0113127	0.8075943	0.3571231	0.6827572	0.3384771	0.0813337	0.6443887	0.4353724	0.4300551	0.2196179	0.4921606	0.6230051	0.1478201	0.7388620
1000	0.1718053	0.1157800	0.1927778	0.7459176	0.7486652	0.1628422	0.5574231	0.6865620	0.0120259	0.0071122	0.6081623	0.7017394	0.1064757	0.1455922	0.7467757	0.4428739	0.3910054	0.2873791	0.0602807	0.6922391	0.5569678	0.6101330	0.7431195	0.4721679	0.3308454	0.3216735	0.7130457	0.6036440	0.2508684	0.0411873	0.8056385	0.1375325	0.6184917	0.6202180	0.3515807	0.3909239	0.0290076	0.7770587	0.3566402	0.7152539	0.2903662	0.0951077	0.6959016	0.5012855	0.4407832	0.1798860	0.4423925	0.6738276	0.1614126	0.5756769

0	0.1022685	0.1308121	0.1548892	0.8604017	0.7060038	0.2137677	0.4689897	0.7544887	0.0311710	0.0012882	0.4848694	0.7658942	0.1008738	0.0642289	0.7206790	0.4419639	0.3947249	0.3008976	0.0358102	0.6128661	0.5173190	0.5942695	0.8449190	0.3375624	0.3840288	0.4051569	0.5898603	0.5892372	0.2292698	0.0323396	0.8056986	0.1224389	0.6823339	0.5610946	0.3618449	0.2880845	0.0167093	0.8268524	0.5165307	0.7100907	0.2950161	0.0654751	0.4979634	0.4784970	0.4811264	0.2684194	0.4161890	0.7376375	0.1648776	0.7654081
50	0.1032885	0.1669090	0.1228586	0.5998850	0.6563385	0.3245061	0.5215878	0.7366431	0.0095922	0.0027065	0.1553213	0.6877910	0.1030489	0.0381753	0.6405620	0.3879654	0.4004154	0.3415149	0.0720669	0.1226608	0.5227323	0.3887870	0.2904123	0.4548083	0.3926710	0.2770718	0.3922569	0.5787062	0.3411265	0.0299763	0.7029967	0.1573790	0.8142743	0.6719202	0.4462930	0.3875490	0.0069307	0.7107926	0.4488077	0.6728850	0.3215464	0.1271207	0.5283935	0.4405627	0.5012678	0.2295725	0.4723167	0.6762101	0.3122638	0.6609261
100	0.1846191	0.1312306	0.1313334	0.5328694	0.6518472	0.4041742	0.3647713	0.6648636	0.0258809	0.0024059	0.1539957	0.7336858	0.1571323	0.1021761	0.6079558	0.2918631	0.3769602	0.3029287	0.0845983	0.0603420	0.5691912	0.2024690	0.2233635	0.2658237	0.4063267	0.4191935	0.3397540	0.7090346	0.3016722	0.0330759	0.7562795	0.1041131	0.6368140	0.6384146	0.4295241	0.2751009	0.0151742	0.8566656	0.4734553	0.7252870	0.3373738	0.1330980	0.5784401	0.4726371	0.4140278	0.2924438	0.3502324	0.6640601	0.4041527	0.5531051
150	0.2296067	0.2145100	0.0500306	0.5457831	0.6510150	0.6263431	0.4493936	0.7435847	0.0234827	0.0036454	0.1497373	0.6823052	0.1134758	0.0593690	0.7059922	0.3969013	0.3338014	0.4129468	0.0658311	0.0676129	0.6348470	0.0661533	0.3280969	0.2228533	0.4112370	0.3451535	0.3217797	0.5960575	0.2860574	0.0255402	0.7539666	0.1344621	0.6174282	0.6736649	0.5088513	0.2840035	0.0051697	0.6271844	0.4312490	0.5641610	0.3764952	0.0720827	0.5257798	0.3857294	0.4021056	0.3124324	0.4300225	0.6094466	0.3827996	0.5877298
200	0.2307094	0.2695016	0.0361275	0.7093849	0.7470987	0.6677866	0.4932686	0.6729319	0.0029697	0.0003629	0.1271938	0.5719217	0.1382207	0.0703373	0.6820246	0.4209811	0.4219645	0.3359069	0.0664612	0.0446535	0.5255365	0.0467502	0.2012474	0.1526841	0.3121987	0.4725829	0.3095326	0.6456477	0.2496951	0.0294244	0.7579808	0.1563068	0.6514995	0.6924277	0.5015752	0.2788444	0.0103346	0.5890134	0.5098379	0.5787075	0.3461099	0.0888293	0.3792042	0.4858561	0.3617932	0.2531294	0.4531451	0.5940546	0.4992483	0.5625815
250	0.2443499	0.2352263	0.0364307	0.7332774	0.6788712	0.7532476	0.4443406	0.6580278	0.0044575	0.0059374	0.1607454	0.7760904	0.0808363	0.0400513	0.7089797	0.3278348	0.4799550	0.3639383	0.0399756	0.0596322	0.5168757	0.0301438	0.1911974	0.2359426	0.5240464	0.4839260	0.3404282	0.5431700	0.2224951	0.0569854	0.7830644	0.1382248	0.6413081	0.6398277	0.4491652	0.2190177	0.0156725	0.6961997	0.4338842	0.8431540	0.3526798	0.0620988	0.4292437	0.4819126	0.4863095	0.1863761	0.4344450	0.5733380	0.4462048	0.5225265
300	0.2883174	0.3132925	0.0256633	0.7176960	0.7337197	0.6576112	0.2402353	0.5931936	0.0074968	0.0002978	0.1214707	0.7024615	0.1162063	0.0454291	0.6131626	0.3169122	0.3356749	0.3050305	0.0515122	0.0290171	0.5297929	0.0350678	0.2571008	0.1984782	0.6069172	0.3505859	0.3052815	0.5544510	0.2532264	0.0452324	0.6880291	0.1409022	0.7747046	0.6588990	0.5152891	0.3274011	0.0130821	0.6812742	0.4904652	0.8328613	0.3286988	0.0911672	0.5382243	0.4995584	0.5249294	0.2829640	0.4286788	0.6339928	0.4589049	0.5325494
