"Time"	G1	G3	G7	G8	G4	G83	G6	G87	G86	G89	G54	G85	G88	G30	G29	G35	G99	G100	G32	G81

0	0.7283918	0.8360296	0.3831641	0.1671591	0.6838491	0.7994001	0.1638302	0.4147413	0.4347037	0.0177750	0.1554464	0.3547874	0.7886442	0.5033420	0.0384406	0.7585921	0.5212730	0.0918735	0.6140963	0.1291049
50	0.7757555	0.7197005	0.1711596	0.2356342	0.6982325	0.6726637	0.1672845	0.5140489	0.5084652	0.0165847	0.2474406	0.3438115	0.7397703	0.3297554	0.0510856	0.3734493	0.4558488	0.0952524	0.3748956	0.1529609
100	0.7080964	0.6739699	0.1351912	0.1394196	0.7278132	0.6462094	0.1189565	0.4767165	0.5199804	0.0115155	0.2546209	0.2441546	0.7193952	0.3311722	0.0515763	0.2322563	0.5359675	0.0905063	0.3769597	0.1951380
150	0.8016791	0.8070568	0.1315027	0.2200135	0.7500730	0.6550324	0.0811094	0.4357669	0.4006212	0.0035420	0.2482553	0.2759263	0.6086718	0.2910152	0.0299511	0.2009707	0.5373911	0.1084550	0.5580741	0.1388063
200	0.7453180	0.8138337	0.1218716	0.1363579	0.7436200	0.8105104	0.0994567	0.4399083	0.3967815	0.0062978	0.2883099	0.2264688	0.6980845	0.2744131	0.0135966	0.1125612	0.5488071	0.0422820	0.5001456	0.1302446
250	0.7808160	0.9111036	0.0853805	0.2086434	0.7977027	0.7778970	0.1004146	0.4675431	0.3686233	0.0153554	0.2870281	0.1745106	0.7377387	0.2694343	0.0078519	0.1733193	0.5537626	0.0937232	0.5228271	0.2004759
300	0.7381353	0.7554501	0.1234604	0.2352578	0.8401491	0.7846129	0.0837568	0.5330219	0.4659844	0.0136509	0.2367294	0.2249767	0.8110109	0.3127268	0.0080769	0.2180410	0.5611890	0.0881354	0.5241733	0.1666364
350	0.8034926	1.0000000	0.1142956	0.1893705	0.5878862	0.7966373	0.1009537	0.4515286	0.3886747	0.0138239	0.2778802	0.1853472	0.6894380	0.2938256	0.0070239	0.2669338	0.6193015	0.0629761	0.5941716	0.2709937
400	0.8049682	0.7885419	0.1404269	0.1647459	0.8246848	0.7775278	0.0882713	0.4422488	0.3813119	0.0073049	0.2820173	0.1707380	0.7116320	0.4287838	0.0032458	0.1940036	0.6058095	0.0755052	0.5822020	0.1937740
450	0.6794529	0.7382245	0.1178511	0.1617047	0.7655876	0.6949508	0.1397378	0.4395187	0.4426485	0.0112952	0.2079893	0.1720192	0.7530855	0.2534908	0.0018100	0.2214668	0.4893590	0.0983663	0.5614457	0.2025402
500	0.7533642	0.6996063	0.0936132	0.1772697	0.7464121	0.6573379	0.1136116	0.4000844	0.3725371	0.0072590	0.2316181	0.3571122	0.7593115	0.2436387	0.0181101	0.2159185	0.4665130	0.0738687	0.6046709	0.1857459
550	0.7797643	0.6668352	0.2763875	0.2681222	0.8782735	0.6728466	0.2321707	0.4935407	0.4149199	0.0093189	0.2114570	0.2707922	0.7078678	0.4061447	0.0221876	0.6393024	0.5117286	0.0649660	0.5559509	0.2058762
600	0.7949365	0.6301491	0.3313361	0.2270610	0.7710558	0.7006128	0.2009801	0.4728322	0.3500797	0.0171894	0.2418504	0.2522121	0.7484373	0.4719867	0.0158566	0.7113296	0.6114145	0.1008488	0.8616088	0.1701530
650	0.8182705	0.6341270	0.3662302	0.2626972	0.8149245	0.6422630	0.1533923	0.4466815	0.4745367	0.0125717	0.2083701	0.3123751	0.6842572	0.6236156	0.0265447	0.7209980	0.4836355	0.1134714	0.6711273	0.2452420
700	0.6144875	0.7734442	0.3939089	0.1819562	0.8017945	0.8282200	0.2174770	0.3859926	0.4846292	0.0348307	0.1979872	0.2674629	0.8203776	0.5214634	0.0399875	0.8248244	0.5648929	0.0728340	0.7955207	0.1950669
750	0.6541951	0.8110447	0.2819350	0.2111259	0.8585404	0.7033642	0.2297778	0.4601045	0.5369516	0.0077315	0.1241846	0.3732671	0.6768096	0.3961416	0.0346884	0.8207694	0.5098149	0.0689892	0.7265652	0.2015032
800	0.6628441	0.7218307	0.4016554	0.1963728	0.6420883	0.8040927	0.1779457	0.4437057	0.4190905	0.0017705	0.1572772	0.3904596	0.7355260	0.4703226	0.0532303	0.6734259	0.6163268	0.0893446	0.9386322	0.1676979
850	0.7359541	0.7517523	0.3627477	0.1664124	0.6578514	0.8188865	0.1600680	0.5002349	0.3600076	0.0187344	0.1440950	0.4103454	0.8205840	0.3575332	0.0380875	0.7163265	0.5445643	0.0922091	0.7631055	0.1911148
900	0.7827538	0.7037075	0.3025945	0.1517730	0.7423973	0.6448994	0.1579875	0.4811368	0.4933592	0.0400819	0.1551601	0.2888720	0.5914406	0.5389469	0.0489483	0.6514008	0.3478915	0.1141443	0.6662756	0.1518059
950	0.7215697	0.6272595	0.3488494	0.1829133	0.8040752	0.7207700	0.1099499	0.4585210	0.4547646	0.0209134	0.2147501	0.3319230	0.7718905	0.4292391	0.0737839	0.6429787	0.4013478	0.1101377	0.6525936	0.1523079
1000	0.6972871	0.7226592	0.2341091	0.1738978	0.7591973	0.7027086	0.1854522	0.4321640	0.4698713	0.0028601	0.1402006	0.4269379	0.8680474	0.4395198	0.0434282	0.7172418	0.4218682	0.1258494	0.6742832	0.1019104

0	0.7443763	0.8890172	0.4145292	0.1702203	0.6628849	0.9042041	0.1780155	0.4349672	0.4496397	0.0130590	0.1319837	0.4393102	0.7904780	0.4554752	0.0389100	0.7577397	0.4862777	0.1067036	0.7194329	0.2033138
50	0.1990847	0.7609677	0.4027456	0.2162945	0.6947980	0.3077071	0.1238794	0.4739953	0.5554365	0.0226544	0.2219398	0.0933696	0.2504529	0.4266242	0.0698576	0.7212625	0.3722018	0.0496304	0.4842118	0.1556698
100	0.0855415	0.6048810	0.5938217	0.2605358	0.7028948	0.2439584	0.1747367	0.4509535	0.4048632	0.0044308	0.2132157	0.1076790	0.1849473	0.4299542	0.0690178	0.7201240	0.5724039	0.0402311	0.2897360	0.2067171
150	0.0336858	0.2222658	0.7219107	0.5093340	0.7143879	0.0973458	0.2816937	0.5523371	0.5340502	0.0160765	0.2667576	0.0547105	0.1447155	0.4657202	0.0470160	0.7915319	0.5314254	0.0206191	0.2169153	0.1244225
200	0.0252380	0.1479932	0.9338973	0.7924121	0.4705784	0.0886852	0.3493374	0.4877956	0.5657499	0.0359375	0.4276686	0.0877629	0.1806158	0.5863665	0.0338617	0.6870804	0.6174908	0.0213597	0.2903098	0.2296979
250	0.0438569	0.0457590	0.8633255	0.7051852	0.2483291	0.0858545	0.3940106	0.4954067	0.4848130	0.0635209	0.4626308	0.0904402	0.1675321	0.5415896	0.0031277	0.6452918	0.5782272	0.0154938	0.2376418	0.2646634
300	0.0287469	0.0408415	0.7484224	0.7582702	0.1742798	0.0546205	0.3791550	0.3575800	0.4409104	0.2042615	0.3988337	0.1508316	0.1172204	0.5531305	0.0060230	0.7195919	0.6357762	0.0168024	0.3412131	0.2380829
350	0.0603214	0.0705075	0.7541203	0.6901820	0.0406421	0.1088733	0.3178621	0.4620842	0.4936875	0.1713414	0.4720955	0.1083316	0.1353170	0.6184380	0.0226076	0.5303965	0.6446601	0.0031261	0.2706824	0.2984949
400	0.0311621	0.0641398	0.7142282	0.7044430	0.0729765	0.0660557	0.3687717	0.4290887	0.4029559	0.2268977	0.4153978	0.1911373	0.1635123	0.5104254	0.0064217	0.7733192	0.7532077	0.0022669	0.2746677	0.2854387
450	0.0190013	0.0378514	0.7966310	0.7485419	0.0496649	0.0905769	0.4301162	0.5412431	0.5389612	0.1953767	0.3530263	0.1817148	0.1770188	0.4203443	0.0168025	0.6698141	0.8425622	0.0029243	0.3096828	0.2773864
500	0.0267975	0.0453420	0.7554754	0.6420229	0.0432763	0.0835329	0.3698802	0.4593286	0.5506481	0.2004844	0.3392758	0.0961244	0.1116923	0.6385960	0.0325029	0.6850708	0.7218748	0.0120284	0.4089113	0.2923510
550	0.5113579	0.0888314	0.8701918	0.7643881	0.2905263	0.4489529	0.6286418	0.4988225	0.4208791	0.2240415	0.3596490	0.4558226	0.3991930	0.7095402	0.0075482	0.6849789	0.6826361	0.0323925	0.7026538	0.3867990
600	0.6910763	0.3853778	0.6297995	0.3863379	0.5368337	0.5829439	0.4970657	0.5619500	0.4549169	0.1649081	0.3074366	0.4804043	0.6211047	0.5120508	0.0092225	0.6517581	0.6693263	0.0204988	0.7804273	0.3072326
650	0.6161520	0.5004454	0.5622916	0.2531951	0.5549949	0.6676464	0.3713199	0.5066326	0.5043347	0.1167290	0.2068333	0.4962675	0.6727401	0.4785228	0.0247514	0.6663168	0.6354829	0.0369117	0.7798987	0.1739866
700	0.7749037	0.5759813	0.4720909	0.1822639	0.6237135	0.5873148	0.2399292	0.4528195	0.5743725	0.1157730	0.2136190	0.4868363	0.8484345	0.4794887	0.0204651	0.5696855	0.7448296	0.0504575	0.6596943	0.2324542
750	0.8152603	0.6717215	0.4709543	0.1834817	0.6877557	0.6648197	0.1708100	0.5421739	0.5146518	0.0349572	0.1974666	0.3832353	0.5946009	0.4573152	0.0500241	0.7609061	0.7508166	0.0969091	0.7391926	0.2092670
800	0.8147777	0.8170651	0.3035341	0.1925180	0.6486954	0.7285932	0.1653179	0.4568417	0.5776436	0.0298177	0.1690101	0.4751232	0.9101019	0.4506171	0.0534689	0.8575521	0.4610695	0.0964428	0.8128712	0.1770019
850	0.6661068	0.7247708	0.3475712	0.2657533	0.7786947	0.7708967	0.1499934	0.3776904	0.4797742	0.0244146	0.2523395	0.3434211	0.8456076	0.5005355	0.0326601	0.7538838	0.4579860	0.1126508	0.7078855	0.1676823
900	0.7448798	0.8606386	0.3767790	0.2725701	0.7931208	0.7582796	0.1542370	0.4159620	0.4635586	0.0079854	0.2128941	0.2703968	0.7751779	0.3879518	0.0247840	0.8752984	0.4823524	0.0418125	0.6884958	0.1151203
950	0.8158616	0.7389022	0.3552985	0.1631848	0.9213104	0.7883711	0.1591196	0.5174338	0.4907134	0.0100224	0.2330953	0.2903707	0.8256938	0.3464356	0.0396901	0.8565849	0.4788119	0.1425055	0.6780752	0.1534843
1000	0.6339247	0.8541045	0.2931851	0.1490356	0.8205204	0.6574211	0.1732109	0.4786941	0.4765701	0.0179611	0.1868286	0.3350692	0.7534742	0.5412021	0.0321488	0.7327269	0.5560145	0.0514498	0.7711596	0.1792682

0	0.7984797	0.7579687	0.3216938	0.1197488	0.6321676	0.7642583	0.1793662	0.5017019	0.4955617	0.0120633	0.1662086	0.2963103	0.7099236	0.3764239	0.0639149	0.9050136	0.5123773	0.0758245	0.6155331	0.0994152
50	0.6490344	0.7744441	0.3231265	0.1816942	0.8065664	0.4171242	0.1576722	0.4514391	0.2875421	0.0043806	0.2427134	0.0584095	0.4307721	0.3455592	0.2031642	0.6223297	0.4489390	0.1129856	0.7610802	0.1609508
100	0.7011797	0.8190801	0.3373577	0.0802431	0.8648335	0.3970420	0.1264307	0.3804901	0.1847310	0.0119617	0.2632104	0.0297694	0.4840228	0.4362612	0.1798201	0.7213397	0.4081181	0.1073960	0.4093733	0.1472643
150	0.7620086	0.7092048	0.3397348	0.2877107	0.6399119	0.3581369	0.1388139	0.3791826	0.1780189	0.0089855	0.3838324	0.0225032	0.4856317	0.4332511	0.2136962	0.6942647	0.5052269	0.0658467	0.2811034	0.1128368
200	0.7688506	0.6228608	0.2983795	0.1956697	0.6668993	0.2867509	0.1653772	0.4420304	0.1871037	0.0085267	0.2415326	0.0179838	0.4713607	0.3590269	0.2279427	0.7304320	0.5767661	0.0526245	0.2863246	0.1634886
250	0.8121675	0.6570058	0.2464963	0.1305855	0.7905017	0.3078180	0.1623191	0.4886655	0.1026562	0.0127061	0.4386056	0.0207582	0.5655528	0.4371234	0.1431189	0.7765214	0.7873733	0.0633418	0.2435659	0.3192452
300	0.6461467	0.6829502	0.3062812	0.1893174	0.7836995	0.2139176	0.1530029	0.6733466	0.1142755	0.0113441	0.2978546	0.0175760	0.4305000	0.5742016	0.1921301	0.6890518	0.5364771	0.0840033	0.2637830	0.2758523
350	0.7891343	0.9156767	0.4110097	0.2112749	0.7609661	0.2569316	0.1456401	0.5228005	0.0545086	0.0379193	0.3994579	0.0060579	0.3982116	0.5989376	0.2088365	0.7168686	0.6111787	0.1149218	0.2631360	0.3142557
400	0.7097558	0.6794150	0.2259134	0.2190664	0.7371303	0.3675978	0.1351178	0.3601407	0.0664318	0.0221848	0.4919663	0.0044742	0.3932390	0.5794319	0.1485531	0.5995540	0.6575886	0.0667820	0.2597438	0.3431835
450	0.8145712	0.7429267	0.2524240	0.2266747	0.6617098	0.2938253	0.1529717	0.3483495	0.1049545	0.0290852	0.4432800	0.0061287	0.4214142	0.6103304	0.1919920	0.7347650	0.6218980	0.0759234	0.2741566	0.2531064
500	0.7324870	0.7731001	0.2865418	0.2077789	0.6993037	0.2160318	0.1874656	0.2610562	0.0816579	0.0314470	0.4395707	0.0012797	0.3625960	0.5489979	0.1448499	0.7438322	0.7379943	0.0515520	0.2500487	0.3630456
550	0.7829782	0.9434060	0.3518958	0.2925391	0.7610168	0.5584083	0.1717240	0.2915332	0.2378439	0.0210808	0.4941976	0.0976688	0.6264378	0.5891873	0.0449707	0.7366142	0.6182013	0.0806664	0.3072267	0.3293846
600	0.7720970	0.6712888	0.2947654	0.2688940	0.6513495	0.7140493	0.1498294	0.4421353	0.3316740	0.1006710	0.4869132	0.2664045	0.6516484	0.5675820	0.0538594	0.7103407	0.6096225	0.0435768	0.3653829	0.3242982
650	0.7227273	0.8205161	0.2795376	0.1872607	0.7236492	0.7637814	0.1908791	0.3464954	0.3016550	0.0206189	0.3909213	0.3081159	0.6546824	0.5412833	0.0100324	0.8060254	0.7015693	0.0560734	0.6035522	0.2862678
700	0.7463557	0.7444440	0.3901339	0.2352090	0.6545468	0.6135647	0.1920814	0.4679636	0.3171725	0.0254817	0.4116240	0.1799338	0.8037947	0.5451164	0.0013187	0.7030751	0.8108751	0.0673273	0.5730274	0.2311459
750	0.7232066	0.8263148	0.3793483	0.1789684	0.5710293	0.6804120	0.2422577	0.4642689	0.3801633	0.0335010	0.1924388	0.2510088	0.7257789	0.6067467	0.0145906	0.8991232	0.5758239	0.0431769	0.7753492	0.2280630
