"Time"	G1	G20	G10	G2	G17	G4	G16	G18	G94	G8	G95	G98	G7	G6	G46	G100	G36	G37	G38	G34	G3	G35	G11	G56	G5	G19	G15	G14	G12	G39	G49	G44	G22	G21	G41	G50	G13	G51	G53	G52	G55	G42	G40	G45	G54	G43	G57	G72	G67	G48	G9	G61	G47	G60	G59	G99	G58	G80	G89	G88	G81	G83	G82	G79	G84	G78	G77	G86	G91	G90	G85	G75	G93	G69	G92	G87	G68	G96	G97	G63	G27	G26	G25	G23	G24	G62	G76	G31	G30	G70	G74	G71	G29	G73	G28

0	0.1845328	0.0559676	0.2233608	0.2289055	0.3025926	0.4426220	0.3655490	0.4742006	0.7054860	0.2668204	0.6605208	0.8251311	0.0031565	0.2600743	0.3178791	0.6957730	0.5236913	0.3290663	0.4721830	0.6416659	0.5464556	0.0779815	0.0652570	0.5815133	0.1860366	0.2984695	0.1030284	0.1837054	0.5572988	0.0015089	0.6863848	0.4351436	0.6579915	0.3637841	0.2870473	0.7765258	0.6176534	0.1274078	0.3393299	0.0168304	0.2894952	0.3253364	0.2547472	0.4978556	0.5449908	0.6757101	0.2910991	0.4343667	0.5483954	0.2578308	0.8240179	0.6735334	0.2316692	0.0941411	0.0931985	0.5961405	0.1652117	0.0208566	0.3710378	0.0098708	0.0774808	0.5708223	0.3398507	0.6676375	0.1184625	0.5716364	0.0454593	0.6316563	0.0008916	0.3336728	0.1165813	0.7137668	0.2320274	0.4902207	0.6139131	0.5641400	0.0371425	0.6711193	0.7775482	0.5738720	0.3730335	0.1462888	0.6415416	0.6783667	0.5880329	0.3788720	0.4004606	0.4071939	0.7101950	0.3938148	0.1412736	0.1172156	0.5368980	0.0797948	0.6758924
50	0.3793566	0.0971839	0.1620933	0.1340008	0.2505545	0.4444966	0.3164482	0.4633382	0.6888610	0.3093656	0.6702052	0.6653406	0.0209991	0.2409806	0.2106070	0.7067755	0.6179199	0.3248127	0.5404777	0.6396348	0.4401993	0.0792003	0.0295952	0.6092301	0.1330079	0.1735116	0.0945284	0.1119561	0.3168374	0.0063768	0.7133632	0.3938535	0.6827053	0.2563748	0.2808949	0.5284984	0.5763975	0.2224980	0.3763009	0.0272899	0.3159294	0.5715965	0.2852535	0.5075460	0.6153022	0.4940287	0.3348639	0.4967090	0.6409052	0.2864123	0.6617645	0.6444546	0.5267379	0.1052806	0.1889106	0.7042160	0.4992598	0.0183012	0.2956012	0.1983858	0.0348707	0.4910934	0.3613354	0.6747904	0.1158758	0.3805825	0.0408119	0.7302377	0.0004618	0.1410807	0.1052126	0.7328706	0.3250022	0.5343026	0.4703294	0.6067159	0.0354199	0.6589629	0.6996594	0.4993994	0.3711136	0.1268617	0.3792810	0.6730270	0.5158055	0.4992386	0.5791936	0.3261035	0.3361524	0.3805617	0.1649468	0.0798419	0.5004710	0.1175150	0.6647967
100	0.3844450	0.1628702	0.1174455	0.1288142	0.1720140	0.4063785	0.1165342	0.5301551	0.7106642	0.1790980	0.5757089	0.7119434	0.0425321	0.2104546	0.2495020	0.6936490	0.6505750	0.2843982	0.4798798	0.6995833	0.5543960	0.1487232	0.0216000	0.5767020	0.0537694	0.3053788	0.0764610	0.2363771	0.4496457	0.0023826	0.7101129	0.4350572	0.5243098	0.2699542	0.2115916	0.6632661	0.6074567	0.1111294	0.3443000	0.0131809	0.2467198	0.5783597	0.2882096	0.4393507	0.6452366	0.6301354	0.2066595	0.4561723	0.6105371	0.2817775	0.5892219	0.6531432	0.6660696	0.0824967	0.1810409	0.6050668	0.4075725	0.0078688	0.3315447	0.2578607	0.0661238	0.4018582	0.3337663	0.6984363	0.0849914	0.4367902	0.0740757	0.7910647	0.0013661	0.0388212	0.1062035	0.6633168	0.2587832	0.6765393	0.5157861	0.7181780	0.0582525	0.7239046	0.6650445	0.4325979	0.2843856	0.1649905	0.2881646	0.7077524	0.6555994	0.3641289	0.5865733	0.5209414	0.2859528	0.3734960	0.1386651	0.1550993	0.4142460	0.1263085	0.7636066
150	0.3875988	0.1316660	0.1140120	0.0858631	0.1462780	0.2785627	0.1487009	0.5855008	0.6585034	0.2624029	0.5969955	0.7833486	0.1010592	0.2777665	0.2753084	0.7195842	0.7211488	0.3819080	0.6406216	0.8824538	0.5679676	0.1329693	0.1640000	0.7336834	0.0229595	0.3064505	0.0629708	0.3854956	0.3444677	0.0007998	0.7439615	0.3839941	0.5258970	0.2626335	0.1522950	0.6260835	0.6486197	0.1876184	0.3618692	0.0108872	0.1177078	0.6245834	0.2848396	0.2942136	0.4855022	0.7328102	0.3662040	0.4320438	0.6149394	0.4171814	0.6360393	0.6512726	0.5932815	0.1272845	0.2027594	0.5948210	0.3742894	0.0013441	0.3855545	0.2321655	0.0854475	0.3987448	0.3197032	0.6039576	0.1262272	0.3900120	0.0290759	0.6543440	0.1524265	0.0187134	0.1472827	0.6898263	0.2445437	0.5931411	0.4988557	0.7522761	0.0183509	0.6749159	0.5307089	0.4354327	0.3671026	0.1015385	0.2735592	0.7058986	0.6059083	0.5067771	0.6255775	0.6546400	0.1537134	0.3199875	0.1364821	0.1305370	0.4789229	0.1001556	0.6393503
200	0.2275554	0.1002512	0.0798261	0.0802913	0.1458055	0.2882208	0.1128730	0.7061209	0.5836548	0.3027640	0.6454292	0.6173274	0.0974274	0.2352943	0.2517970	0.6566445	0.6999641	0.4083563	0.6014916	0.7308241	0.5262955	0.1215122	0.3421351	0.7484818	0.0532633	0.4270266	0.1376659	0.5199570	0.4433739	0.0028979	0.6267573	0.4052164	0.5085621	0.2787891	0.0757681	0.6452851	0.6314805	0.1196230	0.3309476	0.0331581	0.0494609	0.6867538	0.3521859	0.1427682	0.3564616	0.6461475	0.3633411	0.5201363	0.5305144	0.3982568	0.5930626	0.5683639	0.5783079	0.1258961	0.1916449	0.7306531	0.4397413	0.0273990	0.3332153	0.2063454	0.0613286	0.4307418	0.3519702	0.6146938	0.0927753	0.4865714	0.0412636	0.5961099	0.2343410	0.0030482	0.1191795	0.5948963	0.2921626	0.6399389	0.5061323	0.6030687	0.0413067	0.6485750	0.5927586	0.4987456	0.3173064	0.1243688	0.3013806	0.7287930	0.5969973	0.4597032	0.6953000	0.5661498	0.2314931	0.2913680	0.1499257	0.1818263	0.4154532	0.1400579	0.6654945
250	0.2728959	0.0772380	0.0913472	0.0844569	0.1760084	0.2235574	0.1374289	0.6199551	0.6182893	0.1484880	0.7490009	0.6650813	0.2169019	0.2675896	0.2359615	0.6284621	0.6932462	0.3214770	0.5453761	0.5716368	0.5896123	0.1174877	0.5563551	0.6971991	0.0273781	0.4304157	0.2720268	0.4781640	0.5675329	0.0002518	0.6302542	0.3723045	0.3028374	0.2527956	0.0777484	0.6909046	0.5657502	0.1826845	0.3328907	0.0041434	0.0308669	0.6442410	0.2150582	0.1307487	0.5553611	0.6122443	0.2303706	0.5283311	0.4801815	0.4644075	0.6035776	0.6148317	0.4689151	0.1511366	0.2565192	0.6342236	0.5327495	0.0124355	0.2891611	0.3155025	0.0389536	0.5289873	0.3037713	0.6104977	0.0879875	0.4522079	0.0423341	0.6442755	0.4699047	0.0030271	0.0980413	0.6986152	0.2817547	0.5621747	0.4161498	0.7979122	0.0487877	0.8359233	0.7944852	0.4213188	0.2527298	0.1633822	0.2570190	0.7090174	0.5218618	0.3480535	0.6928804	0.5245185	0.1442782	0.2368704	0.1824727	0.2266327	0.4352225	0.1959320	0.6564989
300	0.2129632	0.0888313	0.1630601	0.1047974	0.1591434	0.2097053	0.1030752	0.5000804	0.7614557	0.1500509	0.7109624	0.6784725	0.2138497	0.3058229	0.2763474	0.7283457	0.7256477	0.4217350	0.5870198	0.8046922	0.6433359	0.1118070	0.5937242	0.7368395	0.0858086	0.3302558	0.1565919	0.5058660	0.5270638	0.0000332	0.4357273	0.3766833	0.3461379	0.2497409	0.0423905	0.8274400	0.6519825	0.1498331	0.3403341	0.0123921	0.0026869	0.7107609	0.2730950	0.1372810	0.4070510	0.6226136	0.3740947	0.4182306	0.5086949	0.3202393	0.5895182	0.5433249	0.4206923	0.1343195	0.1991914	0.7327124	0.4171008	0.0366713	0.3355914	0.2757565	0.0751903	0.4831873	0.4166530	0.6498917	0.1288443	0.3662209	0.0228205	0.6917776	0.3024438	0.0006598	0.0888106	0.5712138	0.3005805	0.6096900	0.4742166	0.6426766	0.0701019	0.7305553	0.5879147	0.5993309	0.3020703	0.1587299	0.3288537	0.6784161	0.6850439	0.4549691	0.6711760	0.5308190	0.2269046	0.2766317	0.1192244	0.1864807	0.4837611	0.1473647	0.6132050
350	0.2386811	0.0804533	0.1597631	0.0862411	0.1760153	0.2461397	0.1411394	0.5992174	0.5678179	0.2022622	0.7427812	0.5744963	0.1343622	0.2178278	0.2158709	0.7395001	0.7107530	0.3854570	0.5720698	0.5697360	0.5467293	0.1008986	0.7026159	0.5997160	0.1038043	0.3021063	0.1797884	0.3831935	0.4902155	0.0002326	0.6232515	0.3963473	0.4581679	0.1940898	0.1216368	0.8187041	0.5356161	0.1547781	0.3226289	0.0074424	0.0079988	0.5234353	0.2997878	0.1982694	0.4636216	0.6307239	0.2516069	0.3804111	0.5063678	0.3292177	0.6291754	0.5356751	0.5753539	0.1436644	0.2013791	0.7342518	0.4784881	0.0047374	0.2718102	0.3094563	0.0425055	0.5487069	0.3591730	0.7165272	0.1125119	0.5611274	0.0511905	0.7739313	0.3253809	0.0000422	0.1395822	0.7464663	0.2975429	0.6269089	0.5484937	0.7832840	0.0495544	0.7981217	0.6110968	0.5065589	0.2486077	0.1515088	0.3156143	0.6949337	0.5393268	0.4939840	0.6004998	0.4937242	0.1585234	0.1911488	0.1203349	0.2263751	0.4487802	0.1627712	0.7447217
400	0.2660033	0.0739179	0.1235276	0.1080745	0.1791746	0.1768239	0.1128386	0.5902235	0.7535711	0.1887625	0.7075550	0.7057462	0.0952673	0.2124065	0.2043556	0.6121118	0.8056859	0.4213228	0.5553534	0.6515245	0.5097882	0.0953430	0.4717456	0.4889739	0.0874252	0.2869679	0.1561711	0.4689364	0.3776271	0.0025471	0.7481933	0.3302022	0.6319929	0.2793939	0.1315537	0.6155784	0.5985543	0.1331012	0.3103849	0.0118919	0.0326628	0.7674814	0.2128439	0.2304473	0.6255355	0.7038736	0.2336051	0.4860923	0.6794234	0.2851514	0.5964683	0.5842034	0.5364557	0.1315475	0.1722332	0.6862686	0.4861545	0.0087497	0.3353178	0.3234319	0.0764278	0.4570522	0.2961500	0.7772191	0.0941170	0.5890216	0.0291627	0.7720728	0.3507898	0.0001762	0.0832991	0.6111222	0.2821343	0.5418142	0.4382179	0.6711349	0.0417362	0.6835870	0.7100119	0.5253180	0.2544194	0.1259326	0.3022696	0.7019793	0.4461624	0.3621258	0.5821838	0.5758829	0.2177073	0.1940661	0.1216708	0.2307869	0.5337103	0.1303766	0.7140320
