"Time"	G1	G10	G2	G20	G17	G16	G4	G8	G18	G94	G9	G95	G11	G56	G3	G98	G7	G46	G6	G36	G37	G100	G38	G34	G35	G5	G19	G14	G13	G12	G41	G44	G49	G39	G22	G21	G50	G15	G51	G53	G52	G55	G42	G54	G45	G40	G47	G48	G72	G67	G61	G43	G57	G60	G59	G99	G58	G80	G81	G83	G88	G82	G89	G79	G84	G75	G86	G78	G77	G85	G90	G91	G93	G69	G92	G87	G68	G27	G96	G97

0	0.6977451	0.0235069	0.4207347	0.3550510	0.0291037	0.4880668	0.0825106	0.3707263	0.0434313	0.6533015	0.3488662	0.4333279	0.1315572	0.4925778	0.6667439	0.6510981	0.4935374	0.3973170	0.3172903	0.6163486	0.1153628	0.7714409	0.5766852	0.6809963	0.2067980	0.1229917	0.1918461	0.3048885	0.6976179	0.5314894	0.4547639	0.0080463	0.2529796	0.0484087	0.2793987	0.1593287	0.6167582	0.5604287	0.2877957	0.5619359	0.0204079	0.5101948	0.0180254	0.4235155	0.3838474	0.2544665	0.2084007	0.1833429	0.6496251	0.3808232	0.5407033	0.2870801	0.4725198	0.7048167	0.2902331	0.5623861	0.4035163	0.4217417	0.4733846	0.2800092	0.0728153	0.6472467	0.0514119	0.2125267	0.5122347	0.0266864	0.2059868	0.1006907	0.6259977	0.4962385	0.4131565	0.5483721	0.4762836	0.4994904	0.0631822	0.4434245	0.4660939	0.1201758	0.6549885	0.5994500
50	0.4839216	0.0091559	0.3740167	0.3067820	0.0068237	0.2200947	0.0687384	0.3001265	0.0375645	0.6251947	0.3210755	0.4299908	0.2308861	0.5686546	0.4881203	0.6317464	0.5199380	0.1805768	0.4475942	0.6897865	0.0474908	0.6100849	0.5594262	0.6156271	0.1973699	0.1393614	0.5080073	0.3224039	0.5587656	0.5358434	0.4743258	0.0112813	0.3074262	0.3826406	0.1413933	0.1072394	0.7103722	0.6025104	0.1629197	0.4336680	0.0377932	0.5522597	0.3097345	0.5289615	0.4284066	0.1511925	0.1448540	0.3091860	0.5415129	0.4002904	0.3877970	0.4472403	0.5672253	0.6365597	0.2624917	0.6769235	0.3614956	0.4779027	0.4723854	0.2919420	0.2438006	0.6752871	0.3977183	0.1965383	0.4874361	0.0071006	0.2077833	0.0434374	0.6598149	0.4864177	0.4294294	0.5234662	0.4857165	0.4416632	0.0298218	0.1442901	0.3345332	0.2121962	0.2313823	0.6091846
100	0.6560096	0.0309044	0.3420320	0.3108907	0.0053959	0.2072587	0.0592923	0.2751873	0.0263498	0.6033473	0.2710432	0.3882860	0.1637701	0.6321198	0.4998777	0.7200430	0.5426109	0.1855221	0.3317495	0.6794492	0.0564778	0.6410687	0.5034730	0.7984077	0.1443609	0.2009411	0.5397189	0.3172463	0.7218190	0.6348874	0.4068154	0.0049807	0.2010207	0.3852482	0.1492414	0.1071475	0.6487875	0.5433955	0.2971996	0.4340695	0.0231183	0.4718286	0.3265020	0.5080613	0.4170517	0.1201238	0.1682265	0.2548472	0.8064125	0.4916541	0.3651698	0.4401633	0.4876863	0.6314156	0.3035504	0.6195916	0.4166118	0.5469266	0.5509159	0.3353214	0.3040575	0.7055326	0.5054937	0.2329912	0.4590463	0.0172045	0.2568584	0.0036350	0.6308124	0.5107403	0.4325917	0.4080782	0.2256442	0.5152162	0.0240469	0.0483795	0.5239729	0.2410763	0.1268982	0.6537644
150	0.5996537	0.0161953	0.3415159	0.3911995	0.0111964	0.1890186	0.0576837	0.3088525	0.0447014	0.6003680	0.2719282	0.3989911	0.1269199	0.5585798	0.4825961	0.6838340	0.4585372	0.0970209	0.5523932	0.6619428	0.0237189	0.6080641	0.5105386	0.6532066	0.2293583	0.1624051	0.6048775	0.3233712	0.6215704	0.5577847	0.3644517	0.0043803	0.2217464	0.3397595	0.2900342	0.1423741	0.7317748	0.6220882	0.2389436	0.4945010	0.0388920	0.4034154	0.3459568	0.5333257	0.4389529	0.1356968	0.2588144	0.4123986	0.6325085	0.3553447	0.5214969	0.3027263	0.5702841	0.5485031	0.2628791	0.6874286	0.2847195	0.5311087	0.6105252	0.3856483	0.2819759	0.7079963	0.5368773	0.2571907	0.4475653	0.0307819	0.2181752	0.0022740	0.5489495	0.4683770	0.5483693	0.5024349	0.1573915	0.5734772	0.0298357	0.0508500	0.4659421	0.2795020	0.0681130	0.6372841
200	0.6186156	0.0220721	0.3049454	0.3143913	0.0263214	0.1629724	0.0857813	0.2686381	0.0601958	0.5936665	0.2713859	0.4497068	0.2131395	0.6220499	0.4231339	0.7346176	0.6045063	0.0813900	0.4114180	0.8968613	0.0451316	0.7157830	0.5569766	0.6144722	0.2281437	0.1155093	0.7391882	0.4078084	0.6947910	0.5910183	0.4219688	0.0124344	0.2050963	0.3922165	0.2606900	0.1711012	0.6471352	0.5941249	0.1871219	0.5683804	0.0224368	0.5256492	0.3885718	0.5469646	0.3662788	0.1458964	0.1681391	0.4928767	0.6068800	0.3464601	0.3988150	0.5039222	0.5128402	0.4976557	0.2351870	0.6520500	0.3487806	0.5287044	0.6848704	0.3827157	0.3281142	0.6599466	0.6249711	0.2351196	0.4254223	0.0306927	0.1341485	0.0031943	0.6285364	0.5911818	0.4523626	0.5276794	0.1843118	0.5100663	0.0199907	0.0106125	0.4876619	0.2920093	0.0799977	0.7339763
250	0.5255042	0.0393945	0.2353910	0.3148781	0.0279565	0.1446829	0.0625801	0.3341282	0.0569037	0.6463149	0.2647462	0.4385951	0.2563063	0.6125400	0.4500180	0.6615347	0.4848031	0.1887580	0.4010737	0.6425123	0.0258730	0.7757699	0.5471787	0.7249670	0.2444024	0.1233036	0.6437154	0.2984232	0.7210904	0.5496003	0.3476703	0.0064719	0.2764400	0.4480082	0.2049946	0.1544126	0.6650408	0.6655594	0.2467354	0.4630072	0.0465080	0.6023569	0.3468526	0.4303211	0.4338160	0.0747038	0.2074426	0.4637513	0.7036940	0.3226526	0.4275016	0.5279403	0.4790688	0.5643677	0.2776731	0.8067249	0.3338314	0.5202393	0.5673943	0.3331368	0.2998413	0.7280792	0.7145254	0.2998786	0.4399462	0.0312324	0.2162386	0.0015801	0.7168073	0.5338192	0.4576593	0.5549752	0.1831165	0.4983529	0.0196928	0.0087144	0.4290011	0.2237803	0.0829417	0.6145940
300	0.5256744	0.0220872	0.2676664	0.3124574	0.0167409	0.2153247	0.0628994	0.3527274	0.0474783	0.8252456	0.2549052	0.3815390	0.2582825	0.6018436	0.4370768	0.6787391	0.4877977	0.1361519	0.3907618	0.6640426	0.0255300	0.7289035	0.7112675	0.6580456	0.1953411	0.1166692	0.5748638	0.3762373	0.6568092	0.6076519	0.3663014	0.0107820	0.2295673	0.4210807	0.2115679	0.1411738	0.5805597	0.5166915	0.2888655	0.4834345	0.0532505	0.5108199	0.5411510	0.4913247	0.3976320	0.1215017	0.1895623	0.4344662	0.6632588	0.3793231	0.5331516	0.2682809	0.6105931	0.5271702	0.3263739	0.6647864	0.3448769	0.4816879	0.5282053	0.3508726	0.3657102	0.5971753	0.6126048	0.2461271	0.5123228	0.0123287	0.2139017	0.0051157	0.6218715	0.5497998	0.3723236	0.5753813	0.1204370	0.5012599	0.0166611	0.0262598	0.4785371	0.2801567	0.0793037	0.6785792
350	0.6467843	0.0189543	0.3347851	0.3604076	0.0187107	0.2016563	0.0551304	0.2905102	0.0392970	0.7546510	0.1871025	0.5387787	0.1385263	0.5218333	0.4990092	0.7614405	0.5220480	0.1141822	0.4058794	0.7223237	0.0263375	0.6667536	0.6280343	0.5833088	0.1234786	0.1060970	0.5398123	0.3110196	0.6736436	0.7096580	0.4387907	0.0059482	0.2774802	0.3512558	0.2738494	0.1516360	0.7051398	0.5720781	0.2587911	0.5579269	0.0901679	0.6793592	0.3959541	0.4769828	0.3835298	0.1029984	0.2091081	0.3868087	0.6953691	0.3957429	0.4087438	0.3157196	0.4290744	0.5429691	0.3415515	0.6694012	0.3473077	0.4427908	0.5315306	0.3660434	0.3276936	0.5750797	0.5930062	0.2194901	0.5039295	0.0124674	0.1897702	0.0103921	0.5599496	0.5751110	0.3952690	0.4670066	0.1004511	0.4475717	0.0213207	0.0182209	0.5341671	0.2626082	0.0739104	0.6486525
400	0.5858039	0.0121422	0.2036558	0.4111683	0.0292212	0.2155278	0.0569894	0.3068075	0.0314304	0.6777916	0.4099323	0.4690325	0.2197209	0.6949743	0.4818416	0.6966997	0.5174171	0.0846577	0.3844426	0.7534776	0.0261393	0.6262958	0.6925825	0.7325498	0.1432043	0.0948756	0.5871498	0.3714791	0.7038914	0.5961928	0.4893375	0.0018363	0.2808291	0.4060663	0.2675911	0.1862391	0.6960339	0.6227124	0.2334091	0.5291205	0.0344386	0.4045571	0.4429672	0.3363754	0.4988931	0.0731474	0.2665750	0.4150327	0.6978509	0.4257671	0.3706631	0.4056619	0.5889516	0.6219316	0.3031036	0.6386845	0.2974305	0.4226151	0.5387483	0.3569925	0.3385934	0.6679176	0.6143329	0.2996782	0.4031064	0.0318213	0.2137486	0.0080941	0.6665097	0.5809433	0.4882332	0.5826513	0.1352987	0.4551347	0.0212412	0.0283801	0.5351844	0.2879035	0.1249159	0.6541482
450	0.5458745	0.0248070	0.2289319	0.3352191	0.0261597	0.1340248	0.1313639	0.2664417	0.0282771	0.7515001	0.2051942	0.4707192	0.2160301	0.5647255	0.4135594	0.6021283	0.5362966	0.0781078	0.4802321	0.8005636	0.0108075	0.4358886	0.6747236	0.6409023	0.1390941	0.0948058	0.5940457	0.3363325	0.7033759	0.6673757	0.3835378	0.0151893	0.1965350	0.5272641	0.3046064	0.1873445	0.5727592	0.5329114	0.2582676	0.5409690	0.0215095	0.4942822	0.3768161	0.4302848	0.3397108	0.0363340	0.2946719	0.4134293	0.7166622	0.4074702	0.3624087	0.3957177	0.4873981	0.5698856	0.2925143	0.6914719	0.3287484	0.4230224	0.5384160	0.3621548	0.3542850	0.6788941	0.5262617	0.2789244	0.5818196	0.0123977	0.2323269	0.0061441	0.6644101	0.5287724	0.4410701	0.5308175	0.1154416	0.4681474	0.0111884	0.0261991	0.4169028	0.2027773	0.0869968	0.5710874
500	0.5060305	0.0246214	0.3085571	0.3544047	0.0069629	0.1782352	0.1141804	0.2822578	0.0195134	0.6829899	0.2959956	0.4214847	0.2940012	0.6431359	0.4847719	0.6034466	0.5193697	0.0735035	0.4364289	0.8097560	0.0459564	0.7514460	0.6050273	0.6333256	0.1586084	0.0617328	0.6624034	0.3218125	0.6634253	0.5415333	0.4003979	0.0153784	0.2190033	0.4658169	0.1951786	0.1726039	0.7121510	0.5411091	0.2315820	0.4797398	0.0418254	0.5779922	0.4289502	0.3554591	0.3599611	0.0439395	0.1927190	0.4650291	0.7896024	0.4320204	0.4088184	0.5358163	0.5230780	0.7017107	0.3631441	0.7890661	0.3747176	0.4713130	0.5408857	0.3561526	0.4079923	0.6984634	0.6854658	0.2306903	0.5735454	0.0054439	0.2324755	0.0009345	0.6423554	0.5218238	0.5144454	0.4940277	0.1131695	0.4423187	0.0150785	0.0252317	0.4851786	0.2533382	0.0875995	0.7642763
550	0.5702756	0.0103705	0.2551936	0.4001618	0.0498360	0.2377528	0.0411498	0.2693352	0.0478579	0.6060247	0.3536360	0.3980335	0.2842758	0.5965179	0.6297264	0.6837108	0.7343554	0.3552565	0.3896329	0.6618935	0.0520935	0.6663109	0.5979696	0.7976720	0.1591880	0.1235673	0.4122706	0.4120534	0.7041284	0.6561715	0.4663077	0.0037005	0.3121434	0.1626098	0.2200991	0.2225067	0.6954358	0.4927044	0.2390167	0.4955156	0.0233657	0.4594678	0.1374612	0.4172792	0.3773666	0.1295504	0.2221416	0.2251296	0.6455597	0.3793374	0.4565140	0.6115825	0.5064372	0.6015259	0.4092126	0.7147814	0.3779640	0.3875952	0.5926202	0.3418381	0.1631894	0.7475613	0.2513305	0.3168845	0.6064132	0.0058993	0.2571072	0.0771819	0.5464862	0.6037856	0.5444602	0.5712745	0.1732359	0.4955707	0.0166771	0.2551488	0.6100296	0.2640449	0.5793009	0.2888368
600	0.5985739	0.0267756	0.2802450	0.3692369	0.0233829	0.3961898	0.0309589	0.2466136	0.0387052	0.6711618	0.3497311	0.4847681	0.1475349	0.6495090	0.6096189	0.6692744	0.6273271	0.4183611	0.3124880	0.6538746	0.0350665	0.6386469	0.6432373	0.6567506	0.1483106	0.1247028	0.3547868	0.3584829	0.6267034	0.5945377	0.3371039	0.0040889	0.2245780	0.0623999	0.4135782	0.1653641	0.6639439	0.5958450	0.2364288	0.4869308	0.0631185	0.4356144	0.0412079	0.3826139	0.4138560	0.2335351	0.2156392	0.2476958	0.6758426	0.3590079	0.4578087	0.3210322	0.5311791	0.6400235	0.3582684	0.6650820	0.4017398	0.4656996	0.5618178	0.3097186	0.0865546	0.7463919	0.0961046	0.3002342	0.5160569	0.0071945	0.2322440	0.0880932	0.4974564	0.6051688	0.4604393	0.5442364	0.2477489	0.5996202	0.0333949	0.3504243	0.5597507	0.1710247	0.7390721	0.4004713
