"Time"	G1	G2	G20	G10	G16	G4	G17	G8	G11	G56	G3	G5	G19	G12	G13	G14	G15	G50	G41	G52	G53	G51	G21	G22	G55	G42	G54	G40	G44	G39	G35	G49	G45	G48	G61	G9	G47	G43	G79	G57	G60	G89	G80	G84	G81	G82	G83	G88	G86	G78	G77	G75	G91	G90	G85	G58	G59	G99	G92	G93

0	0.7954745	0.0127449	0.4973963	0.4092971	0.1461746	0.5234394	0.1950441	0.0779713	0.1293316	0.6388526	0.0358966	0.2621036	0.8048678	0.0563077	0.2529928	0.0319887	0.5636623	0.5709958	0.4180563	0.7756911	0.0216805	0.2450206	0.3995307	0.2216831	0.1575991	0.4039410	0.5752247	0.5639594	0.1624368	0.4607313	0.7736985	0.0921806	0.2131776	0.6687996	0.3523418	0.1005305	0.4419303	0.0251322	0.7207322	0.0271940	0.4099908	0.0415502	0.0024878	0.3966043	0.3710205	0.5332741	0.0512006	0.1632673	0.8010266	0.3534087	0.1161023	0.6696545	0.0571841	0.3133360	0.6852653	0.6412264	0.6019508	0.6907305	0.4554461	0.0164137
50	0.7263251	0.0096582	0.4773124	0.3174955	0.1041655	0.5362812	0.4939632	0.0391612	0.1452932	0.6535366	0.0081641	0.2797415	0.6267065	0.0307005	0.2827726	0.0413534	0.5026667	0.0973279	0.3707646	0.7883365	0.0150907	0.3790931	0.4369241	0.2497309	0.2362236	0.3748730	0.4848808	0.4004557	0.1573684	0.2980867	0.7798384	0.0892158	0.5879629	0.6478286	0.3381776	0.0524399	0.4004706	0.2880870	0.6542622	0.0436712	0.3314377	0.0413322	0.0003120	0.2843064	0.4689291	0.5387956	0.3255105	0.5090522	0.4133290	0.5756913	0.0431453	0.6178622	0.2044365	0.4335873	0.7297082	0.5570187	0.7560317	0.7298611	0.3658912	0.0141016
100	0.7049497	0.0042321	0.5275836	0.3247765	0.0939660	0.6306546	0.4150154	0.0787560	0.1185918	0.5825203	0.0001711	0.3391377	0.7217587	0.0273961	0.1208043	0.0251728	0.5686325	0.0494160	0.5566800	0.6533504	0.0330103	0.4285280	0.5413979	0.2283386	0.3540797	0.4409391	0.4451662	0.3810858	0.1052548	0.3071627	0.6651857	0.1569185	0.6241665	0.6942307	0.3852316	0.0448889	0.4567567	0.3448504	0.6220387	0.0693046	0.3600207	0.1039488	0.0027237	0.4580132	0.4608200	0.4079993	0.5472746	0.6268245	0.3279516	0.6651886	0.0731688	0.7401068	0.2742711	0.4037082	0.6461582	0.5965091	0.6820342	0.7034789	0.5276998	0.0032756
150	0.6918520	0.0009364	0.4689464	0.4435749	0.0589843	0.7361854	0.4373808	0.0644714	0.1550042	0.6306859	0.0000007	0.2919946	0.6863764	0.0231501	0.0973892	0.0236300	0.5140831	0.0173990	0.6127331	0.7426969	0.0871057	0.5114970	0.5697776	0.2423536	0.4794005	0.5230491	0.5247759	0.4192569	0.1861742	0.4071731	0.5815553	0.1009721	0.6267638	0.5783416	0.3190355	0.0735244	0.4592872	0.3176146	0.9430134	0.0516132	0.2942992	0.0753566	0.0005277	0.6142714	0.4230095	0.5033103	0.5059704	0.7708563	0.3082372	0.5580424	0.0309552	0.7678673	0.3363636	0.4477236	0.6885772	0.5966781	0.7252978	0.7957197	0.5356370	0.0031091
200	0.6333121	0.0046939	0.4717662	0.3205220	0.1062648	0.5506753	0.5025137	0.0330745	0.0959098	0.5398398	0.0000804	0.3108216	0.6908613	0.0090115	0.1058715	0.0427885	0.6113106	0.0193314	0.6032085	0.8125377	0.1160551	0.3957397	0.6691573	0.4269448	0.5480527	0.4828150	0.5239376	0.5037432	0.1952355	0.3804635	0.6870741	0.1023217	0.6188012	0.6644480	0.3361948	0.0788966	0.3868443	0.3154212	0.6208179	0.0296771	0.3228640	0.0544760	0.0005060	0.3541137	0.3323654	0.4812476	0.5544466	0.6077826	0.2611603	0.6368802	0.0452801	0.7408197	0.4920548	0.3841441	0.7754117	0.6266581	0.7423868	0.7045914	0.4289613	0.0072220
250	0.7267060	0.0060632	0.5546557	0.3807710	0.0695874	0.6779593	0.4857679	0.0868667	0.1058967	0.6023990	0.0042289	0.3437397	0.6926951	0.0027021	0.0667438	0.0325316	0.5134369	0.0182856	0.6120412	0.7147886	0.1474545	0.4524217	0.6917033	0.4560151	0.6495394	0.5893932	0.4641609	0.5096689	0.1866194	0.4499888	0.7487744	0.1071179	0.7271733	0.6272320	0.3217249	0.0654395	0.4050206	0.3721563	0.6715384	0.0327953	0.2712987	0.0352109	0.0000009	0.4489334	0.3816925	0.4834052	0.5311555	0.8260939	0.2125474	0.7207280	0.0442103	0.8192215	0.3343202	0.4990036	0.7578159	0.5634751	0.6683210	0.7840087	0.4162799	0.0052095
300	0.5537088	0.0195402	0.4778848	0.4121162	0.1327235	0.5584705	0.4933234	0.0352643	0.1454335	0.5299694	0.0000000	0.3709143	0.7683253	0.0004668	0.0562318	0.0396482	0.5333623	0.0173739	0.7440785	0.7673176	0.1543137	0.5023034	0.5529996	0.4765420	0.5345017	0.4024350	0.4933636	0.5819187	0.1858326	0.3406266	0.7343513	0.1255624	0.6301294	0.5777252	0.2283130	0.1059180	0.3184209	0.2826183	0.6655942	0.0702486	0.2554517	0.0585812	0.0001741	0.4847829	0.3864156	0.5698383	0.5473793	0.6380615	0.2216399	0.5997261	0.0489847	0.6544081	0.3938075	0.5619407	0.7052796	0.6540991	0.7090263	0.6766768	0.4790927	0.0000000
350	0.6125022	0.0222555	0.5357008	0.3234815	0.1031699	0.5227057	0.4794643	0.0668627	0.1815177	0.4474738	0.0000026	0.3900109	0.7054778	0.0004370	0.0594587	0.0229982	0.5779678	0.0083270	0.6263313	0.7474093	0.1578024	0.5649651	0.7298833	0.3578600	0.5261221	0.4056696	0.6718369	0.4875203	0.3464100	0.4610602	0.7099086	0.0793332	0.7714748	0.7358490	0.3387251	0.0792472	0.3602197	0.2410750	0.9009898	0.0954568	0.1922657	0.0510966	0.0003589	0.4302337	0.4446791	0.6283813	0.5529149	0.7049418	0.3096001	0.6068702	0.0512128	0.7580387	0.3908409	0.5198335	0.7364113	0.5756237	0.6428802	0.8415827	0.5307055	0.0053629
400	0.8408775	0.0135012	0.6280832	0.4048159	0.0681025	0.6308340	0.5663136	0.0762286	0.0890788	0.4979710	0.0000060	0.2662091	0.7467477	0.0015033	0.0592478	0.0243490	0.6421589	0.0153217	0.6499306	0.7151243	0.1881039	0.5262892	0.6186182	0.4661404	0.5309882	0.4597767	0.6515830	0.4157917	0.4341815	0.3173021	0.6803158	0.0840611	0.7017008	0.7136903	0.3587013	0.0978916	0.4079395	0.2721039	0.7279846	0.0983909	0.2535954	0.0623721	0.0003820	0.4023483	0.4473241	0.5663335	0.5564374	0.6344886	0.2668329	0.5418105	0.0556008	0.8301367	0.3674371	0.5436384	0.6767972	0.6644339	0.5072234	0.7157584	0.4283084	0.0063366
