"Time"	G1	G20	G10	G2	G17	G4	G16	G18	G94	G8	G95	G98	G7	G6	G46	G100	G36	G37	G38	G34	G3	G35	G11	G56	G5	G19	G15	G14	G12	G39	G49	G44	G22	G21	G41	G50	G13	G51	G53	G52	G55	G42	G40	G45	G54	G43	G57	G72	G67	G48	G9	G61	G47	G60	G59	G99	G58	G80	G89	G88	G81	G83	G82	G79	G84	G78	G77	G86	G91	G90	G85	G75	G93	G69	G92	G87	G68	G96	G97	G63	G27	G26	G25	G23	G24	G62	G76	G31	G30	G70	G74	G71	G29	G73	G28

0	0.2583797	0.1294891	0.2213598	0.1127977	0.2050018	0.4453649	0.1914956	0.5613617	0.6889156	0.2759956	0.7315139	0.5733699	0.0087943	0.4129845	0.3006005	0.7514701	0.7034130	0.5410518	0.3807281	0.7248199	0.5603535	0.0463658	0.0366240	0.5977330	0.1772530	0.1799452	0.1783896	0.2180236	0.4492002	0.0172825	0.6324928	0.4761027	0.6650926	0.3456362	0.2798419	0.7275993	0.6210465	0.2117765	0.2788929	0.0220252	0.2876412	0.2613560	0.2419233	0.5176496	0.6722115	0.6266421	0.2724115	0.5563420	0.6387724	0.3112883	0.6547295	0.7102271	0.3663643	0.1079366	0.0962465	0.8676661	0.0993731	0.0139103	0.5171708	0.0092226	0.0593558	0.5278136	0.3429800	0.6183931	0.1502830	0.5078102	0.0379620	0.6419742	0.0003052	0.3756227	0.0869388	0.7387461	0.2464097	0.4006896	0.4793472	0.6381266	0.0696715	0.6338225	0.7038871	0.5318607	0.3882248	0.1531718	0.6317165	0.6962951	0.6007741	0.5252540	0.5674774	0.4288646	0.7848705	0.3638008	0.2296047	0.1490593	0.3794360	0.1503756	0.8071284
50	0.2113014	0.3319686	0.2619364	0.1201947	0.2557865	0.5872578	0.2315508	0.4362961	0.6596119	0.2802602	0.5906228	0.6270739	0.0021681	0.2472617	0.3320764	0.5995084	0.5884455	0.5497127	0.3388105	0.6600547	0.3867687	0.1013778	0.0311491	0.3020891	0.2327398	0.1677342	0.1214637	0.1372298	0.5506796	0.0140723	0.4459876	0.4105042	0.6354441	0.3812575	0.5308300	0.6308822	0.6416469	0.1810951	0.3672804	0.0774174	0.0860733	0.3164641	0.3870249	0.4909213	0.2574110	0.7065033	0.5161343	0.3109796	0.7061220	0.3512564	0.6674172	0.5997337	0.2341467	0.0830850	0.0965657	0.2798634	0.1733838	0.0117249	0.3912823	0.0208528	0.0924222	0.4759404	0.3467676	0.5893755	0.0823431	0.5484390	0.0415173	0.6066826	0.0731821	0.4111314	0.0616209	0.5542372	0.5554212	0.4928335	0.5175833	0.7777925	0.0722189	0.7337039	0.7617168	0.5173048	0.0290927	0.1259536	0.6380091	0.7977358	0.5283107	0.4591062	0.4220703	0.2692338	0.4130039	0.3190373	0.0952210	0.2458346	0.6128627	0.0881709	0.6815561
100	0.2560726	0.3442334	0.2415620	0.0454064	0.3004330	0.7723201	0.2304329	0.4945147	0.6628646	0.2463281	0.6932875	0.6781910	0.0062397	0.2429341	0.2646775	0.5867775	0.5781627	0.5991321	0.3770359	0.7263118	0.5808381	0.0553994	0.0429445	0.2243423	0.2887415	0.1904964	0.0776170	0.1109507	0.4192575	0.0296320	0.4828685	0.4687696	0.5753236	0.3576988	0.5230464	0.6438209	0.6587507	0.1467986	0.3286591	0.0937997	0.0172366	0.3464503	0.2210980	0.4054512	0.0702449	0.6457239	0.6286070	0.2483353	0.5709442	0.2780038	0.6609166	0.6762857	0.1762581	0.0348794	0.1239206	0.1244693	0.1982858	0.0186828	0.3369409	0.0131573	0.0941042	0.4172920	0.3623013	0.6277087	0.1084011	0.5136029	0.0376611	0.5684974	0.0834526	0.2957071	0.0618157	0.5681226	0.7014908	0.4415603	0.4247144	0.6994586	0.0244488	0.6763781	0.5355420	0.5419726	0.0149779	0.1380783	0.6184209	0.6058576	0.6430360	0.4554609	0.3234467	0.3786828	0.3830480	0.1433200	0.1563745	0.2439594	0.7942336	0.1106923	0.5967261
150	0.2616394	0.2228940	0.2371079	0.0468147	0.3007142	0.7679067	0.1359386	0.4781978	0.6863625	0.2164188	0.6858888	0.6800398	0.0109609	0.2053596	0.3649028	0.8601513	0.5901148	0.7918589	0.3850292	0.7936978	0.5944317	0.0580519	0.0886969	0.2592425	0.1422482	0.2495809	0.0327599	0.1663182	0.4891884	0.0318434	0.3906712	0.3997427	0.7213643	0.3776592	0.6170656	0.7331637	0.6175110	0.1571404	0.2580301	0.0847934	0.0108600	0.2863438	0.3333715	0.4561159	0.0622456	0.6811741	0.6814140	0.1401212	0.5688580	0.4368120	0.6393062	0.5437437	0.2024144	0.1104194	0.1112196	0.0507497	0.1413462	0.0080217	0.3001194	0.0257178	0.0606280	0.4137418	0.4297739	0.7788017	0.0880828	0.4247503	0.0456838	0.4506217	0.1386164	0.3273345	0.0572824	0.5603954	0.5851965	0.4420159	0.4739812	0.7032533	0.0407354	0.6083716	0.6782807	0.5428338	0.0041771	0.1609045	0.6015406	0.5261250	0.4805822	0.4422496	0.2752460	0.3779695	0.2640165	0.1348307	0.1026962	0.1936612	0.7143409	0.0418691	0.6736603
200	0.1490972	0.3158488	0.2374759	0.0420997	0.2294289	0.6545873	0.1375939	0.5309913	0.7333891	0.1693864	0.8731675	0.6408196	0.0131180	0.2087663	0.3223090	0.7481554	0.6618702	0.6783129	0.4471991	0.7383845	0.6440303	0.0195802	0.3345062	0.2457836	0.1814842	0.2448732	0.0529458	0.1513669	0.5336711	0.0139282	0.3934241	0.3749439	0.6223322	0.3628498	0.4555425	0.6301938	0.5993905	0.1904794	0.3144141	0.0864338	0.0008098	0.2973763	0.2839230	0.3317014	0.0395729	0.7599051	0.5011378	0.1142834	0.5978200	0.2039131	0.5633196	0.5834849	0.2081318	0.1106421	0.1263292	0.0792927	0.1168688	0.0077851	0.4311849	0.0042436	0.0623943	0.5979663	0.4007533	0.6681572	0.0964361	0.3959567	0.0333485	0.4334149	0.1415885	0.2642840	0.0353641	0.5761918	0.7531821	0.5467215	0.3979963	0.5875594	0.0285191	0.6697362	0.7002361	0.5774310	0.0076939	0.1609596	0.7113537	0.7182371	0.5640027	0.4274909	0.3818727	0.4788324	0.2854201	0.1310416	0.1245796	0.1969470	0.7117100	0.1018563	0.6072905
250	0.1785679	0.3027719	0.3337996	0.0860151	0.3632721	0.6555574	0.2118218	0.3843940	0.7119073	0.1920897	0.7078260	0.6477795	0.0049165	0.2215697	0.2352764	0.7279186	0.5533672	0.6202320	0.2514713	0.6409510	0.6335283	0.0308617	0.4672776	0.2453289	0.3577129	0.1984071	0.0879815	0.1078353	0.7171592	0.0349976	0.3746628	0.3078287	0.6696804	0.3785440	0.4497871	0.5580168	0.5392909	0.1619510	0.3796847	0.0919132	0.0012274	0.3195797	0.3478842	0.4330417	0.0256056	0.5800050	0.5932621	0.0902406	0.4107361	0.3255353	0.6303416	0.7335518	0.2285471	0.1068399	0.1175810	0.1035836	0.1298484	0.0045675	0.3249157	0.0526122	0.0617284	0.5488458	0.3685702	0.5961158	0.1283631	0.4015969	0.0651903	0.3575727	0.1197543	0.2506248	0.0277765	0.6498749	0.6256236	0.5872852	0.3730682	0.7222933	0.0496255	0.5991911	0.6665952	0.4950007	0.0107993	0.1333971	0.6688376	0.6738682	0.6077835	0.5417186	0.3030202	0.4139903	0.3734585	0.0851174	0.0811499	0.2508813	0.5865339	0.0345010	0.7440663
300	0.4130036	0.2780344	0.2506998	0.0476181	0.2345947	0.6957692	0.1537291	0.4265382	0.6641255	0.2805132	0.6612806	0.6261173	0.0032086	0.2270823	0.3296687	0.6532186	0.4968926	0.6553134	0.4507291	0.5850501	0.5836489	0.0887549	0.1580106	0.1910449	0.2907150	0.1483260	0.1001814	0.0861871	0.6011421	0.1937198	0.4243835	0.4148001	0.6400712	0.2857591	0.4811717	0.6419321	0.5218087	0.1596117	0.4571834	0.0867613	0.0031637	0.4230316	0.2974795	0.5375583	0.0545441	0.6098996	0.6087207	0.0915953	0.3945259	0.3197909	0.5718742	0.6691709	0.2258883	0.0887524	0.1407160	0.0738515	0.1770493	0.0016803	0.3450021	0.0122383	0.0508525	0.3721225	0.3581914	0.6845137	0.1091967	0.4351682	0.0230110	0.4399882	0.0894821	0.2461335	0.0722703	0.6471180	0.6533885	0.4801675	0.4852085	0.6686156	0.0527290	0.5886196	0.5980585	0.5031776	0.0025322	0.1498041	0.6642473	0.7299139	0.6117286	0.4497091	0.2711460	0.4463459	0.1983811	0.0635489	0.1276419	0.2743023	0.5855911	0.0430958	0.6254170
350	0.2525835	0.3884957	0.2572351	0.0826307	0.2147643	0.6802974	0.0766703	0.5205889	0.5838442	0.1874108	0.6608356	0.7593068	0.0093838	0.2018034	0.2632035	0.7011298	0.5242266	0.6408001	0.4147502	0.6745168	0.6044833	0.1112197	0.1218113	0.1752771	0.0937025	0.2514540	0.0454068	0.1029452	0.4984615	0.1179792	0.4708708	0.4022446	0.7302448	0.3019568	0.6255457	0.7134714	0.6138534	0.1363132	0.3529892	0.1087448	0.0000790	0.3759387	0.2467148	0.4861140	0.0644936	0.7086199	0.7356969	0.1590618	0.3693208	0.3836232	0.6551432	0.6501823	0.2252261	0.1135837	0.1090348	0.0665661	0.1964227	0.0109180	0.2586733	0.0104676	0.0642363	0.4160484	0.3515468	0.7039042	0.1297971	0.4283175	0.0559887	0.4200426	0.1259364	0.2514589	0.0896763	0.6879936	0.5636362	0.5255009	0.3985943	0.6950965	0.0688889	0.6079325	0.6301425	0.3813262	0.0003440	0.1180897	0.7508878	0.5839257	0.5731204	0.5055954	0.2081576	0.4229067	0.2354325	0.0972243	0.0994109	0.2076841	0.7374902	0.0554581	0.6734551
400	0.1984615	0.2596051	0.2059491	0.0284294	0.1855839	0.6697239	0.1337330	0.5223654	0.6149035	0.2435124	0.6837880	0.6523823	0.0066586	0.2472639	0.3692132	0.8276332	0.4828389	0.6927323	0.4774471	0.6373271	0.5734866	0.0669816	0.3711891	0.2704957	0.1470297	0.2801335	0.0640186	0.1969418	0.5776009	0.0445246	0.4450759	0.3682889	0.7760457	0.2683737	0.6128493	0.5322918	0.5156069	0.1400169	0.2314040	0.1003399	0.0026219	0.2667734	0.2344635	0.3378428	0.0237008	0.6401959	0.6412307	0.1258424	0.3104137	0.3434732	0.7135809	0.5663819	0.2288597	0.1543383	0.1233788	0.0988247	0.0782496	0.0263750	0.3339436	0.0251481	0.0854173	0.6047476	0.3756016	0.5949596	0.1245764	0.4513599	0.0445730	0.4074921	0.1363591	0.3233560	0.0442623	0.6104691	0.6084083	0.6314887	0.3824914	0.7018060	0.0339343	0.6991854	0.7165680	0.5426525	0.0175070	0.1575746	0.7022647	0.6404318	0.5185311	0.3731308	0.2657730	0.4055460	0.2796353	0.0619761	0.1054406	0.1957631	0.7025361	0.0544334	0.6561583
