"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100

0	0.6326786	0.0859364	0.4857704	0.4829413	0.2537507	0.3513921	0.4613955	0.0660928	0.5410777	0.2597113	0.5862390	0.5946118	0.5275662	0.4488999	0.6039554	0.2072686	0.3568608	0.4103630	0.2261937	0.7747817	0.3587420	0.0375039	0.6497157	0.3679876	0.0157571	0.0401375	0.1193882	0.5926401	0.5213449	0.7265184	0.4105041	0.6287112	0.0854954	0.5892174	0.5165132	0.3103673	0.4506142	0.4289200	0.3836986	0.2680976	0.0459146	0.2133335	0.3314024	0.7299782	0.6107845	0.0311551	0.0957483	0.4280679	0.4383637	0.3898608	0.2378382	0.6152691	0.1087752	0.5259594	0.5589744	0.1434874	0.4079205	0.4652018	0.5874486	0.5596567	0.4617215	0.5924269	0.3473822	0.2223120	0.2106231	0.4217729	0.3216064	0.1909571	0.5643748	0.1850826	0.1621719	0.2461049	0.0697267	0.3173397	0.3571414	0.1435572	0.0205768	0.5005183	0.4807618	0.1641809	0.3520332	0.2829703	0.5215147	0.1868499	0.3402087	0.6503643	0.2481804	0.5690816	0.4150853	0.5566559	0.3644654	0.5039106	0.5488076	0.6430618	0.5494860	0.6442156	0.3179274	0.6741091	0.6789808	0.6504078
50	0.6285524	0.0551912	0.4561768	0.5737297	0.2638153	0.4806654	0.5392854	0.0653181	0.3288463	0.2163549	0.6396537	0.0295107	0.0756073	0.3790180	0.6576170	0.1838706	0.3962958	0.5258461	0.1268253	0.6837760	0.1409881	0.0092441	0.3851526	0.5842911	0.0386810	0.0245238	0.1607081	0.4563798	0.5430699	0.6668539	0.4481053	0.4309753	0.0700193	0.5075655	0.4960562	0.2346899	0.4232958	0.4952488	0.4660958	0.0842823	0.0349878	0.3139528	0.5223991	0.6508274	0.6848974	0.1474477	0.0986366	0.3514727	0.3122153	0.6084420	0.2078480	0.5938323	0.0801691	0.5006906	0.3201394	0.1022599	0.3013046	0.5174197	0.7565198	0.4529529	0.5601248	0.6216538	0.3792627	0.2643240	0.2772094	0.4439221	0.3222788	0.2508367	0.6861217	0.0763107	0.2433245	0.1748722	0.1141425	0.3267083	0.3400462	0.1760252	0.0067600	0.4330062	0.4810117	0.1905951	0.5665620	0.2582817	0.6377842	0.1538751	0.1524971	0.6707888	0.2615398	0.4542811	0.5564503	0.0844490	0.3597279	0.4678965	0.5037540	0.5779927	0.6767364	0.6673746	0.3893599	0.3684805	0.3804190	0.6807838
100	0.4925407	0.0786168	0.4685949	0.4877993	0.2884654	0.4000351	0.4700785	0.0888088	0.2901570	0.1808792	0.5517952	0.0143674	0.0645856	0.2755146	0.5112112	0.1735501	0.4173807	0.6112526	0.2090613	0.6968194	0.0590806	0.0364609	0.3100907	0.5022876	0.0333734	0.0633713	0.1825462	0.3006065	0.5175695	0.6570058	0.4734767	0.5081934	0.1346336	0.3228088	0.4784723	0.2293905	0.4546793	0.3806132	0.4219893	0.0137875	0.0200292	0.2098626	0.5847675	0.5737915	0.6758321	0.2041151	0.0853000	0.4331461	0.4529255	0.4791192	0.2401386	0.6691775	0.0897634	0.4295499	0.3247669	0.0947015	0.3841325	0.4887349	0.6598915	0.4755752	0.6052223	0.6386625	0.2658568	0.2729264	0.2556458	0.4696157	0.2288691	0.2003881	0.6361086	0.0961208	0.1742093	0.1257866	0.1389977	0.2179908	0.4414932	0.1528545	0.0001073	0.4228810	0.4607649	0.1783591	0.4788544	0.2955358	0.6237203	0.1478033	0.0347868	0.5532236	0.2172393	0.5833337	0.5861707	0.0412305	0.4706518	0.3773801	0.5076101	0.7375641	0.6046329	0.7589662	0.3572113	0.3648817	0.3582948	0.6177145
150	0.5799325	0.0724308	0.5026423	0.5163111	0.2928607	0.3556962	0.4927726	0.0678272	0.3051409	0.1742965	0.6114074	0.0133011	0.0179589	0.3458949	0.6138004	0.1806816	0.3086421	0.6637414	0.1647079	0.6841145	0.0845073	0.0232185	0.3119925	0.5914799	0.0193208	0.0173995	0.1371823	0.3644705	0.4272800	0.6597664	0.4650451	0.3408398	0.1526744	0.3618429	0.3692218	0.1465979	0.4620084	0.4058324	0.5254197	0.0070695	0.0200890	0.2288342	0.7414932	0.5936140	0.6479634	0.2496121	0.0641148	0.4468259	0.4199380	0.4166603	0.2680793	0.6680844	0.0856437	0.5277968	0.3479796	0.0677124	0.4346514	0.5140270	0.7625575	0.4636750	0.7834810	0.6087756	0.2846009	0.2776413	0.2490212	0.5187166	0.3515794	0.2012600	0.6093559	0.1040034	0.1182295	0.2111553	0.1739914	0.1657355	0.3390421	0.1535054	0.0016845	0.4066497	0.5476488	0.2536324	0.6581301	0.2850831	0.5507269	0.2419377	0.0377355	0.7199614	0.2383624	0.4931272	0.6144516	0.0336820	0.5233935	0.3888872	0.4737206	0.5729975	0.6976523	0.7498147	0.3217223	0.4297207	0.3870477	0.6954586
200	0.6972832	0.1244221	0.5333857	0.5956115	0.3330624	0.4284656	0.3840744	0.0570922	0.3808161	0.1672719	0.6097234	0.0074259	0.0013659	0.2779814	0.5619147	0.1806029	0.3618853	0.7487590	0.1911012	0.7027583	0.0658766	0.0117675	0.2346012	0.5290280	0.0105796	0.0437074	0.1789240	0.3155843	0.3217526	0.6937861	0.5949505	0.3150244	0.1647390	0.2008169	0.2900822	0.0812717	0.3442294	0.4834945	0.4167472	0.0014858	0.0097428	0.2099462	0.6723935	0.6822333	0.6807031	0.2169005	0.0784076	0.3764995	0.3902409	0.4598009	0.3033859	0.6350738	0.0702849	0.5239036	0.2722090	0.0983504	0.3712730	0.5138667	0.5367693	0.4967734	0.7044318	0.7952368	0.3081591	0.2047121	0.2178397	0.4252993	0.3218687	0.2341021	0.6940837	0.1437647	0.1811360	0.2834915	0.1870506	0.2183096	0.3148777	0.1930776	0.0026974	0.4706007	0.5370496	0.2258368	0.5783622	0.2207986	0.5475037	0.1993959	0.0157281	0.7144735	0.2216163	0.5000362	0.5625444	0.0382179	0.5634997	0.3678111	0.5228951	0.7874104	0.6037660	0.8120589	0.4177294	0.3546990	0.3352963	0.7066390
250	0.6354018	0.0982176	0.4977645	0.5276415	0.3196795	0.3536328	0.4479795	0.0742941	0.3930341	0.2195351	0.6242949	0.0140188	0.0022105	0.2749453	0.4734216	0.1345741	0.3204410	0.7697872	0.1578206	0.7754104	0.0785420	0.0090120	0.1807861	0.5951652	0.0522754	0.0179131	0.2188904	0.2738774	0.3220129	0.8038284	0.3675897	0.4660371	0.1797561	0.2467521	0.3761685	0.1862631	0.4164038	0.3464655	0.4110203	0.0014687	0.0453065	0.2532031	0.6012123	0.7367166	0.6956238	0.1746017	0.0837799	0.3600133	0.3667585	0.6352135	0.2523226	0.6460640	0.0972113	0.4186878	0.2544641	0.0748258	0.3918361	0.5267251	0.6056539	0.5880951	0.6371744	0.7140827	0.4105038	0.2540629	0.2587779	0.5252920	0.4291054	0.2363865	0.6035450	0.1226189	0.1510490	0.2889753	0.3095398	0.2890486	0.4175739	0.3090171	0.0030143	0.4071128	0.4779680	0.1757418	0.5163796	0.3414673	0.5230088	0.1784212	0.0182327	0.6911200	0.2408635	0.5841837	0.5610037	0.0104419	0.8498137	0.3884086	0.5135297	0.7337064	0.6902373	0.6810942	0.3136964	0.3069471	0.3539162	0.6822202
300	0.6088891	0.0643310	0.4687759	0.6253682	0.3101063	0.4779425	0.3623642	0.0541208	0.2814781	0.2138586	0.5902884	0.0140062	0.0196356	0.2616292	0.6271043	0.1649490	0.3082265	0.5493166	0.1698572	0.7569111	0.0994084	0.0239321	0.2565891	0.5238723	0.0336984	0.0284613	0.0979307	0.3093160	0.2771711	0.6860394	0.4307361	0.3614121	0.1831401	0.3620141	0.3304165	0.1396807	0.4780194	0.3956975	0.3944297	0.0012980	0.0196894	0.2205417	0.6150095	0.6155185	0.7365124	0.1985236	0.0648912	0.3994692	0.3473330	0.4623420	0.2137904	0.8061953	0.0567190	0.4166817	0.2719562	0.0931486	0.4166813	0.5293490	0.6090246	0.5209230	0.6555666	0.5914625	0.4903346	0.1741162	0.2919405	0.4285529	0.5327941	0.2608011	0.6769845	0.1428130	0.2694047	0.4150078	0.4808733	0.2542123	0.4044866	0.3134011	0.0068054	0.4418432	0.4161957	0.1415962	0.8176255	0.2838364	0.5187597	0.1974423	0.0128858	0.5973190	0.2623230	0.5623124	0.5807837	0.0237400	0.5937363	0.3928330	0.5382204	0.5641964	0.4944007	0.5897536	0.3420652	0.3668980	0.4278756	0.6576646
350	0.7661337	0.0541227	0.3800490	0.6452495	0.3410889	0.3765310	0.4751999	0.0959496	0.3612308	0.2329242	0.7255041	0.0081427	0.0046748	0.3061919	0.6163034	0.1989613	0.2849141	0.5756313	0.1888790	0.6729542	0.0599161	0.0201309	0.2785494	0.5081647	0.0178871	0.0260514	0.0966135	0.2127756	0.1768390	0.6966441	0.3959252	0.4173268	0.2645920	0.2781135	0.3599226	0.1054262	0.3874036	0.3879332	0.3677966	0.0000000	0.0304181	0.1866989	0.6927760	0.6771913	0.6656622	0.2380895	0.0651141	0.5275912	0.4394282	0.4692902	0.2078948	0.6896729	0.0413410	0.4696118	0.2845474	0.1115363	0.3412201	0.5412835	0.5554694	0.5035084	0.7466405	0.6584217	0.3286717	0.1559399	0.3186193	0.3753118	0.4577028	0.3359208	0.5771797	0.2652469	0.3924360	0.5257243	0.4866446	0.2809942	0.3791817	0.3915345	0.0012380	0.4947572	0.5419437	0.1622248	0.6363172	0.3041400	0.5511388	0.1979735	0.0160043	0.6494319	0.2460127	0.5162751	0.5747863	0.0542421	0.5209654	0.3820811	0.5353175	0.5811294	0.6423372	0.6634447	0.3301029	0.3805563	0.3398757	0.6013947
400	0.7657534	0.0766210	0.5231160	0.5621969	0.2353904	0.3758559	0.5711417	0.0761216	0.3508061	0.2166842	0.6836653	0.0049926	0.0062389	0.2897613	0.6869429	0.1713011	0.2885736	0.6472720	0.2397987	0.6517946	0.0909946	0.0334285	0.2212620	0.5335836	0.0135684	0.0261541	0.1414719	0.3859025	0.2320151	0.6432025	0.4539760	0.3549993	0.2354739	0.3509767	0.2423454	0.0721177	0.4841234	0.3667004	0.3207287	0.0025449	0.0236690	0.2175080	0.5177133	0.7398115	0.6387351	0.2004657	0.0959385	0.3580907	0.4527325	0.4938472	0.2236573	0.5876263	0.0900561	0.4265825	0.2345296	0.1577501	0.3119255	0.5726091	0.7199695	0.5210159	0.6598191	0.7479348	0.2894861	0.1431044	0.1853137	0.3412921	0.4661027	0.3491604	0.6311860	0.2375704	0.4568819	0.5317249	0.4260531	0.3449191	0.3898884	0.4314457	0.0012868	0.4386368	0.4699986	0.1476604	0.6832032	0.2452251	0.5754701	0.0659296	0.0263764	0.7782923	0.2274593	0.5663381	0.5104212	0.0205826	0.6216501	0.3422323	0.5839384	0.6509590	0.6126057	0.7256642	0.3298306	0.3044976	0.3697736	0.6263674
