"Time"	G1	G2	G10	G20	G4	G17	G16	G9	G11	G18	G94	G56	G3	G5	G19	G13	G12	G14	G15	G50	G41	G51	G53	G52	G42	G55	G21	G22	G54	G40	G49	G44	G35	G39	G45	G48	G95	G61	G47	G98	G43	G8	G72	G67	G57	G79	G60	G82	G88	G80	G84	G81	G83	G89	G85	G77	G78	G91	G90	G75	G86	G59	G58	G99	G92	G69	G93	G87	G68	G34

0	0.4049720	0.0015903	0.3193591	0.0962450	0.6745144	0.7470010	0.5612532	0.1382393	0.4479489	0.3329391	0.7153456	0.4247489	0.0017221	0.3544935	0.1822597	0.3324601	0.6647149	0.4841200	0.3394762	0.2306969	0.2207462	0.2959010	0.2376716	0.3365443	0.5582187	0.0522485	0.2438587	0.5121778	0.0136140	0.3505240	0.4591188	0.6369906	0.6306641	0.2918280	0.4898282	0.3999121	0.6122023	0.4070041	0.1983448	0.5696233	0.0084870	0.2917965	0.5763292	0.7596866	0.4233456	0.6071507	0.2232859	0.0019570	0.0129413	0.0172647	0.6331211	0.4009705	0.5297092	0.3804084	0.1982003	0.0266604	0.6480340	0.2761824	0.4198733	0.3417314	0.6224869	0.3392595	0.0693291	0.6026196	0.0390497	0.3109358	0.2382755	0.6417816	0.3650712	0.6143284
50	0.5789413	0.0038810	0.2353635	0.1871187	0.5642284	0.5247586	0.4897875	0.0388673	0.4087061	0.3724643	0.6358632	0.4908917	0.0006496	0.2559632	0.2041989	0.3352327	0.6100582	0.3659857	0.3501086	0.2777815	0.1187691	0.1106346	0.3143132	0.3082535	0.4062820	0.0213145	0.2406282	0.6740869	0.0021660	0.3969532	0.5064010	0.5730787	0.5885595	0.2889395	0.5855731	0.1137391	0.5360723	0.4681021	0.2645970	0.7706376	0.0012882	0.1993643	0.3051404	0.7035395	0.6622401	0.6477950	0.2610208	0.4534965	0.0017705	0.0058423	0.6623384	0.5179851	0.5609554	0.4201670	0.2730475	0.0421821	0.6414393	0.2429950	0.6189460	0.2491913	0.6976121	0.3090756	0.0573183	0.6403170	0.4084249	0.3144653	0.5413632	0.6060718	0.2592344	0.4153070
100	0.8103622	0.0009296	0.2193392	0.2384032	0.6243155	0.4812578	0.5463620	0.0386328	0.3805502	0.4190232	0.6012443	0.3919718	0.0000000	0.2974749	0.2970370	0.2920106	0.6901764	0.5250231	0.2739737	0.2488049	0.1897672	0.0743721	0.2904399	0.2186460	0.5452399	0.0206204	0.2219873	0.5292177	0.0169407	0.2996241	0.4714590	0.6040527	0.6731808	0.4173437	0.6417178	0.0627353	0.7237923	0.4401566	0.2780952	0.6088917	0.0071697	0.1767914	0.2743621	0.6690662	0.5571653	0.6805873	0.3355340	0.5728627	0.0028527	0.0117646	0.6530259	0.4514034	0.5217382	0.4135689	0.2121061	0.0560422	0.5665414	0.2969827	0.5818788	0.2586684	0.6898853	0.3090541	0.0197351	0.6339432	0.5193622	0.3014968	0.5440625	0.4773892	0.2523018	0.3227925
150	0.7334769	0.0043343	0.3456393	0.3902362	0.6384023	0.5513750	0.4045552	0.0172063	0.3968600	0.3466651	0.6566254	0.3984806	0.0008706	0.2352790	0.2792289	0.3000761	0.6670283	0.4419028	0.2424131	0.2142955	0.2079211	0.0730980	0.3302965	0.3726554	0.5312200	0.0200862	0.2488648	0.6809144	0.0039573	0.5063230	0.6378978	0.6076213	0.6290625	0.5116288	0.6254542	0.0905011	0.6094760	0.5107688	0.3702802	0.6602168	0.0035418	0.1332015	0.2035686	0.6011233	0.5059750	0.7658571	0.4220720	0.4605309	0.0052336	0.0067680	0.6237616	0.5317413	0.5057832	0.3349690	0.2646263	0.0241051	0.6904903	0.3764981	0.5973695	0.3572779	0.6308141	0.2476551	0.0151873	0.6178311	0.4757431	0.2073056	0.5542822	0.6892824	0.3406971	0.3696915
200	0.6607542	0.0050323	0.3209145	0.3375335	0.6905876	0.5785705	0.2943364	0.0329115	0.4126649	0.3555854	0.6603872	0.3703897	0.0088924	0.3209320	0.3227960	0.2991174	0.6419984	0.3537039	0.3053880	0.2617875	0.1723947	0.0661822	0.4248599	0.2590899	0.6848393	0.0142462	0.2323144	0.5923379	0.0062532	0.4333848	0.6002655	0.6429697	0.5963792	0.4669239	0.6531801	0.0519886	0.6452086	0.4147651	0.2779030	0.6156133	0.0013191	0.0899031	0.1575717	0.6341773	0.4567940	0.7024409	0.3521311	0.5102976	0.0054170	0.0065554	0.6194863	0.4745099	0.3796732	0.4297450	0.2781751	0.0388837	0.5632747	0.2815579	0.5563031	0.2719524	0.6555028	0.3010637	0.0192428	0.5434809	0.5223914	0.2776613	0.6449095	0.6999918	0.2342503	0.3721028
250	0.7043875	0.0042692	0.2417378	0.3252441	0.6597860	0.6246809	0.3681254	0.0218179	0.4371804	0.4955367	0.6831160	0.4839793	0.0000593	0.2911161	0.2773768	0.2745793	0.5500291	0.3601363	0.3697525	0.3270230	0.1436722	0.0298506	0.3863394	0.3652648	0.4811262	0.0187692	0.2752481	0.7349129	0.0050183	0.4128495	0.5865765	0.4998753	0.5545737	0.6314462	0.5174634	0.0385334	0.5275349	0.3985865	0.2530170	0.5830241	0.0011699	0.1343552	0.1797730	0.6484867	0.4164586	0.6792359	0.3295253	0.5434521	0.0081790	0.0050085	0.6207574	0.6246088	0.4746920	0.3411178	0.3248958	0.0199866	0.6712553	0.2661600	0.5546831	0.3053799	0.5984403	0.2146160	0.0213676	0.5501617	0.5378399	0.2369848	0.6009344	0.6901495	0.2192561	0.3426523
300	0.6485442	0.0000000	0.1993696	0.4593400	0.6121492	0.5974028	0.3193407	0.0204250	0.3176454	0.4198739	0.5348109	0.3525887	0.0004086	0.2437020	0.2587423	0.2989882	0.7178070	0.3479692	0.2898987	0.2337059	0.2112437	0.0453642	0.3609086	0.2307979	0.5539353	0.0175349	0.2166859	0.6143704	0.0181913	0.3538807	0.6163917	0.6384522	0.5079970	0.4908188	0.5531059	0.0357392	0.6206625	0.4572100	0.2005251	0.6566905	0.0112244	0.1493544	0.2483630	0.6982805	0.5216461	0.6093922	0.3368443	0.6035161	0.0021882	0.0094817	0.5999544	0.5862754	0.5198925	0.3993052	0.2000942	0.0215884	0.7014988	0.3017765	0.6107373	0.2664566	0.6338495	0.2219629	0.0175606	0.6503418	0.5640254	0.3728112	0.4967873	0.6929897	0.2519577	0.2772113
350	0.6089198	0.0037239	0.2324479	0.3720285	0.6840316	0.5729737	0.3702674	0.0235338	0.3015990	0.5293962	0.6500954	0.4090862	0.0069008	0.2815165	0.4247973	0.3277574	0.6284562	0.3333533	0.2866967	0.3003239	0.1456808	0.0397287	0.3308501	0.2585814	0.4013542	0.0132375	0.2088664	0.7404365	0.0025545	0.3527693	0.5767747	0.5624820	0.4966250	0.4855211	0.5630107	0.0457125	0.6569389	0.4464220	0.1766109	0.5831886	0.0097165	0.1192076	0.1659440	0.6722721	0.5290471	0.6201455	0.3302354	0.6451659	0.0039173	0.0132331	0.6944385	0.5344178	0.3843100	0.4050274	0.2430884	0.0121034	0.6643376	0.2506194	0.5820599	0.2840777	0.6483604	0.2006185	0.0203793	0.5463329	0.5637648	0.2955704	0.6843226	0.6601502	0.3397044	0.3549095
400	0.4989760	0.0004280	0.1953515	0.3501944	0.7203085	0.5447931	0.3518120	0.0131682	0.4096381	0.4292559	0.8121525	0.4010347	0.0036656	0.3315499	0.3337550	0.2632335	0.6891322	0.4064356	0.3387195	0.3001901	0.1702075	0.0609119	0.3277086	0.2287973	0.5223864	0.0284448	0.1667381	0.6802386	0.0062697	0.3752861	0.7302730	0.5769472	0.6459326	0.5634017	0.5929529	0.0643202	0.5390014	0.5785213	0.2147155	1.0000000	0.0072232	0.1321904	0.1488697	0.6980926	0.5757366	0.6203397	0.3308619	0.6638535	0.0021036	0.0024748	0.7396934	0.5156438	0.4782235	0.4074770	0.2258493	0.0253531	0.5767022	0.3522238	0.4986965	0.2123969	0.6279975	0.2230065	0.0093420	0.6019656	0.6099806	0.3062829	0.5095211	0.6841534	0.3766218	0.2804497
