"Time"	G1	G2	G10	G20	G4	G17	G16	G8	G9	G11	G56	G3	G5	G19	G13	G15	G14	G12	G50	G41	G52	G53	G51	G21	G22	G55	G42	G54	G40	G49	G39	G35	G44	G45	G47	G18	G94	G98	G95	G43	G48	G61	G57	G79	G60	G84	G81	G80	G83	G88	G82	G89	G85	G90	G91

0	0.3298769	0.2824328	0.5727816	0.3573769	0.3258387	0.4771663	0.0205779	0.2578406	0.0306208	0.2956479	0.4637452	0.0383505	0.3472741	0.0546618	0.5069062	0.0691504	0.1732126	0.1227588	0.0828947	0.7201136	0.2534095	0.6856185	0.2287793	0.4248409	0.8288184	0.5610670	0.5716566	0.4112867	0.0271699	0.1575130	0.1873264	0.4511488	0.3284322	0.2591769	0.3195182	0.7045953	0.9375050	0.7290843	0.4308215	0.2257074	0.2981792	0.0288320	0.4954484	0.2790321	0.2154496	0.6476955	0.6595351	0.6860482	0.1377618	0.0678536	0.6399289	0.4168839	0.0218791	0.1184152	0.6531877
50	0.4576474	0.3612493	0.5807701	0.4868390	0.4417180	0.4131075	0.0172850	0.5046486	0.4334716	0.2759870	0.2590143	0.0264008	0.2661082	0.1040959	0.4424201	0.1049556	0.1429455	0.1174842	0.0767212	0.7210240	0.3012906	0.2770213	0.1772457	0.4115650	0.7560682	0.5341118	0.5173150	0.4386284	0.0451309	0.4307752	0.2623681	0.5665391	0.5667261	0.2625030	0.4063785	0.4899291	0.6816317	0.8090179	0.4540970	0.1780724	0.3363053	0.0816738	0.5964580	0.3463595	0.2202518	0.5642742	0.6536643	0.3064311	0.0462536	0.4473935	0.5578078	0.4073480	0.0397066	0.1936342	0.6361119
100	0.3765052	0.3205244	0.6435222	0.5835724	0.4997853	0.3669888	0.0139352	0.5541487	0.5057957	0.3839856	0.2568058	0.0278643	0.2716761	0.0742784	0.4741480	0.2216693	0.1704643	0.1859597	0.0741152	0.7649282	0.3108821	0.1206947	0.2213959	0.4177026	0.8043559	0.5432410	0.6156299	0.3266034	0.0554545	0.2682217	0.1980188	0.4630000	0.5579059	0.2834914	0.4913817	0.4534716	0.8681076	0.7565951	0.4748627	0.1451633	0.3182238	0.0545943	0.5218376	0.5118761	0.2785562	0.6079295	0.8182743	0.1435434	0.0437745	0.3420648	0.6346259	0.3491771	0.0968455	0.1439589	0.2449511
150	0.3156998	0.4403512	0.5528406	0.5154910	0.4079453	0.3378064	0.0220487	0.4741279	0.5621183	0.3438285	0.2984015	0.0516724	0.3089232	0.0847443	0.4779539	0.3008940	0.1911029	0.3048743	0.0697209	0.7012423	0.4997847	0.0363325	0.3260255	0.3953829	0.6529353	0.5158375	0.6605451	0.4515356	0.0573988	0.1577774	0.2729793	0.5394541	0.5749555	0.0961536	0.5331510	0.5545118	0.7166362	0.6128589	0.5254619	0.0939493	0.3134160	0.0300639	0.4424696	0.6811411	0.2589754	0.6837460	0.6442053	0.1263080	0.0738115	0.4995180	0.5205580	0.3194875	0.1547788	0.1387574	0.1154828
200	0.4811863	0.3756452	0.6350148	0.5334595	0.4884547	0.4745670	0.0292783	0.4387047	0.5182597	0.4694931	0.3018677	0.0321742	0.3410084	0.1286394	0.4904965	0.2587591	0.2810744	0.2956012	0.0661285	0.7174635	0.5751837	0.0101865	0.5421137	0.3311040	0.7936610	0.5720956	0.6140649	0.3286650	0.0602435	0.1462734	0.2071129	0.4462442	0.4564233	0.1428468	0.7219229	0.4217713	0.5423813	0.7183988	0.3336757	0.0752386	0.3466869	0.0307704	0.5989531	0.5347903	0.2206393	0.6032288	0.6291967	0.0853957	0.0224207	0.3385874	0.3836845	0.3023296	0.2133835	0.1634864	0.0256763
250	0.5017113	0.4136159	0.5184873	0.6206095	0.4726075	0.4169158	0.0108634	0.6594910	0.5920599	0.3537338	0.3303794	0.0154134	0.3230998	0.1716161	0.3982032	0.2595212	0.2810768	0.2285586	0.0291983	0.8317656	0.5699124	0.0094934	0.4964538	0.4192800	0.6311524	0.5152338	0.5431357	0.2782764	0.0380481	0.0424479	0.2946363	0.6018033	0.5816754	0.0677818	0.6150116	0.4779835	0.6788306	0.6850878	0.4391499	0.0864908	0.3751376	0.0165438	0.6014529	0.6997368	0.3912283	0.4118150	0.7650134	0.0421129	0.0590293	0.3864397	0.1883787	0.4433514	0.1529906	0.1859197	0.0142242
300	0.3351087	0.4661668	0.5647021	0.5528653	0.6847105	0.3238116	0.0162877	0.4553777	0.6884691	0.3807740	0.2766234	0.0186420	0.3516004	0.0733005	0.5763468	0.2902462	0.3650331	0.2907121	0.0492741	0.7366711	0.6007563	0.0256779	0.5710196	0.4576365	0.6938447	0.4635767	0.5700711	0.3227812	0.0195210	0.0355679	0.2357337	0.5341609	0.5933902	0.0934703	0.6524068	0.5444278	0.7846947	0.7285556	0.4459297	0.0594269	0.3599613	0.0180051	0.6520893	0.6542810	0.2624426	0.5758879	0.7962601	0.0593598	0.0274792	0.4977529	0.1696052	0.3565524	0.2434670	0.1681227	0.0178833
350	0.5729132	0.3492541	0.6982256	0.4658443	0.7507562	0.4294204	0.0061847	0.4926606	0.4830234	0.4606027	0.2346959	0.0354440	0.3926425	0.0744288	0.4767622	0.3061056	0.3802928	0.2676028	0.0406650	0.6806639	0.5866496	0.0066152	0.5395833	0.4662065	0.6617998	0.5171671	0.5525862	0.3306900	0.0747822	0.0091907	0.1871752	0.6337163	0.6619551	0.0367543	0.6252813	0.5828814	0.6928427	0.8123056	0.4419397	0.0405576	0.2989271	0.0211744	0.5251564	0.7875775	0.1548928	0.5587433	0.7130797	0.0823768	0.0308322	0.4557526	0.1108369	0.3906826	0.2247565	0.2221353	0.0221010
400	0.4517513	0.3355761	0.5301157	0.5370075	0.5546668	0.3688721	0.0050838	0.5469785	0.5754036	0.3915395	0.1782941	0.0634212	0.3267714	0.1167795	0.5588073	0.1992699	0.2681185	0.3635653	0.0425661	0.7226214	0.5384909	0.0013859	0.5887243	0.4531294	0.6503258	0.6950995	0.6428593	0.2981294	0.0628235	0.0017192	0.2592627	0.5581668	0.5950296	0.0747944	0.7078000	0.5974476	0.6421431	0.6787294	0.4839582	0.0913401	0.3032646	0.0356247	0.6120792	0.6104636	0.2010686	0.6074634	0.8206833	0.0476565	0.0271119	0.4052716	0.0904950	0.3632588	0.1979187	0.2429532	0.0165576
