"Time"	G1	G3	G5	G7	G4	G22	G83	G8	G6	G86	G87	G85	G54	G89	G88	G30	G29	G35	G100	G99	G32	G81	G23	G82	G80	G19	G18	G20	G50	G58	G51	G31	G78	G93	G94	G95	G91	G90	G2	G69	G70	G84	G97	G43	G44

0	0.3237552	0.3786356	0.0076493	0.2232919	0.3107397	0.8182761	0.7624002	0.5927335	0.4639631	0.6542598	0.8685977	0.5778543	0.0050845	0.0639045	0.4483855	0.0885563	0.5309417	0.2762334	0.6325420	0.0986439	0.3581629	0.0282765	0.6137091	0.4952833	0.1810624	0.2439760	0.8231328	0.6359716	0.0247781	0.7257834	0.0041711	0.0923867	0.5949468	0.4729939	0.6947390	0.5469411	0.0231283	0.7048162	0.7401227	0.7185690	0.7256264	0.6156385	0.7490042	0.1909391	0.1117311
50	0.0442610	0.2822111	0.0211822	0.1822152	0.1402611	0.5902413	0.7843031	0.6657068	0.5370139	0.7286630	0.1223419	0.6106061	0.0171127	0.0282125	0.4365806	0.0060786	0.3208251	0.2737636	0.5830906	0.5381135	0.3129911	0.0408080	0.5133999	0.4686204	0.2167096	0.3322652	0.6303757	0.6767639	0.3045165	0.7812093	0.3974868	0.0937521	0.7164050	0.4562899	0.6768201	0.5067372	0.0126652	0.4360521	0.7245619	0.7173380	0.7072416	0.7004999	0.7935507	0.3667516	0.0995833
100	0.0402006	0.0864254	0.2501047	0.3487504	0.1253011	0.6217394	0.5365239	0.7350600	0.6899226	0.6633513	0.0333566	0.7404616	0.0271146	0.0449108	0.3869205	0.0035394	0.2498572	0.2821670	0.5198422	0.6085334	0.3262415	0.0318581	0.5093584	0.4346300	0.2169421	0.2272899	0.6255178	0.5939880	0.4809963	0.7771275	0.5405582	0.1297806	0.6351415	0.5797523	0.6152686	0.5585441	0.0280843	0.3574882	0.6479370	0.6513635	0.7162852	0.7051812	0.6750146	0.2047976	0.1351130
150	0.0088441	0.1029093	0.4474517	0.3770233	0.1238488	0.5589676	0.7346801	0.8189222	0.6448856	0.6525847	0.0321880	0.7494417	0.0166023	0.0346742	0.3830734	0.0024359	0.1751328	0.3014043	0.4891538	0.6233754	0.4307633	0.0185698	0.5623280	0.5062855	0.2257893	0.2419582	0.9138935	0.6416539	0.4393161	0.6469056	0.4989361	0.2667644	0.6600361	0.4341722	0.6970287	0.4632598	0.0509762	0.4281448	0.6304967	0.6971034	0.6696748	0.6080469	0.5837247	0.2246844	0.0719450
200	0.0282550	0.0589955	0.5364623	0.3391519	0.0807428	0.7487582	0.6494212	0.8172702	0.7677539	0.6012185	0.0150630	0.7210783	0.0139429	0.0350109	0.4086405	0.0117729	0.1156490	0.3021459	0.6667821	0.5651987	0.5612387	0.0372352	0.6120246	0.5284262	0.1767178	0.1418985	0.8599217	0.7593693	0.4754633	0.6717049	0.5569824	0.4916266	0.7797982	0.4327274	0.8113105	0.5090280	0.0366419	0.3803560	0.8093354	0.6783191	0.6004527	0.5714559	0.7438208	0.2537721	0.0979623
250	0.0138867	0.0262021	0.6630866	0.3722376	0.0752910	0.6350214	0.7076064	0.8079263	0.6209475	0.7429662	0.0198531	0.5859975	0.0045500	0.0334568	0.3622476	0.0367969	0.1189191	0.2228750	0.5133766	0.4539157	0.5037543	0.0513663	0.4672193	0.3996999	0.1956777	0.1434592	0.8090566	0.6000463	0.6130763	0.7261195	0.4673551	0.5659676	0.8622086	0.6291512	0.7256275	0.7477601	0.0276660	0.3568702	0.7242774	0.7793252	0.6020736	0.7173558	0.7784585	0.2393938	0.0966849
300	0.0044837	0.0468830	0.6465982	0.3498302	0.0578901	0.6797139	0.7031163	0.7388246	0.7653350	0.6594725	0.0223357	0.6222060	0.0058668	0.0180506	0.4044898	0.0169558	0.1091384	0.2512186	0.5641070	0.5561836	0.5370140	0.0437635	0.5562032	0.4646267	0.1472484	0.1619471	0.6715216	0.7414592	0.4887464	0.6672833	0.4931774	0.7611614	0.6998868	0.5723519	0.7689879	0.5858911	0.0330911	0.3227512	0.7154109	0.7095706	0.6712091	0.5901175	0.7029916	0.1321411	0.0741874
350	0.0144090	0.0426502	0.6871149	0.4757224	0.1194473	0.6139541	0.6333591	0.6969195	0.7160983	0.6690384	0.0263267	0.6732650	0.0175007	0.0375180	0.3355037	0.0432768	0.1015075	0.3211158	0.5781052	0.5542809	0.6171636	0.0296857	0.7231785	0.4924777	0.2159493	0.0978957	0.6625715	0.6500298	0.4918272	0.5624599	0.6410202	0.6323064	0.5914499	0.6213341	0.7452678	0.6897716	0.0794458	0.4434854	0.6260435	0.7738587	0.6789486	0.6879667	0.7128122	0.1984277	0.0543641
400	0.0160716	0.0484999	0.6839878	0.3909554	0.0763457	0.6479219	0.7111575	0.7580535	0.8123877	0.5644438	0.0474081	0.7529250	0.0057146	0.0347357	0.3744477	0.0604820	0.1359606	0.2968908	0.5219525	0.6154840	0.6022913	0.0452213	0.4283001	0.5025660	0.1767948	0.1134403	0.8696593	0.7285545	0.4403559	0.6828770	0.4703498	0.6760750	0.7536591	0.5471317	0.7702442	0.4988653	0.0624479	0.3882576	0.6461128	0.6236681	0.5063078	0.6875627	0.6941813	0.2737931	0.0544555
