"Time"	G1	G3	G8	G5	G4	G22	G83	G7	G6	G85	G86	G87	G54	G88	G89	G30	G29	G35	G100	G99	G32	G19	G18	G20	G81	G23	G80	G82	G51	G31	G58	G50	G78	G94	G95

0	0.0425855	0.0196241	0.5977023	0.5606191	0.0788790	0.7098584	0.0555621	0.7346425	0.7764987	0.0398235	0.6609176	0.4071449	0.0567377	0.6221959	0.3541744	0.3815601	0.1433735	0.6974844	0.6683044	0.0029004	0.6729823	0.2871461	0.7461251	0.6115092	0.0071768	0.4155162	0.1003553	0.4438099	0.0054251	0.2923229	0.6584423	0.0434010	0.3210747	0.6108863	0.6870681
50	0.0595584	0.0228150	0.6106814	0.6620538	0.0942464	0.6426115	0.0545216	0.5140234	0.3765235	0.0337806	0.5910192	0.4206403	0.0365475	0.1116953	0.3531995	0.5865583	0.1490037	0.5456916	0.7228336	0.0026581	0.6021807	0.2907972	0.7406899	0.5405655	0.0394872	0.4215030	0.1277881	0.3605401	0.0086086	0.4117869	0.6252794	0.0408045	0.3545880	0.5363522	0.6766962
100	0.0372978	0.0209557	0.7463030	0.5722236	0.0842923	0.5986668	0.0618598	0.6108118	0.2788369	0.0367272	0.6713186	0.4952580	0.0745313	0.0338489	0.2461856	0.5535028	0.1553503	0.7109094	0.6616621	0.0000000	0.7291552	0.1964817	0.6861449	0.6125319	0.0537583	0.4819361	0.1043956	0.3732030	0.0017327	0.3542768	0.8441197	0.0212748	0.3602328	0.6182760	0.5668489
150	0.0331028	0.0146384	0.6856295	0.5544969	0.0768546	0.4922318	0.1057432	0.7134504	0.2202223	0.0334586	0.5542343	0.5003242	0.0532105	0.0253706	0.2436468	0.5944548	0.1115382	0.7636782	0.7067356	0.0014711	0.5965031	0.2678283	0.6369590	0.5272523	0.0671664	0.4178740	0.1129668	0.3120071	0.0079044	0.3414585	0.6647508	0.0376894	0.2701006	0.5456166	0.6506088
200	0.0068369	0.0312061	0.6434573	0.6477672	0.0600772	0.5759149	0.0779092	0.8301483	0.2157729	0.0188647	0.5800385	0.4891298	0.0240257	0.0095076	0.1209944	0.7502021	0.2020452	0.5921514	0.6730973	0.0013794	0.6113389	0.2361840	0.6772381	0.5627197	0.0593908	0.3351088	0.1146788	0.3111849	0.0054940	0.3327648	0.6138362	0.0276250	0.3863599	0.6236029	0.7049040
250	0.0327997	0.0102939	0.6272289	0.6378400	0.0685769	0.5525657	0.0427235	0.6627599	0.2279406	0.0534919	0.6908112	0.5415412	0.0399795	0.0130269	0.0856315	0.6246784	0.1898572	0.7451413	0.5678137	0.0001801	0.6201886	0.2647292	0.7705306	0.6001910	0.0282242	0.4328084	0.1234503	0.3932744	0.0054123	0.3405963	0.6137795	0.0251996	0.4466814	0.6285161	0.6484191
300	0.0329502	0.0179584	0.5990798	0.6113670	0.1158956	0.6321654	0.0818274	0.7254767	0.2716453	0.0278319	0.6572209	0.5525115	0.0549329	0.0080987	0.0940100	0.6932643	0.1298022	0.6022951	0.5991055	0.0051912	0.5835038	0.3479784	0.6696333	0.6885572	0.0488360	0.3110013	0.1114823	0.3173906	0.0057833	0.3091428	0.5967446	0.0454676	0.4215723	0.7979443	0.5643146
350	0.0290675	0.0283067	0.7474821	0.7582469	0.0496605	0.5822998	0.0610790	0.5865973	0.2309329	0.0248620	0.6458196	0.4980131	0.0392556	0.0177700	0.0765696	0.6031855	0.0632808	0.6923340	0.6203012	0.0012081	0.6093525	0.1976166	0.6421649	0.5539506	0.0496809	0.2645165	0.1278444	0.3133799	0.0049258	0.4448401	0.7380802	0.0226226	0.3596553	0.7412000	0.6617079
400	0.0275757	0.0168336	0.6534369	0.7185118	0.0730084	0.5596544	0.0642804	0.6990085	0.2039898	0.0197194	0.6771032	0.5274248	0.0439339	0.0075632	0.0689761	0.7221145	0.2138806	0.8340837	0.6067695	0.0036360	0.7070732	0.2843612	0.6535038	0.5585378	0.0661050	0.3051402	0.2058570	0.3919979	0.0018773	0.3666908	0.5314686	0.0204824	0.4876746	0.6923777	0.5693790
