"Time"	G1	G3	G5	G7	G4	G22	G83	G8	G6	G86	G87	G85	G54	G89	G88	G30	G29	G35	G100	G99	G32	G81	G23	G82	G80	G19	G18	G20	G50	G58	G51	G31	G78	G93	G94	G95	G91	G90	G2	G69	G70	G84	G97	G43	G44

0	0.2463495	0.3402964	0.0106078	0.2244984	0.1371698	0.8516537	0.6075745	0.6039211	0.4820886	0.7109766	0.5453603	0.5645342	0.0066380	0.0237480	0.4570508	0.0864582	0.7565792	0.2813895	0.6885195	0.1341154	0.3676410	0.0397926	0.6088451	0.5381481	0.1494670	0.1660243	0.6980427	0.5929578	0.0170708	0.8233187	0.0091648	0.0858745	0.7272075	0.5122138	0.7828879	0.5384481	0.0122210	0.7740088	0.6902828	0.7248506	0.6186397	0.6839425	0.6895579	0.2766824	0.1007545
50	0.2748945	0.4625067	0.0246897	0.2982847	0.2307852	0.7411991	0.7797835	0.5270687	0.4231488	0.7389599	0.7093459	0.4144716	0.0098123	0.0497076	0.4551229	0.0583331	0.7454731	0.2467783	0.7923986	0.0979550	0.4029626	0.1051992	0.6293268	0.3727661	0.1248355	0.3607896	0.4136368	0.6657943	0.3913908	0.6669792	0.0063159	0.0617360	0.7948433	0.3871670	0.7216346	0.5659282	0.3446714	0.3179460	0.3204478	0.7276357	0.6347615	0.6193779	0.5939415	0.2950563	0.1161085
100	0.4543349	0.5654673	0.0051091	0.2475328	0.3290192	0.6083966	0.6280573	0.4983358	0.4801008	0.8033598	0.7662117	0.4321256	0.0239816	0.0228594	0.4534055	0.0666836	0.7850416	0.2506608	0.6666169	0.1003866	0.2509809	0.0881252	0.6061294	0.4385461	0.0868893	0.3538644	0.3117803	0.5689304	0.3712875	0.7547844	0.0088624	0.0673782	0.6916416	0.5170555	0.7225508	0.5141801	0.4974171	0.2243248	0.2469443	0.7766519	0.7774458	0.7327269	0.6626168	0.3613803	0.0763241
150	0.3969288	0.5592635	0.0104721	0.2565711	0.4303738	0.5970717	0.6678547	0.4512630	0.3475111	0.6194229	0.6936043	0.3633260	0.0167238	0.0234049	0.3588982	0.0902464	0.7598743	0.2704017	0.7921774	0.0869045	0.4138176	0.0331399	0.5653357	0.3353217	0.0578702	0.4927917	0.3758253	0.6854633	0.4263923	0.6601621	0.0205450	0.1196088	0.6936253	0.6110732	0.6954491	0.4469970	0.5254065	0.0852641	0.2888610	0.7638781	0.6942706	0.7003317	0.6945554	0.3889989	0.1883540
200	0.5600012	0.5494311	0.0081751	0.1882398	0.5291538	0.8388155	0.5578666	0.3980988	0.2710908	0.5596022	0.5809929	0.3619259	0.0087152	0.0822182	0.5290988	0.1390747	0.7749730	0.2618533	0.8276995	0.0462023	0.3645914	0.0372126	0.5409864	0.3878821	0.0429601	0.5177583	0.3636395	0.6750776	0.4411670	0.6499768	0.0137382	0.0861573	0.5952631	0.4400064	0.7546038	0.4416653	0.7056140	0.0388372	0.2054164	0.7796889	0.7797959	0.5472048	0.7440955	0.2150415	0.1029406
250	0.4687083	0.6168951	0.0076504	0.2000977	0.5985814	0.7684540	0.4702828	0.5099145	0.2306824	0.6270358	0.6628152	0.3724353	0.0122776	0.0212361	0.5119063	0.2618038	0.6909472	0.2532556	0.6350246	0.0711761	0.3558837	0.0525015	0.4614056	0.4686790	0.0358624	0.3522870	0.3110986	0.6598240	0.4473252	0.6109197	0.0122088	0.1182333	0.7440778	0.4879807	0.8112002	0.5587892	0.7369946	0.0644494	0.1941708	0.7092168	0.7501199	0.8416903	0.6622346	0.3598429	0.1174273
300	0.5079052	0.4885282	0.0142047	0.2046061	0.7660208	0.7726858	0.5080285	0.3389572	0.2850028	0.8015357	0.8081804	0.2536864	0.0277697	0.0114677	0.5165944	0.2646389	0.7060209	0.2311390	0.6494218	0.0772953	0.2988932	0.0768829	0.5401212	0.5086412	0.0359957	0.4525723	0.3161204	0.7464024	0.3712397	0.6562815	0.0074421	0.0681216	0.7762855	0.5042550	0.8881848	0.5031119	0.6489993	0.0907528	0.2036652	0.7315717	0.6041829	0.6454837	0.6937815	0.3910106	0.0863598
350	0.5488200	0.6609515	0.0378343	0.1628732	0.7537645	0.7297547	0.4309907	0.4224541	0.2840676	0.6568919	0.6823561	0.2959767	0.0121925	0.0335341	0.5381860	0.2797130	0.6059512	0.2694586	0.6691411	0.0595701	0.4427679	0.0659956	0.5908034	0.5650536	0.0726446	0.4794123	0.3685441	0.6164116	0.3244908	0.6378517	0.0041344	0.0825442	0.6022039	0.5154815	0.8066004	0.6209186	0.6291105	0.0572456	0.1677581	0.7581704	0.6169396	0.7298691	0.6199441	0.2938662	0.1341275
400	0.4566797	0.5928972	0.0135119	0.2501361	0.5784863	0.6427437	0.3794865	0.4948802	0.2853768	0.7080247	0.8315423	0.3569641	0.0209884	0.0180672	0.5064275	0.2969995	0.8609812	0.3835852	0.7630501	0.0555614	0.3303976	0.0613622	0.5889020	0.3756873	0.0370183	0.4835258	0.3297006	0.6380428	0.4270683	0.5953381	0.0079482	0.0609448	0.5750854	0.4949025	0.7468171	0.6091473	0.6506895	0.0571230	0.1886315	0.7878859	0.5610640	0.6290970	0.6149958	0.2855003	0.1480631
450	0.4490234	0.4922092	0.0064319	0.1788929	0.6227559	0.6313490	0.4000842	0.3992838	0.2413983	0.7707663	0.6615045	0.3531533	0.0019921	0.0308231	0.4764344	0.2833805	0.6318618	0.2964819	0.6686723	0.1203531	0.3734669	0.0640889	0.5749977	0.4118497	0.0544773	0.4014346	0.3457521	0.5701362	0.3935381	0.5093939	0.0027553	0.0610295	0.9283306	0.4847505	0.7395155	0.5612964	0.7601726	0.0721084	0.1620717	0.7277926	0.7231071	0.6613967	0.7846374	0.3029097	0.0515932
