"Time"	G1	G3	G5	G8	G4	G83	G6	G7	G86	G85	G22	G87	G54	G89	G88	G30	G29	G35	G100	G99	G32	G81	G23	G19	G18

0	0.2309862	0.1459384	0.4761342	0.5331366	0.6445140	0.7318233	0.0660005	0.7265914	0.3301548	0.3271790	0.8035824	0.4824210	0.2764208	0.0041134	0.7509615	0.7403797	0.2183309	0.7744879	0.5364816	0.6673930	0.1838235	0.2885008	0.4537849	0.6792981	0.6813695
50	0.2179016	0.3595592	0.4333534	0.6428710	0.5159656	0.8399705	0.0374922	0.7177076	0.1562079	0.2757469	0.6536377	0.3034439	0.4144188	0.0476481	0.7233075	0.7454218	0.1294910	0.7751015	0.3315660	0.7158896	0.2171577	0.4413966	0.6276753	0.7545281	0.7628700
100	0.1815669	0.4261476	0.5096338	0.5079108	0.4637840	0.7923914	0.0503565	0.6945027	0.2217827	0.2529427	0.6569363	0.4485842	0.1314802	0.0097360	0.7024725	0.5722438	0.1243206	0.6977936	0.1501898	0.8254314	0.1989607	0.4231385	0.5231817	0.6681008	0.7888835
150	0.1400861	0.4456307	0.4614722	0.5644587	0.2950899	0.8557566	0.0528855	0.5934854	0.3112473	0.3380953	0.7463033	0.3484014	0.1012055	0.0356209	0.6950805	0.6779192	0.1964096	0.6712623	0.1518976	0.5869859	0.3104989	0.3410488	0.7384566	0.6328918	0.7303968
200	0.1759921	0.4512654	0.5160488	0.6383779	0.3651693	0.7489888	0.0894841	0.8182338	0.3126960	0.3762082	0.6852335	0.2824682	0.1015082	0.0078474	0.6077563	0.5829129	0.1553592	0.7278186	0.1284228	0.6042859	0.1510604	0.3213515	0.5744957	0.6641415	0.6346214
250	0.2515245	0.5189705	0.4217342	0.6245060	0.4395441	0.7889968	0.0784417	0.7177629	0.2795003	0.3887808	0.6611188	0.3520134	0.0895060	0.0204485	0.6375780	0.6140570	0.2627119	0.7423593	0.1081529	0.5853818	0.2278719	0.3038498	0.6477320	0.7343658	0.6793259
300	0.1636466	0.4488957	0.5237641	0.5701740	0.5996369	0.7878538	0.0335508	0.8202036	0.2182357	0.4499256	0.7584944	0.4431920	0.1364608	0.0139548	0.7204829	0.6912518	0.2258665	0.7441264	0.1515864	0.6307500	0.3148345	0.3075971	0.5339525	0.7277650	0.6195798
350	0.1517239	0.4200565	0.4530955	0.6319544	0.4937815	0.7202799	0.0431718	0.7257005	0.2202056	0.3343489	0.6921669	0.3564799	0.3560089	0.0300126	0.6455961	0.7257941	0.1961063	0.7951185	0.1191625	0.6483779	0.1486921	0.3369880	0.5928296	0.5724951	0.6657130
400	0.0744543	0.3602698	0.4051542	0.5690844	0.3933221	0.7185238	0.0665153	0.7226462	0.2606022	0.3938900	0.7222200	0.3827444	0.3836413	0.0133991	0.6923988	0.4810861	0.1913632	0.7868818	0.0736346	0.7538036	0.1951727	0.3859776	0.6675290	0.6576946	0.6750346
450	0.1283825	0.4386670	0.3788049	0.6412337	0.2756103	0.6459223	0.0871819	0.6897669	0.2079985	0.2376602	0.8474629	0.3932626	0.3886806	0.0089072	0.7199083	0.4498786	0.1086273	0.7889132	0.0639322	0.7303868	0.2201884	0.4717493	0.6438877	0.6628511	0.6814157
500	0.1892255	0.3964225	0.4337636	0.4789844	0.4316022	0.7306128	0.0331508	0.6335304	0.2304947	0.2948697	0.6628266	0.3154191	0.1964885	0.0131077	0.6095468	0.5276180	0.1136090	0.8352782	0.0701002	0.5322387	0.2665543	0.5143585	0.5989920	0.6291109	0.6855827
550	0.1699145	0.1981962	0.5009859	0.4434732	0.5254674	0.5897208	0.0359498	0.6709000	0.2062635	0.2707943	0.7189780	0.3526784	0.1023769	0.0264335	0.6129948	0.7240385	0.1811949	0.6815880	0.2990213	0.6983673	0.2414070	0.4586917	0.3479754	0.6829677	0.7096589
600	0.1639272	0.1189652	0.4729276	0.6324641	0.4844446	0.5647305	0.0342142	0.5682581	0.1985756	0.3185553	0.6436218	0.3719424	0.0609181	0.0031518	0.6434777	0.6433158	0.1823023	0.7391225	0.4038214	0.4768163	0.2595838	0.3877385	0.4542693	0.5840176	0.6974476
650	0.1709440	0.1119014	0.4042695	0.4970963	0.5436321	0.6028794	0.0294064	0.6231385	0.3355009	0.4349102	0.6146615	0.3808383	0.1116024	0.0028711	0.6857410	0.8476389	0.2752474	0.7404814	0.5096389	0.3680501	0.1927769	0.2825870	0.4715571	0.6737390	0.7605736
700	0.2003064	0.1092090	0.4507985	0.6704502	0.4839979	0.7578116	0.0267134	0.6749816	0.3729136	0.3504434	0.9405113	0.3573098	0.1420465	0.0182936	0.7254934	0.7154127	0.2828260	0.7634172	0.5644541	0.3696016	0.1436175	0.3110543	0.4708025	0.6320970	0.7890883
750	0.2421295	0.1228541	0.3973547	0.5105700	0.4588833	0.6162602	0.0388985	0.7245818	0.2803394	0.3472999	0.7408672	0.2860408	0.3324745	0.0354031	0.6278165	0.8306261	0.2102880	0.7076642	0.5274115	0.4596314	0.1400251	0.2979446	0.3805085	0.5845122	0.5714283
800	0.1827951	0.1741163	0.3815869	0.4788429	0.5746586	0.7334946	0.0178617	0.7326189	0.2313883	0.4765995	0.6718257	0.2692512	0.4858815	0.0041198	0.5582158	0.6536864	0.1448130	0.6468930	0.4708583	0.6279996	0.1749621	0.3228070	0.4392670	0.5169089	0.8348533
850	0.2061634	0.1384194	0.3573652	0.4487393	0.5863423	0.8243234	0.0212166	0.7772131	0.1814621	0.3426213	0.7193737	0.3527523	0.4979679	0.0225160	0.5159929	0.7086362	0.1479594	0.7000012	0.3535348	0.6944304	0.1996079	0.4206834	0.3566874	0.6874429	0.6860387
900	0.1660527	0.1124646	0.4299968	0.4873982	0.4268151	0.7429431	0.0375795	0.8087592	0.2329677	0.2020593	0.6635489	0.3489207	0.3251635	0.0258202	0.4234080	0.7313778	0.0898151	0.7465110	0.2735119	0.7261595	0.1834856	0.2876444	0.3361822	0.7456326	0.6700267
950	0.1677350	0.1964903	0.4783103	0.4243966	0.6241765	0.6261866	0.0450152	0.7630511	0.2930167	0.2986362	0.6466702	0.3052174	0.1402132	0.0309272	0.6287153	0.7020018	0.0877513	0.8427033	0.3011450	0.5849837	0.2776252	0.3224951	0.4239815	0.7001393	0.7571901
1000	0.2464321	0.1689961	0.4483247	0.5348008	0.5323490	0.5923735	0.0224479	0.7083445	0.3659968	0.3245447	0.7275138	0.2945278	0.1219854	0.0263312	0.6972545	0.6529033	0.1377224	0.7460906	0.3735779	0.7395732	0.1955193	0.2825098	0.3824683	0.5320607	0.7097934

