"Time"	G1	G2	G10	G20	G4	G17	G16	G8	G9	G11	G56	G3	G5	G19	G13	G15	G14	G12	G50	G41	G52	G53	G51	G21	G22	G55	G42	G54	G40	G49	G39	G35	G44	G45	G47	G18	G94	G98	G95	G43	G48	G61	G57	G79	G60	G84	G81	G80	G83	G88	G82	G89	G85	G90	G91

0	0.5417852	0.4809966	0.6145360	0.2991502	0.4420250	0.5657720	0.0262758	0.2705338	0.0614937	0.3629631	0.3947193	0.0243549	0.4272449	0.0180763	0.6034757	0.0596562	0.1934577	0.1728365	0.0876073	0.7523325	0.3960127	0.7009293	0.2065074	0.4479213	0.8491171	0.7080173	0.5779663	0.4036523	0.0520813	0.2536194	0.1935496	0.5660405	0.3135628	0.2733296	0.4058915	0.6399943	0.6986826	0.8498701	0.4869100	0.2812212	0.2419501	0.0432620	0.7745304	0.4656204	0.3616212	0.6207783	0.7242353	0.6588138	0.0828101	0.0600117	0.7709447	0.3725735	0.0251648	0.1367831	0.6124415
50	0.3789688	0.3656159	0.4793915	0.5271784	0.3597058	0.4832005	0.0024047	0.2361748	0.4727266	0.3400568	0.4511780	0.0235415	0.3411461	0.0824089	0.3999526	0.1015760	0.2494268	0.1483009	0.0777111	0.5305557	0.1653774	0.6744284	0.5117661	0.4295405	0.8530425	0.6491769	0.5447517	0.4809107	0.0672092	0.2628496	0.5210151	0.5470869	0.4509527	0.3636706	0.1041983	0.5785408	0.6998509	0.2292361	0.5314257	0.1830209	0.3518411	0.1025260	0.4884680	0.3668908	0.3049337	0.6560191	0.6289108	0.6235809	0.1120551	0.0447273	0.7112874	0.5140657	0.0188505	0.0305476	0.7493015
100	0.4091547	0.3787222	0.4947103	0.6519085	0.4100647	0.3556650	0.0001485	0.2653969	0.6076293	0.2648076	0.4932249	0.0347959	0.3502595	0.0500567	0.5015157	0.0550148	0.1513529	0.1883543	0.0571411	0.4846406	0.1556706	0.6474366	0.4920924	0.4576372	0.7664299	0.5995954	0.4966485	0.3627426	0.0249802	0.2151523	0.5507571	0.4850908	0.5943845	0.2704712	0.0322466	0.6595679	0.7369810	0.0867735	0.4520655	0.1997100	0.2587942	0.1210988	0.6439618	0.2665744	0.4041064	0.7726978	0.6733151	0.6705118	0.0444289	0.0394581	0.7776864	0.6505880	0.0126799	0.0093302	0.7793771
150	0.5336626	0.4067719	0.4593011	0.6388271	0.3911835	0.4038021	0.0000952	0.2359575	0.7929136	0.3072915	0.3913092	0.0114657	0.4235130	0.0679461	0.4946340	0.0631643	0.1991010	0.1189353	0.0427935	0.4291216	0.1381745	0.7039963	0.5089383	0.4293952	0.6054381	0.6753907	0.6588792	0.4147119	0.0361236	0.1467167	0.6115293	0.5261385	0.6128950	0.2900638	0.0142645	0.7313226	0.8076369	0.0794835	0.4580214	0.2691758	0.4633568	0.1150936	0.6422707	0.3256828	0.3178561	0.8507817	0.8653021	0.8093467	0.0711718	0.0619202	0.7528073	0.6296334	0.0195225	0.0158567	0.6501751
200	0.3899855	0.4536011	0.5607991	0.6237400	0.4334040	0.4026723	0.0019423	0.3058978	0.7613353	0.3504345	0.4334520	0.0324184	0.4795675	0.0641706	0.4787757	0.1623120	0.1978963	0.1162562	0.0215677	0.5065003	0.1155580	0.7574406	0.6071384	0.5336400	0.6364114	0.6465182	0.5190280	0.3906535	0.0466830	0.2251704	0.8245223	0.6773214	0.5228438	0.2541055	0.0088368	0.6708873	0.8034809	0.0765695	0.3936862	0.3153851	0.3598054	0.1111916	0.8590298	0.3409693	0.2442300	0.7210858	0.6161527	0.6910585	0.0554506	0.0639516	0.8514114	0.6867417	0.0013922	0.0005410	0.6628243
250	0.3976853	0.3748863	0.6033701	0.6320757	0.4037423	0.3837806	0.0015104	0.3387160	0.6032834	0.2830222	0.5265871	0.0262146	0.3076244	0.0448595	0.4126245	0.1073648	0.1772903	0.1430360	0.0474013	0.4644861	0.1131595	0.7211369	0.5882866	0.6578956	0.7612244	0.5571685	0.6168755	0.5136337	0.0461670	0.1646605	0.6111077	0.6662279	0.6016151	0.2843835	0.0040516	0.6764400	0.7104823	0.1080372	0.4659171	0.2585251	0.2814348	0.0769182	0.7490813	0.3534156	0.2973050	0.7663844	0.5106161	0.7755303	0.0935178	0.0410844	0.6997131	0.8322850	0.0001527	0.0007133	0.7047472
300	0.5270576	0.4553359	0.7221210	0.6640596	0.4723392	0.4437160	0.0005908	0.2786924	0.7201283	0.2754819	0.4414384	0.0198959	0.4869874	0.0285597	0.3740278	0.0667468	0.2079113	0.1454971	0.0480169	0.4684576	0.0970006	0.7812761	0.5563676	0.4121408	0.6174030	0.5956008	0.6911095	0.4576582	0.0359528	0.2307652	0.8153309	0.4996120	0.5232652	0.2414294	0.0064045	0.6042383	0.7007210	0.1510285	0.4522416	0.2529763	0.3498396	0.1517972	0.7958743	0.3353081	0.2667893	0.7235750	0.6434142	0.6332022	0.1090357	0.0585762	0.7148916	0.7925772	0.0000608	0.0005123	0.8062079
350	0.4401050	0.3558892	0.6003363	0.6070103	0.3825811	0.3606750	0.0070440	0.2230277	0.6838614	0.2840927	0.4045729	0.0117529	0.3402997	0.0899001	0.3552066	0.0587773	0.1915836	0.1589021	0.0550154	0.4399288	0.1309653	0.7915451	0.6687826	0.4444261	0.7847653	0.5231869	0.6311771	0.4306559	0.0119059	0.1687523	0.7365011	0.4175013	0.6924035	0.2365543	0.0039771	0.7258044	0.8011072	0.1068333	0.6111345	0.2367328	0.3865946	0.0789527	0.6645880	0.2846932	0.2210726	0.7373144	0.8094055	0.5930082	0.0610539	0.0483013	0.7069842	0.9159479	0.0000955	0.0008795	0.6052444
400	0.4257317	0.5876524	0.5769193	0.6829998	0.3547738	0.3252621	0.0000000	0.2234238	0.6752730	0.2799065	0.4491106	0.0141511	0.3405694	0.0108797	0.3578435	0.0791002	0.1598624	0.1244356	0.0633093	0.5696028	0.0974341	0.6663828	0.4478874	0.4180101	0.7756170	0.4569499	0.6912095	0.3999288	0.0285179	0.2148394	0.8566951	0.5458462	0.5463441	0.2730318	0.0193861	0.7520559	0.6142578	0.0696069	0.4632806	0.2107375	0.2823213	0.1910321	0.6788204	0.3090237	0.2772894	0.8464775	0.7802320	0.6767419	0.0957326	0.0414446	0.6955717	0.6631583	0.0002414	0.0000428	0.8188339
450	0.4297919	0.3837517	0.4677140	0.6701465	0.2921763	0.3547651	0.0015190	0.2009213	0.5984942	0.3389188	0.4195283	0.0424618	0.3671564	0.0500907	0.3817595	0.1196953	0.2649882	0.1230911	0.0605039	0.3464026	0.0582005	0.7506698	0.7067436	0.4121403	0.7322330	0.6135843	0.5197570	0.3754324	0.0679838	0.1578477	0.6318446	0.5160349	0.6672229	0.2893379	0.0048867	0.9361131	0.6279710	0.0931530	0.4068630	0.2616501	0.3700783	0.0921020	0.5962199	0.3589317	0.2173149	0.8157475	0.8859231	0.6511705	0.1080809	0.0894807	0.8001777	0.7203455	0.0012363	0.0070643	0.6867569
500	0.3211106	0.3421112	0.4976106	0.6786498	0.5354504	0.3721348	0.0000223	0.2827534	0.5833518	0.3396748	0.3843731	0.0158568	0.3979912	0.0851875	0.3152732	0.0600316	0.2638045	0.0948370	0.0799345	0.3974350	0.0992617	0.8172966	0.5132149	0.5097990	0.6730198	0.5302342	0.5695219	0.3077088	0.0146283	0.2780370	0.6994305	0.6117315	0.5030485	0.2191644	0.0194917	0.6890700	0.6687435	0.1012972	0.6624425	0.2840523	0.2730346	0.1083576	0.6678978	0.4988711	0.3569839	0.7018245	0.7914842	0.6301204	0.0795606	0.0480375	0.6860879	0.6837926	0.0030215	0.0019529	0.6781773
550	0.3181378	0.4714090	0.6069083	0.2815935	0.3546723	0.3885871	0.0149295	0.2636538	0.2340004	0.3748475	0.5811656	0.0246784	0.4509173	0.0367047	0.5455787	0.0943304	0.2511275	0.1712556	0.0847618	0.7082060	0.2577581	0.8375976	0.2272241	0.3378817	0.7126559	0.5217493	0.4642350	0.4422723	0.0193473	0.2010499	0.3568229	0.4972851	0.3890707	0.2377193	0.3418710	0.7280024	0.7807831	0.7123692	0.5537508	0.2285193	0.3171490	0.0330712	0.6744575	0.2925349	0.3972751	0.5831205	0.7688623	0.5872521	0.0377841	0.0616171	0.6996897	0.5920206	0.0539048	0.1278653	0.5398767
600	0.4724940	0.5329598	0.5519583	0.1500698	0.4000676	0.5909917	0.0546758	0.2672428	0.0800221	0.3544551	0.3027855	0.0136654	0.5465704	0.0145419	0.4850316	0.1078345	0.3514878	0.1869694	0.0412364	0.6876751	0.3306418	0.6373253	0.2259295	0.4086174	0.8451748	0.6547973	0.4982307	0.4674488	0.0747543	0.2256843	0.2463231	0.4910322	0.3096337	0.2389654	0.4265295	0.7714816	0.6764530	0.7004099	0.4754994	0.2244714	0.3367812	0.0299256	0.6020968	0.3321650	0.2817341	0.6316824	0.6422586	0.5340468	0.0786224	0.0696091	0.7183389	0.5008104	0.0288694	0.1158014	0.6651088
650	0.5136303	0.4680472	0.5479476	0.4778331	0.4788257	0.4180356	0.0066262	0.1795728	0.1106985	0.2950519	0.3788102	0.0448028	0.3556303	0.0439850	0.7384336	0.1598665	0.2989915	0.1742259	0.0431250	0.7574099	0.2330707	0.7242605	0.2264318	0.6329330	0.6884544	0.5572150	0.6291762	0.3653018	0.0611881	0.3199164	0.2651241	0.5739275	0.4830031	0.3966829	0.4215480	0.6567148	0.7095596	0.7440006	0.5735873	0.2507547	0.4262145	0.0540382	0.6164846	0.3970762	0.1595268	0.8359662	0.6618930	0.6226717	0.0877798	0.0729113	0.7078543	0.3259155	0.0402287	0.1284210	0.6330493
