"Time"	G1	G2	G20	G10	G4	G17	G16	G9	G18	G94	G11	G98	G7	G6	G46	G100	G36	G37	G38	G34	G3	G56	G35	G5	G19	G14	G13	G12	G15	G39	G41	G50	G51	G53	G52	G55	G21	G22	G42	G44	G49	G40	G45	G54	G47	G72	G67	G57	G43	G48	G61	G8	G95	G60	G58	G99	G59	G79	G81	G83	G82	G84	G89	G80	G88	G90	G91	G86	G85	G78	G77	G75	G93	G92	G69

0	0.5677341	0.1735388	0.5816463	0.0823599	0.3887756	0.4259317	0.3322801	0.4946231	0.2382843	0.7831921	0.1382720	0.6764064	0.0069244	0.3653976	0.0117178	0.7965939	0.0074469	0.0033206	0.7541923	0.7562146	0.0435376	0.5070133	0.3882296	0.5288779	0.4014773	0.2286393	0.8174608	0.1948545	0.1832033	0.4572857	0.5770722	0.1223124	0.0850937	0.4772650	0.1635366	0.5465945	0.6039492	0.4918629	0.3619473	0.4738732	0.6471548	0.1830648	0.4278434	0.0974034	0.7373187	0.7224825	0.3921532	0.4788234	0.0131894	0.6040885	0.5652076	0.0111112	0.3762482	0.0296534	0.6627731	0.6930372	0.6203582	0.6674518	0.5834095	0.1721091	0.0360293	0.0621600	0.0281294	0.0133921	0.0955324	0.6966897	0.1684335	0.7901044	0.1553396	0.0365656	0.4119047	0.2684566	0.0339422	0.4271493	0.4298920
50	0.3624963	0.1726263	0.7787089	0.0336931	0.3575970	0.3949246	0.3535649	0.5484534	0.2059679	0.7101614	0.2319011	0.6764176	0.0022464	0.3318557	0.0092783	0.3598184	0.0015330	0.0015119	0.6681579	0.7623790	0.0560876	0.4052386	0.2610153	0.2218952	0.2992699	0.2069413	0.6756957	0.2153053	0.2872544	0.3973997	0.4443344	0.2482413	0.0302328	0.4019349	0.1070181	0.4039382	0.6334053	0.5323812	0.2738354	0.3384562	0.7787111	0.2646229	0.4438999	0.0540952	0.5163191	0.5943101	0.3341034	0.5450670	0.0262887	0.5534771	0.5473297	0.0109940	0.4583061	0.3878165	0.5443864	0.3461245	0.5839893	0.6665140	0.5616269	0.1996309	0.0088853	0.2376066	0.4102311	0.0111846	0.0470194	0.7340098	0.1698780	0.6344167	0.1348531	0.0335745	0.5421377	0.2931680	0.0821774	0.5678786	0.5010792
100	0.2619456	0.1445291	0.7280693	0.0224580	0.3193087	0.4020181	0.4175740	0.5359244	0.2202091	0.7556971	0.3685767	0.6234080	0.0460738	0.3794588	0.0318877	0.3528344	0.0116485	0.0045765	0.6723460	0.6950043	0.1559528	0.2963456	0.1998015	0.2116340	0.3488061	0.2104555	0.5841694	0.1954156	0.2582121	0.2685723	0.3036262	0.5537606	0.0092630	0.3694027	0.0566425	0.4063644	0.6016918	0.5987327	0.2598517	0.1494231	0.6961158	0.3409856	0.7046232	0.0485150	0.3650336	0.8153264	0.3624179	0.4452802	0.0249987	0.6581417	0.5420282	0.0039391	0.4597749	0.5541825	0.6708882	0.2310802	0.4911845	0.5757200	0.5615640	0.2622569	0.0214134	0.2563460	0.3674900	0.0032583	0.0591246	0.6191205	0.1021124	0.5871851	0.1449629	0.0253258	0.5762847	0.2917051	0.0573957	0.4876094	0.5262134
150	0.1857423	0.1676600	0.6999263	0.0407783	0.2592786	0.4286305	0.4261891	0.5179113	0.1550394	0.7112686	0.4232433	0.5981690	0.0600928	0.3882756	0.0247412	0.3682223	0.0022708	0.0195792	0.7090413	0.7569668	0.4570603	0.2885956	0.2216508	0.2025793	0.3975114	0.2044869	0.5663680	0.2801938	0.2388543	0.2247768	0.3101948	0.4536096	0.0000000	0.2060876	0.0422930	0.3523029	0.5166570	0.4464408	0.2427903	0.1709191	0.7099830	0.1848809	0.7575834	0.0354843	0.2978648	0.5727440	0.3988476	0.5447991	0.0076398	0.6961914	0.5038368	0.0123264	0.5333806	0.4981944	0.6583686	0.1752630	0.6483462	0.6640592	0.8008809	0.2292248	0.0285570	0.1854990	0.4202735	0.0016801	0.0397859	0.5765043	0.2033048	0.7080556	0.1664500	0.0306730	0.7461586	0.3117682	0.0575092	0.5669703	0.4733790
200	0.2305820	0.3339794	0.5380504	0.0547926	0.3562861	0.4095294	0.3970779	0.5523080	0.1398061	0.6770355	0.5545040	0.5593560	0.0405841	0.3643707	0.0735344	0.3695710	0.0101433	0.0164364	0.7917267	0.6707648	0.5380141	0.2784513	0.2030947	0.2535331	0.4111710	0.2342048	0.7321650	0.4295096	0.2697719	0.2484473	0.2612137	0.4954325	0.0016903	0.3560951	0.0193718	0.3903156	0.5374724	0.3805222	0.2147994	0.0578620	0.6083433	0.2450052	0.5550124	0.0648376	0.4152020	0.6967098	0.3282078	0.4953368	0.0137384	0.6336302	0.7060657	0.0039857	0.5130525	0.4465269	0.3720151	0.1455739	0.6345497	0.6790258	0.7630136	0.2142983	0.0472980	0.1387732	0.4104993	0.0060436	0.1103205	0.6917232	0.2422849	0.7710667	0.1628528	0.0195384	0.7054732	0.2811472	0.0833855	0.6650538	0.6128755
250	0.1847608	0.3243069	0.4763167	0.0309432	0.2648664	0.3242286	0.5332812	0.6658933	0.1579830	0.6424059	0.5402258	0.6928982	0.0514136	0.3679701	0.0360895	0.4439567	0.0041136	0.0060498	0.6462267	0.6089440	0.5181172	0.3010634	0.1816151	0.1940089	0.3086024	0.1480253	0.6963258	0.3168911	0.3415874	0.2668315	0.2522520	0.4631435	0.0009547	0.2369791	0.0026134	0.4316740	0.5761746	0.4376299	0.1654911	0.1071207	0.6441893	0.2844239	0.6207473	0.0901627	0.3554879	0.5224285	0.3870791	0.4767034	0.0409726	0.4751658	0.7222116	0.0020320	0.3749865	0.5085036	0.2571065	0.1306446	0.3997754	0.5762201	0.5682754	0.2637580	0.0310241	0.1810947	0.4258607	0.0060563	0.0638244	0.6780512	0.2232531	0.6238882	0.1187675	0.0185191	0.7086781	0.3722472	0.0460379	0.5480236	0.5565762
300	0.2489822	0.2465119	0.5012286	0.0446372	0.2802673	0.3714830	0.5082145	0.6164543	0.1007369	0.7413706	0.5524110	0.6425306	0.0392101	0.3064759	0.0254188	0.3673899	0.0184903	0.0215293	0.5979415	0.6585885	0.5721409	0.3434620	0.2142700	0.2157628	0.2552344	0.2036955	0.7085687	0.3723669	0.3386040	0.1911252	0.2930528	0.4664008	0.0012540	0.2205015	0.0119108	0.4078999	0.5687504	0.4031727	0.1978981	0.0824406	0.6563481	0.2924640	0.5593117	0.0739166	0.3745567	0.7383763	0.3552489	0.5452109	0.0157235	0.5344851	0.6646534	0.0013845	0.4736043	0.5178118	0.1079960	0.2017332	0.4745526	0.6160106	0.5321403	0.2451876	0.0348827	0.2403222	0.3793945	0.0074670	0.0587955	0.7257828	0.2601424	0.6905736	0.1482733	0.0317140	0.7472931	0.2751508	0.0649942	0.6509852	0.5669917
350	0.2382642	0.2321207	0.5449303	0.0688923	0.2686811	0.4529544	0.5670907	0.5716415	0.1596187	0.8060942	0.4692961	0.5967964	0.0301991	0.2821128	0.0300400	0.3389429	0.0153928	0.0064796	0.7387236	0.7788789	0.5803175	0.2665265	0.2106858	0.2287165	0.2803663	0.2061785	0.6723563	0.3524847	0.2357882	0.2810377	0.2353278	0.3127713	0.0034156	0.2124593	0.0007761	0.4853466	0.5210534	0.4073550	0.2139096	0.1493208	0.5775025	0.2603311	0.5445251	0.0392994	0.3113872	0.6588115	0.3693800	0.4945858	0.0171993	0.7255987	0.7169512	0.0005084	0.4821708	0.4693357	0.0548636	0.1416037	0.3418441	0.6977444	0.5076458	0.2108508	0.0256011	0.2449907	0.4294695	0.0183598	0.0493956	0.7934087	0.2580245	0.7039564	0.1345851	0.0259966	0.6953156	0.2377980	0.0318337	0.5890754	0.4759410
400	0.1846141	0.2881277	0.5675953	0.0416462	0.2591645	0.3321367	0.4674650	0.5654018	0.1350295	0.7466254	0.5552611	0.6551561	0.0376295	0.3381061	0.0275901	0.3016378	0.0081993	0.0059706	0.7412450	0.7075783	0.4540463	0.2714206	0.2357664	0.2339322	0.2949059	0.1745247	0.6284287	0.3555508	0.2361717	0.2445681	0.2578490	0.4475707	0.0024434	0.2653176	0.0039199	0.5038869	0.5129330	0.3786968	0.2021049	0.1557788	0.6119579	0.2697987	0.6871232	0.0810009	0.3941890	0.6732170	0.3853347	0.5768545	0.0149359	0.5984050	0.5276683	0.0054370	0.5540996	0.5778340	0.0161801	0.1631439	0.3329918	0.5802751	0.6572053	0.2628048	0.0354123	0.1797751	0.3769995	0.0092290	0.0460026	0.7611955	0.2141024	0.6004222	0.1466899	0.0388619	0.8070744	0.3020786	0.0411767	0.6929690	0.5024647
