"Time"	G1	G10	G2	G20	G17	G16	G4	G8	G18	G94	G9	G95	G11	G56	G3	G98	G7	G46	G6	G36	G37	G100	G38	G34	G35	G5	G19	G14	G13	G12	G41	G44	G49	G39	G22	G21	G50	G15	G51	G53	G52	G55	G42	G54	G45	G40	G47	G48	G72	G67	G61	G43	G57	G60	G59	G99	G58	G80	G81	G83	G88	G82	G89	G79	G84	G75	G86	G78	G77	G85	G90	G91	G93	G69	G92	G87	G68	G27	G96	G97

0	0.5543905	0.0272064	0.2395203	0.3809924	0.0136440	0.4201673	0.1384926	0.3843878	0.0291945	0.7383490	0.4471130	0.4368334	0.0509438	0.7567531	0.7078680	0.7393228	0.7081758	0.4643284	0.3596687	0.6838740	0.0859663	0.7453370	0.5472844	0.7898581	0.2517583	0.1332765	0.3717116	0.4140365	0.8008942	0.6581138	0.5509000	0.0124221	0.3001335	0.0649418	0.2566464	0.2028644	0.7014777	0.6199866	0.2692379	0.5196530	0.0730376	0.6497865	0.0449914	0.4721332	0.4305551	0.3650499	0.2990869	0.1972466	0.7668891	0.5623816	0.4186144	0.3090667	0.5191262	0.6683287	0.4123959	0.8391823	0.4478805	0.5029143	0.4961273	0.4246888	0.0826867	0.6634173	0.0477851	0.2986617	0.5059658	0.0614758	0.2346948	0.1097451	0.5839225	0.5941586	0.6164022	0.5164898	0.6342231	0.6269007	0.0388349	0.5157786	0.4193068	0.2971296	0.7590557	0.7687456
50	0.7651773	0.0233818	0.3054705	0.4259869	0.0230216	0.4578375	0.1279965	0.3118884	0.0200900	0.7119311	0.3225152	0.6530693	0.1221179	0.6492989	0.6013491	0.6576390	0.6837302	0.3914023	0.3164627	0.7212378	0.0426074	0.7763105	0.5757641	0.7496972	0.1613582	0.1454293	0.3171104	0.4910839	0.6282294	0.6669376	0.4341264	0.0100527	0.1377030	0.0282058	0.3549794	0.4520340	0.7042669	0.6374838	0.3177887	0.6378067	0.0416753	0.2683852	0.0254210	0.5864503	0.5232927	0.2219089	0.2533148	0.2276804	0.7116011	0.5212264	0.6065818	0.4440233	0.5062747	0.6256327	0.2621458	0.5974475	0.4071301	0.1999508	0.7566670	0.5397328	0.0748799	0.6291759	0.0475543	0.3983240	0.5767338	0.0278032	0.3313634	0.1409427	0.4297495	0.3749960	0.6281121	0.6798886	0.6310392	0.5595547	0.0877207	0.1772557	0.4428853	0.2014269	0.7265145	0.7945147
100	0.5766413	0.0340814	0.2715783	0.3746560	0.0061932	0.4411467	0.1169933	0.2116160	0.0399456	0.7619211	0.2781044	0.5732521	0.1014044	0.7856399	0.7197725	0.8095360	0.9078979	0.3903750	0.3065634	0.6905009	0.1160172	0.8000827	0.6100000	0.6406271	0.1765912	0.1173568	0.3475778	0.6238017	0.7918101	0.6289598	0.4264363	0.0073033	0.1685524	0.0291832	0.4358712	0.5585585	0.5742140	0.6847322	0.2117542	0.6716243	0.0234052	0.1518133	0.0358931	0.4149125	0.3808817	0.0797270	0.2571106	0.2454580	0.7080361	0.4018444	0.5686437	0.4944383	0.5694738	0.5721261	0.2936936	0.6469249	0.3239697	0.2255768	0.6180899	0.5755681	0.0721302	0.6050605	0.0442684	0.4648100	0.5039222	0.0196250	0.4211438	0.2064077	0.3210415	0.4091062	0.6296114	0.5720046	0.5653569	0.5528193	0.1755511	0.2166063	0.6871108	0.1160295	0.6492341	0.6055033
150	0.8119541	0.0125981	0.3220427	0.4432435	0.0174195	0.3767614	0.0819974	0.2095690	0.0405687	0.8090009	0.2888925	0.6511866	0.2044435	0.8217658	0.7165881	0.7905807	0.7906151	0.4576179	0.3756355	0.8872538	0.0719967	0.7144149	0.6181949	0.7143504	0.1601350	0.1092328	0.3618927	0.5797547	0.7834753	0.6663840	0.3971481	0.0113634	0.1201373	0.0270339	0.3607123	0.4463061	0.7030404	0.5649605	0.2899295	0.5651484	0.0445936	0.1986985	0.0669449	0.3673099	0.3842644	0.0540899	0.2773261	0.3603086	0.7183388	0.4351485	0.8142195	0.5010856	0.4372167	0.5933910	0.4753005	0.8007189	0.3733314	0.1797359	0.5284658	0.4742961	0.1205696	0.6700194	0.0579360	0.5077739	0.4191367	0.0717815	0.4217723	0.2713924	0.2938682	0.4543924	0.6362602	0.6031118	0.5796501	0.6089182	0.1337411	0.1700042	0.7626942	0.1402533	0.6488472	0.7754072
200	0.6318703	0.0253858	0.2801203	0.4745565	0.0103192	0.4545709	0.0682854	0.2498382	0.0489041	0.6431560	0.2606643	0.6424703	0.1821870	0.7205261	0.5870303	0.7788215	0.7397807	0.4723143	0.5191165	0.7798017	0.0768288	0.6549702	0.6633423	0.6515810	0.1676967	0.1167157	0.3480286	0.6806579	0.7341521	0.5810543	0.4184952	0.0124342	0.1286172	0.0279536	0.5570584	0.5487901	0.6052518	0.4111208	0.2058676	0.6104460	0.0414701	0.1629779	0.0819538	0.2718580	0.3946632	0.0501710	0.2019894	0.3300912	0.8545561	0.4503899	0.8172153	0.4332888	0.4423281	0.5189606	0.4861768	0.5952880	0.3270600	0.2236662	0.7591093	0.5923045	0.0669946	0.7986822	0.1134351	0.5335005	0.5904253	0.0265812	0.5764500	0.3442979	0.2715104	0.4190292	0.5737140	0.5729847	0.5937397	0.5848902	0.1940484	0.2180206	0.6204901	0.1265451	0.7012372	0.7858096
250	0.6441116	0.0341084	0.3754204	0.3370414	0.0528905	0.5210259	0.0628023	0.1373657	0.0399301	0.6144236	0.2262160	0.6047694	0.1820225	0.8458768	0.5903956	0.8035073	0.5851399	0.4332731	0.3603295	0.8026003	0.1356619	0.6594887	0.6004925	0.5348628	0.1563684	0.1054615	0.2373075	0.5217563	0.6350817	0.6911232	0.4890835	0.0041663	0.1148882	0.0405020	0.4089417	0.4823847	0.7585220	0.5284174	0.2081063	0.6668228	0.0206863	0.1417866	0.0867154	0.2944634	0.3153775	0.0450989	0.2128148	0.2086110	0.7249578	0.4118542	0.6673978	0.6091271	0.5002201	0.6595836	0.6061563	0.6291145	0.3734970	0.1328734	0.6453253	0.6844134	0.0681107	0.6818057	0.1095844	0.4911430	0.4592767	0.0483562	0.7434267	0.3099795	0.2991125	0.3885548	0.6544397	0.4580546	0.5693166	0.5107299	0.1333006	0.1418837	0.7226245	0.1120702	0.7537889	0.7328298
300	0.6706409	0.0131297	0.3271345	0.3407277	0.0326133	0.4493555	0.1182853	0.1835000	0.0383572	0.7275494	0.2509523	0.5205822	0.2074297	0.6823692	0.6986427	0.7682403	0.6912078	0.4667905	0.3573636	0.7179884	0.0808277	0.7433838	0.6138698	0.7159195	0.1737367	0.1003602	0.2274137	0.6406198	0.7393523	0.7173096	0.4658496	0.0064464	0.0891006	0.0308383	0.4542326	0.5377618	0.6742400	0.4486044	0.2193784	0.6757077	0.0234394	0.1100542	0.0383527	0.3181022	0.2711816	0.0445368	0.1910325	0.2360701	0.7240749	0.4162538	0.8228232	0.3957704	0.4967126	0.4439062	0.6444526	0.6481651	0.2696283	0.1231909	0.6472211	0.5954776	0.0718362	0.6618139	0.0996236	0.6615653	0.4075737	0.1091855	0.7725098	0.3863743	0.2380160	0.4433404	0.5538604	0.5546804	0.5964891	0.6325931	0.1372672	0.1238367	0.6494216	0.1099063	0.6870484	0.7623820
350	0.6706338	0.0192648	0.3516485	0.3147873	0.0108074	0.4609689	0.0973314	0.0919751	0.0494280	0.8327686	0.2806315	0.6027559	0.0791625	0.8098966	0.7117470	0.6788426	0.7795852	0.4325965	0.3065209	0.6737979	0.0797053	0.6649832	0.6558385	0.7472088	0.1913273	0.1139526	0.1923892	0.5489133	0.6684129	0.6844306	0.6030471	0.0104463	0.0830019	0.0354151	0.4474273	0.4659829	0.6496596	0.3989902	0.2767859	0.4658784	0.0343915	0.1349170	0.0680959	0.2645864	0.3180277	0.0362233	0.2398292	0.3068795	0.7347748	0.5086952	0.6741224	0.3564155	0.4938142	0.5970249	0.4896233	0.6544372	0.3084459	0.1264591	0.6994217	0.5803105	0.0446481	0.7148502	0.0904970	0.6440366	0.4110072	0.0745956	0.7830300	0.3953181	0.2229510	0.4262612	0.5870724	0.4909167	0.6402032	0.6853003	0.1282619	0.2471994	0.6646984	0.1332340	0.6105820	0.7013774
400	0.7776016	0.0163845	0.2564399	0.3728945	0.0044877	0.4215542	0.1181428	0.0830050	0.0367025	0.6983316	0.2274428	0.5704945	0.2536564	0.5462006	0.6649176	0.7454752	0.6133783	0.4543951	0.3252793	0.8529355	0.0909483	0.7274189	0.5058373	0.7307180	0.1281873	0.0754306	0.3385103	0.6474792	0.6867276	0.7452528	0.3735043	0.0140724	0.0514931	0.0287589	0.3615026	0.6458397	0.7765918	0.4327821	0.3635596	0.5663496	0.0549967	0.1237051	0.0605541	0.2422675	0.2581163	0.0372720	0.2756982	0.2731512	0.6980213	0.4811119	0.8166674	0.4853040	0.4825171	0.5090633	0.6070538	0.7144024	0.2660914	0.1756286	0.6865523	0.5712243	0.0817316	0.7452562	0.1193068	0.5311965	0.5130197	0.0467860	0.6542862	0.3705930	0.1732709	0.3950767	0.5169478	0.5895018	0.6628111	0.5909206	0.2052442	0.1727437	0.6828179	0.1250676	0.8089129	0.7395644
