"Time"	G1	G2	G10	G20	G4	G17	G16	G8	G9	G11	G56	G3	G5	G19	G13	G15	G14	G12	G50	G41	G52	G53	G51	G21	G22	G55	G42	G54	G40	G49	G39	G35	G44	G45	G47	G18	G94	G98	G95	G43	G48	G61	G57	G79	G60	G84	G81	G80	G83	G88	G82	G89	G85	G90	G91

0	0.4325044	0.4372173	0.4715504	0.4829925	0.4826349	0.4255626	0.0148429	0.2235718	0.0457180	0.3993673	0.2886956	0.0090974	0.4927670	0.0368374	0.5584583	0.1163986	0.2592203	0.1437719	0.0710562	0.6537286	0.2597292	0.6823980	0.3196948	0.4344800	0.8160490	0.5471258	0.5468729	0.5245982	0.0383726	0.2016351	0.3075913	0.5727834	0.3784829	0.2482675	0.3854837	0.5882953	0.7172408	0.7369806	0.4154198	0.2358215	0.4311229	0.0741738	0.8003427	0.3764434	0.2205660	0.5818860	0.7474798	0.7107585	0.1057608	0.0269928	0.9181172	0.4348387	0.0356323	0.1967432	0.6287641
50	0.3858286	0.2973756	0.4382895	0.1677571	0.3498839	0.3243844	0.0249147	0.2726275	0.0782553	0.3829755	0.4784520	0.0080162	0.4039430	0.0337142	0.5623335	0.0213736	0.1484194	0.2480537	0.0778021	0.6461775	0.3695356	0.7072653	0.5356817	0.4986354	0.7473737	0.5783457	0.5225342	0.4761707	0.0355802	0.2220328	0.1978036	0.4757058	0.2958058	0.2455339	0.4973567	0.3922921	0.7411069	0.6593824	0.4526590	0.5596496	0.3406224	0.0287326	0.6772982	0.3551410	0.4033184	0.5634960	0.7996954	0.2590430	0.0633268	0.4688429	0.6994604	0.4790476	0.0473500	0.0452947	0.6044364
100	0.6370491	0.1488001	0.1693352	0.3947325	0.4176032	0.4078070	0.0119200	0.1822002	0.0916836	0.2688226	0.3251045	0.0092731	0.3085874	0.1361414	0.6056897	0.0064235	0.2044977	0.1888271	0.0940874	0.6915270	0.3338247	0.7442541	0.4738702	0.3772471	0.7041093	0.5616829	0.5207509	0.5534983	0.0456737	0.1895713	0.2281353	0.6620465	0.5005684	0.3099069	0.5842312	0.3548365	0.8292079	0.7048227	0.4449436	0.6382171	0.4396594	0.0356158	0.7077346	0.5512726	0.3076666	0.6139419	0.7390426	0.1836497	0.0276425	0.4925187	0.6467196	0.5763843	0.0712819	0.0150119	0.3374440
150	0.4606665	0.2293483	0.1167969	0.4627492	0.3932626	0.3585013	0.0070785	0.0805384	0.0428729	0.2846862	0.3810382	0.0205496	0.2378731	0.1251024	0.7034991	0.0247473	0.2850171	0.2945448	0.0825114	0.8199101	0.2093001	0.9151265	0.4324762	0.4327881	0.8171102	0.5945853	0.5903651	0.4121658	0.0420234	0.1691228	0.2075117	0.4685812	0.3837989	0.2085538	0.4983311	0.3035082	0.6873973	0.7067875	0.4101400	0.6504102	0.3246224	0.0421823	0.6778894	0.7800745	0.4417811	0.5150415	0.7738515	0.1127727	0.0533064	0.5390155	0.4691331	0.6056111	0.1363218	0.0045836	0.0938342
200	0.3187200	0.2664528	0.1223727	0.3644314	0.3750272	0.4323831	0.0116667	0.0531563	0.0376735	0.3441452	0.5308959	0.0150709	0.3983290	0.0449839	0.6159428	0.0220094	0.3707206	0.2738256	0.1027734	0.6757742	0.2967600	0.6918712	0.4791204	0.3118240	0.7016480	0.5929492	0.7099951	0.3689608	0.0705303	0.1189394	0.2077335	0.4583525	0.3242915	0.1634507	0.5260764	0.3524281	0.7726295	0.9329915	0.5568831	0.6795505	0.3347937	0.0564485	0.6740577	0.7179024	0.4416741	0.5293545	0.9335682	0.1127791	0.0559919	0.6333514	0.4416047	0.7732166	0.2558975	0.0113005	0.0316561
250	0.6489643	0.1652795	0.0913938	0.3236860	0.4499172	0.5425177	0.0419991	0.0580458	0.0931527	0.3648611	0.2899380	0.0237022	0.4156215	0.0239044	0.6406428	0.0265253	0.4514217	0.3594148	0.0649386	0.8354038	0.3829961	0.7020648	0.5548315	0.4352414	0.8287806	0.6367665	0.6335114	0.3586618	0.0979801	0.0478207	0.2598232	0.5060948	0.4185715	0.1159734	0.5570776	0.2384997	0.7764499	0.7360359	0.4971535	0.5789946	0.4063370	0.0105952	0.7661092	0.7222934	0.3496840	0.5078243	0.8102337	0.1094600	0.0385018	0.5442207	0.1915337	0.7104056	0.2933173	0.0334759	0.0113430
300	0.4974699	0.2323947	0.0755336	0.4426714	0.5221967	0.4481377	0.0193750	0.0623745	0.0254892	0.2945192	0.4170944	0.0200748	0.3155288	0.1139259	0.6387811	0.0151026	0.4300490	0.3206229	0.0673319	0.7238742	0.2843852	0.7324011	0.4434047	0.4777985	0.6872157	0.5423519	0.5600958	0.3722126	0.0637982	0.0258885	0.2756368	0.5175922	0.5174154	0.1151286	0.4361791	0.3535336	0.7413729	0.7427389	0.4562200	0.6072603	0.4112863	0.0034014	0.7468153	0.6242963	0.2650855	0.4841851	0.7450153	0.0955233	0.0303211	0.6427277	0.2394792	0.7932509	0.2675334	0.0319030	0.0341993
350	0.4232235	0.2385793	0.0711108	0.3726435	0.4460035	0.3518868	0.0212566	0.0439865	0.0698108	0.3024460	0.4558970	0.0157197	0.3729636	0.0863316	0.6626577	0.0298127	0.3498275	0.3046555	0.0679237	0.8768506	0.3201556	0.7635155	0.4170546	0.3750020	0.6929101	0.6054956	0.5242974	0.3410827	0.0446759	0.0332918	0.1790597	0.5199251	0.4482547	0.0628205	0.5636544	0.3155877	0.7644730	0.8237439	0.4747176	0.7590435	0.4422251	0.0110366	0.6333789	0.7784288	0.2671473	0.5944181	0.8113301	0.0418255	0.0423697	0.4605780	0.1433067	0.7959986	0.2324117	0.0189633	0.0142962
400	0.4461350	0.2632583	0.1047476	0.3199002	0.3983402	0.3496905	0.0028523	0.0505221	0.0431024	0.3011737	0.4845033	0.0390396	0.3773305	0.0982049	0.7360195	0.0411503	0.3726783	0.2750614	0.0468108	0.7307095	0.2619766	0.7789659	0.6773339	0.4845576	0.6998694	0.4733177	0.6525007	0.2998335	0.0576600	0.0209244	0.1884511	0.5676153	0.3823788	0.0466866	0.5896947	0.2608000	0.7375866	0.7767923	0.5549181	0.7580756	0.3114815	0.0124034	0.6304794	0.7858093	0.5018303	0.4562618	0.7316797	0.1172320	0.0246646	0.5488933	0.1545534	0.6757569	0.2696196	0.0514362	0.0280898
