"Time"	G1	G2	G20	G10	G4	G17	G16	G9	G18	G94	G11	G98	G7	G6	G46	G100	G36	G37	G38	G34	G3	G56	G35	G5	G19	G14	G13	G12	G15	G39	G41	G50	G51	G53	G52	G55	G21	G22	G42	G44	G49	G40	G45	G54	G47	G72	G67	G57	G43	G48	G61	G8	G95	G60	G58	G99	G59	G79	G81	G83	G82	G84	G89	G80	G88	G90	G91	G86	G85	G78	G77	G75	G93	G92	G69

0	0.4802387	0.1277472	0.7219645	0.1190820	0.3808085	0.4242334	0.3177463	0.6159239	0.2675616	0.6458795	0.1422281	0.6122053	0.0039660	0.3422099	0.0099908	0.7614382	0.0012941	0.0140765	0.7609209	0.6387507	0.0428453	0.4705668	0.3376149	0.5242557	0.4805466	0.2196895	0.5994493	0.2180305	0.1627813	0.4544252	0.6834489	0.1200287	0.1003089	0.4405039	0.1970636	0.4312162	0.5303370	0.4359080	0.4134623	0.4114109	0.6189615	0.2727006	0.5130848	0.0949403	0.6683351	0.6380084	0.3397242	0.3634956	0.0072073	0.5336983	0.7226629	0.0039206	0.4187035	0.0139349	0.5324264	0.5311639	0.7283144	0.7592685	0.5256408	0.0791343	0.0237180	0.0511367	0.0505761	0.0084290	0.0380466	0.6621828	0.2163444	0.7134192	0.1727052	0.0343583	0.3722781	0.2851788	0.0481473	0.3723581	0.3609434
50	0.4986192	0.0977558	0.5920880	0.1105025	0.5985993	0.5074933	0.0685626	0.6171487	0.2342045	0.5509640	0.1180866	0.6808708	0.0090010	0.2764598	0.0071296	0.6263807	0.0053869	0.0123378	0.6528629	0.6351561	0.0634504	0.2689654	0.3069061	0.4963441	0.4409997	0.2201142	0.7602497	0.0178442	0.0662082	0.3789167	0.5967757	0.0671243	0.1772067	0.4997109	0.1745802	0.3952240	0.5642265	0.5751621	0.5118406	0.4895399	0.5734135	0.1860042	0.6758231	0.2614935	0.6123448	0.6533196	0.7068084	0.3463995	0.2454807	0.5212312	0.6178623	0.3141713	0.4675444	0.0469201	0.5786191	0.6548614	0.5240418	0.4253679	0.5550138	0.1013066	0.0117831	0.2478251	0.6139994	0.0154773	0.0609384	0.4993470	0.1594417	0.6591488	0.1288315	0.3574062	0.5311186	0.2876348	0.0755227	0.5398834	0.3627885
100	0.4936652	0.1089902	0.7193013	0.1446583	0.7198736	0.4490032	0.0623895	0.4898419	0.2044983	0.5248394	0.2271254	0.5396424	0.0126827	0.2553869	0.0152062	0.5183599	0.0115940	0.0095564	0.7912852	0.5494421	0.0572916	0.3344825	0.2567284	0.4027460	0.5016224	0.1813216	0.5490003	0.0342018	0.1137365	0.4389263	0.7578029	0.0711683	0.2806133	0.3973010	0.1948318	0.2897615	0.5317491	0.4729912	0.5783251	0.4674126	0.6687648	0.2641105	0.6315316	0.3382143	0.6125777	0.7468595	0.6106832	0.4631413	0.3291005	0.4978181	0.4896104	0.3247140	0.4193457	0.0523559	0.7066605	0.5945161	0.6261999	0.4040302	0.3125391	0.0729868	0.0224185	0.2098969	0.6657446	0.0099727	0.0573964	0.6507479	0.1788008	0.6222989	0.0972313	0.5339654	0.6696504	0.1624754	0.0625721	0.6575910	0.4799532
150	0.3973858	0.0627532	0.7380049	0.1026503	0.6176796	0.4345772	0.0349286	0.5352045	0.2773735	0.5337126	0.2210959	0.5537912	0.0167613	0.3464149	0.0093315	0.5861073	0.0037739	0.0045257	0.7212809	0.5021778	0.0596203	0.3218063	0.2773802	0.2776014	0.5758290	0.2622274	0.7042077	0.0173359	0.0768347	0.3644513	0.6525196	0.2254558	0.2409684	0.3870004	0.1564524	0.2194197	0.3968486	0.6277523	0.5533331	0.4462206	0.6852396	0.2934465	0.6331634	0.3492558	0.6619670	0.6838445	0.5127919	0.4707139	0.3519988	0.5777824	0.5653654	0.3808453	0.4519778	0.0549514	0.5596893	0.7252447	0.4986401	0.3396761	0.3229647	0.1069609	0.0285745	0.2948902	0.6055116	0.0184517	0.0506884	0.6460859	0.1499853	0.5782005	0.1654051	0.6307971	0.6619082	0.1700965	0.0695318	0.7107599	0.3024787
200	0.3371848	0.0874664	0.7017473	0.1208127	0.6430237	0.3796584	0.0240113	0.7133985	0.3034537	0.5084522	0.2972685	0.5041364	0.0113166	0.2748665	0.0134701	0.6463147	0.0008423	0.0054597	0.5023649	0.4891485	0.1125238	0.2663937	0.2773519	0.4610361	0.4437925	0.1549280	0.6776249	0.0461349	0.1098478	0.2116651	0.4650901	0.2611565	0.1396939	0.3417379	0.0704554	0.2127818	0.3246603	0.6128644	0.6192640	0.3231489	0.5685343	0.2538476	0.6089749	0.3965090	0.5677456	0.6725767	0.5218524	0.4690184	0.3828512	0.4670911	0.5414257	0.3754663	0.4085373	0.0489897	0.6962067	0.6144082	0.6877261	0.4103706	0.3533211	0.1201559	0.0315370	0.1770719	0.5311335	0.0304038	0.0422428	0.7489060	0.2246222	0.6781114	0.1260361	0.5481767	0.6739289	0.1866357	0.0552444	0.5585004	0.3509366
250	0.4586575	0.1453143	0.6026574	0.1469741	0.5246565	0.4048288	0.0501989	0.6362918	0.2054757	0.5309928	0.3308769	0.5316069	0.0055020	0.3436880	0.0229788	0.4172747	0.0055979	0.0043634	0.5826153	0.4380780	0.1261231	0.2622518	0.3142715	0.5592324	0.4580748	0.1843289	0.5021005	0.0514949	0.0840767	0.3587545	0.5391369	0.1399003	0.2827737	0.4037116	0.0741854	0.1804902	0.4302545	0.7031088	0.5247309	0.3972572	0.6913617	0.3326153	0.6225393	0.4283032	0.5551262	0.6144641	0.6067082	0.4366141	0.3586170	0.4726261	0.5067478	0.3344321	0.5159827	0.0524394	0.6413855	0.6653182	0.6393523	0.4285554	0.3625369	0.0693675	0.0299346	0.2233641	0.6203725	0.0143325	0.0905887	0.6834159	0.1658412	0.7485632	0.1319065	0.6325465	0.6222063	0.1919001	0.0856111	0.6263953	0.4022557
300	0.5257281	0.1457133	0.7327079	0.0958254	0.5955568	0.4146238	0.0520000	0.6318013	0.2647830	0.4818123	0.3031076	0.5449541	0.0156174	0.4395723	0.0088180	0.5322402	0.0060041	0.0167411	0.5537166	0.4697682	0.0966866	0.2646982	0.3237031	0.4079952	0.4063239	0.2604911	0.6049060	0.0311323	0.0661146	0.2895776	0.5343703	0.1435585	0.2138579	0.3946774	0.1567887	0.2084140	0.4963770	0.5689157	0.5599622	0.4210093	0.6315794	0.2807707	0.6414560	0.3399235	0.5981393	0.6809561	0.5271221	0.4195800	0.4264769	0.4711099	0.6427747	0.3568349	0.3907139	0.0811361	0.6556877	0.7051249	0.5230633	0.4471962	0.2341975	0.1094010	0.0346632	0.2924782	0.6431956	0.0148301	0.0669020	0.6963815	0.1235938	0.5889311	0.2068543	0.6151380	0.6672144	0.2206871	0.0813113	0.6882022	0.3252425
350	0.3864867	0.1001517	0.6134164	0.1288979	0.7490749	0.4129372	0.0434744	0.5932353	0.3100487	0.5051723	0.4187693	0.6149942	0.0142729	0.2964285	0.0077466	0.4750109	0.0010282	0.0140476	0.6339337	0.4965821	0.1087735	0.3876589	0.2696574	0.3171540	0.4336281	0.1814783	0.6054344	0.0175698	0.1086641	0.3603693	0.5863791	0.1751829	0.2493905	0.4233079	0.1135611	0.1918944	0.4369433	0.5646977	0.6177441	0.4755162	0.6765008	0.2705598	0.7010076	0.3517390	0.5847681	0.6893363	0.5665867	0.4990565	0.3726787	0.5243848	0.5009018	0.4331078	0.3654438	0.0607041	0.7056055	0.8498828	0.6725081	0.4844626	0.3058319	0.1216065	0.0254369	0.2416827	0.5913873	0.0138384	0.0422958	0.5718970	0.1517529	0.5691478	0.1545340	0.5800636	0.7227788	0.2334476	0.0482438	0.7281116	0.2946309
400	0.5245043	0.0950922	0.6642904	0.0776274	0.6113980	0.3099356	0.0382253	0.5447949	0.3062639	0.5086267	0.3875819	0.5376844	0.0045731	0.3809175	0.0206039	0.5038445	0.0000000	0.0059997	0.7607891	0.5478664	0.1049843	0.2863251	0.2972885	0.4289049	0.6523567	0.2093402	0.6813217	0.0615903	0.1314933	0.2395853	0.5177230	0.2285182	0.1383725	0.2863771	0.1152480	0.1818293	0.3629940	0.5281299	0.6696414	0.3445552	0.7570279	0.2446580	0.4691584	0.4079137	0.6128874	0.6729753	0.5037531	0.4847904	0.4675349	0.6010792	0.4775044	0.4438797	0.4281743	0.0872114	0.7157212	0.7572256	0.6524900	0.3263848	0.2196037	0.0857490	0.0140671	0.2826513	0.5970976	0.0036055	0.0662428	0.5581029	0.1277073	0.7871813	0.1139418	0.5255334	0.6553731	0.2101111	0.0299234	0.8494109	0.4437313
450	0.4468831	0.1244557	0.5513857	0.1318579	0.5997434	0.4040128	0.0332011	0.6498065	0.2341015	0.5190762	0.3709521	0.6361131	0.0049647	0.3011398	0.0160365	0.4333207	0.0042951	0.0086058	0.6152281	0.5207596	0.1222706	0.3415332	0.2827863	0.5083411	0.4622477	0.1578098	0.7671797	0.0390582	0.1514609	0.3334118	0.5174680	0.1612107	0.1744626	0.3702356	0.1160748	0.1709448	0.3716521	0.6535427	0.6140882	0.4756155	0.7205542	0.2446007	0.7041863	0.2961941	0.5911420	0.6669892	0.5650710	0.5134662	0.4955885	0.5114459	0.6241624	0.4619825	0.3178122	0.0671401	0.6371755	0.6467763	0.6652649	0.4169175	0.2117325	0.1531790	0.0411991	0.2548579	0.7133010	0.0058238	0.0507903	0.8075460	0.1085677	0.5878093	0.1372607	0.6490790	0.6055898	0.2543030	0.0336727	0.6340561	0.3269941
500	0.4988779	0.1441179	0.6323306	0.1643288	0.6479403	0.3966430	0.0478565	0.6798901	0.3146768	0.4730473	0.3799590	0.6502936	0.0061652	0.3662937	0.0298470	0.4751800	0.0014506	0.0044677	0.7053077	0.5354080	0.1192697	0.2505019	0.3094428	0.4415650	0.4599133	0.1544904	0.6614187	0.0190213	0.1029076	0.2969943	0.6345454	0.1826738	0.2115360	0.3834161	0.0818874	0.1476584	0.3893878	0.5529105	0.7023815	0.4759361	0.5470566	0.3005480	0.7510674	0.3475885	0.5868679	0.5914410	0.6447928	0.3891443	0.3329202	0.5783524	0.6080972	0.3749130	0.4590502	0.0536077	0.7056489	0.6561234	0.6750074	0.5122365	0.2582803	0.1327858	0.0512894	0.2482463	0.5886972	0.0053370	0.0340478	0.7341493	0.1270573	0.6050921	0.1652757	0.5253743	0.6052934	0.2983026	0.0250700	0.6324864	0.3163436
550	0.3711828	0.1109368	0.6821084	0.1074964	0.4574477	0.3521107	0.2119695	0.5802787	0.1924585	0.6928071	0.3194817	0.5317378	0.0070773	0.3716013	0.0119636	0.6695415	0.0025675	0.0055252	0.7480766	0.6489200	0.0710433	0.5960105	0.2915610	0.5260222	0.4705845	0.1826011	0.6664445	0.2372347	0.3031060	0.3286286	0.6268007	0.1980561	0.0516992	0.3657781	0.1367120	0.2090046	0.3671545	0.5609852	0.4521764	0.3055749	0.5840127	0.2489675	0.4666467	0.1630158	0.5566148	0.6941658	0.4654397	0.5101899	0.2422763	0.5420438	0.6894569	0.1264609	0.4401223	0.0285172	0.7505819	0.6794444	0.5928542	0.6572020	0.4035955	0.0985611	0.1146962	0.0624099	0.2065501	0.0279333	0.0984964	0.6031887	0.1598010	0.5558210	0.0983405	0.1052669	0.4495200	0.3734872	0.0288576	0.3827096	0.2918904
600	0.3626979	0.1280285	0.6409769	0.1207326	0.3813020	0.4285321	0.2685645	0.4571786	0.2508714	0.6223730	0.2481222	0.7771875	0.0068567	0.3223772	0.0118025	0.6534411	0.0049534	0.0266225	0.6226641	0.7349100	0.0608630	0.5146136	0.3416099	0.6124730	0.3751300	0.2402900	0.6473901	0.1908170	0.2796805	0.3759577	0.5555872	0.1246383	0.0661894	0.3595833	0.0888471	0.2637806	0.4110285	0.5575749	0.4228047	0.3067035	0.4987220	0.3340119	0.4009077	0.0879712	0.6116845	0.7119524	0.3431831	0.5705598	0.0584577	0.4779714	0.5699891	0.0435675	0.3483556	0.0133064	0.6928568	0.5443099	0.7178798	0.6899077	0.5252071	0.1124411	0.0208552	0.0455915	0.0588360	0.0193769	0.0574702	0.6745020	0.1971907	0.5797684	0.1331348	0.0577943	0.3796554	0.2897290	0.0830418	0.4435805	0.3859534
650	0.3178505	0.1287307	0.6807128	0.1272157	0.4033738	0.4669412	0.2552709	0.4933417	0.1815211	0.7232623	0.1823010	0.7603377	0.0026725	0.3742291	0.0201024	0.6759583	0.0018917	0.0159407	0.7442087	0.6914387	0.0572289	0.5213450	0.2795942	0.5328418	0.4259506	0.2931668	0.7832076	0.1891721	0.1249192	0.3536016	0.5808949	0.0989525	0.0578024	0.3888591	0.1554073	0.3913914	0.4177743	0.4028681	0.4119915	0.4225403	0.6767199	0.3178760	0.4843577	0.0877276	0.6112684	0.6332064	0.3552167	0.5811251	0.0235629	0.5649573	0.6245160	0.0254128	0.3794148	0.0232603	0.6414779	0.6755057	0.5774424	0.5909517	0.3343020	0.0945707	0.0430738	0.0331632	0.0375021	0.0038806	0.0562698	0.6345127	0.1446596	0.6080375	0.1606298	0.0250588	0.3456931	0.3674591	0.0404805	0.5155481	0.3360680
700	0.4512997	0.1900260	0.8145700	0.0871789	0.5524096	0.4340451	0.3728289	0.5800954	0.2192539	0.6231859	0.1225710	0.6758262	0.0017295	0.2906820	0.0087944	0.7920477	0.0033259	0.0118223	0.6558294	0.6278495	0.0479085	0.4687866	0.2644933	0.6074490	0.3774634	0.2528398	0.6633754	0.2234778	0.1887168	0.3203670	0.6273142	0.1026348	0.1829266	0.3893398	0.1663873	0.5090294	0.5429265	0.5423180	0.4395710	0.5787419	0.7941896	0.2337643	0.5338341	0.0921966	0.6219512	0.6168835	0.3348626	0.4860714	0.0309862	0.5979415	0.4764077	0.0056870	0.4774350	0.0240763	0.6930119	0.7711600	0.7021018	0.7132734	0.4550428	0.0615176	0.0647801	0.0383078	0.0068762	0.0147757	0.0424020	0.7849959	0.1379998	0.6237121	0.1654839	0.0297749	0.3594663	0.3000113	0.0355631	0.3108710	0.5063161
