"Time"	G1	G3	G7	G8	G5	G22	G4	G83	G6	G88	G85	G89	G54	G86	G87	G30	G29	G35	G99	G100	G32	G19	G18	G20	G81	G23	G82	G80	G58	G31	G50	G51	G78	G94	G95	G93	G91	G90	G2	G69

0	0.3153212	0.5340042	0.6076955	0.6006157	0.0586222	0.7706795	0.1376713	0.7537059	0.5450318	0.6513599	0.4618452	0.3624274	0.0034997	0.6400268	0.6681647	0.2122354	0.4358557	0.4570038	0.0290920	0.6649966	0.4820859	0.5851395	0.6675621	0.7750828	0.1782881	0.7458341	0.0936639	0.1470112	0.7187087	0.0337543	0.0685969	0.0035191	0.5876407	0.2598224	0.6540233	0.5847711	0.2578849	0.7269395	0.3228074	0.7314053
50	0.3757647	0.4274961	0.5739192	0.5802930	0.0854121	0.5864275	0.2176543	0.6893384	0.4899968	0.6413479	0.5314155	0.6758849	0.0139081	0.6695547	0.4355328	0.2281312	0.3714331	0.2244116	0.4009173	0.3754492	0.4590832	0.5082068	0.5118967	0.6949875	0.1805045	0.4933576	0.0833443	0.0284812	0.6853222	0.0235777	0.2312259	0.0003755	0.4117713	0.3479306	0.5942689	0.5357836	0.1535841	0.7192180	0.3773336	0.5434705
100	0.2784109	0.4810590	0.5087312	0.5406906	0.0535299	0.6979900	0.1268597	0.6959393	0.5518385	0.7570774	0.4524576	0.7202616	0.0106796	0.6706046	0.4371914	0.1926450	0.3838032	0.1779630	0.5688500	0.3623610	0.4217348	0.6163403	0.6960401	0.6874263	0.2390977	0.8346810	0.1095800	0.0157054	0.6042107	0.0401989	0.2288135	0.0028182	0.4777324	0.3169438	0.5630844	0.5700336	0.2087254	0.6131723	0.3273284	0.4246982
150	0.2580523	0.2737212	0.8052048	0.5778266	0.1215493	0.6532096	0.1453674	0.6580288	0.5323581	0.6882314	0.5354310	0.6439518	0.0316154	0.6160735	0.4934194	0.1764298	0.4336796	0.2952748	0.4243583	0.3406041	0.5089366	0.5607914	0.8500247	0.6910210	0.2762810	0.8634618	0.0502183	0.0099049	0.6530159	0.0192852	0.2866836	0.0002366	0.4736689	0.2717390	0.7194926	0.5424458	0.1367133	0.6872207	0.3385517	0.4578837
200	0.2272513	0.3198945	0.6322749	0.7632441	0.1122609	0.7565423	0.1011084	0.5738942	0.6407732	0.7140679	0.6905754	0.6544216	0.0457873	0.6832256	0.5005763	0.2291642	0.3500705	0.2412212	0.6310339	0.3192687	0.4800428	0.5447115	0.6500384	0.5470663	0.2135490	0.7249225	0.1012533	0.0037284	0.6832440	0.0377894	0.2396263	0.0009781	0.5915118	0.3001702	0.6332133	0.4871943	0.1559126	0.6064940	0.3857706	0.3886088
250	0.2591152	0.2035482	0.6131090	0.6343100	0.1934080	0.8246798	0.0607038	0.6090224	0.5339002	0.7549593	0.5291698	0.7809748	0.0188969	0.5868863	0.4785727	0.2115089	0.3943045	0.4066865	0.6829022	0.2694244	0.4227759	0.5570361	0.6536698	0.5505394	0.2162145	0.6437371	0.0880815	0.0060500	0.8539380	0.0265884	0.3108728	0.0021025	0.5652212	0.3389051	0.7504624	0.5684501	0.0979143	0.7834022	0.3071239	0.4023200
300	0.3698455	0.1933300	0.7293415	0.6927945	0.1602125	0.6541264	0.0573155	0.6293499	0.5601631	0.7099726	0.4646452	0.5869089	0.0107527	0.5629872	0.4566475	0.1755559	0.3456345	0.2602452	0.6036898	0.2953288	0.4653091	0.5347420	0.8577701	0.5963275	0.1797166	0.6962881	0.0798846	0.0036950	0.6205356	0.0413775	0.2945591	0.0013654	0.5100371	0.2852113	0.6453585	0.5644730	0.1020989	0.6894106	0.2380018	0.3808196
350	0.3162590	0.3010878	0.7012468	0.4862226	0.1324363	0.6840622	0.0881748	0.8042762	0.5438807	0.7229573	0.5081498	0.6023914	0.0116185	0.7245351	0.4995875	0.1903224	0.4185894	0.2329667	0.5873256	0.2050231	0.4265434	0.5614304	0.6051078	0.8259192	0.1691394	0.5915396	0.0950104	0.0015897	0.6563850	0.0478983	0.2745768	0.0015870	0.4724817	0.3593383	0.6295103	0.4708423	0.1041047	0.7108675	0.3375029	0.4522226
400	0.2750929	0.3418057	0.7164268	0.5677842	0.1662440	0.6488684	0.2136746	0.6942527	0.5691424	0.6536916	0.5379440	0.5874176	0.0260355	0.5066830	0.4771692	0.2031647	0.4830850	0.2715880	0.5089102	0.2927844	0.4735416	0.5541659	0.7103664	0.7123856	0.1187153	0.8298761	0.1000153	0.0135959	0.7233291	0.0312401	0.2788959	0.0051769	0.3874715	0.2208193	0.7358753	0.4923959	0.0796881	0.5816422	0.2924367	0.3795752
450	0.3493156	0.3992122	0.5807050	0.5721348	0.1179674	0.7340880	0.1521576	0.7197369	0.4518122	0.5853834	0.5216938	0.5619088	0.0077940	0.6908340	0.4786750	0.2199956	0.4777827	0.3313296	0.5735094	0.3045663	0.3454327	0.6002370	0.6070222	0.7541283	0.2056321	0.5878954	0.0749879	0.0023666	0.6966144	0.0186943	0.3048097	0.0032852	0.4166068	0.2556832	0.7058624	0.5995610	0.1328848	0.6162071	0.2572624	0.3882400
500	0.2628111	0.3255199	0.6535634	0.6845106	0.0612308	0.6754782	0.1282155	0.6609067	0.4839671	0.6413329	0.4932643	0.6926910	0.0621234	0.6967730	0.4880061	0.2147081	0.4601314	0.3819181	0.5401210	0.3183654	0.4265048	0.6192994	0.7045348	0.6314680	0.1399768	0.5632498	0.0761657	0.0049018	0.6314284	0.0110244	0.2842046	0.0015840	0.4541263	0.3152684	0.7552287	0.5582184	0.1627523	0.7815641	0.3871722	0.3439287
550	0.2947467	0.3426665	0.5950346	0.5164874	0.0786149	0.7283258	0.2163610	0.7842678	0.5241560	0.7299703	0.6426045	0.3838817	0.0185130	0.6779441	0.5021967	0.1239156	0.4180156	0.4906934	0.1911795	0.6655778	0.5122955	0.5839787	0.7037469	0.7222631	0.1600848	0.6954304	0.1542517	0.0637696	0.7089993	0.0078615	0.1483910	0.0022129	0.4687336	0.2287432	0.7555686	0.5123248	0.1571282	0.6886808	0.2815080	0.6042574
600	0.3172511	0.4946250	0.6282998	0.5740061	0.0527911	0.6197060	0.1616406	0.7675892	0.4988124	0.5739681	0.4542418	0.3435214	0.0076217	0.7774784	0.6274094	0.2450752	0.3913213	0.5431153	0.0453766	0.6181703	0.4358941	0.5631538	0.6825808	0.7361880	0.1098048	0.7544433	0.0984993	0.0668576	0.7152893	0.0473790	0.0853849	0.0001430	0.3818055	0.2256770	0.6698320	0.5956326	0.1816524	0.6149282	0.2851498	0.8054794
650	0.3488759	0.4724366	0.7392407	0.7231227	0.0419268	0.6051395	0.1405359	0.6883671	0.4885054	0.6797844	0.5021164	0.3466686	0.0133264	0.7052131	0.5681200	0.1549658	0.5288497	0.5918990	0.0199950	0.6938704	0.4942177	0.5367271	0.6240418	0.7315881	0.1235979	0.7662526	0.1347087	0.0989049	0.6929123	0.0268759	0.0916790	0.0032547	0.5113732	0.3274152	0.6837765	0.5194884	0.2201835	0.7306248	0.3790745	0.7378408
700	0.3322126	0.4430258	0.6059604	0.4436990	0.0473408	0.6960534	0.3134121	0.6607371	0.4911047	0.7391407	0.4806717	0.3249525	0.0248484	0.6958824	0.4587486	0.1488409	0.4018216	0.4206922	0.0162045	0.7424835	0.4346443	0.6009924	0.5813456	0.7457698	0.2162509	0.6448593	0.0934585	0.1025099	0.6606072	0.0136076	0.0534948	0.0075340	0.4917967	0.4243002	0.7654289	0.5377218	0.2143131	0.6069165	0.4110577	0.6665905
750	0.4318947	0.5574394	0.6530533	0.5095248	0.0645140	0.7347236	0.1821710	0.5821430	0.4542758	0.6256746	0.4892141	0.3735305	0.0051534	0.7200098	0.5903621	0.2388941	0.4780388	0.3337803	0.0114183	0.7010000	0.5160560	0.6522197	0.7280942	0.6566498	0.1287798	0.5945940	0.0812968	0.1047564	0.6453317	0.0156649	0.0795744	0.0059742	0.4264409	0.3479412	0.7960033	0.6433730	0.2712995	0.8557782	0.3357608	0.6938502
800	0.3123632	0.3981757	0.5575614	0.4604526	0.0328690	0.6961512	0.2602248	0.6944526	0.4226235	0.6230619	0.4832036	0.3536570	0.0120631	0.6012814	0.4094920	0.1825194	0.3650748	0.2871718	0.0115055	0.7106157	0.5311858	0.6055588	0.8261237	0.6824124	0.1557173	0.5635358	0.0516246	0.1230292	0.5818035	0.0680267	0.0623494	0.0111276	0.4048795	0.2875483	0.7857605	0.5625035	0.1836990	0.6894361	0.4236324	0.7234358
850	0.3293157	0.5977323	0.6682140	0.5035920	0.0587115	0.6493672	0.2154585	0.6276352	0.4353292	0.7810791	0.6295145	0.3983949	0.0156348	0.5809799	0.5296808	0.2009594	0.4492419	0.3989846	0.0166765	0.7908305	0.5007748	0.4392598	0.5140786	0.7313258	0.1664999	0.5788805	0.0308949	0.1243245	0.6866163	0.0400208	0.0528576	0.0068705	0.4596204	0.2641110	0.5768331	0.5728586	0.2384401	0.7474806	0.5124822	0.6810001
900	0.3544768	0.4363791	0.6020380	0.6552481	0.1067626	0.6279501	0.2034698	0.7603661	0.4478133	0.7074787	0.5264274	0.3830930	0.0209734	0.6991913	0.5726620	0.2037170	0.4587535	0.5184801	0.0193936	0.7094845	0.4264678	0.5704447	0.6913600	0.6812011	0.1700943	0.6725775	0.1046237	0.1409557	0.6416359	0.0154073	0.0730110	0.0116759	0.4253515	0.3139322	0.6072190	0.4208624	0.3054826	0.6883745	0.5044147	0.5791842
950	0.4055683	0.4997558	0.5500672	0.5656684	0.0775801	0.6806211	0.1948893	0.6985835	0.4801876	0.7048179	0.5580091	0.3384489	0.0172670	0.6902645	0.6042295	0.2081195	0.3378936	0.3608741	0.0191142	0.6326965	0.4747778	0.6894682	0.6756048	0.6327208	0.2468961	0.6660300	0.0794614	0.1526218	0.6872297	0.0143208	0.0637286	0.0231452	0.4722381	0.2248581	0.7567619	0.5768544	0.2128316	0.6310517	0.3917607	0.6324402
1000	0.2589467	0.4095922	0.4884930	0.6955942	0.1045518	0.6841980	0.1186317	0.6785015	0.4377027	0.9189233	0.5001759	0.3811115	0.0054050	0.6558322	0.5139465	0.1941955	0.4200306	0.2198998	0.0219832	0.6446945	0.5119557	0.5657227	0.6423549	0.6931045	0.1195044	0.6371452	0.1247282	0.1011846	0.6975744	0.0137221	0.1245680	0.0076299	0.4245753	0.2613135	0.7026273	0.5141943	0.2469548	0.6751110	0.3295225	0.6629012

0	0.3597340	0.5117648	0.6792573	0.5026920	0.0242342	0.7562097	0.1727126	0.6441089	0.6057343	0.6494237	0.5831032	0.4080717	0.0110641	0.6973872	0.5486858	0.2255138	0.4196695	0.4120659	0.0356257	0.7499925	0.4545932	0.7117295	0.6938655	0.7509896	0.1787699	0.6229143	0.0669358	0.1230203	0.6725788	0.0204516	0.0672828	0.0028981	0.5001724	0.3054283	0.8135545	0.5700578	0.2831836	0.8117093	0.3936750	0.7581120
50	0.2875075	0.4067758	0.7596989	0.5982445	0.0561338	0.7019448	0.2234469	0.7118564	0.2049602	0.4219404	0.5165461	0.6285631	0.0189863	0.5882468	0.6184690	0.1346328	0.4040593	0.5563377	0.2373315	0.7657543	0.4672367	0.5476699	0.6889917	0.6588194	0.1699212	0.7170901	0.0745911	0.1168678	0.6952899	0.0487060	0.0804618	0.0382623	0.5547788	0.4238226	0.7862070	0.5982493	0.2213596	0.6691797	0.2729887	0.2062852
100	0.2945294	0.4413529	0.7713720	0.7110560	0.0609472	0.5807044	0.1508163	0.5712411	0.1273395	0.3430417	0.5143926	0.6230480	0.0234775	0.5889389	0.4191118	0.3177488	0.4235244	0.5382136	0.4192053	0.7974950	0.4740530	0.5701959	0.6333622	0.6273079	0.1080242	0.7316355	0.0728489	0.1099201	0.7303321	0.0597217	0.0540470	0.0612413	0.5264767	0.4440487	0.6219076	0.6156629	0.2512672	0.6510622	0.3095208	0.0701324
150	0.2887871	0.4177623	0.4673936	0.6740999	0.0896379	0.6477705	0.1427869	0.5764344	0.1557841	0.3546008	0.4146928	0.5904632	0.0271083	0.6742155	0.3102751	0.2480993	0.3311046	0.6413187	0.3791203	0.6364427	0.5782092	0.4497020	0.6272515	0.7950952	0.2617644	0.7229333	0.0715761	0.0700921	0.6769107	0.0118056	0.0783292	0.0417571	0.6112905	0.3857423	0.6336931	0.5498530	0.2928117	0.8293304	0.2000148	0.0726347
