"Time"	G1	G3	G7	G8	G5	G22	G4	G83	G6	G88	G85	G89	G54	G86	G87	G30	G29	G35	G99	G100	G32	G19	G18	G20	G81	G23	G82	G80	G58	G31	G50	G51	G78	G94	G95	G93	G91	G90	G2	G69

0	0.3343780	0.4813002	0.6038490	0.5916559	0.0814150	0.7662565	0.2098950	0.5842930	0.3662505	0.6923400	0.6163354	0.5157313	0.0047891	0.6434381	0.3943234	0.3172557	0.4573915	0.3529764	0.0115990	0.7555065	0.5830455	0.4998271	0.6356318	0.8073525	0.2438703	0.6374158	0.1067653	0.0560928	0.7682976	0.0419270	0.1091915	0.0073154	0.5215077	0.2763395	0.8655997	0.6255123	0.2276238	0.7651442	0.4598236	0.7733163
50	0.3510193	0.4807570	0.7698280	0.7933984	0.0564239	0.6316555	0.3904872	0.5989426	0.4541618	0.7597197	0.5767724	0.3897403	0.0081874	0.7454612	0.6170886	0.2118841	0.5061232	0.6521486	0.0111775	0.2889696	0.4012333	0.5497676	0.5556092	0.7318631	0.2040034	0.7883598	0.0460200	0.0555535	0.4570037	0.0050830	0.0485600	0.0004944	0.4941880	0.6128778	0.8134876	0.7395018	0.2256623	0.7513040	0.4238179	0.7118982
100	0.3980060	0.4072367	0.7100182	0.5276708	0.0530864	0.7064825	0.4214791	0.5612305	0.5094697	0.6736620	0.6544483	0.3607398	0.0411162	0.6130609	0.5560908	0.2006408	0.7085544	0.6363198	0.0301690	0.2003541	0.4134076	0.5124859	0.5685612	0.8220800	0.2462671	0.6659080	0.0201788	0.0209728	0.2850327	0.0132113	0.0756047	0.0026147	0.4507764	0.6201142	0.7721027	0.5261517	0.1849238	0.7957463	0.3804098	0.6679706
150	0.3488466	0.4707273	0.6663332	0.6234905	0.0538521	0.5772695	0.5750951	0.5300411	0.5712716	0.7868511	0.5713729	0.4316123	0.0238894	0.6270037	0.4815635	0.2335232	0.6906276	0.4667186	0.0442818	0.2530790	0.3261643	0.5154646	0.5991079	0.6672438	0.2193899	0.6778793	0.0099923	0.0062398	0.2929262	0.0020650	0.0760959	0.0035175	0.4465431	0.6017749	0.9015505	0.5386080	0.1223891	0.9153779	0.4760339	0.6187251
200	0.3646424	0.3691977	0.6990442	0.6797974	0.0727880	0.6873642	0.4089629	0.5902458	0.4258719	0.8002220	0.6619543	0.3369343	0.0258084	0.6712753	0.4280949	0.2488985	0.7078619	0.3601677	0.0072780	0.2091645	0.1980112	0.5299505	0.5609321	0.5785644	0.2065118	0.7256367	0.0464502	0.0175979	0.3618454	0.0000229	0.0686836	0.0123978	0.4448488	0.6006077	0.6528407	0.5920944	0.1358972	0.7403023	0.4590738	0.6429250
250	0.4832879	0.5553663	0.4869155	0.5648239	0.0561487	0.7186359	0.4818190	0.5267159	0.4721224	0.7795142	0.5247152	0.4709675	0.0537823	0.7967170	0.3427258	0.2632218	0.7714488	0.2506867	0.0235964	0.2119962	0.2563126	0.5835871	0.5024813	0.7821726	0.1979824	0.8526206	0.0218172	0.0053102	0.3080662	0.0000392	0.0814709	0.0035156	0.4140815	0.6764486	0.8631568	0.5638988	0.2528408	0.6569559	0.4562085	0.6334733
300	0.3838983	0.7032547	0.4645576	0.4731709	0.0166283	0.7774487	0.4776372	0.4850901	0.5116858	0.7697981	0.4826924	0.4135306	0.0884336	0.5895791	0.3139096	0.2270038	0.6835183	0.2662990	0.0150140	0.2293759	0.2277808	0.5328176	0.5475724	0.7229402	0.2299578	0.7838488	0.0258555	0.0055044	0.2892585	0.0001175	0.0584677	0.0024892	0.4681899	0.7749429	0.6907152	0.6011569	0.2311894	0.7510193	0.3918620	0.6958384
350	0.4628068	0.5492572	0.5087006	0.5060699	0.0275491	0.6596174	0.4870592	0.5147133	0.3989545	0.6860721	0.5757274	0.5233206	0.0714706	0.6990472	0.2665529	0.2304401	0.7811790	0.1296214	0.0246973	0.1903387	0.3222055	0.6321833	0.4947369	0.7526816	0.1952111	0.7046220	0.0133152	0.0035446	0.3781859	0.0000000	0.0862700	0.0082297	0.3667660	0.6921311	0.8103900	0.5929846	0.2221569	0.8479802	0.4541437	0.6773454
400	0.4546686	0.6094319	0.5273938	0.6506342	0.0551530	0.6880804	0.4091187	0.5218414	0.4090567	0.7472631	0.5890262	0.6750774	0.0382709	0.8251409	0.2216376	0.3213808	0.6068253	0.1481816	0.0280907	0.1772189	0.2248608	0.4618703	0.5098655	0.6624350	0.2195743	0.8964569	0.0120779	0.0061885	0.2866603	0.0000225	0.0822879	0.0136828	0.3939604	0.7187754	0.6893150	0.4598346	0.2226078	0.7644703	0.3906634	0.7262819
