"Time"	G1	G3	G5	G8	G4	G83	G6	G7	G86	G85	G22	G87	G54	G89	G88	G30	G29	G35	G100	G99	G32	G81	G23	G19	G18

0	0.2536574	0.1308136	0.4401017	0.6130072	0.4981931	0.7999418	0.0389435	0.5932166	0.3568625	0.3574148	0.8252996	0.3140563	0.0982337	0.0302029	0.7070757	0.8000473	0.1698133	0.7984219	0.6075183	0.5617915	0.1593571	0.3297312	0.4365155	0.7761896	0.7442099
50	0.2114895	0.1853533	0.4027160	0.4542234	0.6171270	0.7535067	0.0272810	0.4255415	0.3276370	0.1361922	0.6286989	0.3725671	0.5251147	0.0081103	0.5854934	0.8433907	0.2001329	0.3373380	0.6574727	0.5260988	0.0647701	0.5491321	0.4790736	0.6172491	0.6654510
100	0.2518771	0.1762981	0.3938654	0.4568161	0.6262543	0.8393020	0.0286255	0.4828131	0.3612065	0.1736060	0.8482232	0.3629754	0.7432319	0.0111561	0.4636718	0.6981898	0.0508909	0.2136853	0.3712226	0.7095226	0.1029783	0.6853761	0.4342605	0.7089658	0.7884832
150	0.2465944	0.1908708	0.4325299	0.3926048	0.6965451	0.8458981	0.0563897	0.4147947	0.3913423	0.0862071	0.6901740	0.3204065	0.7503450	0.0283837	0.3202428	0.7148144	0.0473994	0.1630377	0.3130512	0.6910796	0.1149303	0.7180831	0.4135444	0.6831476	0.8124830
200	0.1769627	0.1944683	0.4402662	0.5520664	0.6420875	0.6897175	0.0662292	0.4109189	0.4446162	0.0524980	0.7673633	0.2498295	0.6107074	0.0399572	0.2578337	0.8930741	0.0676919	0.1322911	0.1992950	0.7062380	0.2215272	0.6760126	0.4175073	0.7604174	0.6183194
250	0.2068077	0.1854129	0.3353314	0.4206860	0.7098176	0.7379941	0.0284078	0.4156665	0.4106648	0.1273369	0.7247449	0.1882560	0.3587525	0.0338503	0.1575805	0.6969824	0.0461835	0.2044674	0.1785414	0.8856647	0.1903609	0.7641656	0.3762865	0.7068985	0.8298633
300	0.2553788	0.2129889	0.4134277	0.4517937	0.6148011	0.7564688	0.0355014	0.5767259	0.4436534	0.1021307	0.8468426	0.2662706	0.3728496	0.0176842	0.3186791	0.8494064	0.0615438	0.1604487	0.1973081	0.7519998	0.2740560	0.6208204	0.3796723	0.6436766	0.6873865
350	0.2906667	0.1727387	0.3874638	0.5595131	0.6543064	0.6258282	0.0731742	0.4852190	0.3253501	0.1231147	0.7055474	0.3115346	0.2425801	0.0204135	0.3797002	0.7767939	0.1145480	0.1899518	0.1450606	0.7363186	0.1703829	0.7209679	0.4514917	0.5260543	0.6547277
400	0.2328776	0.1744355	0.3434528	0.4549127	0.5374777	0.7190316	0.0223741	0.4050890	0.3258401	0.1998856	0.7176191	0.3108388	0.4942885	0.0280966	0.4774613	0.6816290	0.1200185	0.2039127	0.2303318	0.7663028	0.1502687	0.5240714	0.4616178	0.6955929	0.7763737
