"Time"	G1	G3	G7	G8	G4	G83	G6	G87	G86	G89	G54	G85	G88	G30	G29	G35	G99	G100	G32	G81

0	0.6781030	0.7282348	0.2802044	0.1824928	0.6862303	0.7273235	0.1357015	0.4157796	0.4924308	0.0206111	0.2426422	0.3734762	0.8550146	0.4272675	0.0296628	0.7827782	0.5053757	0.1882702	0.6660231	0.1699614
50	0.6491441	0.6400043	0.3862614	0.0406488	0.7548022	0.6277515	0.0675409	0.4409215	0.5203780	0.0029920	0.1792286	0.3120992	0.3498962	0.4449451	0.1629229	0.7051277	0.6139826	0.1122016	0.6988930	0.0898270
100	0.6243638	0.8087231	0.4840116	0.0324100	0.7725599	0.8126347	0.0877088	0.6460728	0.4908100	0.0078092	0.1617723	0.2576004	0.2216016	0.4613956	0.1918197	0.6425279	0.5805416	0.1076986	0.4868069	0.1199564
150	0.4651154	0.7728410	0.4472574	0.0185543	0.7396421	0.7166883	0.1153450	0.7271342	0.5527591	0.0063312	0.2251734	0.2256970	0.1733370	0.6092984	0.2861608	0.6113290	0.4713953	0.0466064	0.2608384	0.1352338
200	0.7199646	0.6692018	0.6012265	0.0124453	0.8939139	0.7480773	0.1207678	0.5322165	0.7353859	0.0036713	0.3409566	0.1987479	0.1538754	0.4678720	0.2450864	0.6430783	0.6093601	0.0633198	0.2054666	0.2561316
250	0.5272428	0.7427646	0.5785204	0.0046599	0.6655671	0.6663169	0.0930806	0.6398861	0.5439133	0.0136298	0.3884445	0.2190099	0.1485036	0.5135528	0.2684788	0.7019857	0.6089545	0.0700394	0.1409954	0.1907851
300	0.5422942	0.7924481	0.6786947	0.0009918	0.7108743	0.7103983	0.1593457	0.4869673	0.4779309	0.0264562	0.5866621	0.2153366	0.1527362	0.4197497	0.2099767	0.5784974	0.6879145	0.0788030	0.1554542	0.2731666
350	0.4792405	0.9021313	0.4595376	0.0020419	0.7027805	0.8316331	0.1013121	0.6493410	0.4645290	0.0148121	0.5067175	0.1609215	0.1365236	0.4493256	0.2959718	0.7352274	0.5738304	0.1022971	0.1347660	0.3015202
400	0.5386042	0.7134513	0.5520361	0.0059876	0.6899555	0.6164544	0.1526874	0.5023012	0.5291195	0.0084259	0.6782846	0.2189463	0.1338417	0.3985223	0.3372173	0.7663749	0.6438932	0.0407732	0.1035105	0.3660318
450	0.6265739	0.6980945	0.4857592	0.0067665	0.7177581	0.7193957	0.1536824	0.4157965	0.5178467	0.0208071	0.6718552	0.1783784	0.0823251	0.4958379	0.3282139	0.6139973	0.8958164	0.0686265	0.1359842	0.4815830
500	0.5904524	0.5749232	0.5124866	0.0025792	0.7164058	0.7383575	0.1641192	0.3467520	0.4111013	0.0411053	0.7138537	0.2368615	0.0785698	0.4699386	0.2893121	0.7843166	0.6724147	0.0497635	0.1250197	0.4443009
550	0.7971325	0.6159715	0.4497646	0.1668499	0.7985546	0.6765596	0.2249769	0.2452969	0.4450464	0.0596698	0.5991167	0.2176130	0.4895926	0.4120205	0.1062839	0.6655351	0.7031265	0.0761243	0.2079427	0.4165949
600	1.0000000	0.7507737	0.4625076	0.1327451	0.8666753	0.7745062	0.2220897	0.1712208	0.3585116	0.0397286	0.5948443	0.2501766	0.4069693	0.6983455	0.0286281	0.6716513	0.6469675	0.0407118	0.2504981	0.3723724
650	0.9648062	0.7482823	0.5042510	0.1934736	0.6885727	0.8398030	0.1601618	0.2982969	0.3926764	0.0554628	0.5206171	0.2282703	0.5629577	0.6827539	0.0278309	0.7157326	0.7635149	0.0509965	0.4492742	0.3716047
700	0.6612941	0.5808788	0.3938566	0.0983500	0.8914166	0.8364028	0.1572368	0.3680436	0.5314386	0.0514483	0.3290570	0.2475405	0.6315458	0.6524557	0.0117622	0.7896228	0.7532997	0.0746305	0.6510719	0.3605461
750	0.7905168	0.6344480	0.3138119	0.1259000	0.9060837	0.7514244	0.1315870	0.4442513	0.4993372	0.0220442	0.3890178	0.2299549	0.5997368	0.4771268	0.0094163	0.6646222	0.6800311	0.0426426	0.5860009	0.3536902
800	0.7566568	0.7984441	0.3271376	0.1399591	0.7976720	0.6901779	0.1203624	0.4155254	0.3308008	0.0445528	0.2385938	0.2108717	0.6181319	0.5237685	0.0200691	0.7964045	0.7273112	0.0680073	0.8046724	0.3138216
850	0.7686448	0.6774866	0.3575572	0.1386727	0.7782435	0.6835222	0.2468632	0.5248278	0.3638315	0.0256472	0.2793791	0.3560182	0.8150822	0.5671111	0.0018645	0.6014675	0.6714313	0.0512399	0.8183326	0.2216851
900	0.5736849	0.6884031	0.3297292	0.2380759	0.7261819	0.8170581	0.1952169	0.5435379	0.4164947	0.0246903	0.2280898	0.2602035	0.7892369	0.6011364	0.0155898	0.7336177	0.5300898	0.0430841	0.7369189	0.1765378
950	0.6745922	0.7679529	0.4204096	0.1523006	0.8914982	0.7819932	0.2098995	0.4869436	0.4682413	0.0229241	0.1662765	0.2728658	0.6535681	0.5640570	0.0164795	0.6801853	0.5491964	0.0840380	0.7537161	0.2138513
1000	0.7881917	0.7668865	0.3819870	0.1735726	0.6781746	0.6701103	0.2365258	0.5018432	0.5614347	0.0189748	0.1813763	0.3058277	0.6674256	0.4731389	0.0456063	0.7001312	0.4896195	0.0778741	0.5596258	0.1464636

0	0.6109737	0.7908703	0.4097073	0.1470215	0.7463852	0.8471644	0.1421904	0.4760807	0.5435731	0.0089520	0.1516480	0.3982767	0.7756214	0.4404148	0.0299457	0.7727074	0.5135368	0.1154518	0.5723797	0.1791124
50	0.7270496	0.4978054	0.2578798	0.1926063	0.9173878	0.4516766	0.1381378	0.4619719	0.4506161	0.3909541	0.1113820	0.3434093	0.5596108	0.4720065	0.0394278	0.7081013	0.5740183	0.0450014	0.5882620	0.5268498
100	0.7251505	0.7428494	0.2379356	0.1766050	0.6758493	0.3433494	0.1401743	0.3647002	0.4722640	0.5205913	0.1929580	0.4405455	0.7388191	0.4581545	0.0570839	0.8228397	0.6284827	0.0267028	0.7660406	0.4413313
150	0.7736970	0.7662556	0.2786513	0.1494318	0.6452423	0.3733624	0.1556592	0.3581841	0.5547419	0.5664797	0.1567548	0.6001286	0.7657357	0.4487264	0.0433338	0.7554173	0.7636187	0.0266978	0.5760972	0.4522198
200	0.7604887	0.6986773	0.3410728	0.1332030	0.7328955	0.4568030	0.1616196	0.4274952	0.4939382	0.5875951	0.1760373	0.5906918	0.7359817	0.4679086	0.1332144	0.7515636	0.6293650	0.0442529	0.4981414	0.5173118
250	0.6975436	0.7144253	0.3807982	0.2030280	0.6589790	0.3543161	0.2289928	0.4650483	0.3634137	0.5126038	0.1358458	0.5976107	0.8770840	0.3636647	0.1491075	0.8656255	0.6269585	0.0432033	0.4326153	0.4412588
300	0.7356637	0.8844597	0.3170477	0.1698941	0.7803715	0.3892326	0.1397211	0.4966525	0.4994556	0.5540199	0.1915459	0.6117934	0.7962342	0.3594113	0.1248200	0.6050442	0.6170449	0.0110231	0.3155425	0.6158488
350	0.7567477	0.6553658	0.3622831	0.1437614	0.7829363	0.3386191	0.0931433	0.4761279	0.5327894	0.5845680	0.2788881	0.4368968	0.7466778	0.4917410	0.1333816	0.6981382	0.7297993	0.0119320	0.3765138	0.6009658
400	0.6282027	0.8688435	0.2943215	0.1740424	0.7086011	0.3714969	0.1138904	0.5308082	0.5290880	0.4817811	0.2534097	0.3641890	0.8593201	0.4402247	0.0602557	0.8329055	0.6812900	0.0706058	0.4946939	0.4923815
450	0.6648306	0.7646858	0.3578607	0.1543946	0.6071852	0.4830396	0.1403368	0.4164584	0.4114841	0.6479714	0.1368672	0.3931824	0.7224678	0.5039066	0.0522488	0.7111505	0.7560983	0.0043120	0.3501284	0.6457315
500	0.6979735	0.8162329	0.3224198	0.2207374	0.8083116	0.3027479	0.1278807	0.4134857	0.4643109	0.5376149	0.1874258	0.2980623	0.7788325	0.4919621	0.0283260	0.6941010	0.6605092	0.0123068	0.5093951	0.5297335
550	0.5539515	0.7342902	0.3354332	0.1780629	0.8077991	0.7021336	0.1146884	0.4441784	0.4782224	0.2080564	0.2827195	0.3095063	0.6176504	0.4838030	0.0485757	0.7282043	0.4448048	0.0719787	0.5979389	0.2681560
600	0.6357889	0.6664221	0.3122257	0.1579149	0.6772395	0.6233974	0.0972905	0.6356220	0.3874953	0.0731495	0.1823277	0.2667167	0.7593130	0.4738240	0.0297550	0.6845788	0.5094481	0.0743541	0.7087849	0.2105546
650	0.8612562	0.7911584	0.2991355	0.1366926	0.6783875	0.7404029	0.1544354	0.5050297	0.5259663	0.0202686	0.2077964	0.2248774	0.7208694	0.3996142	0.0460902	0.7628810	0.3807555	0.1232107	0.5667712	0.1866306
700	0.7899833	0.7142251	0.4793456	0.1698014	0.7757112	0.7596082	0.1520725	0.4194361	0.4989952	0.0140328	0.2640396	0.2892705	0.6424916	0.4947651	0.0439503	0.7278877	0.4443125	0.0961722	0.7856805	0.1272619
750	0.6667698	0.6179919	0.3442913	0.1603092	0.8323787	0.8205723	0.1715211	0.4161698	0.3777685	0.0174207	0.1641294	0.3132534	0.7850473	0.4846227	0.0534458	0.6787928	0.5204786	0.0653986	0.8074817	0.1323224
800	0.7963706	0.8001051	0.3159909	0.2552300	0.6523321	0.7625499	0.1529122	0.4866171	0.3696574	0.0081702	0.2195696	0.2465369	0.6222703	0.5375287	0.0307517	0.8514649	0.4252362	0.1428036	0.6981214	0.2023355
850	0.6915666	0.8354818	0.3508417	0.1827590	0.5288682	0.7335949	0.1611471	0.4861614	0.4841522	0.0166064	0.1653603	0.3512428	0.6852216	0.4027720	0.0246417	0.7528737	0.4510940	0.1271932	0.6354550	0.1733757
900	0.5936045	0.8130366	0.3534386	0.1236866	0.7246001	0.8978574	0.2106855	0.4045775	0.3964263	0.0281707	0.1539707	0.3380139	0.6300357	0.4694081	0.0645294	0.6996745	0.5753146	0.0627505	0.6054120	0.1306343
950	0.6602361	0.7427720	0.3440268	0.1656891	0.6851200	0.6383231	0.1796086	0.5347325	0.3548460	0.0120514	0.1833009	0.2589984	0.7140120	0.4098268	0.0312897	0.6701879	0.5274606	0.0730119	0.6230686	0.2272394
1000	0.7458588	0.6835080	0.3879513	0.1323667	0.8192087	0.7061877	0.2157300	0.4581858	0.5111685	0.0190586	0.1952008	0.3181399	0.8179064	0.4208015	0.0333699	0.6243319	0.5121101	0.1053248	0.5801407	0.1618499

0	0.6929673	0.8036812	0.2576475	0.1853878	0.6780649	0.6297494	0.1408279	0.4095318	0.4781771	0.0265363	0.1693985	0.3466230	0.8481736	0.4168056	0.0615455	0.8920193	0.4961437	0.1118599	0.6975911	0.1821992
