"Time"	G1	G10	G2	G20	G17	G4	G16	G9	G8	G11	G18	G94	G95	G98	G7	G46	G6	G100	G36	G37	G38	G34	G3	G56	G35	G5	G19	G14	G15	G12	G44	G41	G22	G21	G50	G13	G51	G53	G52	G42	G55	G39	G49	G40	G45	G54	G47	G48	G61	G57	G43	G72	G67	G60	G59	G99	G58	G79	G81	G88	G83	G89	G82	G80	G84

0	0.2709602	0.4467215	0.2290799	0.5930620	0.5600734	0.4860127	0.0430743	0.0540171	0.3938773	0.4638184	0.2671571	0.6857561	0.7740139	0.7739529	0.0137763	0.0968303	0.0082310	0.5938119	0.3093002	0.7511207	0.5717694	0.7468923	0.1517094	0.0711953	0.6207054	0.5516949	0.1618241	0.6889788	0.0830269	0.1431688	0.2682305	0.6233978	0.1450226	0.4089579	0.2956381	0.4884249	0.0047908	0.2092916	0.5652015	0.3508825	0.4408367	0.4978930	0.2500212	0.7632732	0.6411748	0.3847413	0.0388282	0.7114291	0.2792873	0.2429083	0.2545788	0.7225892	0.3752707	0.0493317	0.5868660	0.7050564	0.5928284	0.1262232	0.3530136	0.4178773	0.4344587	0.5450957	0.2200769	0.6214342	0.3181189
50	0.2909745	0.1519310	0.3242145	0.6385830	0.5535853	0.5308230	0.0153522	0.0360206	0.6376961	0.5568996	0.5396674	0.4387934	0.6340697	0.8280038	0.2077471	0.1494836	0.0009691	0.5871101	0.3915708	0.5781435	0.5280648	0.6834891	0.3391696	0.0977588	0.6984510	0.6360231	0.1136259	0.6978023	0.0720006	0.1184299	0.2605102	0.6567487	0.1215194	0.3904698	0.3790192	0.4125046	0.0028399	0.2474576	0.5651315	0.3356744	0.5793876	0.6012584	0.2244395	0.5901193	0.7879982	0.3635322	0.0254988	0.6033727	0.6104914	0.1925680	0.2365461	0.2198666	0.3807272	0.4816207	0.7589101	0.6725989	0.6363150	0.1907175	0.4478256	0.5034846	0.6917767	0.5009161	0.4931911	0.6260172	0.2723812
100	0.3511853	0.1017496	0.2612143	0.6603105	0.5525283	0.5723862	0.0165407	0.0707617	0.5574488	0.4235907	0.6425579	0.2864832	0.7650953	0.6901342	0.2537162	0.1311013	0.0059778	0.7032012	0.4610907	0.7632191	0.6306376	0.6519686	0.3735366	0.0668181	0.5865716	0.5669838	0.1532427	0.8295983	0.0912690	0.1409716	0.2873911	0.6785214	0.1374371	0.4325333	0.3019791	0.4673375	0.0027038	0.2081350	0.7191856	0.4422859	0.6264741	0.5809048	0.2720922	0.4395587	0.6449457	0.4608320	0.0565828	0.6339426	0.4523474	0.2441811	0.1936998	0.0617042	0.2655736	0.6716915	0.6510484	0.5832343	0.5935776	0.1269086	0.4136653	0.5456445	0.5666036	0.6294294	0.3739389	0.7592199	0.3551039
150	0.3025084	0.1296110	0.3428103	0.6566321	0.5827234	0.4616069	0.0102743	0.0912811	0.5392599	0.4712784	0.5804761	0.2199549	0.6173208	0.6955735	0.3013105	0.1708319	0.0000000	0.7131995	0.7235152	0.5790042	0.6069942	0.6378055	0.3755548	0.1332236	0.5860518	0.4269702	0.1557606	0.6003506	0.0877420	0.1493077	0.2148396	0.5385002	0.0687242	0.3376042	0.2901510	0.5664070	0.0182933	0.1259286	0.6061531	0.3819823	0.5148632	0.6449328	0.2657977	0.4386276	0.5688719	0.3418954	0.0260482	0.5776531	0.6140579	0.2440578	0.2614746	0.0441242	0.2069682	0.5876720	0.5752911	0.7210120	0.5333902	0.1519262	0.4572196	0.4644678	0.6644745	0.5631569	0.3071483	0.7470782	0.2701095
200	0.2605688	0.0572760	0.2739135	0.7188735	0.5581330	0.3979676	0.0761227	0.0876566	0.6225114	0.4958034	0.6044133	0.2339698	0.7326509	0.7416192	0.3314055	0.2379520	0.0249423	0.5401224	0.5825785	0.8176916	0.6268516	0.7359248	0.4466252	0.1194926	0.5954526	0.4830580	0.1170788	0.6602625	0.1215862	0.1568772	0.1522601	0.6030792	0.1041375	0.3093399	0.4577983	0.4739823	0.0023390	0.0896914	0.6691401	0.3021860	0.3765855	0.5829326	0.2893335	0.4211692	0.6124709	0.3734163	0.0327979	0.6202794	0.5570166	0.2056938	0.2581533	0.0310500	0.1551830	0.6494034	0.6671522	0.6186835	0.5191056	0.1654077	0.4870514	0.4646420	0.7344002	0.3821490	0.3460305	0.6158733	0.3217656
250	0.1738885	0.0826541	0.2740479	0.6577863	0.4086862	0.3674683	0.0320179	0.0865414	0.5785800	0.5493757	0.6577180	0.1660773	0.5890067	0.7034428	0.2604569	0.2574766	0.0147767	0.7773118	0.7094907	0.6923268	0.5677830	0.6777710	0.4335186	0.1613055	0.7622955	0.5361242	0.0917184	0.5868074	0.0885554	0.1513439	0.1145050	0.6150541	0.0950620	0.2906632	0.3424100	0.4656023	0.0023890	0.0991141	0.5847527	0.2370138	0.4936992	0.6107667	0.2280529	0.3772341	0.6814931	0.2557641	0.0246115	0.6627237	0.5631668	0.1585898	0.3460456	0.0551944	0.1085319	0.6177778	0.6262854	0.6451601	0.4903316	0.0966868	0.4645307	0.5556244	0.7694084	0.5055915	0.3099567	0.5650779	0.2208473
300	0.2037598	0.0912196	0.3220725	0.5204098	0.4690854	0.2937519	0.0386556	0.0678378	0.5446277	0.5162655	0.5812971	0.2646912	0.6691602	0.6292288	0.2932917	0.3145417	0.0013790	0.7479026	0.7134357	0.5459709	0.6337801	0.7455173	0.4847473	0.1286495	0.5889455	0.5013607	0.0493909	0.6323276	0.1239107	0.1855767	0.1787359	0.5510579	0.0718785	0.3015398	0.4447198	0.5848607	0.0011294	0.0876483	0.6641224	0.3576887	0.4702928	0.6036215	0.2599228	0.4372293	0.5487144	0.2782681	0.0310424	0.6228615	0.6044333	0.2152394	0.2615299	0.0217561	0.1382567	0.5861755	0.6419918	0.6310791	0.5596705	0.1314908	0.5926550	0.4931433	0.6738121	0.5299877	0.4198867	0.6249058	0.2950027
350	0.2161409	0.1403045	0.3373184	0.5657508	0.5455395	0.3035667	0.0111748	0.0458549	0.5166920	0.4095534	0.6135856	0.2615553	0.7312406	0.6716975	0.2486320	0.2848781	0.0086633	0.6698428	0.5289644	0.6840775	0.6443269	0.7380048	0.4932363	0.1761186	0.5901773	0.6341222	0.1054597	0.6433804	0.0683699	0.1903733	0.1982733	0.4506027	0.0461471	0.3558419	0.2998170	0.4951830	0.0023774	0.1231191	0.6311420	0.2616307	0.4710246	0.6467231	0.2864704	0.5442729	0.5655284	0.3652546	0.0431398	0.6227234	0.6761374	0.2300545	0.2192227	0.0260012	0.1346243	0.6197167	0.7709153	0.5456064	0.5193033	0.1513589	0.5550709	0.4412456	0.6453278	0.5466763	0.3537167	0.7508789	0.3281615
400	0.4026934	0.1076698	0.3170957	0.4955047	0.5780561	0.3792209	0.0207786	0.0754229	0.5925079	0.5126911	0.5501674	0.1941970	0.6222708	0.7067082	0.2993236	0.3604586	0.0139873	0.7061229	0.6942433	0.6138507	0.5552991	0.6966713	0.3849082	0.1368572	0.7039110	0.5874838	0.0597217	0.6524661	0.1121593	0.1688517	0.2370101	0.5452997	0.0902050	0.2834206	0.4262393	0.4014950	0.0013093	0.1131537	0.6619414	0.3163786	0.3985439	0.7367361	0.3016413	0.4813789	0.5525836	0.2888482	0.0103996	0.5641857	0.5396167	0.1630932	0.2958400	0.0273714	0.1472687	0.6592281	0.7987711	0.7098778	0.5952250	0.1373864	0.5001291	0.5577616	0.5763148	0.5554203	0.3494441	0.7858822	0.3234748
450	0.2528884	0.0829326	0.3358507	0.5971760	0.5672177	0.3886586	0.0541282	0.0328406	0.6128128	0.3891137	0.5344091	0.2285515	0.8205102	0.6686469	0.3162140	0.2284416	0.0041732	0.6485034	0.6957574	0.7407133	0.6137146	0.5477184	0.4331333	0.1111104	0.6175878	0.4802680	0.1087228	0.7785460	0.1421744	0.1727955	0.1969185	0.6068323	0.0831568	0.2687841	0.3132153	0.4537783	0.0043045	0.1061174	0.5397779	0.3527018	0.3600093	0.6878591	0.2884877	0.4149631	0.6375796	0.3589906	0.0254283	0.5135512	0.6335038	0.2502253	0.2911276	0.0835241	0.0890140	0.6285878	0.6943655	0.6162734	0.5038602	0.1098990	0.5853616	0.5578950	0.5913303	0.4855450	0.4039987	0.7382737	0.4028402
500	0.2658261	0.1750385	0.2613922	0.6262372	0.5363708	0.3961817	0.0230090	0.0502948	0.6779605	0.5674297	0.7221323	0.2242804	0.6851472	0.7670069	0.2638664	0.2638075	0.0127574	0.7012668	0.6122460	0.6444720	0.5459698	0.5592117	0.5297131	0.1185071	0.6650023	0.4643479	0.0756631	0.6937636	0.0863584	0.1110232	0.1240218	0.6451161	0.0816186	0.2610354	0.3816533	0.4668427	0.0040462	0.0995692	0.7161354	0.2172464	0.3445321	0.5348155	0.3405842	0.4607752	0.6964033	0.3898867	0.0148968	0.4876444	0.6184848	0.1587904	0.3582939	0.0266528	0.1385575	0.4965662	0.6529764	0.6665375	0.5404274	0.1144043	0.7063019	0.5482413	0.6620109	0.6836906	0.4904136	0.6026654	0.3398314
550	0.2813200	0.3211492	0.3060642	0.4478347	0.5153824	0.2663128	0.0474835	0.0550643	0.5693065	0.5153419	0.3619506	0.6060462	0.6625404	0.6030488	0.1108693	0.2365928	0.0349994	0.7246458	0.6758416	0.5247816	0.5560889	0.5851622	0.2746464	0.1423206	0.6183557	0.6409793	0.0698055	0.6412187	0.1227794	0.1188063	0.1767405	0.5529490	0.0592364	0.3210445	0.3949950	0.4335140	0.0007474	0.0769040	0.6823956	0.3673541	0.4178283	0.6796472	0.2509480	0.6292564	0.5711765	0.2911213	0.0222713	0.6289311	0.3558024	0.1774527	0.2739541	0.4035883	0.0676068	0.1504376	0.5387242	0.5630611	0.5046940	0.0929047	0.3755600	0.3601045	0.4538324	0.7451978	0.2551553	0.6861208	0.2834620
600	0.1939623	0.3439346	0.2871504	0.6569797	0.5248173	0.2953866	0.0288433	0.0676494	0.5290449	0.4962271	0.2858739	0.5520307	0.6948827	0.5893277	0.0540437	0.2777768	0.0094906	0.7192273	0.7300166	0.7055730	0.5239864	0.5748180	0.2129573	0.1550953	0.6176286	0.5621715	0.0525239	0.6761094	0.0755227	0.1459896	0.1376565	0.5727136	0.0349001	0.2530218	0.3730986	0.4909353	0.0015604	0.1387872	0.6372567	0.3804847	0.2729362	0.6029085	0.3313792	0.6342680	0.6277887	0.2860545	0.0349630	0.4853328	0.3057569	0.1811670	0.1849798	0.8526223	0.1414346	0.0809860	0.6379041	0.7952145	0.5213062	0.1192462	0.3137179	0.3509701	0.4500235	0.5144162	0.2331411	0.7036815	0.3156643
