"Time"	G1	G3	G7	G8	G4	G83	G6	G87	G86	G89	G54	G85	G88	G30	G29	G35	G99	G100	G32	G81

0	0.6898632	0.7209609	0.3673777	0.1968942	0.8702844	0.6824863	0.1402017	0.4819313	0.4961237	0.0124141	0.2196893	0.2234495	0.6935493	0.4892047	0.0270399	0.7546260	0.5112434	0.0950433	0.7457933	0.2012820
50	0.7734000	0.7421391	0.2916457	0.1646651	0.5777387	0.6165156	0.0745310	0.4769561	0.4738763	0.0122890	0.2656485	0.1395153	0.7519896	0.4950808	0.3776625	0.4828752	0.5623927	0.0383300	0.3188875	0.1430743
100	0.9158999	0.6235112	0.2685619	0.1917506	0.7020949	0.6618798	0.0684032	0.3809132	0.4038085	0.0092706	0.3227284	0.0628733	0.7741948	0.4169611	0.3978977	0.5850455	0.6247278	0.0533530	0.0987933	0.1503517
150	0.7903041	0.6104702	0.3218317	0.1487310	0.6398744	0.7764138	0.0540085	0.4588168	0.3937848	0.0117075	0.4318980	0.0466136	0.7049125	0.3876375	0.4212697	0.3449389	0.6019473	0.0311999	0.0438778	0.2123681
200	0.6461285	0.5847200	0.3505352	0.1566363	0.6583066	0.8447953	0.0473166	0.3804200	0.3415456	0.0032095	0.4617859	0.0179914	0.7130295	0.3930144	0.4709940	0.5238307	0.6548249	0.0391358	0.0293102	0.2300644
250	0.8105571	0.7245862	0.4098858	0.2146829	0.6606627	0.6627003	0.0450512	0.4055672	0.3077953	0.0049450	0.6105535	0.0081515	0.6269597	0.5529211	0.4242181	0.6261637	0.7705377	0.0201356	0.0118835	0.2987012
300	0.6264344	0.7324862	0.4421056	0.1478027	0.8145656	0.8347754	0.0459940	0.2982917	0.2144159	0.0277503	0.5736903	0.0257220	0.7179023	0.5789255	0.4070056	0.4605502	0.8227255	0.0134265	0.0072758	0.3997238
350	0.7362098	0.7318509	0.3228733	0.2292782	0.6583846	0.8305732	0.0520955	0.3137746	0.3042132	0.0052867	0.6923133	0.0049637	0.6080999	0.4811860	0.4790379	0.4819404	0.5312322	0.0110965	0.0077725	0.3947718
400	0.6718675	0.6881971	0.3555148	0.2449422	0.6689442	0.7035327	0.0940524	0.1612567	0.1946162	0.0083295	0.5990619	0.0078958	0.4503676	0.4454843	0.5279363	0.3895658	0.5875273	0.0314660	0.0201671	0.4053235
450	0.6878913	0.7138578	0.3882648	0.2072365	0.6372053	0.7312227	0.0866469	0.1712707	0.2446179	0.0016544	0.6631659	0.0118569	0.4683657	0.4273033	0.4912994	0.4714295	0.7418669	0.0078940	0.0117953	0.4117818
500	0.7230336	0.6821771	0.4763236	0.2257803	0.8228271	0.6245969	0.1117661	0.0945805	0.2002929	0.0016702	0.8018469	0.0109309	0.3717317	0.3682488	0.5066143	0.3291670	0.7245146	0.0175141	0.0097935	0.4239978
550	0.6272306	0.7256544	0.3173194	0.1928459	0.6834590	0.7001941	0.1306554	0.1103398	0.3154542	0.0041550	0.6987842	0.1735777	0.4123772	0.3403221	0.1457491	0.6466374	0.7477257	0.0154627	0.0298579	0.3814330
600	0.6494359	0.8663479	0.3335675	0.1622626	0.7580655	0.6945165	0.1443687	0.1173224	0.2379592	0.0080354	0.7955127	0.1941035	0.4244891	0.4068925	0.0979462	0.7902323	0.6499598	0.0247242	0.0792067	0.3608648
650	0.7312283	0.6820737	0.4249982	0.1910227	0.6873822	0.7782396	0.2271569	0.1210356	0.3159132	0.0335184	0.7984086	0.1729853	0.3358690	0.4477278	0.0212893	0.6915480	0.7287347	0.0481172	0.1400321	0.4724310
700	0.7341934	0.6731591	0.2855672	0.1771421	0.6791262	0.6896959	0.2051072	0.1439751	0.3783477	0.0584415	0.6820942	0.1990645	0.4374364	0.6544141	0.0182048	0.6198463	0.7495159	0.0343690	0.4767158	0.4206257
750	0.6827193	0.7920050	0.2771541	0.1564104	0.6471412	0.6882181	0.1730400	0.2137546	0.3066761	0.0953860	0.5034184	0.2733345	0.5552659	0.5541287	0.0062157	0.7063988	0.7881787	0.0527402	0.6442976	0.3419597
800	0.6507418	0.6699238	0.4448036	0.1426163	0.7585436	0.7388507	0.2481479	0.2553972	0.3946095	0.0529665	0.2773936	0.2888344	0.6334798	0.5866170	0.0050915	0.7323780	0.6567056	0.0603551	0.7224445	0.4015621
850	0.8472759	0.6486279	0.3308971	0.1136048	0.7943648	0.7402635	0.1452735	0.3854814	0.4582546	0.0212151	0.2252491	0.2746448	0.7902275	0.4957823	0.0126392	0.7332791	0.7702518	0.0743659	0.6534435	0.2607755
900	0.7770077	0.6465967	0.3997258	0.1731887	0.8208048	0.8321593	0.1605068	0.3922364	0.3738750	0.0325592	0.2147033	0.2942170	0.7045709	0.4256439	0.0119382	0.8316759	0.6799303	0.0463100	0.7913730	0.3212801
950	0.7058347	0.6708395	0.3430140	0.1420984	0.8337557	0.6499765	0.1501621	0.3839082	0.3971077	0.0246485	0.1513208	0.1881001	0.6611427	0.4716112	0.0112193	0.7719441	0.5249056	0.0676908	0.7294345	0.2016689
1000	0.9802454	0.7061944	0.2833109	0.1619310	0.7184238	0.7139246	0.1527035	0.4397044	0.4869944	0.0216468	0.1659804	0.2446927	0.7388467	0.5379638	0.0444769	0.7055724	0.5020336	0.0593054	0.6749876	0.1479549

0	0.8013054	0.7826682	0.3802193	0.2100005	0.6374612	0.6326558	0.1756085	0.4066034	0.5313552	0.0128669	0.2000896	0.3040984	0.7254867	0.4844385	0.0705628	0.7483039	0.6161766	0.0877052	0.6287243	0.1479806
50	0.6909258	0.6586281	0.1650873	0.2010215	0.7541206	0.8579681	0.1376388	0.5621601	0.5150732	0.3724558	0.1548955	0.2668762	0.7528905	0.2605476	0.0293877	0.7824173	0.4696701	0.0699299	0.6533726	0.2098125
100	0.6258573	0.6368980	0.0767518	0.1346994	0.7272786	0.6101718	0.0956491	0.4826024	0.4915964	0.5453054	0.0642951	0.5005107	0.7426384	0.1843952	0.0526928	0.6621278	0.4373466	0.0937672	0.6940339	0.1430666
150	0.7053220	0.7258694	0.1087466	0.1882751	0.8178019	0.8431113	0.0879741	0.4862083	0.4653574	0.5513193	0.0682378	0.7848546	0.6356955	0.1170627	0.0639889	0.7777975	0.1685480	0.1956368	0.6666098	0.1434839
200	0.7987500	0.7053972	0.1093459	0.2251524	0.7555980	0.6915730	0.0573823	0.4984202	0.4876367	0.6325850	0.0187556	0.8751835	0.7812103	0.0772394	0.0773431	0.7264201	0.0683236	0.2337708	0.6230705	0.0964501
250	0.7490946	0.9311176	0.0488690	0.1866278	0.6918824	0.6850394	0.1045343	0.5580119	0.4356389	0.6294959	0.0477472	0.8183970	0.8084177	0.0786667	0.0838395	0.7831283	0.0672310	0.3777073	0.5919989	0.0673004
300	0.6225549	0.7830922	0.0354173	0.2440730	0.8078704	0.6895986	0.1150598	0.5897519	0.3647562	0.6104772	0.0410600	0.6961168	0.7134106	0.0726079	0.1179293	0.6512267	0.0277259	0.3132797	0.5136983	0.0896522
350	0.6706977	0.7152146	0.0391035	0.2329126	0.8219236	0.6624733	0.0451397	0.5853413	0.5097898	0.5147224	0.0516283	0.7199092	0.5861306	0.1056469	0.1242202	0.6320745	0.0163494	0.3516431	0.4511331	0.0594150
400	0.7665940	0.6693701	0.0995571	0.2041139	0.8052292	0.6978435	0.0943912	0.5122919	0.4992334	0.5556554	0.0630187	0.7917914	0.7001221	0.0829846	0.2079454	0.7179111	0.0311158	0.3316772	0.4145828	0.0757820
450	0.6295993	0.7832514	0.0761730	0.1967833	0.6036625	0.7111699	0.1207818	0.5492273	0.4804174	0.5390031	0.0533618	0.7913663	0.6771958	0.1038054	0.1665646	0.8712826	0.0127683	0.3445444	0.4312467	0.1004018
500	0.6939289	0.7907003	0.0649666	0.1549303	0.6666617	0.5653131	0.1187355	0.5306032	0.5586355	0.6151802	0.0714149	0.7637844	0.7764566	0.1070166	0.2285633	0.7886201	0.0220587	0.4443054	0.3155328	0.1498817
550	0.7753284	0.6401889	0.3786628	0.2540997	0.5817726	0.7904321	0.1334095	0.4870095	0.5012776	0.1834973	0.2735732	0.6036727	0.8225435	0.2288587	0.1009243	0.6892612	0.0740704	0.2476723	0.1893742	0.0655685
600	0.7041051	0.8570552	0.3522525	0.1925704	0.6893558	0.7271855	0.1397964	0.5195393	0.3847245	0.0642649	0.2402648	0.2834532	0.6881383	0.3737990	0.0712491	0.7390819	0.4393556	0.1492744	0.2626379	0.2364485
650	0.7521841	0.7693615	0.3354800	0.1752756	0.7133900	0.7932546	0.1017266	0.4543549	0.3353996	0.0300289	0.3705976	0.2298475	0.7224267	0.4327566	0.0078277	0.6899840	0.4449990	0.0914323	0.3894226	0.2191299
700	0.6327739	0.7590592	0.3993823	0.1874150	0.6775544	0.7310219	0.1929895	0.4614027	0.2812304	0.0601345	0.3693776	0.1789193	0.7754369	0.5861656	0.0031044	0.5951234	0.5781460	0.1221910	0.6046730	0.2662563
750	0.7216790	0.9131483	0.3802027	0.1381178	0.7395873	0.6154846	0.1419450	0.4170162	0.4144174	0.0166976	0.2630145	0.2477034	0.7459292	0.6318421	0.0062213	0.7154544	0.6650499	0.0724579	0.5682709	0.2079670
800	0.7273157	0.8712064	0.3001369	0.1905717	0.7205426	0.7048330	0.1694450	0.5387479	0.4700902	0.0608115	0.2358720	0.2017373	0.7045646	0.5846765	0.0099331	0.6674196	0.5302026	0.0989213	0.6575778	0.2538303
850	0.7156942	0.8099683	0.3467476	0.2831000	0.7383467	0.6608992	0.1753504	0.4707253	0.4754548	0.0433804	0.2423498	0.2165559	0.7237549	0.5317094	0.0104624	0.7442712	0.6203555	0.0708991	0.6453145	0.2055363
900	0.8323843	0.8835689	0.3545288	0.1719722	0.6940686	0.7268353	0.1609817	0.4213358	0.5222207	0.0136399	0.2055356	0.2692644	0.7632230	0.5247804	0.0186588	0.8770495	0.6189305	0.0848973	0.7162053	0.2243242
950	0.6027045	0.6940585	0.4111600	0.2036858	0.6307261	0.6995972	0.1613704	0.4377255	0.4355082	0.0137232	0.1775067	0.2918803	0.7845237	0.5334538	0.0209520	0.6668131	0.6296629	0.0859998	0.6974836	0.1734661
1000	0.7382315	0.6722970	0.3137971	0.1649733	0.6946597	0.7489022	0.1950493	0.4459845	0.5180621	0.0068337	0.1556834	0.4532244	0.7562045	0.4605992	0.0338709	0.6482835	0.5046574	0.0886558	0.7352346	0.1298488

0	0.6757767	0.8238977	0.3869501	0.1331822	0.8186123	0.7334866	0.1982631	0.4316963	0.4884971	0.0099896	0.1958337	0.3560205	0.7695764	0.5366965	0.0376165	0.8972455	0.5231340	0.1033224	0.6641398	0.2212811
50	0.4326199	0.7560378	0.3985064	0.1437396	0.7542993	0.7591350	0.1549334	0.6488603	0.4861674	0.0049255	0.0942890	0.3256551	0.7429665	0.5311984	0.0253381	0.8114909	0.5586423	0.0835004	0.7444517	0.1875578
100	0.2904437	0.8330415	0.4283747	0.2043228	0.6544330	0.6783856	0.3705315	0.7160467	0.4542673	0.0078639	0.1302490	0.4821242	0.6324050	0.5059016	0.0685806	0.6863978	0.3545717	0.0486266	0.6174750	0.1548335
150	0.2665441	0.6249610	0.5379465	0.3395447	0.5930347	0.5415526	0.4252762	0.7142351	0.5438657	0.0311028	0.1924434	0.3240654	0.8510442	0.6617215	0.0696519	0.6421854	0.4802967	0.0880950	0.7394826	0.1718022
200	0.2198351	0.4393933	0.6400651	0.4410249	0.6662665	0.7191333	0.4091460	0.7526503	0.6597341	0.0447062	0.1739697	0.4175046	0.7573776	0.5765968	0.0571607	0.6008928	0.4472201	0.0650984	0.5812651	0.1466785
250	0.2616801	0.3748516	0.7212295	0.4829215	0.5714158	0.6882873	0.4855845	0.5756231	0.5575362	0.0242443	0.1628494	0.4986612	0.6490522	0.6102964	0.1054988	0.7381879	0.4276754	0.0496428	0.6751693	0.1402582
300	0.3072038	0.2638522	0.6991330	0.5556613	0.7984595	0.4910512	0.5036854	0.7262843	0.6497285	0.0931954	0.2218754	0.5355446	0.5685430	0.6001514	0.0722209	0.7702624	0.3732097	0.0447428	0.5601818	0.2200622
350	0.2460633	0.2778186	0.7127921	0.5017068	0.7584566	0.4824055	0.5320355	0.6940507	0.6306714	0.0851147	0.2552409	0.6267064	0.5714969	0.6256542	0.0754385	0.6136086	0.4672286	0.0312611	0.5629997	0.1632507
400	0.3325053	0.2233442	0.6924183	0.4427474	0.7046305	0.5238003	0.4720394	0.6953538	0.3979208	0.0785656	0.2310236	0.5648206	0.7140757	0.6899671	0.0916077	0.6769564	0.4489579	0.0774034	0.5899065	0.1924893
450	0.1959047	0.2227472	0.7566214	0.5519530	0.8298944	0.6460924	0.5213806	0.6077438	0.5413998	0.0866541	0.1247730	0.5055026	0.6071009	0.5253466	0.0605692	0.7068536	0.6115819	0.0385147	0.6328139	0.1721298
500	0.2336546	0.2710222	0.6273830	0.6052262	0.6901302	0.5311831	0.4926519	0.6856131	0.6311529	0.0582331	0.1625201	0.6391164	0.6300673	0.5285107	0.0711761	0.7973986	0.4465712	0.0612785	0.5155110	0.2291854
550	0.4901691	0.3905829	0.6531550	0.4550633	0.6105887	0.5231870	0.5025410	0.8207581	0.4688746	0.0530217	0.2066428	0.7601273	0.5751352	0.4235765	0.0494900	0.6820819	0.3657073	0.0837784	0.7023518	0.1331734
600	0.5662041	0.4924418	0.6275034	0.3496787	0.6726016	0.6107164	0.3247932	0.5608094	0.4911944	0.0298890	0.1523925	0.5064684	0.5817583	0.4023449	0.0689317	0.7021819	0.3800794	0.0908024	0.4757365	0.2652368
650	0.7584837	0.7274184	0.4564740	0.1974661	0.6759130	0.5892094	0.2983862	0.5987901	0.5938163	0.0322976	0.1854068	0.3292366	0.5990051	0.4556976	0.0672042	0.7608485	0.4534039	0.0914172	0.5496406	0.2192597
