"Time"	G1	G10	G2	G20	G17	G16	G4	G8	G18	G94	G9	G95	G11	G56	G3	G98	G7	G46	G6	G36	G37	G100	G38	G34	G35	G5	G19	G14	G13	G12	G41	G44	G49	G39	G22	G21	G50	G15	G51	G53	G52	G55	G42	G54	G45	G40	G47	G48	G72	G67	G61	G43	G57	G60	G59	G99	G58	G80	G81	G83	G88	G82	G89	G79	G84	G75	G86	G78	G77	G85	G90	G91	G93	G69	G92	G87	G68	G27	G96	G97

0	0.4744243	0.0140097	0.2925579	0.3810313	0.0026764	0.4035212	0.0616325	0.3225530	0.0359336	0.6250410	0.4113616	0.3839257	0.1177644	0.6200946	0.5593220	0.6961865	0.5769134	0.3737744	0.3048079	0.7774135	0.0958514	0.7987524	0.6800234	0.6638262	0.1623172	0.0871266	0.3191510	0.4044780	0.6404283	0.5806008	0.4253357	0.0062639	0.2088801	0.0388309	0.2914498	0.1789435	0.6874937	0.5239808	0.2463385	0.4590844	0.0386643	0.4878923	0.0102868	0.4674440	0.3760662	0.3928771	0.1801854	0.2239154	0.7459747	0.3854724	0.5714090	0.2958214	0.6770659	0.6573537	0.2555682	0.5782712	0.3960866	0.4708950	0.5261792	0.4011607	0.0956473	0.7067071	0.0506681	0.2237478	0.4533382	0.0153201	0.1692536	0.1375860	0.5676283	0.4940832	0.4650642	0.4461420	0.4976165	0.4536560	0.0324073	0.3819154	0.5471871	0.1625045	0.5881405	0.6292762
50	0.7101641	0.0166817	0.2497306	0.3113442	0.0025232	0.3348563	0.0829530	0.2757093	0.0805048	0.5235281	0.2224975	0.4882746	0.1152575	0.4372583	0.6653615	0.3300407	0.5317720	0.3348443	0.3332115	0.7023990	0.0760680	0.5959257	0.6465396	0.5550192	0.1363753	0.1130318	0.3449745	0.3616223	0.6449840	0.4176100	0.4234053	0.0099025	0.3363589	0.1454370	0.4664106	0.1547849	0.6550989	0.5051787	0.2163621	0.4829397	0.2101041	0.4771099	0.0165173	0.5437458	0.5006101	0.3614691	0.1793079	0.2359868	0.7251275	0.4819250	0.3989065	0.4059977	0.4118153	0.4725641	0.2779602	0.5997972	0.3329865	0.3863963	0.7491430	0.4648221	0.0865163	0.6253818	0.0586430	0.2983567	0.6261051	0.0058259	0.2002526	0.1020416	0.4689526	0.3369865	0.4313674	0.6534689	0.5678044	0.4569266	0.0234659	0.2978702	0.3791760	0.1781528	0.6721659	0.6139581
100	0.4876006	0.0164054	0.3275869	0.3968526	0.0048031	0.3321239	0.0599007	0.2354781	0.0889512	0.5805017	0.1577888	0.4904834	0.1863660	0.3954736	0.5191436	0.2497096	0.4650760	0.4073664	0.3834035	0.6576711	0.0639739	0.6386226	0.5520900	0.5426436	0.1651403	0.0784583	0.4127054	0.2969705	0.6856092	0.2954902	0.4037248	0.0011852	0.2691692	0.1515337	0.4473361	0.1292429	0.6873261	0.5518775	0.2283784	0.4148713	0.2295695	0.4618393	0.0035183	0.5736612	0.3394250	0.2446317	0.2568978	0.1448918	0.5205825	0.4911258	0.3690121	0.4734124	0.3706216	0.5784218	0.3354958	0.6169305	0.3561033	0.5389374	0.5804037	0.4880711	0.0849921	0.5704417	0.0627998	0.2406951	0.6009229	0.0000000	0.1911881	0.0694094	0.5288889	0.5062212	0.4664362	0.7223211	0.4497370	0.4678263	0.0663479	0.4688224	0.2732783	0.2494734	0.6198071	0.6279363
150	0.5995810	0.0375799	0.3497493	0.3973926	0.0055793	0.3440569	0.0793646	0.3607510	0.1478597	0.6496279	0.1867091	0.3711959	0.2321945	0.3096900	0.6676466	0.2174722	0.5477158	0.4175840	0.3564766	0.7369970	0.0913285	0.6365358	0.6114724	0.5160342	0.1228354	0.1167992	0.3082269	0.3195023	0.7222364	0.3020885	0.4482713	0.0054848	0.2514749	0.1461731	0.5890238	0.0922595	0.6198057	0.4545494	0.1648850	0.3974933	0.1967296	0.5533997	0.0104819	0.5008627	0.3899479	0.2762134	0.1704105	0.1439169	0.6117360	0.5313898	0.4239745	0.3551789	0.4637425	0.6119099	0.3711939	0.4431133	0.4150426	0.4843333	0.5625089	0.5412115	0.0826168	0.5390869	0.0907769	0.2559165	0.5881862	0.0015558	0.2207249	0.0449815	0.4733663	0.4549759	0.4390236	0.5993755	0.5814058	0.4308339	0.0429390	0.3560664	0.2226431	0.2187451	0.6882161	0.5073441
200	0.6472860	0.0406825	0.1900415	0.2749858	0.0072304	0.4255521	0.0949269	0.2771104	0.2055517	0.6700967	0.1668004	0.4419078	0.3007990	0.3124565	0.7120645	0.1957499	0.5322532	0.5451267	0.3072510	0.5871776	0.0499789	0.6740870	0.5643335	0.6079441	0.1553680	0.1009846	0.2905709	0.3959029	0.6640535	0.4042788	0.4093060	0.0041262	0.2693749	0.1347813	0.4648239	0.1386340	0.6429887	0.4755451	0.2353715	0.4931856	0.2380974	0.5028390	0.0023337	0.5947528	0.4300046	0.3361745	0.2478728	0.1778805	0.6316959	0.5407528	0.5134961	0.4060294	0.4688862	0.6214568	0.3091880	0.5785258	0.3187536	0.3987900	0.5210626	0.5685398	0.0677311	0.5933666	0.0745520	0.2749682	0.5882160	0.0018583	0.2978001	0.0276295	0.7177525	0.5021441	0.4186724	0.5781421	0.5141398	0.4097371	0.0478264	0.3913205	0.2568321	0.1586515	0.7010381	0.6458226
250	0.5638435	0.0107392	0.1682819	0.3534396	0.0046959	0.4054855	0.0594787	0.2825542	0.2231979	0.6872101	0.1774268	0.4636170	0.3778838	0.4302541	0.6145840	0.2201556	0.6593120	0.5643894	0.3098612	0.5669578	0.1065467	0.7532208	0.5365319	0.4791636	0.2204556	0.0994544	0.3459610	0.3004309	0.6245301	0.4082262	0.3889777	0.0128285	0.2065090	0.1238532	0.5098875	0.1847855	0.6783265	0.5499463	0.1689714	0.4215749	0.1705523	0.4652037	0.0056916	0.4666523	0.3548308	0.2917346	0.2203643	0.1697554	0.7962846	0.5570804	0.5578662	0.4919142	0.5360037	0.5641614	0.4250739	0.5672402	0.3237370	0.4003128	0.6748506	0.6223477	0.0888746	0.5301205	0.0749063	0.2955018	0.6031673	0.0000893	0.1930354	0.0329726	0.4968633	0.5371129	0.4462561	0.5033014	0.4941381	0.4395645	0.0863475	0.3405479	0.3984092	0.2575676	0.5405257	0.6393692
300	0.5692639	0.0134468	0.2774010	0.3985313	0.0052816	0.3778108	0.0363681	0.2974558	0.2726435	0.6948179	0.1721433	0.4848025	0.4445463	0.3242017	0.5507647	0.2102243	0.6450124	0.6654979	0.3282995	0.6562584	0.0956318	0.7034142	0.5860040	0.3888740	0.1824624	0.0953266	0.3712007	0.3273682	0.7557107	0.4027566	0.3496086	0.0125950	0.2667090	0.1255812	0.3173875	0.1661907	0.7950363	0.6713977	0.0941748	0.4555797	0.2194720	0.5727299	0.0097120	0.4788216	0.3136518	0.1875355	0.1723914	0.1442243	0.6015747	0.4855834	0.4153439	0.6321956	0.5154290	0.6065280	0.4207432	0.4547054	0.4309320	0.4798032	0.5469231	0.6086384	0.0838458	0.7634544	0.0492980	0.2693884	0.7048601	0.0000650	0.2932801	0.0468054	0.5043790	0.5910531	0.5049151	0.5380728	0.5411461	0.3960550	0.0415458	0.4191190	0.2602566	0.2866987	0.5369354	0.6155826
350	0.7106501	0.0305745	0.3453902	0.3477922	0.0149353	0.4263337	0.0407064	0.2222290	0.4198809	0.7221274	0.1837030	0.4195346	0.3818136	0.4252574	0.5345041	0.2088203	0.5887316	0.6198259	0.3900480	0.7682415	0.0812797	0.6627192	0.5083762	0.4230267	0.1061682	0.0626729	0.3781346	0.3188470	0.6899479	0.4310915	0.3911957	0.0107100	0.2322193	0.1385532	0.2683549	0.1013464	0.6679018	0.5888654	0.1294808	0.4927061	0.1839400	0.4604656	0.0061206	0.4547273	0.3630357	0.1848992	0.1973542	0.1481538	0.6681345	0.4824022	0.4563433	0.5672276	0.5419415	0.5751646	0.3187230	0.5730599	0.3585026	0.3861056	0.5876401	0.6789470	0.0756093	0.6711881	0.0598403	0.2751372	0.7275671	0.0006772	0.2220746	0.0565098	0.5980239	0.5214024	0.4769398	0.5692071	0.6298058	0.5144448	0.0564293	0.3976884	0.2534707	0.1655091	0.6751888	0.6040018
400	0.6448803	0.0245897	0.2132639	0.3246025	0.0008737	0.3593084	0.0489307	0.2497670	0.3647557	0.6218503	0.1957677	0.4886465	0.5148006	0.3408949	0.6320637	0.2300777	0.6080243	0.5695027	0.3528047	0.6197852	0.0918776	0.8286355	0.6358577	0.5110360	0.1500163	0.0849041	0.3143408	0.3049624	0.7051599	0.3606225	0.3484937	0.0236411	0.2850700	0.1359803	0.3342764	0.1394531	0.5541959	0.5912988	0.1503709	0.4952281	0.1792687	0.5220939	0.0037071	0.4544557	0.4055293	0.1814480	0.1944793	0.1357889	0.7036731	0.5092914	0.4706250	0.4859971	0.4722279	0.6230379	0.2960075	0.5380344	0.4586992	0.3912015	0.5521839	0.6691375	0.0848905	0.6268783	0.0739639	0.2904575	0.6738379	0.0025724	0.2767374	0.0474627	0.5302001	0.5525936	0.5183248	0.6137504	0.4621077	0.4840011	0.0426450	0.3978663	0.3118232	0.1752299	0.7241449	0.6154098
