"Time"	G1	G10	G2	G20	G17	G16	G4	G9	G11	G18	G94	G98	G7	G46	G6	G100	G36	G37	G38	G34	G3	G56	G35	G5	G19	G15	G12	G13	G14	G41	G50	G52	G53	G51	G21	G22	G55	G42	G44	G39	G49	G40	G54	G45	G47	G43	G61	G72	G67	G57	G48	G95	G8	G60	G59	G99	G58	G79	G82	G83	G81	G89	G84	G80	G88	G91	G90	G75	G78	G77	G86	G85	G69	G93	G92	G87	G68	G27	G96	G97	G63	G26	G25	G23	G24	G62	G76	G71	G74	G31

0	0.3406239	0.0799356	0.0679023	0.0974013	0.3416170	0.2045056	0.6900858	0.0793723	0.7171371	0.1829212	0.7797187	0.6567288	0.3706061	0.2251085	0.2448708	0.6661754	0.5737224	0.7544039	0.7469913	0.7440374	0.4369622	0.0782630	0.6521678	0.2843666	0.6633216	0.6314854	0.4272813	0.4112283	0.8236821	0.1220051	0.2646330	0.6811541	0.1170968	0.5921197	0.7059693	0.1982053	0.3222845	0.2582505	0.6178543	0.7681971	0.5703121	0.6421331	0.6713939	0.7070381	0.2922786	0.1968410	0.1678284	0.7516715	0.3781190	0.0375952	0.5752513	0.7043561	0.0240914	0.5120031	0.0065774	0.7202944	0.0107981	0.0862184	0.5635508	0.1801613	0.3754649	0.6038123	0.0299113	0.7466648	0.3762607	0.2815688	0.6211256	0.1473255	0.4404229	0.4516831	0.0594832	0.1051462	0.2926247	0.0669881	0.5625166	0.4780445	0.3797871	0.0001183	0.6781471	0.2302454	0.5070000	0.0955922	0.0556728	0.7116235	0.4068451	0.7672561	0.3322687	0.3338176	0.0956294	0.8077811
50	0.4262355	0.0614089	0.0853870	0.1233329	0.2664443	0.2589788	0.8008117	0.0938344	0.6964305	0.1982134	0.7221499	0.7112008	0.2450733	0.2272288	0.1333910	0.7747876	0.6729458	0.7463380	0.6588122	0.7425378	0.4917145	0.1183712	0.5962660	0.2308695	0.6908544	0.5887397	0.3886058	0.5747377	0.7440946	0.1633677	0.2619308	0.6278674	0.1966341	0.1796810	0.6302007	0.4449510	0.2777917	0.2300735	0.6666596	0.7609068	0.6059143	0.4973168	0.5883106	0.5313985	0.1038593	0.1868725	0.1167309	0.7764510	0.5710814	0.0542146	0.7025803	0.6250965	0.0136071	0.1030249	0.4081033	0.6520898	0.0426721	0.0746654	0.6280607	0.1333427	0.4937177	0.5307127	0.0221352	0.3270368	0.3851537	0.2684868	0.3892998	0.1132611	0.3814989	0.4043458	0.0892957	0.1062472	0.5968371	0.5532485	0.5406591	0.4124705	0.3481681	0.0000720	0.7133655	0.1855437	0.3963594	0.1779243	0.0327592	0.6300423	0.4963739	0.6029483	0.4246629	0.3798468	0.0587378	0.7272733
100	0.3259017	0.0820472	0.0353472	0.0841145	0.1591092	0.2782533	0.7306781	0.0945457	0.7097232	0.2409715	0.6993452	0.7492985	0.2798641	0.2579627	0.1830746	0.7785515	0.7199696	0.6783182	0.6863888	0.7343328	0.4874642	0.1886135	0.5325537	0.1343686	0.6380453	0.7239179	0.5892107	0.5821859	0.7797273	0.1654410	0.3064698	0.7399832	0.1335415	0.1404824	0.6319774	0.4297030	0.2065149	0.1528645	0.5972568	0.6924441	0.5872084	0.4484921	0.6675752	0.3619218	0.0587461	0.2653414	0.0715263	0.6546330	0.5467220	0.0250660	0.6045020	0.6500505	0.0068604	0.0137016	0.5192476	0.7733357	0.0436903	0.0583527	0.6566254	0.1253013	0.7124149	0.5434187	0.0332834	0.1670715	0.3778719	0.1795268	0.5038599	0.0678478	0.1508996	0.4108877	0.0729729	0.1503916	0.6544205	0.5305629	0.5522687	0.4545266	0.3517457	0.0003015	0.7212288	0.2634128	0.3912251	0.0910991	0.0708485	0.6968909	0.3685681	0.7170659	0.6036070	0.3409492	0.0167980	0.6788926
150	0.2516692	0.1103521	0.0285572	0.0956048	0.2491456	0.2766667	0.6019480	0.1022304	0.7091619	0.2164153	0.5734904	0.8532591	0.3470561	0.2826774	0.1777279	0.5961913	0.8235579	0.6351309	0.6336363	0.7158954	0.7450718	0.3402036	0.5171394	0.1432289	0.6049483	0.5573880	0.7241127	0.5976340	0.7536387	0.0953021	0.3216559	0.6578424	0.1101636	0.0618957	0.5465709	0.4335589	0.1649472	0.1854979	0.5104061	0.7485610	0.6540064	0.4490995	0.6240207	0.2143102	0.0892428	0.3362281	0.0810426	0.6810256	0.5482932	0.0128715	0.6358595	0.5937967	0.0083871	0.0003009	0.7305125	0.8446329	0.0363140	0.0818697	0.5948319	0.1064799	0.7012590	0.5537872	0.0273981	0.1602981	0.2374612	0.1906068	0.6624021	0.0682540	0.0786795	0.3252212	0.0772476	0.1925165	0.6009324	0.6463003	0.3665852	0.5099696	0.3941901	0.0007684	0.5923655	0.3206648	0.4594671	0.1119139	0.0746793	0.7910070	0.3875026	0.7045702	0.5905526	0.2878380	0.0325815	0.6111169
200	0.2401191	0.1262229	0.0739604	0.0462354	0.1776785	0.3237511	0.7161022	0.2041714	0.6159456	0.2277877	0.6388965	0.7756721	0.2303676	0.2317142	0.1617958	0.6430668	0.7326819	0.6325569	0.7075138	0.8427263	0.4389393	0.3515187	0.5139848	0.2305302	0.6010877	0.7688301	0.5961212	0.7494576	0.5670549	0.1114236	0.4155441	0.5812878	0.0850631	0.0725412	0.5808751	0.5383686	0.1463085	0.1982650	0.4542938	0.7664394	0.5237481	0.4718161	0.4522492	0.0718550	0.2400895	0.3517435	0.0434474	0.5457025	0.4597746	0.0357180	0.6825473	0.6284538	0.0103283	0.0068548	0.6660001	0.7290194	0.0140090	0.4410712	0.6728317	0.0610060	0.6908241	0.4833769	0.0420102	0.0846112	0.2065110	0.1797787	0.5414475	0.0470227	0.0401479	0.2883422	0.1303548	0.1554046	0.5576880	0.6995926	0.5684410	0.5321599	0.3634801	0.0008116	0.7574311	0.2687307	0.4562288	0.1987274	0.0784940	0.8189964	0.4910515	0.7712463	0.6143375	0.4187055	0.0307150	0.7918380
250	0.2233605	0.1175898	0.0981013	0.0123169	0.1765291	0.3301660	0.6944244	0.1173074	0.6408028	0.1510437	0.8797274	0.6282953	0.2022127	0.2373127	0.2421453	0.6018398	0.7583143	0.7303132	0.8777815	0.6562109	0.6076512	0.3835407	0.5796775	0.2324028	0.5074293	0.6375843	0.7413877	0.6519414	0.6452278	0.1199220	0.3544685	0.6267924	0.0871136	0.0274034	0.5831256	0.4314830	0.3411846	0.1777427	0.5016977	0.7102359	0.3903933	0.4717274	0.5072967	0.1961326	0.1854465	0.5126255	0.0304404	0.6701703	0.4168027	0.0478337	0.5091521	0.5930044	0.0208818	0.1530278	0.6591023	0.6951733	0.0064662	0.6506250	0.6120758	0.0740536	0.6025821	0.4229757	0.0409780	0.0701264	0.4687879	0.3365020	0.5987153	0.0484100	0.0160655	0.5408359	0.2886540	0.1515985	0.6922327	0.6943507	0.5653243	0.5552095	0.2786426	0.0000000	0.6596170	0.3224110	0.4709458	0.1761754	0.0662012	0.6318124	0.5031544	0.6654261	0.5285851	0.3835481	0.0123563	0.6277992
300	0.2136038	0.1085395	0.1294507	0.0237507	0.1927724	0.3162606	0.6403955	0.1700403	0.7462577	0.1732320	0.7506904	0.7314731	0.2417726	0.3361729	0.1302823	0.6303341	0.7672303	0.6913595	0.6458167	0.7092730	0.6262691	0.3708430	0.4774021	0.2333739	0.5969252	0.5362238	0.6606348	0.6634341	0.7548362	0.1360592	0.2588182	0.6318316	0.0577652	0.0540680	0.5081199	0.5810357	0.4536862	0.1423751	0.5404958	0.7226885	0.5513000	0.5026704	0.5621618	0.3156495	0.2185442	0.5513313	0.0195786	0.7538284	0.5442783	0.0455625	0.5248490	0.7085664	0.0105727	0.1606596	0.5178483	0.7311930	0.0190372	0.7270758	0.8203669	0.1014501	0.5806789	0.3393519	0.0258986	0.0506100	0.4958357	0.4138719	0.5590750	0.0620816	0.0210511	0.5928393	0.3137845	0.1402857	0.5849178	0.6312459	0.5472425	0.4380973	0.2674983	0.0000001	0.7354712	0.3186181	0.5442545	0.2155616	0.0707985	0.7516061	0.4298831	0.6379458	0.5455368	0.3400517	0.0176116	0.6706766
350	0.3103446	0.0830133	0.1035299	0.0166051	0.1613419	0.3427115	0.5283269	0.1476599	0.7381151	0.1962906	0.7697498	0.5971979	0.2400094	0.2351452	0.1215576	0.7662299	0.7660089	0.5711327	0.6365496	0.6379344	0.6495224	0.2863145	0.5449633	0.2040126	0.4568189	0.5113248	0.7211695	0.6273873	0.6569658	0.1251183	0.3906375	0.6589499	0.0740179	0.0282463	0.5398159	0.5555633	0.3208515	0.1533348	0.5188237	0.7473668	0.5043109	0.6213714	0.5526922	0.3531743	0.1965857	0.4961418	0.0215191	0.6691359	0.5836644	0.0316812	0.3974694	0.7005872	0.0058618	0.2350169	0.6726989	0.6336927	0.0113699	0.7328965	0.7193863	0.0676212	0.7273551	0.3192065	0.0539100	0.0755035	0.5572104	0.3363616	0.5635893	0.0789191	0.0253282	0.6437401	0.3868424	0.1190479	0.5942546	0.6360949	0.4291251	0.4097379	0.3356340	0.0000037	0.7523235	0.2546350	0.4663337	0.1717104	0.0532363	0.7154607	0.4004730	0.6113499	0.5528515	0.3833060	0.0384536	0.6612704
400	0.4215647	0.1608547	0.1019968	0.0147281	0.1325688	0.3548101	0.7996761	0.1400026	0.6704859	0.2434708	0.7968780	0.6603653	0.2086612	0.2384016	0.1641174	0.7506045	0.6036387	0.6660778	0.7427139	0.6006840	0.6147654	0.2750201	0.6844268	0.2544436	0.4644467	0.6120937	0.5922307	0.5954697	0.6654069	0.1179428	0.3270934	0.7497449	0.0625548	0.0224606	0.4472617	0.3986384	0.4691671	0.2132339	0.6351249	0.6101578	0.5011546	0.5358942	0.6006406	0.2436967	0.2264400	0.5136914	0.0135216	0.7049780	0.4606579	0.0431732	0.3398894	0.7500172	0.0108734	0.1281348	0.6804132	0.7887448	0.0196226	0.6177612	0.4048432	0.0331232	0.6163196	0.1799669	0.0357663	0.0398314	0.4050442	0.3794801	0.7168946	0.0909687	0.0568780	0.7791425	0.4303069	0.0993397	0.7823011	0.5856247	0.5650018	0.4652105	0.3179438	0.0000011	0.7329435	0.2579895	0.5996012	0.1458806	0.0666111	0.7536853	0.3673856	0.6691208	0.5749107	0.3314002	0.0403975	0.7856214
