"Time"	G1	G3	G7	G8	G5	G22	G4	G83	G6	G88	G85	G89	G54	G86	G87	G30	G29	G35	G99	G100	G32	G19	G18	G20	G81	G23	G82	G80	G58	G31	G50	G51	G78	G94	G95	G93	G91	G90	G2	G69

0	0.3577025	0.4429246	0.5864350	0.7468816	0.0564063	0.8175187	0.1402142	0.7342874	0.5416660	0.8998913	0.4988324	0.2678512	0.0114892	0.7190530	0.6014818	0.1973585	0.4810535	0.5588294	0.0176674	0.7400517	0.5169925	0.4448229	0.9202474	0.7242757	0.1755582	0.7447544	0.0750153	0.1505872	0.5718871	0.0478850	0.0605816	0.0038788	0.5496609	0.3959567	0.8320414	0.6227924	0.2860075	0.7785562	0.4553530	0.7266495
50	0.0957588	0.3534954	0.7368803	0.4115036	0.2920777	0.7184858	0.1378700	0.6971311	0.5960990	0.7888975	0.3984184	0.3444378	0.0296791	0.3776903	0.2914242	0.1396688	0.3857835	0.6006211	0.0173857	0.6966281	0.5541457	0.6050763	0.7732553	0.6834847	0.1559212	0.7972625	0.1380827	0.1448260	0.6434121	0.0130315	0.0888261	0.0066562	0.3381005	0.2982293	0.6669826	0.4695393	0.2448041	0.6373917	0.4294181	0.7281637
100	0.0438839	0.2623222	0.7351894	0.3451148	0.5613896	0.7061040	0.0815339	0.6595857	0.4670745	0.7365566	0.3933603	0.3612366	0.0202121	0.3583605	0.3758194	0.1338026	0.4658657	0.3884536	0.0212809	0.6561217	0.4438884	0.4859678	0.7467535	0.6946648	0.1620713	0.8754851	0.1484886	0.1139115	0.6651445	0.0046765	0.0559838	0.0017584	0.1368008	0.1331394	0.8033062	0.5589299	0.1846986	0.6563822	0.5261082	0.7808177
150	0.0264191	0.2611065	0.9146360	0.3337914	0.6968703	0.6611022	0.0277797	0.7249766	0.6230577	0.7431667	0.4057584	0.5251837	0.0144058	0.3930148	0.3611361	0.0980483	0.5055615	0.2429083	0.0060472	0.6897530	0.6073238	0.6031180	0.6759347	0.7400410	0.1777889	0.9153000	0.0970231	0.0829543	0.7221896	0.0131215	0.0865672	0.0037796	0.1228243	0.1143274	0.7552267	0.3612518	0.1479738	0.7089338	0.5015275	0.8473331
200	0.0268852	0.2194233	0.7981719	0.2935750	0.8690652	0.7215413	0.0294891	0.7679235	0.8254794	0.6953886	0.5347154	0.4622947	0.0171969	0.3758094	0.3753619	0.0611466	0.4174657	0.1005220	0.0101995	0.7276047	0.5401691	0.6069925	0.7134814	0.5751653	0.2038401	0.7833300	0.1258452	0.0819359	0.6879125	0.0047408	0.0798319	0.0019749	0.1335513	0.0616809	0.6417663	0.2460465	0.1889689	0.7615755	0.5860740	0.6858719
250	0.0113441	0.2574173	0.7671259	0.3337906	0.7957172	0.5898972	0.0320092	0.7616861	0.7293941	0.7607932	0.4033582	0.3811546	0.0131274	0.4463455	0.3712275	0.0485486	0.4170245	0.2019962	0.0332506	0.6314799	0.5290127	0.5774626	0.7119536	0.7894388	0.2992475	0.7694969	0.0996402	0.0414670	0.8406404	0.0006717	0.0558082	0.0005040	0.0814984	0.0887102	0.6836803	0.1363092	0.1906268	0.7307899	0.4752641	0.7036627
300	0.0207707	0.2800791	0.6884209	0.3126100	0.8449375	0.7017506	0.0524595	0.7451648	0.6090879	0.6406427	0.4550321	0.3509360	0.0046888	0.4346724	0.3740628	0.0195979	0.4713405	0.3989802	0.0266859	0.6524488	0.4495419	0.6325329	0.8086817	0.8146035	0.2256355	0.6560142	0.1085077	0.0826586	0.6923500	0.0021026	0.0542812	0.0121984	0.1168043	0.0332209	0.7028063	0.1470584	0.2053522	0.8232516	0.5626300	0.7236779
350	0.0042544	0.2227107	0.6335054	0.3391440	0.7107056	0.7387173	0.0343263	0.7889720	0.8233583	0.7669546	0.5039283	0.5623089	0.0082756	0.4805923	0.3623632	0.0215112	0.5275430	0.4534516	0.0148395	0.6084047	0.4839710	0.6143664	0.8254401	0.6872523	0.2314943	0.7306146	0.0660949	0.1133663	0.7199710	0.0005141	0.0895114	0.0070229	0.0940814	0.0327470	0.7142455	0.1133953	0.2066118	0.6926353	0.4828838	0.8596469
400	0.0367888	0.2390454	0.7159099	0.3339995	0.7633977	0.7405861	0.0189916	0.8027695	0.7731795	0.8893927	0.3825236	0.3554283	0.0339360	0.4219564	0.3398206	0.0301282	0.5051628	0.2845882	0.0106915	0.7520011	0.5784354	0.6326835	0.6826655	0.8208414	0.2295889	0.7942409	0.0536728	0.1327234	0.7152423	0.0002898	0.0691247	0.0027060	0.1251364	0.0810247	0.7091601	0.1533725	0.1725777	0.7388585	0.6025579	0.6038573
