"Time"	G1	G10	G2	G20	G17	G4	G16	G9	G8	G11	G18	G94	G95	G98	G7	G46	G6	G100	G36	G37	G38	G34	G3	G56	G35	G5	G19	G14	G15	G12	G44	G41	G22	G21	G50	G13	G51	G53	G52	G42	G55	G39	G49	G40	G45	G54	G47	G48	G61	G57	G43	G72	G67	G60	G59	G99	G58	G79	G81	G88	G83	G89	G82	G80	G84

0	0.2750451	0.3972667	0.4201014	0.7155387	0.6950876	0.4719395	0.0448597	0.1294282	0.5612463	0.7276296	0.2480061	0.7079630	0.7906147	0.6935803	0.0177453	0.0827894	0.0190466	0.7928094	0.2947575	0.6771190	0.5570563	0.6323345	0.2301432	0.1721461	0.7157815	0.5660026	0.1288975	0.6036132	0.0937758	0.1552527	0.1606438	0.6970358	0.0284197	0.3355436	0.3332440	0.5240534	0.0023955	0.1767914	0.7266435	0.4398478	0.5247079	0.5529091	0.4164202	0.6757225	0.6478107	0.3319544	0.0820472	0.5716591	0.2724638	0.3017101	0.2953159	0.8820623	0.3770573	0.0932016	0.7325406	0.5866716	0.6229586	0.1155889	0.3284203	0.3719693	0.5018965	0.5411353	0.2334538	0.8874722	0.4183149
50	0.2947135	0.3350875	0.3035058	0.5896445	0.4421128	0.3092212	0.0166055	0.0329475	0.5958239	0.2358027	0.3034928	0.5350601	0.8095996	0.6746977	0.0393330	0.2701879	0.0204063	0.9308449	0.6276834	0.6469227	0.6144358	0.7337051	0.1770921	0.0996973	0.7717888	0.4455270	0.1367061	0.6460862	0.0900947	0.1770693	0.5498057	0.6071186	0.3553994	0.3386737	0.4748583	0.4767418	0.0235587	0.1002756	0.7900175	0.3817246	0.3557684	0.4628971	0.3778836	0.8099139	0.5585620	0.3648073	0.0505458	0.6907959	0.3764121	0.1781259	0.3201461	0.7242442	0.3362365	0.0698055	0.9018275	0.6493821	0.7021244	0.2316606	0.4369593	0.4022101	0.3995059	0.6552288	0.2644098	0.6349218	0.2751953
100	0.2431052	0.4346690	0.3193405	0.6020193	0.3136494	0.2093473	0.0163526	0.0465893	0.5549195	0.0719189	0.3615934	0.4450083	0.7535331	0.6993137	0.0443542	0.3572590	0.0090608	0.7186087	0.8552836	0.6699997	0.6937060	0.6605872	0.3346761	0.1034669	0.6790541	0.4561565	0.0714973	0.7101395	0.0845669	0.2073606	0.5285280	0.6546791	0.4584384	0.3043680	0.4696421	0.6207730	0.0447932	0.0747121	0.6871880	0.3170156	0.2577664	0.5292994	0.3277990	0.7222738	0.5059005	0.3534077	0.0938067	0.6444608	0.2324549	0.1503815	0.3080281	0.7524790	0.3661460	0.1091093	0.6498793	0.7743471	0.7199859	0.2354672	0.5351167	0.4582852	0.4756787	0.6353862	0.2693686	0.6160526	0.2885806
150	0.1592079	0.5093451	0.4292412	0.5739160	0.4243714	0.1668275	0.0236035	0.0610448	0.5586549	0.0457733	0.3834277	0.3918273	0.6879858	0.6190422	0.0303505	0.3399490	0.0227645	0.6712628	0.7732546	0.6489589	0.5621542	0.6036412	0.3629836	0.1000689	0.6834863	0.4819781	0.0624842	0.7514591	0.1090778	0.1899801	0.5517667	0.5812798	0.5023675	0.2441976	0.5057202	0.5374803	0.1028930	0.0276036	0.7827091	0.3788008	0.1973822	0.4788540	0.3716183	0.7579269	0.6838038	0.2638772	0.0331382	0.5518956	0.3509089	0.1652146	0.4035500	0.7059666	0.3651347	0.0811252	0.7198728	0.8756114	0.7116543	0.1192589	0.6107164	0.4536851	0.5195808	0.5597218	0.3622682	0.6912050	0.3963613
200	0.1158421	0.6059256	0.3978182	0.5301611	0.3652824	0.0984245	0.0136482	0.0843524	0.5885682	0.0244765	0.1796213	0.4777746	0.6852464	0.7205552	0.0926381	0.5088399	0.0110926	0.6430639	0.7354316	0.7046687	0.6450023	0.7800127	0.4251586	0.1076155	0.5530082	0.3881682	0.0583448	0.7005745	0.1157339	0.2048226	0.6037951	0.5302726	0.4590029	0.1709545	0.6251402	0.6442112	0.0238879	0.0241472	0.6492049	0.2563937	0.1933720	0.5469466	0.2917952	0.7681709	0.6384807	0.4196994	0.0585011	0.5620358	0.3115936	0.1033260	0.3864440	0.7428397	0.4268029	0.1454746	0.5563056	0.7238193	0.8342315	0.1026734	0.4557280	0.4435949	0.4801467	0.5571167	0.1831844	0.8479579	0.3748459
250	0.1347508	0.6012233	0.3468470	0.3456610	0.4352816	0.0962959	0.0440982	0.0795698	0.5766458	0.0170627	0.1776235	0.4451017	0.8532257	0.6964569	0.0699536	0.4881615	0.0175850	0.7809008	0.8009308	0.6834298	0.5953374	0.7698749	0.3788137	0.0613523	0.6409760	0.4560050	0.0500693	0.7913411	0.0946709	0.1855999	0.5871174	0.4313750	0.4287042	0.1591941	0.4890757	0.5649083	0.0225655	0.0294935	0.6042337	0.2967899	0.1074730	0.4765383	0.3377493	0.6941422	0.7105704	0.3618601	0.0460323	0.6229654	0.2447288	0.0849767	0.3623080	0.7970014	0.5258947	0.1505566	0.6771226	0.8675375	0.6077183	0.1292028	0.5674809	0.2977214	0.4472807	0.5344250	0.2385272	0.6685592	0.3810004
300	0.1722585	0.4147469	0.4517737	0.2407966	0.3329809	0.0986973	0.0189585	0.0381623	0.6731825	0.0384780	0.1680340	0.4500087	0.8014097	0.7505433	0.0546207	0.5002119	0.0052869	0.7010459	0.6580546	0.8177673	0.6960691	0.7902464	0.2932626	0.1057395	0.7467964	0.4897807	0.0336281	0.6756618	0.1490202	0.2266391	0.6145767	0.5454173	0.5584888	0.2105651	0.4785117	0.5492254	0.0260201	0.0329929	0.6240602	0.2850744	0.1326499	0.5246669	0.3160615	0.7425941	0.5933865	0.3641058	0.0382475	0.6711525	0.3152190	0.0999425	0.3309359	0.9105929	0.5158332	0.1087754	0.5875942	0.6793311	0.7266417	0.1530399	0.5731739	0.3316383	0.4503092	0.6113213	0.3451726	0.5775466	0.4450487
350	0.1463944	0.5895401	0.3875698	0.5051912	0.4179641	0.0877952	0.0294784	0.0558072	0.6093564	0.0186090	0.2016595	0.4111764	0.6379465	0.6865599	0.0359981	0.4512741	0.0125354	0.8080420	0.8319859	0.6706747	0.7440967	0.7882149	0.4097808	0.0774930	0.5659884	0.4636419	0.0786503	0.7208276	0.1050421	0.1892169	0.5800494	0.4748801	0.4171185	0.2128108	0.4309167	0.5145681	0.0537351	0.0331865	0.7056324	0.3431222	0.1292228	0.4972550	0.2798099	0.8918849	0.5707108	0.3313086	0.0663066	0.5360970	0.3704159	0.1374613	0.2854368	0.6327601	0.4695570	0.1105034	0.6608377	0.7636341	0.5861324	0.2155109	0.4964589	0.4901407	0.3923491	0.5989089	0.2862003	0.6312383	0.3539944
400	0.1852296	0.5052734	0.3452140	0.5264338	0.3529638	0.1526888	0.0281029	0.0574395	0.6647043	0.0105124	0.1809600	0.4619263	0.5795577	0.6218804	0.0177879	0.4724116	0.0378146	0.7760249	0.7789508	0.7229046	0.5778138	0.7001749	0.3690484	0.0775594	0.8695972	0.4492068	0.0355893	0.8011568	0.1329891	0.2099162	0.5269104	0.5409678	0.3965342	0.1579598	0.4471435	0.5492435	0.0403934	0.0995325	0.7970026	0.3497889	0.2816716	0.5168676	0.3432485	0.6700463	0.5582662	0.3494940	0.0789168	0.6018101	0.2630936	0.0912983	0.3206863	0.7741797	0.4884470	0.0697687	0.5877683	0.6528010	0.6782650	0.1402222	0.6165558	0.4533412	0.4080763	0.4613837	0.3290803	0.6273459	0.2938000
