"Time"	G1	G3	G5	G22	G7	G8	G4	G83	G6	G87	G86	G88	G54	G85	G89

0	0.6275465	0.4026676	0.2014854	0.6442229	0.0869642	0.2298402	0.4160904	0.6988386	0.0762984	0.2816995	0.1533413	0.3891322	0.5940036	0.0815298	0.0940355
50	0.6543193	0.3102954	0.1921937	0.7637478	0.1396904	0.2595129	0.4614582	0.6229962	0.0314501	0.2305618	0.0986834	0.3661668	0.7770377	0.3530705	0.0291197
100	0.7877046	0.4599552	0.2174155	0.6721213	0.0723624	0.2910189	0.3841450	0.6902651	0.0103871	0.2782975	0.0706657	0.4305734	0.6713403	0.3436517	0.0475735
150	0.5853942	0.5484741	0.2069172	0.6872474	0.1003330	0.3084380	0.4499016	0.5268326	0.0027941	0.3348197	0.0824938	0.3996416	0.6232831	0.4809775	0.0605249
200	0.6700341	0.4683981	0.1837243	0.7317401	0.0969581	0.2618451	0.4295551	0.6599001	0.0004766	0.2338424	0.0544382	0.4589399	0.7147108	0.3869599	0.0578321
250	0.6151886	0.4161884	0.1664056	0.6376678	0.0734637	0.2629593	0.4533120	0.7157150	0.0001534	0.2815217	0.0782695	0.4407359	0.6810487	0.3934391	0.0315631
300	0.6147502	0.5250796	0.2086268	0.7485733	0.0873112	0.3371761	0.4451093	0.6964635	0.0000129	0.2288731	0.0896797	0.5406139	0.7556063	0.4049013	0.0506807
350	0.7748490	0.5731019	0.2202480	0.6931468	0.1119848	0.2927186	0.4967322	0.6611537	0.0000453	0.2027962	0.0695200	0.4633723	0.7111247	0.3773796	0.0585853
400	0.6753091	0.4657394	0.1675854	0.8874312	0.0964799	0.2930125	0.4762722	0.6504524	0.0002326	0.2660204	0.0734626	0.3546648	0.8021312	0.4063329	0.0351779
450	0.6060575	0.4761143	0.1087697	0.6584764	0.0963846	0.3317155	0.3841988	0.7940585	0.0001307	0.2153874	0.0488628	0.4876881	0.7607289	0.4407669	0.0258021
500	0.6542715	0.4546985	0.1301557	0.6770767	0.1222838	0.3633462	0.4201881	0.7033200	0.0002276	0.2286696	0.0597132	0.4448832	0.6502153	0.3214724	0.0287987
550	0.7327189	0.4334713	0.1254354	0.6262470	0.1062943	0.2280485	0.4688277	0.7343517	0.0794743	0.3518576	0.0540373	0.4652084	0.7823347	0.1856379	0.0799466
600	0.7017334	0.4864633	0.1247867	0.6672271	0.0545675	0.2865352	0.3833798	0.8129423	0.1118765	0.2747209	0.0947944	0.4594762	0.6835340	0.1187329	0.0595220
650	0.8489506	0.4534497	0.1034433	0.5893364	0.0877689	0.2776750	0.4399177	0.6238904	0.1173815	0.3444834	0.0974731	0.4374269	0.8078087	0.0891387	0.0647285
700	0.8103456	0.4455302	0.0920155	0.6591711	0.1116758	0.2585464	0.5366763	0.6385629	0.1361395	0.3160607	0.1330047	0.4989493	0.6084336	0.0572207	0.0361745
750	0.5467335	0.4160112	0.1728706	0.7408103	0.0905553	0.2746413	0.4239253	0.8136240	0.1329963	0.3367017	0.1027065	0.3764280	0.6902788	0.0616315	0.0411945
800	0.6990271	0.5106418	0.2291143	0.6470076	0.0979939	0.2560061	0.4194511	0.7482518	0.0659739	0.3093623	0.0667354	0.3606839	0.7642903	0.0711873	0.0504874
850	0.7010591	0.4260339	0.1503596	0.7131401	0.1167799	0.2333813	0.4258258	0.7663486	0.1037735	0.2055365	0.0960394	0.3414905	0.8130953	0.0525785	0.0863315
900	0.7604014	0.4698371	0.1541060	0.6479718	0.1160044	0.2100695	0.4492441	0.6699162	0.0741942	0.3035734	0.1326127	0.5143365	0.5547072	0.0708535	0.0753910
950	0.9174121	0.5006327	0.1797805	0.6562982	0.0901731	0.2031091	0.4813766	0.6304644	0.0681792	0.2433311	0.1388496	0.4560304	0.7210238	0.0793821	0.0643419
1000	0.7695152	0.4651038	0.2044968	0.6082404	0.0817556	0.2285742	0.4402150	0.7723854	0.0784821	0.3306378	0.1104765	0.2918276	0.7201198	0.0650153	0.0519800

0	0.6968571	0.4258683	0.1658898	0.7482871	0.1781664	0.2265293	0.4624652	0.6110766	0.1014675	0.2798826	0.1754722	0.3522090	0.7325100	0.0812487	0.0622226
50	0.7497825	0.4191536	0.1490315	0.6165275	0.0930457	0.1064505	0.4395630	0.5124255	0.1642738	0.2563712	0.1662548	0.4424321	0.7155461	0.0908399	0.0820059
100	0.6734424	0.4005014	0.1635691	0.7204893	0.0414818	0.0802164	0.3894811	0.7064751	0.1327839	0.2902730	0.1061423	0.4310969	0.7461094	0.0617760	0.0481656
150	0.7059666	0.4313510	0.1984114	0.5808491	0.0868038	0.0657613	0.4811560	0.6001046	0.1156448	0.2647719	0.1417735	0.3473726	0.5857167	0.0860503	0.0869915
200	0.7469432	0.5632819	0.1407730	0.7157903	0.0940173	0.0556864	0.5257000	0.6006217	0.0920222	0.3293342	0.1373153	0.3256730	0.7565228	0.0534120	0.0613445
250	0.8175989	0.5567761	0.1718805	0.5811005	0.0599361	0.0854758	0.4462004	0.6180174	0.1175857	0.2868472	0.1633984	0.4694347	0.6621052	0.0824486	0.0664441
300	0.6706195	0.5089578	0.1296008	0.6811912	0.0562758	0.0554168	0.4084467	0.5649914	0.1566368	0.1812192	0.1051600	0.3628832	0.7178078	0.0620906	0.0959032
350	0.6528015	0.4539694	0.2110739	0.4525920	0.0894779	0.0858726	0.4204123	0.6699803	0.0693377	0.2650249	0.1017420	0.4109776	0.7268371	0.0839596	0.0566253
400	0.6034826	0.4732895	0.2254170	0.7478904	0.1034473	0.0575421	0.4176653	0.6030607	0.1013072	0.2975833	0.1876502	0.4287339	0.6942716	0.1236884	0.0883917
450	0.7081256	0.4023802	0.1765485	0.7633772	0.1250612	0.0912871	0.3917447	0.5586074	0.0893974	0.1950960	0.0596944	0.4365690	0.6594925	0.0571915	0.1146944
500	0.6924775	0.4888200	0.2066811	0.5846088	0.1200458	0.0620158	0.4072284	0.6185741	0.1127960	0.2680188	0.0815291	0.4778423	0.6108679	0.0399693	0.0476639
550	0.7030942	0.4411900	0.2073506	0.6595753	0.0959673	0.1920736	0.4001018	0.6632259	0.0997432	0.1994330	0.0980432	0.4207291	0.6346891	0.0707317	0.0832098
600	0.7732965	0.5829493	0.1695158	0.7544212	0.1053823	0.2086902	0.5051426	0.6421248	0.0753025	0.1979408	0.1342943	0.3055713	0.6415562	0.0917159	0.0534922
650	0.6898650	0.4732600	0.2150251	0.7100424	0.1202265	0.2165404	0.3879241	0.5989747	0.0996246	0.2164848	0.1801721	0.4393165	0.7627539	0.1365981	0.0876874
700	0.6556842	0.4404768	0.1488314	0.6946966	0.1032138	0.2657239	0.5622955	0.6975409	0.0825522	0.2340603	0.1199132	0.4611217	0.6674840	0.0651180	0.0741655
750	0.6850444	0.4872230	0.1826488	0.6361852	0.1422058	0.3277315	0.3635474	0.7112634	0.0960378	0.2323548	0.1064873	0.4063547	0.6501222	0.0702110	0.0782954
800	0.7817690	0.4324854	0.1883861	0.6845264	0.0905707	0.2753579	0.5100368	0.5785146	0.0625335	0.2532007	0.0655401	0.4099154	0.7390249	0.0880959	0.0573373
850	0.7417743	0.4058108	0.1894954	0.7542394	0.0874352	0.2424717	0.3990527	0.7061930	0.1296303	0.2423438	0.0703532	0.4240099	0.7139816	0.0837474	0.0505468
900	0.6208660	0.4137440	0.1609504	0.7797653	0.1010784	0.2810563	0.4691135	0.7441829	0.1227367	0.2774792	0.1242222	0.4390299	0.6237042	0.0855957	0.0852355
950	0.5891511	0.3579344	0.1259994	0.7121501	0.1184667	0.1809250	0.4051418	0.8889537	0.0751899	0.2288388	0.1175580	0.3928283	0.8333103	0.0673083	0.1131505
1000	0.6602684	0.4497558	0.1924387	0.6703543	0.1184354	0.2727098	0.4565776	0.7131122	0.0668154	0.2686624	0.1001351	0.4677575	0.6716707	0.0519664	0.0751901

0	0.6735191	0.4103251	0.1940033	0.6468311	0.1695827	0.2339126	0.4293235	0.7945275	0.0915254	0.3182597	0.1867872	0.5231647	0.6512190	0.0905466	0.0991757
50	0.0923792	0.4799452	0.0806450	0.7596741	0.0412998	0.1832131	0.4261288	0.5784541	0.0198691	0.3208401	0.1825980	0.4540006	0.3458526	0.1209949	0.0642135
