"Time"	G1	G2	G10	G20	G4	G17	G16	G9	G11	G18	G94	G56	G3	G5	G19	G13	G12	G14	G15	G50	G41	G51	G53	G52	G42	G55	G21	G22	G54	G40	G49	G44	G35	G39	G45	G48	G95	G61	G47	G98	G43	G8	G72	G67	G57	G79	G60	G82	G88	G80	G84	G81	G83	G89	G85	G77	G78	G91	G90	G75	G86	G59	G58	G99	G92	G69	G93	G87	G68	G34

0	0.3636936	0.0011769	0.3798995	0.2338373	0.5836118	0.6375818	0.4574908	0.1589974	0.4167527	0.3940200	0.7023588	0.5054976	0.0099129	0.3925414	0.2423882	0.3301491	0.6105773	0.4397089	0.2567755	0.3567049	0.2394425	0.2797455	0.2657908	0.3166655	0.5290706	0.0199835	0.2309485	0.6055207	0.0047415	0.4224703	0.5921283	0.7274953	0.6040535	0.3543438	0.3733971	0.3802108	0.6236949	0.5308558	0.2709410	0.7191658	0.0049375	0.3234343	0.6221195	0.6408275	0.5756469	0.7423302	0.2894397	0.0051332	0.0048103	0.0094650	0.6099711	0.4131998	0.5261166	0.4787078	0.1866002	0.0402831	0.6784711	0.4300836	0.5219498	0.3467316	0.7443180	0.2907108	0.0360414	0.6963159	0.0549155	0.3057806	0.2438022	0.6669504	0.2951946	0.7044078
50	0.4955620	0.0005571	0.1386851	0.1453837	0.6960503	0.5846473	0.5140837	0.0838954	0.3717940	0.4332078	0.6612198	0.5032617	0.0000146	0.3525838	0.2261661	0.3663863	0.7425880	0.4261780	0.2515923	0.2222428	0.3072213	0.3160852	0.2552832	0.3311686	0.5818428	0.0348459	0.3096124	0.6309867	0.0139012	0.3950801	0.4598194	0.6252042	0.5894614	0.2916032	0.3931104	0.2580473	0.6346056	0.3818168	0.3203755	0.3173789	0.3903670	0.2673079	0.6613330	0.6083756	0.6273828	0.6523858	0.0975356	0.0094039	0.0077977	0.0145316	0.7911320	0.4840854	0.5156133	0.3720576	0.2054319	0.0202559	0.5721944	0.3513866	0.4187037	0.3321863	0.6112579	0.2643980	0.2358714	0.7627483	0.0246085	0.3513936	0.2775920	0.6600911	0.2385053	0.6781856
100	0.4651803	0.0008795	0.0595618	0.1660132	0.6287807	0.5884838	0.5471452	0.0960392	0.2935366	0.5215622	0.6456302	0.4019549	0.0001801	0.3375224	0.2794735	0.2927042	0.6780519	0.4648840	0.3301140	0.2679774	0.4201744	0.2169946	0.2206116	0.4381475	0.5327819	0.0173205	0.3796565	0.8087070	0.0064295	0.3171852	0.4471475	0.6617275	0.6303535	0.1905520	0.4247767	0.1000530	0.5872335	0.4697815	0.2221563	0.2849721	0.5427380	0.2745044	0.6262452	0.7546479	0.6569051	0.6628277	0.0211190	0.0034774	0.0117367	0.0096461	0.6796600	0.5208852	0.4573422	0.4878241	0.2167102	0.0116804	0.6364145	0.3068191	0.4944167	0.3263793	0.7043200	0.2879439	0.2722426	0.7286321	0.0365047	0.3417637	0.3416672	0.9082393	0.2798633	0.6432014
150	0.5171432	0.0016746	0.0462344	0.1678970	0.5854012	0.4237667	0.5961426	0.0934415	0.3607468	0.4876275	0.7145274	0.3580463	0.0000000	0.2814132	0.3015901	0.2866187	0.6449012	0.4314479	0.3106110	0.2418393	0.4133536	0.2752545	0.2366081	0.3652042	0.5067593	0.0174475	0.4239435	0.7238365	0.0191092	0.4685244	0.4726599	0.5086683	0.5532232	0.2649654	0.2920059	0.1240074	0.5864719	0.4778610	0.2459019	0.2575837	0.4928687	0.3610160	0.8023305	0.6660955	0.6974551	0.6380201	0.0262710	0.0089660	0.0063876	0.0277116	0.6265998	0.5840716	0.4818597	0.4491766	0.2670713	0.0560851	0.6147659	0.2705803	0.5784246	0.2608371	0.6585990	0.2850409	0.2411482	0.6394416	0.0279955	0.3056444	0.3135999	0.7065583	0.2108892	0.5828630
200	0.4704496	0.0000145	0.0564535	0.1162346	0.7554363	0.6320785	0.5392601	0.1113189	0.4040306	0.6212713	0.7022959	0.5116426	0.0000697	0.3855703	0.2147383	0.3105721	0.6605581	0.4930380	0.3320205	0.1963423	0.4293055	0.2520940	0.2223851	0.3198312	0.5502447	0.0116274	0.3676643	0.5225746	0.0026093	0.4024890	0.5489505	0.6453019	0.5758375	0.2495780	0.2666594	0.1454915	0.6245310	0.5984338	0.2159467	0.3145091	0.6158978	0.2924107	0.7616052	0.7355756	0.5811533	0.8341823	0.0233280	0.0078630	0.0077056	0.0228298	0.5031241	0.6692206	0.5165718	0.4895836	0.2961840	0.0464994	0.5653228	0.2814946	0.6235523	0.2346666	0.5749911	0.3438572	0.2343141	0.6781450	0.0182590	0.3363338	0.2731787	0.8167048	0.2716599	0.7426910
250	0.3477996	0.0001371	0.0442975	0.1362154	0.5934892	0.5603419	0.5401412	0.1017930	0.3949872	0.5670461	0.6897023	0.4330024	0.0010809	0.3510705	0.2979862	0.3794990	0.6559392	0.4706280	0.3710332	0.2359429	0.5109060	0.2684958	0.2377344	0.2999466	0.5651623	0.0381170	0.3232004	0.6042133	0.0055671	0.4025508	0.4852010	0.7447972	0.6464431	0.2245782	0.2797765	0.1405481	0.6484283	0.4677303	0.2940287	0.2895405	0.5995096	0.2726820	0.6300749	0.6795719	0.6317481	0.7232506	0.0323254	0.0057939	0.0028438	0.0016690	0.4817289	0.6462182	0.4868501	0.5807434	0.2211126	0.0801766	0.5543912	0.3007112	0.5658583	0.2629560	0.6380786	0.3655585	0.2856040	0.6776773	0.0330938	0.3584685	0.2877439	0.6884334	0.2751593	0.6735352
300	0.4449677	0.0000205	0.0724343	0.1733533	0.7040066	0.6133570	0.4968456	0.1141819	0.4475847	0.8598690	0.6641358	0.5830425	0.0031757	0.3235957	0.2599617	0.2968270	0.7411919	0.4411563	0.3098586	0.2424224	0.5235087	0.2784656	0.3470168	0.2949535	0.6360906	0.0095188	0.4033202	0.6907220	0.0027184	0.3673203	0.4134430	0.6795790	0.6784275	0.3184501	0.3272529	0.1519334	0.6440498	0.4684119	0.2845657	0.2570957	0.6052387	0.3175880	0.7224121	0.7078826	0.7044513	0.6061148	0.0421547	0.0066958	0.0011672	0.0035102	0.6934957	0.5586429	0.5003614	0.5359416	0.1952776	0.0211068	0.5483673	0.4229941	0.5221882	0.3607919	0.5360958	0.3041886	0.2289765	0.6562524	0.0324783	0.3497611	0.1878104	0.8216144	0.2587414	0.6605742
350	0.3540858	0.0004863	0.0330306	0.1465204	0.7080853	0.5198160	0.5910996	0.1150022	0.3898927	0.6192779	0.6202193	0.4345396	0.0000595	0.4174421	0.3431693	0.4513710	0.7000875	0.4049210	0.3256491	0.3311912	0.4462663	0.3113446	0.3082517	0.3872720	0.5893292	0.0205592	0.4085573	0.5019605	0.0031303	0.3788271	0.4327242	0.9274544	0.5510678	0.2623304	0.3640546	0.1027092	0.6792309	0.4702704	0.2709552	0.2455271	0.6066672	0.3133898	0.6433807	0.6860523	0.7735356	0.6335183	0.0253531	0.0122956	0.0030368	0.0027450	0.6867966	0.6762525	0.5462893	0.5153591	0.2404673	0.0226772	0.6279387	0.3214263	0.7483700	0.3035527	0.7282608	0.3016386	0.2555989	0.5937672	0.0458562	0.3738236	0.2463204	0.7313412	0.2019792	0.5742654
400	0.4121531	0.0005935	0.0514052	0.1426968	0.7633324	0.6172285	0.6435249	0.0905238	0.3833399	0.5480254	0.6301655	0.5705512	0.0001799	0.3674929	0.1960917	0.4313133	0.6335567	0.3789678	0.2736898	0.3077001	0.4960017	0.2299813	0.3141121	0.3527150	0.5970479	0.0255495	0.3624780	0.5883780	0.0041856	0.3944220	0.4290884	0.7158914	0.5927191	0.2570430	0.3031598	0.1865923	0.7051993	0.4369812	0.2611595	0.3248361	0.7236016	0.2591557	0.6259876	0.6096016	0.8370144	0.6169704	0.0206321	0.0008484	0.0082495	0.0053298	0.6704169	0.6849688	0.4579546	0.4868326	0.1956106	0.0502018	0.6824207	0.3268327	0.7328582	0.2254130	0.5140786	0.2684619	0.2026712	0.6569826	0.0276902	0.3123416	0.2528364	0.7098852	0.1768115	0.5989096
