"Time"	G1	G3	G5	G22	G7	G8	G4	G83	G6	G87	G86	G88	G54	G85	G89

0	0.8308666	0.5642315	0.2649347	0.9010395	0.1137126	0.2233480	0.4932649	0.9316962	0.1496317	0.3052243	0.1248335	0.3920064	0.6682825	0.0633256	0.0568321
50	0.7864740	0.5906633	0.0765899	0.7608916	0.1418437	0.3054593	0.5649867	0.6356947	0.0974504	0.2408173	0.1190435	0.3622661	0.8062047	0.1216685	0.1167526
100	0.7443401	0.5158633	0.0418499	0.9382485	0.0965855	0.2848378	0.5598967	0.8329656	0.0714481	0.2761459	0.1737778	0.4800018	0.7143482	0.1940513	0.0771758
150	0.7063744	0.4448639	0.0504203	0.9078855	0.1062680	0.3609610	0.6006463	0.8341600	0.1163953	0.2511100	0.1341617	0.3521671	0.7664555	0.2038553	0.0906096
200	0.7422014	0.5072211	0.0361546	0.8541714	0.1165308	0.3434851	0.5694476	0.7338487	0.1324500	0.1597110	0.1465485	0.4817410	0.7418244	0.2510872	0.1124096
250	0.7365547	0.4963359	0.0481742	0.7669370	0.1613068	0.3811706	0.5173694	0.7158551	0.1271069	0.2605004	0.1325989	0.5137314	0.7605848	0.2820230	0.0372066
300	0.7237095	0.4740139	0.0216166	0.8335528	0.1345215	0.2147701	0.6724137	0.7579626	0.1078085	0.2055901	0.1554791	0.3160986	0.8947427	0.1981614	0.0742060
350	0.7472134	0.5595593	0.0171107	0.7633202	0.0601318	0.3054025	0.5687485	0.7363309	0.1733158	0.2136307	0.1410542	0.3611964	0.6419993	0.2222829	0.0843756
400	0.7697833	0.4721235	0.0185987	0.7578307	0.1096191	0.2166870	0.6287111	0.8525611	0.1222381	0.3195666	0.1632832	0.4263920	0.7042635	0.1322634	0.0482266
450	0.7826511	0.5118403	0.0429829	0.7879184	0.0805969	0.2041826	0.7400396	0.8206505	0.0956389	0.2913752	0.1681476	0.4403362	0.6940766	0.2013754	0.0784003
500	0.7826822	0.5448825	0.0400972	0.6787084	0.0960730	0.1776115	0.5384848	0.6437310	0.1313774	0.2128597	0.1522831	0.4646108	0.6800092	0.2041978	0.0829171
550	0.7034888	0.4929065	0.1113667	0.8556859	0.1322044	0.2743928	0.5581469	0.6774687	0.1290877	0.3822319	0.1254134	0.3776439	0.9078663	0.1114038	0.1052482
600	0.7280999	0.5059610	0.1123514	0.7197503	0.1273687	0.3100275	0.4484856	0.6734121	0.1237790	0.2268260	0.1186728	0.4505163	0.8389520	0.1233253	0.1270089
650	0.7886882	0.4780670	0.1968861	0.7016998	0.1233107	0.2810919	0.4806208	0.7162191	0.1219622	0.2585287	0.1212612	0.3606583	0.7950833	0.0781224	0.1037911
700	0.6068283	0.3830485	0.1902934	0.7719874	0.1095713	0.3066629	0.4791393	0.6669956	0.1533551	0.2866380	0.1045046	0.4709071	0.8893359	0.0547508	0.1140985
