"Time"	G1	G10	G2	G20	G17	G16	G4	G8	G18	G94	G9	G95	G11	G56	G3	G98	G7	G46	G6	G36	G37	G100	G38	G34	G35	G5	G19	G14	G13	G12	G41	G44	G49	G39	G22	G21	G50	G15	G51	G53	G52	G55	G42	G54	G45	G40	G47	G48	G72	G67	G61	G43	G57	G60	G59	G99	G58	G80	G81	G83	G88	G82	G89	G79	G84	G75	G86	G78	G77	G85	G90	G91	G93	G69	G92	G87	G68	G27	G96	G97

0	0.4834290	0.0111004	0.3424611	0.4434275	0.0229827	0.4160718	0.0873616	0.3259511	0.0268529	0.6943876	0.4783997	0.4337430	0.1890285	0.7344380	0.5691481	0.6394319	0.6450196	0.5063740	0.3639705	0.6487587	0.1011087	0.6756820	0.5794066	0.7867841	0.1584094	0.1045318	0.3853070	0.3557991	0.7364699	0.5303293	0.4223529	0.0197270	0.3266487	0.0345962	0.1452617	0.1653639	0.8584936	0.5333039	0.2674951	0.5454852	0.0417386	0.6280511	0.0101268	0.6087517	0.3623636	0.2495889	0.1960180	0.1635630	0.7326933	0.5466363	0.5059540	0.5159734	0.4075680	0.6246452	0.3077805	0.8878756	0.4007909	0.5136032	0.5546334	0.3093415	0.0702956	0.7418438	0.0427306	0.2665584	0.5021391	0.0161508	0.2177333	0.0973882	0.5764326	0.5126525	0.4576664	0.4845533	0.5424017	0.5101896	0.0325137	0.3398981	0.4835938	0.2317628	0.7534985	0.6104211
50	0.5438814	0.0343739	0.1687128	0.3644281	0.0267996	0.1074078	0.0605738	0.2968884	0.3797713	0.6280421	0.3855588	0.5039155	0.1213776	0.7679537	0.6604197	0.6529730	0.6248637	0.4890815	0.5112015	0.6855503	0.0530432	0.7046756	0.6556157	0.7313441	0.4303460	0.1896898	0.3200484	0.5773170	0.6782744	0.7179981	0.3498384	0.0104030	0.2538147	0.0195580	0.3540981	0.2157156	0.8103211	0.5803604	0.2184228	0.4607519	0.2713305	0.5101732	0.0157552	0.4313096	0.3245016	0.3391046	0.2145757	0.1347137	0.3455758	0.2272210	0.5051887	0.3199202	0.5777741	0.6932626	0.4127864	0.6966592	0.5064487	0.5016303	0.4919547	0.5106879	0.0900995	0.6235020	0.0513724	0.2424892	0.4625399	0.0030484	0.1809668	0.1202671	0.5995344	0.5899359	0.5544723	0.6374520	0.5683911	0.5866683	0.0443783	0.3586369	0.3861627	0.1758004	0.6939456	0.6470863
100	0.5778808	0.0176487	0.0725164	0.2807879	0.0138682	0.0859788	0.0768857	0.3623697	0.4919288	0.5692240	0.2592644	0.5130389	0.1180056	0.6178740	0.6729219	0.6987735	0.5817891	0.4620475	0.6280459	0.7039396	0.0539342	0.7937221	0.5186007	0.7926079	0.4076614	0.1144633	0.3452173	0.5839517	0.8143674	0.6699162	0.3955583	0.0053505	0.3607090	0.0682155	0.2593247	0.1407321	0.7046398	0.6935535	0.2275039	0.4760485	0.4586921	0.5883289	0.0133633	0.3898067	0.5151976	0.2558858	0.1889789	0.1827285	0.2495851	0.1030882	0.4173820	0.4548784	0.5369330	0.5647149	0.3770252	0.6925303	0.5908400	0.4843469	0.4568146	0.5001059	0.0530006	0.5657037	0.0678409	0.2880019	0.5426464	0.0048626	0.1586153	0.1488769	0.6460540	0.5688350	0.4519881	0.5947563	0.4899970	0.4811088	0.0277505	0.4772834	0.4342401	0.2517427	0.6933382	0.6027502
150	0.5976943	0.0160463	0.1405817	0.3652584	0.0105709	0.0766013	0.0730348	0.3377843	0.4263257	0.5285904	0.2964805	0.4239493	0.1415004	0.7005059	0.6751799	0.7987522	0.5760415	0.5825839	0.5000574	0.5896311	0.0874216	0.8036904	0.5318844	0.7653200	0.3989321	0.1594334	0.3684556	0.6387551	0.6548656	0.6205491	0.6261357	0.0011262	0.4697113	0.0393014	0.2757214	0.1297221	0.7878920	0.5448687	0.2559370	0.5205633	0.4137290	0.4653281	0.0003264	0.4622921	0.4525683	0.2766069	0.1887355	0.2136580	0.2826677	0.0610497	0.4592860	0.4668297	0.4666399	0.5565493	0.3984161	0.7258765	0.5971279	0.5171834	0.5092033	0.5937185	0.0647019	0.5476331	0.0409397	0.2252539	0.4766780	0.0002948	0.1802595	0.1686723	0.7271457	0.4627781	0.4092441	0.5599804	0.6207747	0.5312142	0.0839092	0.3310831	0.4275972	0.1623282	0.7086093	0.5964082
200	0.4671088	0.0235717	0.0736811	0.3822041	0.0183375	0.0365097	0.0854092	0.2757252	0.4313312	0.6649660	0.2301815	0.5807676	0.1118307	0.7221559	0.6462131	0.6510410	0.7001892	0.3856728	0.5448779	0.6697498	0.0545126	0.7267959	0.5419936	0.6051720	0.4586485	0.1350183	0.2585213	0.5987615	0.6172873	0.6234245	0.3899198	0.0058150	0.2680161	0.0403625	0.2867518	0.1642778	0.8141419	0.6865794	0.2566414	0.6081002	0.4458810	0.5986252	0.0072190	0.4213798	0.4243663	0.2344751	0.2271735	0.2220767	0.2637281	0.0407912	0.4142807	0.3744668	0.4816751	0.6213138	0.3516102	0.5372310	0.6645117	0.5592591	0.5798712	0.6392425	0.0673264	0.7415613	0.0649909	0.2593632	0.6124978	0.0003947	0.2099403	0.1353377	0.6911679	0.5107535	0.4234762	0.7111351	0.5004849	0.4517924	0.0377482	0.3828819	0.4768287	0.2262810	0.8074925	0.7477037
250	0.7490221	0.0207412	0.0663201	0.3624674	0.0306403	0.0412890	0.0813240	0.3072540	0.4180835	0.5687127	0.2827240	0.3579857	0.1122661	0.6755982	0.6573427	0.8096854	0.6950583	0.4441363	0.4878690	0.6538477	0.0920885	0.7604292	0.5233403	0.7608436	0.5557612	0.0854493	0.2975994	0.6769243	0.6405584	0.6454365	0.3646111	0.0063378	0.2769211	0.0256032	0.2490153	0.2159343	0.7127435	0.6673228	0.2384927	0.5630339	0.3952067	0.6105769	0.0019880	0.5326167	0.3516108	0.2897558	0.1422736	0.2120251	0.3254641	0.0465874	0.3955001	0.2949960	0.5300491	0.5987107	0.3870750	0.6514229	0.5898688	0.5723933	0.4964305	0.5949760	0.0702837	0.6227158	0.0857077	0.2739058	0.5666946	0.0000296	0.2989118	0.1150591	0.7472942	0.5672035	0.5256544	0.6329021	0.4569234	0.5536976	0.0460542	0.3639805	0.4249989	0.3107315	0.7492896	0.7126535
300	0.5505954	0.0373426	0.0713337	0.4909283	0.0181084	0.0580032	0.0525118	0.3719287	0.5784688	0.5928887	0.2937928	0.4088469	0.1926187	0.7650430	0.7435505	0.6615321	0.6219475	0.4333781	0.5025140	0.7258907	0.0746462	0.6609595	0.6046437	0.6843480	0.4092952	0.1208001	0.3524163	0.6614792	0.7432394	0.5863284	0.4395393	0.0047067	0.2658851	0.0576365	0.1574449	0.1688437	0.7775948	0.6788650	0.2233462	0.5439364	0.4140541	0.5490052	0.0135233	0.4755811	0.4235555	0.2291271	0.2091047	0.2064972	0.2461612	0.0991410	0.4789687	0.4662428	0.5950817	0.5189110	0.3683608	0.6800326	0.5652105	0.4595111	0.4797305	0.6061105	0.0403494	0.7407738	0.0473799	0.4140334	0.5781289	0.0024279	0.2827399	0.1145923	0.6047996	0.4383971	0.5067986	0.6065126	0.5253381	0.4587589	0.0649517	0.4394325	0.4004350	0.2371757	0.6193396	0.7609543
350	0.5465392	0.0240723	0.0832698	0.4162482	0.0200799	0.0505362	0.0402179	0.2971777	0.4903044	0.6273036	0.2847079	0.3734930	0.1825887	0.7176767	0.5147995	0.7620901	0.6390570	0.4144265	0.4172437	0.6738908	0.0940489	0.7027632	0.6806403	0.8026136	0.4169987	0.1119389	0.3054907	0.6301067	0.8235038	0.6724608	0.3792811	0.0092256	0.3210519	0.0503423	0.1435217	0.1714644	0.6918264	0.6129563	0.2193734	0.5194262	0.5032639	0.5405836	0.0021972	0.5728196	0.4223501	0.2384438	0.2545117	0.1449187	0.2423536	0.0632851	0.3929542	0.4586856	0.5737559	0.6240849	0.3941360	0.6136257	0.5748788	0.4689926	0.4898061	0.5088708	0.0480474	0.7116355	0.0595192	0.2389444	0.4906861	0.0016538	0.2154122	0.2125203	0.5344828	0.5490428	0.4821914	0.6369252	0.5328003	0.5135509	0.0866269	0.4108119	0.3564973	0.2128613	0.7816921	0.6445714
400	0.5728929	0.0308149	0.0638396	0.3489767	0.0020678	0.0445039	0.0423707	0.3268122	0.5511871	0.5148350	0.3507338	0.5107202	0.1695228	0.6992796	0.6872423	0.7393730	0.6912395	0.4720298	0.4655472	0.6563310	0.0608688	0.6922628	0.6584801	0.7164192	0.4705930	0.1010752	0.3523023	0.6917273	0.6637074	0.6002990	0.3936427	0.0071943	0.2694095	0.0726405	0.2734720	0.1740408	0.6943938	0.5869720	0.2203473	0.4733900	0.3564890	0.5373649	0.0114162	0.5358779	0.3813352	0.2905138	0.2347088	0.1808388	0.2835608	0.0934310	0.5201093	0.3481843	0.5672437	0.6514146	0.4160472	0.6790247	0.6444854	0.5426520	0.4724571	0.7195715	0.0389596	0.6502686	0.0642239	0.2609621	0.6131242	0.0024365	0.2522331	0.2311166	0.6569108	0.6291267	0.5279654	0.6698910	0.4425566	0.5011767	0.0502667	0.4084512	0.3489379	0.2147132	0.7813458	0.5811771
