"Time"	G1	G3	G5	G22	G4

0	0.7755756	0.5965465	0.0898362	0.6503270	0.7694878
50	0.6997549	0.4709749	0.1284611	0.8762023	0.6818582
100	0.8752554	0.5347630	0.1166434	0.6737429	0.6096428
150	0.6479987	0.5339254	0.1599283	0.8020661	0.7213959
200	0.7829227	0.4844166	0.0939862	0.7020303	0.6429743
250	0.7602200	0.5659100	0.1015591	0.8314615	0.8269403
300	0.9637282	0.5280763	0.1167866	0.7211292	0.7975973
350	0.8864592	0.6064559	0.1084097	0.8566076	0.6655450
400	0.6736533	0.4915371	0.1186373	0.9037084	0.8215657
450	0.8075176	0.6658563	0.1390629	0.7401901	0.6309740
500	0.9450810	0.4909490	0.1445802	0.8527040	0.7581358
550	0.8798712	0.5351525	0.1154268	0.7637560	0.8699733
600	0.7806471	0.4946890	0.1688103	0.9062844	0.8324584
650	0.7465416	0.5294773	0.1680701	0.6819648	0.9125238
700	0.7499068	0.4983441	0.0975571	0.7349389	0.7138524
750	0.7249652	0.5360917	0.1363947	0.7452713	0.6923102
800	0.7103720	0.5826452	0.1346787	0.8161162	0.7709289
850	0.6239694	0.4515100	0.1430702	0.7637831	0.7992015
900	0.8609866	0.5526121	0.1091214	0.8114139	0.7694884
950	0.7475703	0.5522128	0.0969534	0.8314076	0.8281491
1000	0.7275677	0.5390244	0.0990032	0.8974677	0.8633661

0	0.7139007	0.4782618	0.0780464	0.8330659	0.8446895
50	0.6816018	0.5218454	0.1688832	0.8735592	0.5889961
100	0.7113718	0.6351974	0.1185082	0.7141972	0.6753606
150	0.6627974	0.5073013	0.0553123	0.7741422	0.9785146
200	0.9385777	0.6537372	0.0952116	0.8744173	0.7956428
250	0.8097062	0.4727027	0.1184408	0.9336995	0.7653603
300	1.0000000	0.5437524	0.1543837	0.8051089	0.8437683
350	0.7497652	0.5217766	0.1110835	0.7376937	0.8280314
400	0.7748096	0.6239385	0.1622324	0.8100646	0.6850078
450	0.7546559	0.5170734	0.1508209	0.8328928	0.7782387
500	0.8167558	0.4649121	0.1471238	0.7181070	0.7637117
550	0.8755734	0.5035188	0.1243284	0.7805810	0.8220992
600	0.7991610	0.6076509	0.1390959	0.8276301	0.7461406
650	0.7691462	0.6140155	0.1345390	0.8448963	0.6647374
700	0.8183175	0.5501236	0.0887245	0.8938715	0.7664612
750	0.6882374	0.4761197	0.0774903	0.8227677	0.7676174
800	0.6649836	0.5165529	0.1198068	0.6971311	0.8191299
850	0.7660360	0.4470828	0.1125844	0.8268317	0.7601738
900	0.7512611	0.5241914	0.1133926	0.7440890	0.6881238
950	0.8361933	0.4770532	0.1356770	0.8538429	0.6402248
1000	0.8564559	0.5559134	0.1487840	0.6875949	0.8077053

0	0.7534289	0.5846571	0.1235024	0.7921357	0.7639897
50	0.7291141	0.5929439	0.0954665	0.4715579	0.7924312
100	0.6902100	0.6165231	0.0806450	0.2652294	0.6226574
150	0.7365717	0.6284195	0.1346431	0.2412951	0.5993126
200	0.7966908	0.7572578	0.0920315	0.1898865	0.7124930
250	0.8273398	0.6166569	0.1633236	0.2274743	0.7735645
300	0.7761618	0.6754988	0.1211793	0.2614584	0.6578008
350	0.7058116	0.6966924	0.1449299	0.1896503	0.7156816
400	0.8718255	0.6563397	0.2097007	0.2540832	0.7681360
450	0.6777884	0.8313857	0.1754041	0.2380951	0.7199815
500	0.7222291	0.8500345	0.1469367	0.1854964	0.7768886
550	0.8430618	0.5354230	0.3928046	0.5575743	0.8217624
600	0.9491891	0.5450717	0.1800996	0.5723080	0.7362364
650	0.6813949	0.4598136	0.1435193	0.7040007	0.8145010
700	0.8402008	0.3714225	0.1054924	0.7754733	0.8413289
750	0.6182666	0.5586549	0.1037705	0.7174599	0.7727078
800	0.7845584	0.3851624	0.1119494	0.7446710	0.7833027
850	0.8282389	0.4452568	0.0956824	0.7617311	0.7456117
900	0.8812380	0.5953716	0.1256336	0.7702231	0.5996997
950	0.8820437	0.5114909	0.1739279	0.7866242	0.6284666
1000	0.6772717	0.5913320	0.0824570	0.8507392	0.7656040

0	0.6956238	0.4760550	0.1062613	0.7719325	0.7288866
50	0.8556267	0.4778396	0.1193549	0.8119022	0.6788579
100	0.7853417	0.4638412	0.1177044	0.7169186	0.6298363
150	0.9610194	0.4384381	0.1810474	0.6680983	0.6757418
200	0.7255900	0.5536229	0.1083582	0.7737803	0.7752644
250	0.6690066	0.4377455	0.1149529	0.8965776	0.7602759
300	0.9304878	0.4435852	0.1382654	0.8225257	0.6557311
350	0.8060130	0.4927239	0.1261104	0.7608450	0.7116081
400	0.8067336	0.5481634	0.1595687	0.7564096	0.7233549
450	0.7469341	0.5286455	0.1290679	0.8238933	0.7137890
500	0.8916531	0.3964063	0.1166824	0.8233753	0.6650732
550	0.6363007	0.4361021	0.1019082	0.8427794	0.6943350
600	0.8352564	0.4572728	0.1161583	0.7278589	0.7883952
650	0.8456963	0.5099448	0.1280814	0.8098168	0.6348053
700	0.7520405	0.4906994	0.1871043	0.6756789	0.8580025
750	0.8460868	0.4999234	0.1328189	0.8525176	0.8243441
800	0.8951535	0.5053311	0.1275787	0.8545319	0.7729393
850	0.8776933	0.5133562	0.0911275	0.7808863	0.7348753
900	0.8551112	0.5969684	0.1093710	0.7986058	0.7737125
950	0.7147520	0.4938810	0.1150769	0.7084831	0.7446270
1000	0.7722324	0.5167273	0.1054639	0.8934005	0.6196022

0	0.6754681	0.4633372	0.0761571	0.8483213	0.8781415
50	0.6754670	0.4972626	0.0407647	0.7059083	0.7586689
100	0.8536472	0.4282758	0.0615116	0.9150937	0.7936091
150	0.8151634	0.4042718	0.0053449	0.7194001	0.8111234
200	0.7592781	0.5290224	0.0315951	0.7771725	0.8297330
250	0.7000343	0.4096988	0.0549725	0.7863299	0.6907910
300	0.7506727	0.4417688	0.0213350	0.8194354	0.7608870
350	0.8917753	0.4659521	0.0465424	0.8343294	0.7315216
400	0.6283293	0.5175299	0.0135983	0.6990301	0.8493566
450	0.7937520	0.4927923	0.0148917	0.8954888	0.7810629
500	0.7799028	0.4845112	0.0113416	0.7397464	0.7921645
550	0.7343999	0.4410326	0.0797254	0.7457403	0.6282312
600	0.7342439	0.5140463	0.0596020	0.6613981	0.7664791
650	0.7804839	0.6474758	0.1088015	0.7628173	0.7885028
700	0.8189201	0.6275049	0.1437741	0.6803355	0.7444874
750	0.8112785	0.4706686	0.0993078	0.8689941	0.7614084
800	0.7816260	0.4771302	0.1267650	0.7630790	0.7691971
850	0.8941539	0.5838489	0.1301722	0.8841060	0.8147948
900	0.9008761	0.5576632	0.1004973	0.7961376	0.7101199
950	0.8454323	0.5337381	0.0909248	0.9036558	0.7550390
1000	0.7204674	0.4792916	0.0919993	0.8620334	0.6994140

0	0.8224281	0.5764904	0.0818321	0.7531790	0.7874479
50	0.6642645	0.5521610	0.0896833	0.9225006	0.6506728
100	0.6163704	0.8366597	0.1128533	0.8475521	0.7621147
150	0.5502651	0.7829859	0.1451979	0.8254443	0.7042410
200	0.5834675	0.6786161	0.1336838	0.9025260	0.6843962
250	0.6912729	0.7088931	0.1092976	0.8489079	0.6174651
300	0.7288381	0.6177117	0.1415108	0.7649533	0.6393388
350	0.5275090	0.6881507	0.1010683	0.6705190	0.8471798
400	0.6842193	0.7454233	0.1182567	0.7019131	0.7033682
450	0.5202305	0.6029852	0.1927613	0.7576191	0.7740733
500	0.5579346	0.6219918	0.1381933	0.7860575	0.7199751
550	0.6342149	0.4698725	0.0963658	0.8348585	0.6849224
600	0.6866380	0.3071280	0.0879656	0.8392335	0.7785834
650	0.7996050	0.4258760	0.0987074	0.8598588	0.7769520
700	0.8073243	0.4615760	0.1804564	0.9646781	0.8231055
750	0.7712144	0.4642093	0.1701570	0.7928335	0.7953122
800	0.6734705	0.4550107	0.1351507	0.7998664	0.7676466
850	0.8229199	0.4077158	0.1139987	0.8839340	0.7577525
900	0.6936135	0.5043619	0.1511929	0.6570774	0.7295011
950	0.6966994	0.5154677	0.1621719	0.6825952	0.8714770
1000	0.7349765	0.4489486	0.1546877	0.7760670	0.8492720

0	0.7160165	0.5274378	0.1571605	0.7485506	0.7330272
50	0.8353555	0.5272853	0.1079470	0.8452018	0.7614233
100	0.7808389	0.5098704	0.1273663	0.8961925	0.7564175
150	0.9166697	0.6323524	0.1258756	0.7440819	0.8074489
200	0.9056707	0.5004568	0.1321092	0.8777208	0.7484502
250	0.7883581	0.4946513	0.1727586	0.8397761	0.8319121
300	0.7157146	0.5162994	0.0707428	0.8242707	0.7595331
350	0.8350784	0.5843854	0.1026669	0.6501730	0.7074209
400	0.8367456	0.3980367	0.1293056	0.7315787	0.7426495
450	0.6855711	0.5434825	0.1044460	0.7662253	0.7878815
500	0.7937196	0.4666763	0.1386337	0.9392723	0.7398237
550	0.8403037	0.5807684	0.0884609	0.7589500	0.8051903
600	0.8172319	0.6214894	0.1174819	0.7768542	0.8475993
650	0.7110680	0.6374554	0.1587271	0.7078322	0.7831131
