"Time"	G1	G10	G2	G20	G17	G4	G16	G9	G8	G11	G18	G94	G95	G98	G7	G46	G6	G100	G36	G37	G38	G34	G3	G56	G35	G5	G19	G14	G15	G12	G44	G41	G22	G21	G50	G13	G51	G53	G52	G42	G55	G39	G49	G40	G45	G54	G47	G48	G61	G57	G43	G72	G67	G60	G59	G99	G58	G79	G81	G88	G83	G89	G82	G80	G84

0	0.2940514	0.4097706	0.3402121	0.5466112	0.5601357	0.4055064	0.0267690	0.0432710	0.4294190	0.5120070	0.3383243	0.8096553	0.9127548	0.7065839	0.0301913	0.1843668	0.0064401	0.6944696	0.3777643	0.6452149	0.5195086	0.7282966	0.1614078	0.2120731	0.6397297	0.4537206	0.1532317	0.6568550	0.0944778	0.1206850	0.1571546	0.5904769	0.0950404	0.3505492	0.4110646	0.5419499	0.0009780	0.1270753	0.6881494	0.4151388	0.3973740	0.4941606	0.2899269	0.6827826	0.5167028	0.4059809	0.0839063	0.5347480	0.2336130	0.2641596	0.2530838	0.6060018	0.4305317	0.0642271	0.6899468	0.7639100	0.4638195	0.1071463	0.3735268	0.4252840	0.5060260	0.5129178	0.3067311	0.7366834	0.4294117
50	0.1474929	0.4460934	0.3879938	0.5828056	0.4509699	0.5134861	0.0681597	0.3804396	0.4056414	0.6378871	0.3912404	0.6043141	0.6688401	0.7466037	0.0291345	0.1748935	0.0080957	0.5438213	0.6393902	0.8038088	0.5261471	0.2273706	0.1163207	0.1572017	0.6088841	0.5124284	0.0809672	0.5601491	0.1222899	0.1922544	0.1269249	0.5982839	0.0280496	0.2860915	0.3865068	0.5030032	0.0104897	0.1263740	0.6093432	0.2986889	0.3160866	0.5102263	0.2325771	0.8080890	0.4998459	0.5825349	0.2340275	0.5135981	0.2130239	0.1421466	0.3050958	0.7614042	0.3959647	0.3395315	0.7591219	0.5868585	0.6046246	0.2212013	0.6381882	0.4222226	0.4827816	0.5693090	0.2633733	0.3688530	0.7433998
100	0.2665848	0.4382118	0.2389027	0.4799719	0.6307149	0.5779072	0.0219009	0.5051066	0.4532163	0.5117222	0.3201821	0.8589048	0.7591904	0.6732909	0.0287124	0.1707206	0.0073168	0.4373486	0.5948561	0.6444736	0.2319548	0.0738518	0.1049459	0.2170202	0.6604601	0.5767837	0.0491062	0.6229137	0.1816672	0.2268857	0.3068878	0.6999458	0.0331960	0.1956479	0.3180464	0.5109644	0.0053589	0.1309070	0.6349210	0.3449100	0.2916686	0.5875308	0.2616770	0.6050224	0.3805767	0.5719285	0.4805756	0.5574441	0.2193244	0.2705804	0.2362341	0.6778142	0.4630420	0.3357474	0.6899900	0.6534408	0.5088486	0.1226928	0.5308737	0.2564496	0.4831139	0.4226525	0.2304733	0.1589027	0.4822358
150	0.3368441	0.3924318	0.3253482	0.6765048	0.6894778	0.7927785	0.0304584	0.5535388	0.4546860	0.5568793	0.3519317	0.6666762	0.6303499	0.6635971	0.0728591	0.2244260	0.0077459	0.4319205	0.5197374	0.5768117	0.0803912	0.0171483	0.1656804	0.1163449	0.5345276	0.5845575	0.1272766	0.5088661	0.1501975	0.2826704	0.1814528	0.6154912	0.0272605	0.1950639	0.3434253	0.3423929	0.0050905	0.1394182	0.7332175	0.5398928	0.2914334	0.4675911	0.2230825	0.5882310	0.3762675	0.6561451	0.6338085	0.5794547	0.1710520	0.2342230	0.1793913	0.6281834	0.4360088	0.3225898	0.7722732	0.6491477	0.5505727	0.2000372	0.5703815	0.1902937	0.4024512	0.3899912	0.1136554	0.1337650	0.4229206
200	0.3799579	0.3780470	0.2619646	0.7647606	0.5507877	0.7209129	0.0208934	0.5352929	0.4105085	0.3713107	0.2873740	0.7444104	0.7609228	0.6806102	0.0246246	0.2902323	0.0337156	0.4765386	0.5921328	0.4464320	0.0212801	0.0153509	0.1685824	0.1160710	0.3629389	0.6132013	0.1585468	0.5704986	0.1921842	0.2951873	0.2423343	0.6532365	0.0440610	0.1844827	0.3525684	0.4666515	0.0011494	0.1888362	0.6640079	0.5495660	0.3832503	0.5772314	0.2382034	0.6592712	0.4549076	0.6544245	0.6416367	0.5955038	0.1448725	0.1971300	0.1950802	0.6725607	0.4222075	0.3520695	0.6874558	0.6553584	0.6682412	0.2648767	0.4653093	0.1365026	0.3381022	0.3745975	0.0829683	0.0760861	0.3588662
250	0.3051319	0.3274106	0.2537132	0.5316688	0.5103448	0.6843974	0.0101796	0.5901268	0.4401922	0.5343363	0.2882313	0.7713438	0.7248382	0.6866818	0.0251704	0.2693960	0.0089512	0.3775717	0.4483539	0.4429045	0.0259440	0.0068130	0.2023155	0.1530580	0.3119822	0.7561942	0.1345982	0.4850352	0.2244978	0.3544973	0.1723622	0.6714219	0.0721744	0.1961780	0.4037036	0.4760135	0.0003640	0.1125080	0.6926491	0.5990471	0.2492855	0.5401887	0.2098844	0.6429105	0.4126235	0.6296805	0.5507553	0.5921869	0.1146931	0.2088640	0.2265418	0.7799307	0.4205964	0.3285405	0.7185428	0.6321224	0.5337273	0.3166798	0.6569863	0.1150555	0.4634307	0.4272759	0.1815742	0.1234488	0.3627059
300	0.2745347	0.4276980	0.2333903	0.8021785	0.6449179	0.6897415	0.0311117	0.6072464	0.4792125	0.3367871	0.3679600	0.7549401	0.6892408	0.6449482	0.0650023	0.2131826	0.0133820	0.3842941	0.5251939	0.4433789	0.0057058	0.0051218	0.1690173	0.1355290	0.2347373	0.6500999	0.1503705	0.4742396	0.1450432	0.3961603	0.1608105	0.6374274	0.0461239	0.1966788	0.3090813	0.4668997	0.0000000	0.1171972	0.7688356	0.5575386	0.3312064	0.4962855	0.2024885	0.7716579	0.4039689	0.6019063	0.5999586	0.6567897	0.1152293	0.2321186	0.3918606	0.6978303	0.4176709	0.4296141	0.6740959	0.7647036	0.5924089	0.4739243	0.6720648	0.2417214	0.4027253	0.4121516	0.2208561	0.1061351	0.4736960
350	0.2483653	0.4345346	0.1998564	0.6930992	0.5009601	0.7908152	0.0124407	0.5330353	0.5741098	0.4263083	0.4331590	0.6854835	0.6560220	0.7519957	0.0413215	0.2551130	0.0115310	0.4660644	0.4623194	0.4568330	0.0012756	0.0084550	0.1956566	0.1322733	0.1028134	0.5463048	0.1174945	0.3819868	0.1796140	0.3841485	0.2142963	0.6809143	0.0630309	0.1952054	0.3718648	0.3715158	0.0001481	0.1204979	0.7171186	0.5933612	0.4230826	0.5297092	0.2282508	0.7217226	0.4198042	0.5213223	0.6025366	0.5574269	0.1319145	0.2670336	0.4521484	0.7564184	0.3469835	0.4424552	0.6871741	0.6632807	0.4833664	0.5630039	0.6434830	0.2923874	0.6057643	0.4030400	0.3417437	0.1026710	0.5548264
400	0.2326891	0.4323543	0.1902762	0.5753455	0.6620220	0.6404825	0.0266334	0.4985295	0.5385607	0.4118758	0.2880687	0.5998007	0.6090067	0.6658574	0.0299900	0.1670004	0.0321849	0.4637618	0.5523678	0.4533842	0.0042766	0.0109129	0.1835849	0.1725894	0.0933841	0.6399476	0.1207634	0.4380492	0.2200440	0.3068270	0.2071959	0.5535062	0.0277462	0.2169543	0.4034807	0.5017006	0.0006418	0.1165865	0.7554990	0.6913643	0.3540981	0.4113511	0.2161127	0.6763107	0.3356810	0.6208442	0.6698089	0.7413446	0.2096440	0.2545048	0.4688863	0.6664171	0.3284970	0.5054948	0.7798054	0.7339432	0.4454707	0.6521158	0.5159021	0.3690791	0.5768432	0.3862456	0.2826523	0.0929257	0.6254129
