"Time"	G1	G10	G20	G2	G17	G16	G4	G9	G8	G18	G94	G11	G95	G98	G7	G46	G6	G100	G36	G37	G38	G34	G3	G56	G35	G5	G19	G15	G14	G12	G49	G39	G41	G44	G22	G21	G50	G13	G52	G53	G51	G55	G42	G40	G45	G54	G61	G47	G43	G48	G57	G72	G67	G60	G59	G99	G58	G80	G84	G83	G89	G82	G81	G79	G88	G78	G77	G85	G75	G90	G91	G86	G69	G93	G92	G87	G68	G96	G97	G63	G27	G26	G25	G23	G24

0	0.6158052	0.1551853	0.6519012	0.3512034	0.2373677	0.2425254	0.2214403	0.0154458	0.0025201	0.5641295	0.6840596	0.0780910	0.4860298	0.7242532	0.0716518	0.5781734	0.4161831	0.8278508	0.4147072	0.7003982	0.6695843	0.6710290	0.6103636	0.5538413	0.0180575	0.1613460	0.4439838	0.2794990	0.7118725	0.7546434	0.1377285	0.1206717	0.1940029	0.4643700	0.1079351	0.3692254	0.5950705	0.2138127	0.3659652	0.2910065	0.6083061	0.1891845	0.3350454	0.0729667	0.0033223	0.4609471	0.0263524	0.3983403	0.2566255	0.6829080	0.3711681	0.7899588	0.7092703	0.0585977	0.7856959	0.8320210	0.3516443	0.6254931	0.0501349	0.5272335	0.4625689	0.0112169	0.3641556	0.0076557	0.4368651	0.0078205	0.3119249	0.3224436	0.4168527	0.8153509	0.2660236	0.2040303	0.0632991	0.4155281	0.4345887	0.4822304	0.6312133	0.6567018	0.4415508	0.5617052	0.0890967	0.2628436	0.0288746	0.6460038	0.6996455
50	0.7775301	0.0768134	0.6677923	0.3798074	0.1770331	0.3285465	0.2576660	0.0154248	0.0484311	0.3991030	0.5972895	0.0349397	0.3941569	0.6783865	0.2877811	0.5532602	0.4259469	0.7294397	0.5988130	0.6709842	0.6338444	0.5839660	0.4636693	0.5049200	0.0143585	0.0831464	0.4061546	0.1336702	0.7288292	0.6704554	0.2182900	0.1786337	0.2195498	0.4664221	0.5551008	0.1876816	0.3238069	0.1863568	0.3224412	0.4172340	0.6967083	0.2443268	0.3543663	0.0220184	0.0110236	0.5020394	0.0201584	0.3223159	0.2841306	0.4509371	0.4411698	0.2978636	0.6634335	0.0525651	0.7077256	0.6590382	0.4058594	0.7578566	0.2276426	0.6960121	0.5412967	0.0092537	0.4393975	0.0074264	0.6148410	0.0016424	0.3833697	0.2482300	0.3645125	0.7574275	0.2540849	0.1466030	0.3429226	0.3591548	0.5946757	0.1321903	0.6201986	0.1873976	0.3785257	0.5651504	0.0936193	0.2319072	0.0217512	0.2820278	0.8475660
100	0.7190999	0.0987280	0.6854047	0.3836842	0.2112288	0.2396702	0.3127462	0.0291502	0.0805496	0.5577434	0.5589315	0.0228097	0.4267897	0.6641368	0.3036063	0.5091346	0.3786873	0.5874404	0.5434006	0.5711684	0.6265912	0.6803760	0.5826364	0.7955436	0.0036134	0.0500089	0.3915797	0.1397946	0.6872431	0.6627727	0.3006138	0.2496652	0.2505736	0.2897883	0.6469585	0.0471753	0.2229172	0.1522027	0.2861287	0.4490550	0.6029286	0.2998206	0.4059080	0.0066460	0.0288399	0.3635497	0.0320301	0.2831539	0.3236709	0.2735306	0.3680341	0.2193227	0.5727224	0.0946064	0.6596338	0.6388101	0.2123268	0.6768568	0.3894603	0.5802036	0.5264294	0.0082453	0.3558313	0.0127162	0.5606605	0.0134518	0.3724930	0.2527317	0.3787203	0.7599347	0.2491017	0.1867063	0.4754568	0.3920104	0.5355712	0.1649777	0.6199441	0.0334747	0.3187801	0.5167645	0.0722961	0.3668998	0.1149560	0.1827160	0.7991080
150	0.6788063	0.0468125	0.5547618	0.3417230	0.1626941	0.2238349	0.3393564	0.0369835	0.0492185	0.6274662	0.7938341	0.0206750	0.4079101	0.6067903	0.4017316	0.4834430	0.3902316	0.7611365	0.5166440	0.7556340	0.7604539	0.7439819	0.5944072	0.6960358	0.0025466	0.0170866	0.4626730	0.0956142	0.7349840	0.6758295	0.3605553	0.2376569	0.2639277	0.0773248	0.7510955	0.0573992	0.3354285	0.1870259	0.1837967	0.4882154	0.8064634	0.2621104	0.3402842	0.0000243	0.0235821	0.3231280	0.0190729	0.1822418	0.4756135	0.2131068	0.3752230	0.1246828	0.7225158	0.0488195	0.6798786	0.6465185	0.1380237	0.6151693	0.4159834	0.4970663	0.5866911	0.0053371	0.4236579	0.0151809	0.7090376	0.0400171	0.4465675	0.1805362	0.4863964	0.8044866	0.3099377	0.1384724	0.5871486	0.4872979	0.5619260	0.2215401	0.5759582	0.0176064	0.3227468	0.4138488	0.1413985	0.2757095	0.1723475	0.0648028	0.7147213
200	0.6077517	0.0299157	0.6267475	0.3902127	0.1059909	0.2621851	0.2304770	0.0345047	0.0649360	0.5623425	0.6248324	0.0344391	0.4461264	0.5921166	0.4531841	0.5571969	0.2833085	0.6845546	0.5713212	0.6474848	0.6397831	0.5809007	0.4814336	0.5977173	0.0100812	0.0637868	0.3204419	0.0568995	0.7150930	0.6164415	0.4032087	0.3000502	0.2406276	0.0255101	0.6248229	0.0513670	0.3663591	0.1588171	0.1006776	0.4246262	0.7655794	0.3255066	0.3315456	0.0024314	0.0025852	0.2088427	0.0200989	0.2839373	0.3960654	0.2136461	0.4376926	0.1057174	0.7063354	0.0597822	0.7781764	0.7267944	0.1265060	0.6548918	0.4684906	0.5389404	0.6913332	0.0386304	0.4436913	0.0135584	0.6915724	0.0090352	0.3688445	0.1834993	0.3107851	0.7792727	0.2575587	0.1132761	0.5272361	0.4598478	0.5154755	0.1574802	0.7785607	0.0099738	0.1649068	0.4137062	0.1401693	0.3132321	0.3596630	0.0718246	0.7102459
250	0.6277735	0.0392085	0.5467174	0.3741636	0.1440110	0.2149125	0.3509136	0.0134875	0.0671265	0.6031315	0.7084720	0.0137377	0.3514208	0.8467005	0.3210682	0.5611129	0.3046365	0.7784443	0.5749994	0.8079264	0.6753295	0.7888601	0.7301742	0.6499826	0.0207088	0.0208057	0.3528598	0.0462700	0.6918349	0.6642185	0.2648893	0.3564847	0.3069733	0.0143990	0.6984256	0.0338011	0.2406047	0.1632168	0.0838221	0.4251818	0.6034522	0.2778724	0.4325039	0.0000594	0.0103056	0.3015395	0.0263369	0.2965748	0.3970946	0.2570648	0.4657861	0.0732193	0.6733726	0.0443547	0.7474143	0.7559305	0.1899601	0.6335021	0.4115680	0.5789292	0.5071033	0.0146010	0.4934691	0.0140827	0.5002713	0.0034574	0.4606224	0.2052421	0.4039949	0.8723090	0.2789581	0.1043246	0.5438602	0.4402806	0.4789376	0.1912958	0.7714832	0.0047505	0.1864293	0.3892587	0.0899788	0.3084949	0.3741133	0.1807839	0.7336074
300	0.6674386	0.0519986	0.6594295	0.3278282	0.1505072	0.4055997	0.2707650	0.0265801	0.0963273	0.3742638	0.7943602	0.0200271	0.4509986	0.7741777	0.3452012	0.5422549	0.3601653	0.8813971	0.5390173	0.7618829	0.7025065	0.6422722	0.7604219	0.7255502	0.0165406	0.0168182	0.4320226	0.0556541	0.7377563	0.6327969	0.3148597	0.2767752	0.2315836	0.0098281	0.6462001	0.0209361	0.2423141	0.1602325	0.0979656	0.4425416	0.6273693	0.2706718	0.4427530	0.0007858	0.0050957	0.1726649	0.0442244	0.2820022	0.3681086	0.2985360	0.4114009	0.0721762	0.5504394	0.0409347	0.5978592	0.6893895	0.1238831	0.6678481	0.4429391	0.6310591	0.7412356	0.0145197	0.4171987	0.0066379	0.5577962	0.0019279	0.4074616	0.2653691	0.2902022	0.7257396	0.2384599	0.0896890	0.7206355	0.4475251	0.4100128	0.2458097	0.6018526	0.0277745	0.1502521	0.3722723	0.1211585	0.3573912	0.4748113	0.0851340	0.5986282
350	0.4752652	0.0607025	0.4802455	0.4835295	0.1576149	0.3352947	0.2634525	0.0185134	0.0523218	0.5378268	0.7048746	0.0056659	0.3601562	0.6714330	0.4129952	0.6850340	0.3370764	0.6980863	0.5287526	0.7060966	0.6617181	0.6382077	0.8019373	0.6378537	0.0064641	0.0111554	0.4849042	0.0887462	0.7265695	0.6206508	0.1935770	0.3706605	0.2350940	0.0060546	0.7160048	0.0367996	0.2650823	0.1946697	0.0717376	0.4838773	0.7846335	0.2095069	0.5171312	0.0018980	0.0023483	0.1959347	0.0224231	0.2026272	0.2951746	0.3490279	0.3779653	0.0676287	0.4618857	0.0626344	0.6384004	0.7143976	0.1650123	0.6623128	0.4648007	0.6225184	0.6865402	0.0093328	0.4392012	0.0057291	0.5417925	0.0306712	0.4608605	0.2206371	0.3117179	0.7466124	0.3118865	0.1570377	0.5897203	0.3575400	0.4664143	0.2022621	0.6485907	0.0260073	0.1315189	0.3531674	0.1072426	0.2598801	0.4616444	0.1076984	0.6535929
400	0.4802260	0.0349930	0.5377745	0.5459666	0.1519050	0.3350917	0.1856831	0.0361388	0.0672814	0.4969441	0.6897797	0.0119606	0.3882680	0.7217681	0.4068923	0.5100979	0.3222425	0.7161837	0.6063659	0.6878790	0.6145440	0.6246178	0.7118728	0.6744891	0.0035395	0.0258759	0.4765017	0.1440638	0.7824297	0.7361490	0.1964976	0.2619987	0.2846970	0.0028797	0.7210332	0.0414426	0.2784745	0.1679610	0.0672333	0.4651980	0.6802814	0.2731565	0.4886594	0.0007387	0.0040813	0.1980677	0.0320478	0.2137446	0.3336490	0.2856293	0.3958395	0.0852129	0.6003450	0.0907750	0.5808779	0.6296854	0.1020770	0.8879938	0.5012444	0.5405221	0.6799037	0.0061237	0.3132223	0.0195371	0.5711628	0.0043990	0.5017255	0.1979747	0.3497009	0.7624111	0.2673721	0.0837282	0.7273193	0.3405564	0.4539063	0.2254592	0.7914875	0.0254664	0.1107096	0.3907085	0.0694311	0.3625065	0.4546052	0.2314786	0.7303813
