"Time"	G1	G2	G20	G10	G16	G4	G17	G8	G11	G56	G3	G5	G19	G12	G13	G14	G15	G50	G41	G52	G53	G51	G21	G22	G55	G42	G54	G40	G44	G39	G35	G49	G45	G48	G61	G9	G47	G43	G79	G57	G60	G89	G80	G84	G81	G82	G83	G88	G86	G78	G77	G75	G91	G90	G85	G58	G59	G99	G92	G93

0	0.7733451	0.0015775	0.5405553	0.3852743	0.0641709	0.5977159	0.1338832	0.0790484	0.1702306	0.4659851	0.0366945	0.2437432	0.6586029	0.0147009	0.3273942	0.0322764	0.5015389	0.6036346	0.3480315	0.6486950	0.0084332	0.2011669	0.3542932	0.1528347	0.1819352	0.3627305	0.5073045	0.5604314	0.1775953	0.3995731	0.6976023	0.0621706	0.2290975	0.6392474	0.3826708	0.0664065	0.4222644	0.0277508	0.7197945	0.0253318	0.3737556	0.0816433	0.0010409	0.4096478	0.4148695	0.5963242	0.0366211	0.2052484	0.6254305	0.3787771	0.0514266	0.6697004	0.0259241	0.4375884	0.6260882	0.5958554	0.6127769	0.7197601	0.4796454	0.0046242
50	0.8310705	0.0003094	0.5151062	0.1297073	0.0770420	0.5123870	0.3311597	0.0556833	0.0623205	0.5589306	0.0392937	0.2999039	0.5243746	0.0442699	0.1304720	0.0056568	0.1170127	0.7605802	0.3508847	0.5737284	0.5377570	0.2252552	0.4301251	0.1689726	0.1024826	0.1910121	0.7077036	0.1444527	0.2040282	0.3837629	0.7918566	0.5317345	0.3977968	0.7112872	0.2743018	0.1088902	0.3921083	0.0153754	0.7664907	0.0611859	0.3523498	0.5565667	0.0294450	0.5598108	0.6608426	0.6363301	0.0390726	0.2859001	0.7350549	0.3443781	0.1470062	0.4532202	0.0254685	0.3395144	0.7598399	0.8277907	0.7107483	0.2592922	0.4591857	0.6573158
100	0.6782919	0.0002286	0.5959721	0.0438643	0.0337490	0.7395464	0.4378305	0.0376224	0.0165483	0.5076134	0.0706188	0.2806808	0.7201895	0.0144271	0.0647002	0.0000204	0.0527697	0.7578143	0.4706397	0.4516086	0.6055613	0.0917102	0.3670307	0.2459443	0.1681750	0.2054795	0.5069108	0.0655708	0.3067982	0.3992118	0.7149798	0.6990703	0.4882098	0.7193059	0.2664690	0.1064107	0.4672456	0.0411520	0.7797464	0.0528631	0.2453741	0.5349654	0.0036393	0.6525627	0.6685260	0.6353880	0.0592319	0.2439082	0.5820890	0.3744330	0.1233851	0.6121722	0.0251115	0.4172162	0.6209236	0.6942357	0.4694397	0.1758895	0.3750936	0.5289866
150	0.7787448	0.0002058	0.6501760	0.0122915	0.0530916	0.6346339	0.3669406	0.1167809	0.0082450	0.5549964	0.0467943	0.2645658	0.5950303	0.0400481	0.0845219	0.0003473	0.0072333	0.7284149	0.3650002	0.3149848	0.6154682	0.0473557	0.3695277	0.2465004	0.1599409	0.1504637	0.5161429	0.0724198	0.1628672	0.3547750	0.6963767	0.6977096	0.5420760	0.6045954	0.2921515	0.1095283	0.3985671	0.0353632	0.8061049	0.0514348	0.2978281	0.6283039	0.0068670	0.6311730	0.7125347	0.6961136	0.0272914	0.2143330	0.7103814	0.3149461	0.1357046	0.5386513	0.0410196	0.4374377	0.7235745	0.7595232	0.3040976	0.1055933	0.3419694	0.7176693
200	0.6659334	0.0001388	0.5630645	0.0096498	0.1054930	0.5993981	0.4307841	0.0671250	0.0111590	0.6796752	0.0397661	0.2992279	0.8781813	0.0158060	0.0422918	0.0010202	0.0044995	0.6547452	0.3165263	0.3496233	0.7012244	0.0298111	0.4288415	0.1786332	0.1533068	0.1171364	0.5049174	0.0944188	0.1665234	0.3380788	0.6068292	0.6187211	0.5213621	0.7391526	0.3430208	0.0971747	0.5165870	0.0132509	0.6416623	0.0434388	0.3266006	0.5103385	0.0004506	0.6685004	0.6577423	0.7849280	0.0465534	0.3356514	0.6478330	0.2984873	0.0751205	0.5906393	0.0296362	0.4618663	0.7092345	0.7570956	0.1375461	0.1524562	0.4611296	0.6776045
250	0.8528514	0.0000674	0.8214792	0.0007784	0.0440129	0.7131024	0.3380609	0.0367670	0.0070489	0.4973145	0.0892965	0.3010563	0.7371579	0.0310632	0.0580807	0.0023977	0.0057584	0.6036501	0.4284926	0.2783957	0.7663299	0.0583204	0.2604971	0.2193599	0.2719266	0.1248298	0.4948234	0.0495702	0.1519799	0.3638693	0.5579847	0.7386940	0.5043684	0.6247235	0.3312427	0.0910423	0.3379121	0.0311331	0.7163742	0.0408809	0.2618247	0.5753387	0.0054314	0.6683165	0.6992773	0.7933407	0.0119222	0.2281653	0.6743867	0.3886164	0.0483036	0.5772273	0.0134613	0.3695299	0.7056046	0.6914649	0.1157177	0.1254828	0.5489504	0.7096734
300	0.7091424	0.0005472	0.6819432	0.0019107	0.0474384	0.6637669	0.5040516	0.0681739	0.0111771	0.5102649	0.0331952	0.3211208	0.7426701	0.0277721	0.0475138	0.0015520	0.0044590	0.6770664	0.4848870	0.1540290	0.6582496	0.0509195	0.2623995	0.1474313	0.1689119	0.1589993	0.5589455	0.0876247	0.3054806	0.2971540	0.6010943	0.6385769	0.5642642	0.6385854	0.2994340	0.0770182	0.4186028	0.0309210	0.6919729	0.0228139	0.2578587	0.5133303	0.0021304	0.6158047	0.8130528	0.7915605	0.0327059	0.2567055	0.7714277	0.3139502	0.0542741	0.5137842	0.0113410	0.3881537	0.6822301	0.5825800	0.1070225	0.1660412	0.3981236	0.5124372
350	0.7622646	0.0022336	0.6398812	0.0031803	0.0809166	0.5594495	0.4193226	0.0745306	0.0071626	0.5068953	0.0468362	0.2819398	0.6488667	0.0150139	0.0509081	0.0000730	0.0003471	0.6102830	0.5329730	0.3938208	0.6913432	0.0343159	0.3370607	0.1475247	0.2402654	0.1413786	0.4829369	0.0449297	0.2341918	0.3173518	0.6621913	0.7683054	0.4745743	0.5806813	0.3096871	0.0627852	0.3825947	0.0481359	0.7541530	0.0420386	0.2247098	0.6024091	0.0023325	0.5661441	0.6703795	0.7535004	0.0666342	0.2321151	0.6726269	0.3474237	0.0485580	0.4934338	0.0139822	0.4511185	0.7047808	0.6892783	0.1016619	0.1266730	0.4044322	0.6306213
400	0.7146620	0.0003910	0.6254463	0.0034463	0.0316282	0.6497476	0.4279554	0.0631931	0.0030641	0.5921994	0.0551140	0.2418750	0.7237418	0.0103860	0.0315892	0.0013412	0.0019653	0.7989011	0.3565690	0.2691081	0.6617424	0.0741808	0.4042721	0.2036114	0.1587649	0.1896513	0.4629314	0.0777184	0.2525066	0.3899691	0.6502758	0.7185246	0.4833225	0.7044626	0.2951884	0.1001688	0.3577769	0.0424921	0.6386503	0.0203080	0.2238650	0.6582820	0.0000000	0.5555104	0.7651784	0.6414112	0.0424902	0.2067606	0.5774888	0.3740111	0.0944806	0.5609796	0.0134245	0.4799227	0.6502815	0.6007440	0.0571609	0.1578480	0.4181118	0.5124968
