"Time"	G1	G10	G2	G20	G17	G4	G16	G9	G8	G11	G18	G94	G95	G98	G7	G46	G6	G100	G36	G37	G38	G34	G3	G56	G35	G5	G19	G14	G15	G12	G44	G41	G22	G21	G50	G13	G51	G53	G52	G42	G55	G39	G49	G40	G45	G54	G47	G48	G61	G57	G43	G72	G67	G60	G59	G99	G58	G79	G81	G88	G83	G89	G82	G80	G84

0	0.3791599	0.3845953	0.2471721	0.5959874	0.6209134	0.3946130	0.0123212	0.0742268	0.5178370	0.3750234	0.3255522	0.7134901	0.8104000	0.7577024	0.0144346	0.1625233	0.0082944	0.6825920	0.3490454	0.6172379	0.5727257	0.6424575	0.1648883	0.1237369	0.7872635	0.4734406	0.1263360	0.8254468	0.0926101	0.1376095	0.1978057	0.5259144	0.0689285	0.3579601	0.4089204	0.4893765	0.0138140	0.1434533	0.7084196	0.5011271	0.6171326	0.4983961	0.3856533	0.7177459	0.7119249	0.2995752	0.0947864	0.6956603	0.3004676	0.2766800	0.2684969	0.7267186	0.3763625	0.0428217	0.7019407	0.6531129	0.7015873	0.2082526	0.2608191	0.3636441	0.4492831	0.5023787	0.3061760	0.6611616	0.2452489
50	0.2058207	0.3727979	0.3438355	0.5856292	0.6296152	0.5434446	0.0138707	0.0853702	0.5830904	0.4455123	0.3814419	0.8845308	0.6863414	0.6904055	0.0416673	0.1468014	0.0719871	0.2803768	0.5098962	0.7337276	0.6573264	0.6696136	0.1057400	0.0450036	0.6958052	0.5135249	0.0579007	0.6892844	0.1017528	0.0891287	0.4515648	0.6203853	0.2017092	0.3787927	0.3550179	0.4002801	0.0434951	0.1633887	0.6378844	0.2765660	0.5931267	0.5876509	0.2132761	0.6476662	0.6507563	0.2972729	0.0509666	0.4675420	0.3631220	0.2275363	0.3329933	0.2264076	0.5738586	0.0385512	0.7130130	0.7782499	0.6803027	0.1344272	0.2811228	0.3929304	0.4727977	0.4757610	0.4840289	0.5954135	0.3417852
100	0.2423040	0.4199705	0.3783682	0.5550468	0.5560154	0.3586698	0.0092014	0.0336636	0.5908741	0.5880266	0.2921023	0.6122992	0.8420538	0.6341139	0.0367333	0.2240945	0.2052800	0.1313897	0.5715478	0.6017377	0.5509407	0.7371111	0.2242850	0.0353771	0.6069058	0.6449520	0.0276785	0.5860815	0.0801807	0.0977022	0.4341999	0.6211576	0.2572755	0.4551012	0.3576650	0.5657425	0.0934596	0.1693201	0.8390683	0.3231142	0.6845666	0.6824358	0.2909483	0.6231312	0.6595460	0.2098980	0.0350186	0.5594844	0.2863152	0.2702438	0.2238478	0.0993360	0.5398530	0.0545932	0.5589392	0.7078410	0.5855352	0.0869756	0.3367995	0.4548289	0.4355201	0.5658810	0.4982907	0.6221855	0.3250435
150	0.2022343	0.3943578	0.2505834	0.6180191	0.6441358	0.3987926	0.0323414	0.0699460	0.4994541	0.6525906	0.3415914	0.6886859	0.7332257	0.8005876	0.0432217	0.2499959	0.1632129	0.0197793	0.4675518	0.6763802	0.5795016	0.6411436	0.3749986	0.0266645	0.5597765	0.6345573	0.0534378	0.7196145	0.1304732	0.1237701	0.4151262	0.6633229	0.2723059	0.3149872	0.4484674	0.5022713	0.1544055	0.1333027	0.7514204	0.3542122	0.5241562	0.7116622	0.3174410	0.7100478	0.6687654	0.1562079	0.0590328	0.5240777	0.2613753	0.2556915	0.2700270	0.0666761	0.5318156	0.0641981	0.5660629	0.7029013	0.6335654	0.1341400	0.2742792	0.3386044	0.3513290	0.7175242	0.3796126	0.7323534	0.3566772
200	0.2541236	0.3736817	0.3698253	0.4770325	0.5337576	0.4049699	0.0367279	0.0583594	0.6218890	0.7782007	0.3033409	0.6769080	0.7172819	0.7019507	0.0782682	0.1681816	0.1721466	0.0154084	0.4898631	0.6878888	0.5429444	0.7717985	0.3976680	0.0546478	0.5713424	0.5858594	0.0290721	0.6655197	0.0439230	0.0985087	0.4363639	0.5971534	0.2581239	0.4190449	0.3110147	0.4226344	0.1625158	0.1193630	0.6278695	0.5367138	0.4823926	0.7770340	0.3121116	0.8151055	0.6772046	0.2612034	0.0818871	0.6598397	0.3037459	0.2052547	0.2784633	0.0838056	0.6429416	0.0693672	0.5743904	0.5973221	0.6134556	0.1330908	0.3720380	0.4406025	0.4011057	0.7468878	0.3379109	0.6948858	0.2824916
250	0.3692379	0.4278183	0.3229699	0.6507956	0.5576309	0.3274896	0.0281909	0.0949290	0.6714260	0.5674660	0.3272301	0.6954162	0.6873660	0.7172521	0.0433552	0.1467154	0.1438744	0.0189898	0.4263696	0.8005016	0.6409043	0.8031296	0.3226446	0.0327852	0.5946367	0.5871640	0.0356147	0.5917054	0.0596448	0.1005732	0.4496856	0.5178005	0.2602238	0.4041900	0.3571480	0.4816336	0.1196663	0.1038430	0.7219640	0.4471400	0.4962747	0.7047126	0.4106514	0.6162933	0.6398023	0.2218727	0.0722682	0.5643002	0.2480421	0.2224167	0.3474578	0.0611659	0.4262394	0.0448743	0.6834832	0.6957339	0.5200010	0.0989152	0.3987255	0.3363735	0.4966554	0.6088151	0.3404832	0.7836391	0.3978291
300	0.2676171	0.4339086	0.2572447	0.5130326	0.6728375	0.4958254	0.0230061	0.0495998	0.6968117	0.5685123	0.3289092	0.7061887	0.6669256	0.5961800	0.0342403	0.2062296	0.2100175	0.0257662	0.3878051	0.6250105	0.7184530	0.6517946	0.3815461	0.0357315	0.7578716	0.5740450	0.0371826	0.5739996	0.1107765	0.1292425	0.5094646	0.5798699	0.3392828	0.3221679	0.2926093	0.4246249	0.1140491	0.1326792	0.5678894	0.3752551	0.5122902	0.6536605	0.3142071	0.6033373	0.6355181	0.1688742	0.0789331	0.6572031	0.2250237	0.2132223	0.2885853	0.1063866	0.4466020	0.0485986	0.6589980	0.6968646	0.7020134	0.1196339	0.2967485	0.3033460	0.4664606	0.7164274	0.2524493	0.6294421	0.3826229
350	0.2314772	0.3498753	0.2574856	0.6379824	0.6365642	0.4891292	0.0261088	0.0867027	0.4699203	0.6076967	0.2994697	0.7093858	0.5564981	0.6017016	0.0428204	0.2162423	0.1420498	0.0052702	0.4705579	0.6437166	0.4964814	0.6545153	0.3467686	0.0576765	0.6596394	0.5146483	0.0473857	0.7406333	0.0981351	0.1215578	0.4011293	0.5721204	0.2967522	0.3317400	0.3201849	0.3665131	0.1547413	0.2122488	0.6961239	0.3940863	0.4308870	0.7936032	0.2933826	0.6347933	0.5615352	0.2056151	0.1309001	0.5593379	0.2099554	0.2799397	0.3108597	0.0336558	0.5261516	0.0614652	0.5250663	0.7600740	0.7260590	0.1658558	0.2839016	0.3667878	0.3991188	0.7288361	0.2180896	0.7240530	0.3014783
400	0.1889472	0.3592967	0.2509985	0.4783044	0.6624225	0.2254574	0.0353897	0.0648063	0.5880457	0.7009931	0.3219986	0.6585540	0.7564056	0.7404982	0.0385165	0.1526006	0.2246968	0.0090169	0.4306011	0.7203504	0.6516061	0.6469136	0.4016213	0.0666259	0.6333120	0.5527498	0.0741199	0.6332419	0.1340879	0.1733771	0.5281162	0.6436441	0.3336000	0.3009896	0.3937370	0.5507297	0.1572132	0.0812747	0.5924816	0.5239514	0.3246226	0.8401206	0.3696053	0.6961999	0.6726161	0.1686419	0.0508356	0.6083148	0.2877753	0.1686331	0.2583041	0.0508335	0.5310515	0.1034566	0.6391756	0.7573865	0.5915158	0.1097366	0.2984268	0.3857394	0.4491599	0.6101351	0.3151611	0.6719702	0.3039341
