"Time"	G1	G2	G20	G10	G4	G17	G16	G9	G18	G94	G11	G98	G7	G6	G46	G100	G36	G37	G38	G34	G3	G56	G35	G5	G19	G14	G13	G12	G15	G39	G41	G50	G51	G53	G52	G55	G21	G22	G42	G44	G49	G40	G45	G54	G47	G72	G67	G57	G43	G48	G61	G8	G95	G60	G58	G99	G59	G79	G81	G83	G82	G84	G89	G80	G88	G90	G91	G86	G85	G78	G77	G75	G93	G92	G69

0	0.3347926	0.1286335	0.6891066	0.1818431	0.4029553	0.4467052	0.3880755	0.5441608	0.2520575	0.8363444	0.1882257	0.6200146	0.0047110	0.3210909	0.0107784	0.8126709	0.0014142	0.0036546	0.6699892	0.7775013	0.0284754	0.5154360	0.3438237	0.5638402	0.4543573	0.2050594	0.6985524	0.1369275	0.2179628	0.4980846	0.6327194	0.0896070	0.1476228	0.3987359	0.2181970	0.4626735	0.5631336	0.5142565	0.3347571	0.5210062	0.6489327	0.2919032	0.4810680	0.0442952	0.5679160	0.6779497	0.4312670	0.5019342	0.0123913	0.6389292	0.5969856	0.0045584	0.4909683	0.0207462	0.6725732	0.5999441	0.6679190	0.6556815	0.4501013	0.0743255	0.0152309	0.0579623	0.0258504	0.0195390	0.0631841	0.7438669	0.2150657	0.6919864	0.1278512	0.0321257	0.4484437	0.2806772	0.0764870	0.3160073	0.3615326
50	0.3201992	0.1399311	0.6794396	0.0879336	0.4456474	0.6074029	0.3021427	0.4181578	0.1707259	0.6430670	0.0510185	0.6237393	0.0141310	0.4019245	0.0008470	0.7063610	0.0029655	0.0053602	0.6386091	0.8044211	0.0206487	0.6395523	0.3445866	0.2264420	0.4979069	0.2585756	0.6781959	0.1819337	0.2162247	0.4355036	0.1915077	0.1199571	0.0919727	0.4556167	0.1360637	0.4909982	0.6708707	0.5945084	0.3657409	0.4904757	0.7256250	0.2214744	0.5957748	0.1241198	0.7028237	0.2307792	0.3952190	0.5090150	0.0049812	0.3632542	0.7784500	0.2627118	0.4696282	0.0217286	0.7829576	0.5930601	0.5889904	0.7441877	0.5200315	0.1060424	0.0766819	0.0360344	0.4321121	0.0012511	0.4446281	0.3147929	0.3771713	0.6220132	0.1647191	0.0203499	0.4383358	0.3694984	0.0782960	0.3487130	0.3121572
100	0.3116660	0.1371858	0.6651506	0.2156236	0.4239244	0.5304837	0.3546936	0.3470145	0.2020812	0.6688796	0.0292075	0.5943101	0.0199863	0.4389046	0.0017363	0.7402122	0.0120594	0.0106521	0.7664811	0.5784097	0.0123238	0.5895823	0.3225167	0.3427294	0.4083421	0.1557542	0.5806027	0.1939723	0.1075365	0.4013787	0.1543583	0.1998156	0.0968246	0.5008274	0.0814776	0.4128938	0.5913020	0.6517286	0.4157409	0.4031579	0.7034776	0.2429683	0.6735281	0.0521503	0.5031010	0.1389879	0.2732430	0.3646953	0.0135823	0.2679694	0.7631473	0.2335926	0.4563449	0.0280614	0.7586610	0.4052869	0.7958235	0.6425478	0.2685135	0.0709652	0.0790969	0.0290593	0.4276404	0.0005047	0.5434896	0.2537978	0.2679092	0.8378839	0.2126086	0.0289320	0.4063774	0.3771771	0.0623450	0.3954578	0.3779443
150	0.2795415	0.1658815	0.5970898	0.2028386	0.4708908	0.6004676	0.3459619	0.4762361	0.2049605	0.7188401	0.0110897	0.6944389	0.0120166	0.3374519	0.0002619	0.7454571	0.0168730	0.0055851	0.7698950	0.7510608	0.0610948	0.6413294	0.2933414	0.2882545	0.3421490	0.2027507	0.8165840	0.1657199	0.1575038	0.4589106	0.0998335	0.1477413	0.0863041	0.4307291	0.0811096	0.3908004	0.5794783	0.6538977	0.4526597	0.3629356	0.7515657	0.2574078	0.9158014	0.0376925	0.6281242	0.0379793	0.2116469	0.5577454	0.0594511	0.2752655	0.7382701	0.3830956	0.4123424	0.0309390	0.7407830	0.4350253	0.6309554	0.7281491	0.1651443	0.0677474	0.0619567	0.0296555	0.6176017	0.0020402	0.5179119	0.2177206	0.4163781	0.7278980	0.1603547	0.0241444	0.3269290	0.2882205	0.0368516	0.3932887	0.3132030
200	0.3251989	0.1681842	0.6418954	0.1314401	0.3316460	0.5823375	0.4408378	0.3714217	0.1551270	0.7835640	0.0241114	0.5823957	0.0208997	0.3929051	0.0000904	0.8130373	0.0037822	0.0250240	0.7145755	0.7575342	0.0263077	0.7592646	0.2486329	0.3492399	0.3725359	0.2685487	0.8995493	0.1739692	0.1949869	0.5700215	0.1793645	0.1579077	0.0718073	0.4214402	0.0619354	0.5009221	0.5421391	0.7071873	0.4083989	0.3745206	0.5736420	0.2402508	0.7119472	0.0663385	0.5781596	0.0100199	0.1658336	0.5314552	0.0342739	0.2150576	0.6462543	0.2255460	0.5084019	0.0148285	0.7549617	0.4860512	0.6237844	0.7210848	0.1139141	0.0894400	0.0454467	0.0219812	0.6042029	0.0004841	0.5979383	0.1603585	0.3505586	0.8084666	0.2462911	0.0338631	0.5385929	0.3561002	0.0573302	0.3548903	0.3181107
250	0.3542535	0.2042230	0.6201244	0.1380086	0.3613171	0.6119043	0.3977370	0.4671036	0.2049166	0.6930463	0.0139478	0.6141009	0.0182961	0.4065819	0.0006518	0.7641656	0.0166535	0.0252086	0.5990289	0.6989542	0.0308935	0.6690008	0.2855085	0.4004660	0.4178570	0.2077512	0.6975875	0.2021130	0.1642761	0.4899128	0.1441702	0.1007752	0.1157003	0.4054244	0.0759663	0.4612554	0.5016470	0.7136481	0.3916366	0.4574952	0.7532744	0.2376651	0.5658513	0.0569072	0.8639130	0.0069697	0.1546258	0.5061348	0.0057445	0.2356539	0.7071593	0.3649983	0.4887036	0.0144095	0.8132295	0.5385141	0.7241325	0.8119378	0.0692797	0.0590375	0.0501205	0.0529808	0.6018253	0.0004130	0.5085101	0.2044413	0.2897184	0.7573677	0.1662005	0.0173335	0.4413037	0.3611164	0.0568972	0.4011470	0.3916516
300	0.3349922	0.2370468	0.6561138	0.1789272	0.4402000	0.4671514	0.4899015	0.4445053	0.2522201	0.7702468	0.0207793	0.5764847	0.0086018	0.5002025	0.0010136	0.6620887	0.0040247	0.0086381	0.7089078	0.6755404	0.0112091	0.6232758	0.2927218	0.4064958	0.3621089	0.1622828	0.6460322	0.1741223	0.1877395	0.4899075	0.1539781	0.0872683	0.0989828	0.4888052	0.0969849	0.4771090	0.4848422	0.6705205	0.3909492	0.3924818	0.6855311	0.3239791	0.7922212	0.0586693	0.6310137	0.0002371	0.1477713	0.5348923	0.0066543	0.2667053	0.7593594	0.2980212	0.4057577	0.0206593	0.7298836	0.4164076	0.6862261	0.6775526	0.0554484	0.0992225	0.0596790	0.0531320	0.5287897	0.0062668	0.5030586	0.2687885	0.3060098	0.6868588	0.1860021	0.0297721	0.3999171	0.2590149	0.0650232	0.3614562	0.2915437
350	0.3122949	0.2095667	0.7625874	0.1714410	0.4088345	0.4716405	0.4317407	0.3569817	0.1528150	0.6635622	0.0177004	0.7323772	0.0093971	0.4465704	0.0000000	0.7103084	0.0012949	0.0074467	0.6070554	0.6392120	0.0263420	0.6219810	0.2980012	0.3800742	0.4524328	0.1621723	0.5387571	0.1871744	0.1796766	0.5607268	0.1664755	0.1097825	0.0561916	0.3564850	0.1292975	0.3643762	0.4692298	0.7245641	0.4856214	0.5193447	0.7001254	0.3493094	0.6819327	0.0899228	0.5967568	0.0018517	0.2533736	0.3643915	0.0296146	0.1847566	0.7661257	0.3268971	0.4263979	0.0260203	0.7117010	0.4409048	0.6514276	0.7457072	0.1190878	0.0997729	0.0699389	0.0616511	0.6099198	0.0000024	0.5691826	0.1938881	0.3091329	0.5431529	0.1821735	0.0250414	0.4146921	0.3117807	0.0381612	0.5155263	0.3518403
400	0.3453391	0.3014322	0.8010370	0.1620430	0.3975464	0.5191479	0.3437505	0.4326988	0.2011000	0.6829650	0.0130084	0.6994498	0.0057425	0.3995526	0.0003195	0.7950390	0.0010584	0.0093151	0.7774303	0.6643952	0.0214311	0.6017653	0.2747432	0.4245870	0.4154538	0.1809726	0.6091420	0.1627967	0.2008180	0.5549436	0.1694341	0.0619549	0.0909260	0.4588002	0.1342260	0.4933895	0.5493512	0.6975436	0.3906048	0.6066232	0.7063639	0.2437026	0.6688540	0.0541241	0.7309648	0.0006176	0.1792733	0.5500399	0.0117686	0.3344384	0.6764217	0.3147182	0.5076100	0.0217564	0.6182326	0.4336030	0.7695165	0.7372966	0.0347114	0.0874429	0.1195497	0.0148392	0.6420357	0.0017530	0.4766965	0.1695681	0.3373608	0.6434808	0.1493366	0.0187915	0.4370089	0.2531082	0.0452540	0.4320531	0.3390904
