"Time"	G1	G20	G10	G2	G17	G4	G16	G18	G94	G8	G95	G98	G7	G6	G46	G100	G36	G37	G38	G34	G3	G35	G11	G56	G5	G19	G15	G14	G12	G39	G49	G44	G22	G21	G41	G50	G13	G51	G53	G52	G55	G42	G40	G45	G54	G43	G57	G72	G67	G48	G9	G61	G47	G60	G59	G99	G58	G80	G89	G88	G81	G83	G82	G79	G84	G78	G77	G86	G91	G90	G85	G75	G93	G69	G92	G87	G68	G96	G97	G63	G27	G26	G25	G23	G24	G62	G76	G31	G30	G70	G74	G71	G29	G73	G28

0	0.2610361	0.0336375	0.2478105	0.1742997	0.2322659	0.5053291	0.4935856	0.5693171	0.6142220	0.2895227	0.6772258	0.5962891	0.0177092	0.2894626	0.2775817	0.6287484	0.5934607	0.3634006	0.3836289	0.8177352	0.3932474	0.0900535	0.0677528	0.5966864	0.2319499	0.3011670	0.1664685	0.1996842	0.5196903	0.0071418	0.7395932	0.5093081	0.5532532	0.3741937	0.3279200	0.6743462	0.7266087	0.1297560	0.3046987	0.0190781	0.2496104	0.3530642	0.2738674	0.5631439	0.6059360	0.7220416	0.3477406	0.5136672	0.5728510	0.2716157	0.8235404	0.6426493	0.3546324	0.0967609	0.1418517	0.5127432	0.1458109	0.0204136	0.3195297	0.0216589	0.0866458	0.5648654	0.3333369	0.6166802	0.1105047	0.5231873	0.0579978	0.6703463	0.0001724	0.3802408	0.0858957	0.7978120	0.2390178	0.5281705	0.4401792	0.7859417	0.0471208	0.7339320	0.6850113	0.4703879	0.4728637	0.1785635	0.7025196	0.7432212	0.7849572	0.4096545	0.4552221	0.4803996	0.6100534	0.4047378	0.1512947	0.1607312	0.5541864	0.1392688	0.7545862
50	0.5429670	0.3063981	0.2373436	0.0580022	0.1752825	0.4362076	0.2108731	0.7022143	0.3218894	0.6819241	0.6550263	0.5962624	0.0134388	0.2610402	0.3842303	0.7435074	0.6210262	0.4125661	0.5767875	0.6530651	0.5042583	0.0401940	0.0565861	0.3022337	0.0927493	0.3341534	0.1305038	0.1649664	0.5188142	0.2477536	0.5194776	0.4881435	0.6439698	0.0995901	0.4894994	0.7670331	0.5365096	0.1654271	0.3366194	0.0180601	0.2704670	0.2996392	0.3125135	0.5290767	0.6619825	0.6849193	0.3679330	0.4615474	0.4908646	0.3982650	0.5430477	0.7010058	0.3205160	0.4032508	0.0936783	0.5214790	0.1891000	0.0085430	0.3966975	0.0098909	0.0661298	0.3454657	0.3158068	0.6155365	0.0895803	0.2334927	0.0507012	0.6085221	0.0011479	0.1398249	0.0792653	0.8549768	0.4520670	0.5708866	0.6220629	0.6604613	0.0280452	0.6555910	0.6763270	0.4988039	0.1123261	0.1360170	0.6836786	0.5290754	0.5334061	0.3589542	0.4321244	0.3754930	0.5323414	0.3753429	0.1506202	0.1735696	0.5932175	0.0859413	0.7448658
100	0.6535738	0.3388521	0.1181939	0.0077434	0.1798821	0.3539502	0.1484431	0.5331334	0.1999624	0.5861480	0.6224624	0.7171009	0.0345354	0.3128350	0.2746963	0.6679854	0.7286229	0.3717275	0.6673518	0.6748190	0.5064857	0.0624177	0.1094534	0.1876065	0.0772319	0.4512442	0.0727641	0.3604442	0.5023803	0.1979735	0.7081892	0.3514924	0.5837104	0.0354015	0.6561650	0.7127936	0.6272912	0.1163745	0.3493811	0.0159580	0.2463146	0.2773120	0.3066211	0.2783361	0.4320211	0.7559071	0.3874734	0.3374954	0.2678666	0.3690577	0.4561139	0.4664341	0.3026038	0.6556914	0.0654796	0.4341280	0.0866537	0.0148983	0.4433446	0.0099549	0.0575703	0.4103900	0.3828654	0.8460790	0.1214058	0.0626404	0.0396461	0.8265817	0.0033435	0.0534946	0.1132665	0.7432494	0.5203554	0.5692853	0.6350178	0.6643088	0.0369144	0.7039404	0.8618510	0.6052515	0.0363654	0.1407916	0.7574635	0.5268964	0.4885373	0.3135411	0.4065523	0.5477992	0.4294594	0.2535383	0.0799770	0.1036820	0.7128055	0.1100360	0.7178415
150	0.6608292	0.4760998	0.1626736	0.0026851	0.1169083	0.3399264	0.1110755	0.4548544	0.1660689	0.5796046	0.5498700	0.5533989	0.0433243	0.2125015	0.3461499	0.6309323	0.6776836	0.4455760	0.6591458	0.8164210	0.6691632	0.0414704	0.3750821	0.1739083	0.0712832	0.5436517	0.1023795	0.3921031	0.6065721	0.2369275	0.7921696	0.3474869	0.5354774	0.0215213	0.5481755	0.6594026	0.6060692	0.1501068	0.3080138	0.0318041	0.1089919	0.3436567	0.3155921	0.1432759	0.4364988	0.7750424	0.3276343	0.2266022	0.2798581	0.4017841	0.2314679	0.5096013	0.2454596	0.6377194	0.0362925	0.4203524	0.0567452	0.0025707	0.4277825	0.0088719	0.0762883	0.3949793	0.3851124	0.7765717	0.1109985	0.0743647	0.0759330	0.7546815	0.0599476	0.0399869	0.2201461	0.8239595	0.5464133	0.7080968	0.7330522	0.7047769	0.0219896	0.7573879	0.6200760	0.5275866	0.0363232	0.1386169	0.6586782	0.5171083	0.5108824	0.3326493	0.4083898	0.6212171	0.3286109	0.2039233	0.0903252	0.1254105	0.7547357	0.0591748	0.6740779
200	0.6128341	0.5901439	0.1178207	0.0058360	0.0927034	0.3804459	0.0677988	0.5068009	0.1962234	0.6524386	0.3986866	0.8105806	0.0635088	0.2909614	0.3380454	0.6953625	0.6226989	0.3589180	0.6534387	0.8062596	0.7663335	0.0707710	0.6001170	0.1160431	0.0384818	0.5767220	0.0726448	0.4367947	0.6454460	0.2537385	0.6569074	0.4259346	0.4740537	0.0515187	0.5599044	0.6801042	0.5436220	0.1230897	0.3027743	0.0042361	0.0644203	0.2765202	0.3221351	0.1015023	0.3647173	0.8068223	0.4659419	0.2672033	0.2206170	0.3164096	0.1518454	0.6531834	0.3146222	0.4458204	0.0741922	0.3404597	0.0278043	0.0088624	0.4100729	0.0189621	0.0362426	0.4773070	0.3663880	0.7182758	0.0812153	0.0468919	0.1348196	0.7531302	0.1016275	0.0303571	0.1362174	0.7768890	0.5444510	0.5172412	0.6579619	0.7296496	0.0419303	0.9270383	0.7579275	0.5623981	0.0667586	0.1850968	0.7626290	0.4351446	0.4669047	0.4897691	0.4625567	0.8056601	0.2717777	0.2650986	0.1030430	0.1435987	0.6209708	0.0756486	0.6516159
250	0.6664443	0.6169150	0.1111686	0.0003925	0.1545865	0.3086439	0.0496206	0.4237025	0.1871792	0.6328935	0.2521105	0.8074961	0.1269187	0.2637065	0.3844997	0.7500480	0.6843314	0.4659110	0.6484963	0.7139014	0.8129980	0.0288055	0.7943658	0.1383427	0.0293189	0.5268319	0.1487482	0.3675282	0.7122810	0.2599837	0.6831671	0.3292991	0.2150361	0.0246837	0.5223034	0.7611878	0.6053187	0.0783843	0.2594947	0.0056477	0.0262783	0.3336310	0.2904217	0.0571847	0.4564765	0.6260390	0.3374714	0.2897731	0.2876175	0.3560793	0.1791211	0.6513287	0.1864102	0.6864461	0.0299483	0.4052427	0.0281586	0.0086333	0.3114643	0.0221665	0.0958412	0.3361538	0.3107624	0.7206951	0.1063841	0.0536771	0.2990955	0.6242080	0.0917165	0.0197119	0.1169713	0.7121012	0.4773945	0.6932272	0.7349728	0.6720050	0.0387717	0.8566866	0.5722322	0.5444258	0.1011851	0.3014940	0.8138632	0.4193321	0.5849500	0.4070952	0.4996111	0.7367583	0.3235104	0.2095346	0.1016997	0.1174587	0.5366896	0.0724418	0.7416668
300	0.4948999	0.4222299	0.1538196	0.0240072	0.1045505	0.3805623	0.0739857	0.4117898	0.1422743	0.5710610	0.2278780	0.6568635	0.1575975	0.3460954	0.3760286	0.7724866	0.7279335	0.5014111	0.6434896	0.7771197	0.7989988	0.0304286	0.7235155	0.1296391	0.0401402	0.6826883	0.2174821	0.4036196	0.7274502	0.2340563	0.6753262	0.3887824	0.1814214	0.0281224	0.5644539	0.7043893	0.5687054	0.0645144	0.3774011	0.0148017	0.0051053	0.2612579	0.3356504	0.0875051	0.4460421	0.7859696	0.3293444	0.2189840	0.2140507	0.3139194	0.1424756	0.5844467	0.1744468	0.6033957	0.0258959	0.2879924	0.0278979	0.0391299	0.3843617	0.0132015	0.1001224	0.4847405	0.3565846	0.7477087	0.1091566	0.0760064	0.3107041	0.5820886	0.3119745	0.0074199	0.0753867	0.6762784	0.4878327	0.5200437	0.7092793	0.6738714	0.0317554	0.6500270	0.8061267	0.5745972	0.2125819	0.2607018	0.8404315	0.3796316	0.4082195	0.4046672	0.4270003	0.7088605	0.4164629	0.1957623	0.1145976	0.1845664	0.6502169	0.0588203	0.7160934
350	0.5073936	0.5384535	0.0866251	0.0090104	0.1238242	0.3258649	0.0327582	0.3961079	0.1963584	0.6328472	0.2483694	0.7248163	0.1482488	0.3335224	0.4252612	0.6746715	0.6461893	0.4949052	0.6531719	0.7574430	0.6452317	0.0422291	0.7406193	0.1345089	0.0222392	0.6473912	0.1832370	0.4619863	0.6473139	0.2827502	0.7269244	0.3733200	0.1906837	0.0307243	0.5420086	0.6551173	0.7565878	0.1439875	0.3100482	0.0403703	0.0047663	0.3348574	0.2532866	0.0997941	0.4531059	0.7929995	0.3100559	0.2742895	0.2167048	0.2396569	0.1821574	0.4868932	0.1495862	0.6961325	0.0392365	0.3609513	0.0429998	0.0073266	0.2966969	0.0235968	0.0604160	0.6072998	0.3830404	0.7073574	0.1214551	0.0356949	0.2171812	0.6845402	0.3146602	0.0038478	0.1190330	0.7010031	0.5049951	0.5098850	0.8692618	0.6591294	0.0519524	0.6462474	0.7407353	0.5760454	0.2610474	0.3972856	0.7965327	0.4529988	0.4794539	0.2838462	0.4469071	0.5984935	0.3890365	0.2573079	0.0667301	0.1551056	0.7155454	0.0721087	0.7608625
400	0.6525511	0.5805937	0.1414249	0.0065156	0.1816546	0.2882303	0.0705388	0.5188850	0.1954510	0.6327198	0.3896314	0.7105463	0.1417404	0.3481129	0.3345200	0.6652401	0.7164585	0.5619874	0.6828089	0.8062894	0.6848311	0.0238020	0.7464393	0.1121867	0.0504561	0.6203031	0.2472795	0.4683572	0.6487434	0.2335767	0.6101594	0.4243249	0.2320828	0.0225377	0.7624349	0.7290782	0.7595843	0.1498497	0.3267387	0.0219772	0.0039968	0.2341634	0.2678611	0.0829296	0.4679509	0.8586743	0.4106638	0.2363833	0.2360116	0.2984796	0.1972946	0.6425422	0.2064089	0.5971831	0.0591520	0.3520567	0.0095665	0.0062388	0.3400182	0.0255274	0.0832898	0.4426708	0.3600077	0.6760403	0.1389052	0.0251467	0.2826683	0.7856783	0.3824564	0.0145229	0.1525668	0.6298334	0.5111981	0.5131239	0.8208543	0.8694163	0.0400646	0.7110408	0.5765347	0.6838189	0.1142546	0.3311959	0.6292219	0.5435313	0.4455527	0.3635182	0.4894289	0.6622028	0.3500046	0.1871493	0.0654485	0.1825263	0.7285309	0.0877710	0.6993694
