"Time"	G1	G2	G10	G20	G4	G17	G16	G9	G11	G18	G94	G56	G3	G5	G19	G13	G12	G14	G15	G50	G41	G51	G53	G52	G42	G55	G21	G22	G54	G40	G49	G44	G35	G39	G45	G48	G95	G61	G47	G98	G43	G8	G72	G67	G57	G79	G60	G82	G88	G80	G84	G81	G83	G89	G85	G77	G78	G91	G90	G75	G86	G59	G58	G99	G92	G69	G93	G87	G68	G34

0	0.4173882	0.0002246	0.3435806	0.1263056	0.6836181	0.5850133	0.6246016	0.0973743	0.3151749	0.3928516	0.6036311	0.3593473	0.0054384	0.3554167	0.3087623	0.3449275	0.7630840	0.5001829	0.2778161	0.2520757	0.1944972	0.2783203	0.2683148	0.2889794	0.4757801	0.0368519	0.1761956	0.4993386	0.0210400	0.4167745	0.5169617	0.6592518	0.7086441	0.2907670	0.3597300	0.3118812	0.7658722	0.4755543	0.2933333	0.7700005	0.0208197	0.3559170	0.6729180	0.7797607	0.6159732	0.5621670	0.2042820	0.0130110	0.0043335	0.0056304	0.6856770	0.3254115	0.5325595	0.4034901	0.2248379	0.0384512	0.6513675	0.3764310	0.5349428	0.3415888	0.6664088	0.3028360	0.0115765	0.7025671	0.0260494	0.4569837	0.2928166	0.6126856	0.2733761	0.7482885
50	0.4387572	0.0023529	0.2812664	0.5317273	0.6280960	0.5212161	0.4004575	0.0619493	0.3188754	0.3510460	0.6125732	0.1945884	0.0031902	0.3302764	0.2030600	0.4336376	0.5805252	0.5129744	0.2275408	0.2244920	0.1908650	0.3200031	0.4282313	0.2986578	0.4942759	0.0337789	0.2757258	0.6485281	0.0130334	0.4015257	0.4628104	0.6337949	0.7206050	0.3142542	0.3308615	0.3346343	0.7485174	0.5022875	0.3883607	0.5770909	0.0061051	0.2780090	0.6495873	0.7867064	0.5020283	0.7725833	0.1752026	0.0076143	0.0013283	0.0066552	0.7741404	0.2899018	0.5864894	0.4135657	0.1283518	0.0437941	0.7639149	0.1861952	0.6250589	0.1463752	0.6046359	0.2765508	0.5483005	0.6359559	0.2832001	0.3354474	0.2496582	0.6271078	0.2533811	0.6955823
100	0.5888578	0.0064984	0.2116695	0.5770089	0.7319123	0.4525436	0.3204328	0.1101936	0.4923135	0.3454594	0.7444703	0.0759593	0.0099804	0.3553685	0.2908405	0.2831779	0.8380363	0.4117043	0.2770293	0.2406122	0.2202057	0.3658532	0.2808252	0.3859705	0.5840346	0.0322567	0.2394075	0.7089503	0.0041411	0.3541895	0.4362135	0.7493335	0.6033716	0.2845039	0.3351949	0.3579969	0.7765457	0.5302770	0.2746849	0.4742778	0.0027271	0.3698711	0.5979862	0.6989776	0.4825746	0.7557952	0.1975083	0.0054432	0.0014334	0.0067713	0.6769843	0.3159445	0.5216899	0.4991746	0.1455575	0.0349523	0.8067208	0.1454169	0.7108150	0.2252544	0.6713549	0.2498703	0.6189206	0.7310805	0.3971761	0.4146279	0.2172964	0.6819908	0.2958979	0.6628052
150	0.5336583	0.0011103	0.1767876	0.5279312	0.6786781	0.4350781	0.3309633	0.0754569	0.5686073	0.4490463	0.6657135	0.0183520	0.0620172	0.3376610	0.3582026	0.2871810	0.7152597	0.5640238	0.2896627	0.2163171	0.2003662	0.3806861	0.2665374	0.3049467	0.6360476	0.0166390	0.2320823	0.6475904	0.0003243	0.5126427	0.5591094	0.7042593	0.6173883	0.2375853	0.4586871	0.3632984	0.5951519	0.4978663	0.2858145	0.4200884	0.0034356	0.2610296	0.5437469	0.6745046	0.6161795	0.5962174	0.2500235	0.0013327	0.0013014	0.0028756	0.7003105	0.3672267	0.4483802	0.5350465	0.0706587	0.0424082	0.7911640	0.1696068	0.6331816	0.1254561	0.6947741	0.2555918	0.5353756	0.6787457	0.4222718	0.3469655	0.2941467	0.5723922	0.2944167	0.6240643
200	0.5418810	0.0003584	0.1763510	0.6217234	0.6664480	0.3581411	0.3036137	0.0346217	0.5086689	0.4932442	0.5441937	0.0399667	0.0962576	0.2721201	0.3258622	0.3002674	0.7128638	0.4177918	0.2793928	0.1651461	0.2764147	0.2302320	0.2942210	0.3932935	0.7089228	0.0201410	0.1899119	0.7015989	0.0000319	0.3952772	0.5383324	0.6603984	0.6647382	0.3266160	0.3316962	0.3795571	0.6934195	0.4754795	0.1906880	0.4654380	0.0101694	0.3077729	0.4890994	0.5911536	0.5145747	0.7382768	0.2151834	0.0008813	0.0007218	0.0038065	0.6420132	0.4334245	0.5287478	0.4561537	0.0456630	0.0331953	0.6196789	0.0679591	0.7294287	0.1670556	0.8005615	0.2275914	0.7164603	0.7465519	0.4256231	0.3018489	0.2208475	0.6729115	0.2758356	0.7652816
250	0.4974343	0.0000128	0.1798093	0.6663135	0.5649858	0.4133291	0.3656538	0.0384072	0.5112522	0.5101720	0.6698670	0.0188012	0.1304373	0.2297677	0.3144175	0.4177983	0.6623837	0.4379864	0.2840714	0.1792950	0.2384632	0.2904346	0.2392300	0.3790626	0.6617885	0.0408122	0.1711680	0.8210276	0.0000084	0.3553080	0.6005284	0.6455904	0.6918981	0.2372592	0.3071675	0.3989724	0.6382996	0.4164554	0.2051380	0.5010228	0.0045970	0.3032733	0.6918233	0.7199047	0.4912943	0.6942400	0.2549042	0.0042340	0.0001934	0.0198998	0.7136611	0.3579341	0.4563357	0.3325586	0.0635654	0.0191595	0.7040310	0.0843941	0.6707503	0.2045530	0.7462971	0.2762606	0.5334090	0.7043177	0.4402972	0.3268020	0.1649729	0.6474400	0.2396327	0.6729610
300	0.5288936	0.0079353	0.2074740	0.6555926	0.6511688	0.3897664	0.2552302	0.0832422	0.6539264	0.5476271	0.7437511	0.0326729	0.1567926	0.2817257	0.3449447	0.3493396	0.6758002	0.4289808	0.3495228	0.2458398	0.3158748	0.2309283	0.2724292	0.3509304	0.6620391	0.0517201	0.1389200	0.5845125	0.0003556	0.3730107	0.4823809	0.6488068	0.6630267	0.2758023	0.2026985	0.3100871	0.6010615	0.4878873	0.2842124	0.5481651	0.0051058	0.2710256	0.4884610	0.8240269	0.5352446	0.7131449	0.2477361	0.0024580	0.0105462	0.0212089	0.6239520	0.4878260	0.4789494	0.4417091	0.0445024	0.0208827	0.6640366	0.1156864	0.7475081	0.1300697	0.6494783	0.3072337	0.5678956	0.6646857	0.4715418	0.2697210	0.3622880	0.7006222	0.2595662	0.7290608
350	0.5049997	0.0007060	0.1855233	0.6262835	0.7290213	0.6133872	0.2445371	0.0312678	0.5463883	0.5439000	0.6641916	0.0142211	0.0737964	0.2071123	0.4019152	0.4099240	0.7610287	0.3224499	0.2956314	0.1543987	0.2539357	0.2350753	0.3423457	0.3733322	0.6558643	0.0410169	0.1467872	0.6913760	0.0000867	0.3793515	0.5058703	0.7590002	0.6461007	0.2557136	0.2928629	0.3261546	0.7170453	0.4156915	0.2315319	0.5997922	0.0092143	0.3432550	0.5789224	0.7131382	0.6233268	0.6491690	0.1702473	0.0048404	0.0088671	0.0025192	0.6500360	0.4304400	0.5268241	0.5325826	0.0854659	0.0382682	0.7754736	0.1494569	0.7333047	0.2065851	0.6713645	0.2677616	0.6251637	0.6830118	0.4815088	0.3850283	0.2845868	0.6938040	0.2397089	0.6657547
400	0.5057182	0.0000000	0.1375491	0.6334087	0.6487906	0.3889531	0.2450775	0.0655681	0.6110516	0.5253831	0.7297335	0.0096366	0.1504824	0.2330309	0.3523211	0.3673817	0.6351680	0.3791176	0.2594678	0.1769301	0.2742193	0.2484525	0.2667671	0.3981541	0.6218440	0.0255328	0.1183910	0.8098273	0.0001180	0.3377302	0.4202301	0.7735095	0.7842630	0.3426576	0.2559989	0.3530269	0.7262455	0.4320208	0.2249386	0.4035330	0.0064397	0.2568210	0.5258283	0.7754630	0.5738240	0.5949149	0.1389913	0.0116081	0.0012216	0.0078472	0.6405365	0.3229205	0.4821265	0.4519070	0.0596517	0.0225273	0.6159972	0.1351922	0.6148698	0.1757679	0.5708000	0.2483929	0.7290160	0.6950304	0.4403012	0.2805886	0.2632908	0.6929027	0.2675554	0.7822021
