"Time"	G1	G3	G5	G22	G4

0	0.5938726	0.5301490	0.1008038	0.8424491	0.7324451
50	0.5623146	0.3345003	0.1358886	0.6612405	0.6201713
100	0.3653957	0.3289019	0.1509273	0.7391540	0.5200644
150	0.3525833	0.2869323	0.1271613	0.7646227	0.5968028
200	0.2948233	0.1953365	0.1544551	0.7265421	0.5898159
250	0.3206977	0.1041516	0.1814548	0.6757080	0.3440113
300	0.3074454	0.1703987	0.1742770	0.7481204	0.4705529
350	0.3590713	0.1456861	0.2727566	0.7091485	0.3495225
400	0.3435834	0.1238560	0.1657419	0.6919505	0.3348330
450	0.3600092	0.0831799	0.1894939	0.8537528	0.3883569
500	0.3263890	0.1677578	0.1766551	0.7899302	0.4081326
550	0.5646660	0.1581916	0.1145227	0.6734111	0.5252639
600	0.7825530	0.3784093	0.1150674	0.6383644	0.5982755
650	0.7295080	0.3250938	0.1315282	0.7764610	0.5844729
700	0.6489641	0.3943340	0.1144211	0.7498796	0.5821564
750	0.6489654	0.3636965	0.1031309	0.7731236	0.7164748
800	0.7187720	0.3902871	0.1077617	0.7033663	0.6215967
850	0.7095667	0.3939780	0.1368640	0.7569983	0.7510135
900	0.7973116	0.4803977	0.0954190	0.7093528	0.6718566
950	0.6364578	0.4208137	0.1117137	0.7026318	0.7467505
1000	0.7233767	0.3641873	0.0955986	0.7079844	0.7061167

0	0.6963495	0.5407301	0.0747694	0.7560504	0.7464859
50	0.8210767	0.6477908	0.1100026	0.5631757	0.7692272
100	0.7149935	0.5933506	0.1513101	0.4696936	0.7566232
150	0.7830191	0.5997699	0.2205521	0.5076885	0.6256318
200	0.7579062	0.5398466	0.1190619	0.4859764	0.6444191
250	0.7142598	0.5994259	0.2243392	0.3986181	0.6957549
300	0.7368141	0.6091167	0.2461492	0.4738300	0.7397581
350	0.6113871	0.5674184	0.1558061	0.4406020	0.7397036
400	0.6792710	0.5231772	0.1747155	0.4308735	0.6497895
450	0.7076635	0.5708645	0.1939713	0.4332974	0.6310448
500	0.6111644	0.5000691	0.1846550	0.4416153	0.6875872
550	0.7304678	0.6108066	0.1313347	0.6667690	0.5982578
600	0.6652307	0.4871141	0.1232476	0.7121571	0.6256948
650	0.7609982	0.6065399	0.0566313	0.8309983	0.6724181
700	0.7979401	0.4238861	0.0785521	0.6608846	0.8289630
