"Time"	G1	G3	G5	G22	G4

0	0.8339680	0.4465731	0.1187945	0.7523512	0.7994347
50	0.6479960	0.6494514	0.0438816	0.7281105	0.7241124
100	0.5104701	0.5102357	0.0769058	0.7982984	0.6664192
150	0.7047542	0.4363597	0.0655912	0.7211773	0.7286265
200	0.5977331	0.3364015	0.0519655	0.8073300	0.6923045
250	0.7492081	0.4060974	0.0716975	0.6223962	0.7585377
300	0.4854073	0.4297914	0.0772036	0.6530498	0.6056350
350	0.5082163	0.3391212	0.0868381	0.7464561	0.7011923
400	0.6270813	0.4850258	0.0421400	0.7297528	0.6170832
450	0.6389195	0.4373086	0.0730990	0.6021059	0.6137992
500	0.5808471	0.3590464	0.0486143	0.7236530	0.6224537
550	0.7643689	0.4276317	0.0702988	0.7388558	0.5938583
600	0.8353583	0.3636279	0.0898861	0.8241419	0.5875987
650	0.7813499	0.4627882	0.0986326	0.7798612	0.6819409
700	0.8429778	0.4129260	0.1412557	0.7252177	0.7444064
750	0.7746471	0.4604281	0.1148556	0.6506439	0.6792230
800	0.7170243	0.4017706	0.1156844	0.7447411	0.7833425
850	0.6383285	0.4238039	0.1148350	0.7251466	0.6933144
900	0.6399602	0.4231572	0.1029659	0.7230717	0.7514429
950	0.7705198	0.5597993	0.0719202	0.6675720	0.6057003
1000	0.9489422	0.5295583	0.1093238	0.7143531	0.6707033

0	0.6596448	0.4488882	0.1296637	0.8235578	0.6515660
50	0.8602777	0.5300662	0.0371226	0.6976231	0.5561634
100	0.8949290	0.5674557	0.0113286	0.6144442	0.6879828
150	0.7929022	0.4731965	0.0115097	0.7517152	0.5774902
200	0.8660378	0.3839297	0.0132278	0.8056702	0.7234943
250	0.7489597	0.4506213	0.0276655	0.8221190	0.7414300
300	0.8501208	0.4695395	0.0167363	0.9174293	0.6901256
350	0.7147562	0.4606148	0.0039094	0.7376293	0.8399103
400	0.7491544	0.4408649	0.0091981	0.7952061	0.7528152
450	0.6196551	0.4389122	0.0387296	0.7680725	0.7034557
500	0.7205507	0.4031707	0.0347872	0.7726850	0.7225114
550	0.6937664	0.4165545	0.1158581	0.8284837	0.8167532
600	0.6243774	0.4636144	0.1344808	0.6762494	0.6860375
650	0.6628276	0.4834648	0.1711684	0.7246595	0.6909952
700	0.8404481	0.4883415	0.0953171	0.6769263	0.6085197
750	0.8333169	0.5442086	0.0878758	0.7190033	0.7404730
800	0.7609757	0.4614613	0.1377846	0.7354777	0.6925116
850	0.7704623	0.5074798	0.1456579	0.6895910	0.7164055
900	0.6845615	0.4652312	0.0951112	0.7407861	0.6784994
950	0.8501976	0.4814418	0.1737640	0.7521696	0.6497580
1000	0.7988013	0.5273496	0.1567081	0.6424393	0.5910633

0	0.6581339	0.4824613	0.0876842	0.7664778	0.6987603
50	0.5339022	0.5366205	0.1011574	0.7092801	0.6736735
100	0.5363645	0.3740830	0.1264827	0.7043074	0.7295047
150	0.4283086	0.3300233	0.2293229	0.6958265	0.7422069
200	0.5224399	0.3403745	0.1782683	0.7281237	0.7879717
250	0.4767452	0.3155791	0.1467259	0.6266612	0.8770703
300	0.5081800	0.2623099	0.1698644	0.6747111	0.7135698
350	0.3917248	0.2623586	0.1841746	0.7228210	0.8049137
400	0.4787430	0.3381734	0.1907174	0.7801301	0.6989821
450	0.4213666	0.2242555	0.1823172	0.7684062	0.6607338
500	0.3806834	0.2467845	0.1446099	0.7673703	0.7321677
550	0.6409808	0.2836635	0.1566962	0.8029352	0.7233778
600	0.6889433	0.3447259	0.1269440	0.7006730	0.6463995
650	0.7080226	0.4159664	0.1623908	0.7769526	0.7311936
700	0.7025332	0.3540850	0.1524454	0.6891243	0.6979716
750	0.7301267	0.4097714	0.1487350	0.8340720	0.6898433
800	0.6852010	0.3715801	0.1566352	0.7164051	0.7374638
850	0.9524250	0.4124769	0.1054011	0.7470882	0.6499621
900	0.8142917	0.3610736	0.0956102	0.7785554	0.7237565
950	0.6599826	0.4574317	0.0910217	0.6908541	0.7368046
1000	0.7946389	0.4773514	0.1619690	0.8207505	0.6471480

0	0.7760334	0.3775615	0.1266332	0.7261604	0.8452889
50	0.8213540	0.4865106	0.1197891	0.7689603	0.8176873
100	0.6980639	0.4856597	0.1752070	0.6657347	0.6305829
150	0.7049070	0.5174348	0.1012435	0.6749623	0.6472215
200	0.7579697	0.4918894	0.1566777	0.6535447	0.7730874
250	0.7694011	0.4642159	0.1273983	0.7652101	0.7770466
300	0.7218614	0.4969651	0.1572568	0.6375293	0.5992465
350	0.5488916	0.4889818	0.1388376	0.7737631	0.7634737
400	0.6881559	0.4046569	0.1735682	0.8341004	0.6999516
450	0.7618264	0.4750394	0.0894915	0.7541382	0.7367333
500	0.6630508	0.4927880	0.1199875	0.7812383	0.6857567
550	0.8772972	0.5634495	0.1002734	0.7776204	0.6609071
600	0.7454492	0.4301650	0.1045539	0.7983949	0.7426418
650	0.7213766	0.4357564	0.1875021	0.7573191	0.6857576
700	0.6420803	0.4753411	0.1114992	0.6413830	0.6903555
750	0.6133872	0.4134789	0.1140782	0.7961785	0.6966727
800	0.6572672	0.4797739	0.1128277	0.7657191	0.9673182
850	0.7883642	0.3996299	0.1150186	0.6594789	0.7293216
900	1.0000000	0.5073532	0.0629697	0.6977482	0.7140030
950	0.9230384	0.3741734	0.0893654	0.7480115	0.8476079
1000	0.6608964	0.3368390	0.1345050	0.6812486	0.7934067

0	0.7836134	0.4665451	0.1163272	0.7650855	0.6769938
50	0.6296827	0.4378964	0.1133659	0.7747061	0.8002499
100	0.8098240	0.4867727	0.1561000	0.6581870	0.6362001
150	0.7117309	0.4089696	0.1292854	0.7688800	0.6455293
200	0.7976423	0.4449136	0.1243268	0.6874411	0.6509958
250	0.6692202	0.5433991	0.0624958	0.7649504	0.7400718
300	0.6897566	0.5556062	0.1173560	0.5936823	0.6327311
350	0.7602707	0.4123670	0.1189188	0.8098753	0.7923680
400	0.7761895	0.5222771	0.1059447	0.9208352	0.7205862
450	0.5557331	0.5001052	0.1492920	0.7213151	0.8161241
500	0.8160936	0.4625943	0.0968541	0.6603400	0.5849224
550	0.5759393	0.5365768	0.1574935	0.6906400	0.8082575
600	0.7576383	0.4698952	0.1646235	0.7213848	0.6947932
650	0.9417907	0.5023381	0.1301772	0.7487572	0.6913101
700	0.7616393	0.5357663	0.1253259	0.6413269	0.7779227
750	0.8750945	0.4428155	0.0961087	0.7892035	0.7401713
800	0.6961002	0.6124421	0.1449142	0.8027961	0.8206400
850	0.6274271	0.3934041	0.0987833	0.7958576	0.7473329
900	0.7215296	0.4197050	0.0857843	0.7300390	0.7280981
950	0.7813123	0.4314129	0.1504651	0.8037614	0.6583247
1000	0.7686044	0.4974154	0.1289102	0.7288318	0.6648672

0	0.7482698	0.3528584	0.1331212	0.7024046	0.7467849
50	0.6560864	0.3944144	0.0476117	0.3799612	0.6616720
100	0.6155222	0.4349741	0.0270258	0.1860403	0.7122749
150	0.6275622	0.4467184	0.0581694	0.1962068	0.7278044
200	0.6074810	0.3619855	0.0940170	0.1687061	0.7071389
250	0.5725628	0.4236897	0.0554469	0.1738240	0.7116004
300	0.5817248	0.3639041	0.1022427	0.1259653	0.5797141
350	0.6435035	0.4114295	0.0464107	0.1187253	0.6979676
400	0.6051165	0.3143247	0.0473525	0.1418658	0.7501606
450	0.4985395	0.4557397	0.0397050	0.1675575	0.8030727
500	0.5847853	0.4389847	0.0722901	0.2384101	0.6181934
550	0.7113499	0.4335114	0.2603410	0.4621087	0.8227864
600	0.8007713	0.4191890	0.2152269	0.6699815	0.6876609
650	0.8481849	0.4682869	0.1422907	0.7386572	0.6795867
700	0.7618161	0.4080365	0.1444475	0.6082402	0.6544930
750	0.7962917	0.4459105	0.1174246	0.6661231	0.7623230
800	0.7320979	0.4311159	0.1083780	0.6292207	0.8474486
850	0.8764687	0.5288844	0.1125243	0.8895702	0.6079748
900	0.8373698	0.4868957	0.1206341	0.8648966	0.7133034
950	0.7245632	0.5023804	0.0848944	0.7142158	0.8061326
1000	0.7154592	0.5855835	0.0977960	0.6519922	0.6936093

0	0.7122652	0.4335451	0.1432132	0.7265738	0.6599658
50	0.7317232	0.5775548	0.1099541	0.6585314	0.6649498
100	0.7951724	0.5624502	0.0616139	0.6227490	0.6506051
150	0.7269452	0.5805965	0.0580552	0.7104430	0.6123400
200	0.5986576	0.5692129	0.0559047	0.7014978	0.6659928
250	0.6798196	0.5490828	0.0664619	0.6982256	0.7096388
300	0.7371450	0.5709775	0.0564650	0.7685355	0.8756486
350	0.8409102	0.6350218	0.0606175	0.7301963	0.7149194
400	0.8077016	0.7075255	0.0260861	0.7382561	0.7055613
450	0.7648742	0.5312539	0.0576266	0.8300750	0.6189562
500	0.7491808	0.5633704	0.0649193	0.6893445	0.7155659
550	0.6499255	0.4279734	0.0820301	0.7414437	0.6533890
600	0.8539269	0.4840209	0.1168679	0.7527638	0.7881581
650	0.7469010	0.4773792	0.1471267	0.7250445	0.6167696
700	0.8380704	0.4645472	0.1098880	0.7874104	0.7075674
750	0.8439868	0.5281710	0.0936453	0.8577801	0.8022217
800	0.7946275	0.4714496	0.1124916	0.8461650	0.6226663
850	0.7128816	0.4997285	0.0992837	0.7365496	0.6392719
900	0.6791844	0.3996800	0.1108833	0.7771482	0.7098444
950	0.6262479	0.4706380	0.1237806	0.6844902	0.7269362
1000	0.7691189	0.4371572	0.1550382	0.7286534	0.7417924

0	0.6635770	0.5422153	0.0913541	0.6957103	0.6954067
50	0.7283608	0.3529192	0.1544423	0.7345867	0.7741634
100	0.7956289	0.3769024	0.1189004	0.7021762	0.6877744
150	0.8259643	0.3765159	0.1394453	0.7325370	0.7259073
200	0.6592439	0.5243228	0.1031450	0.6760665	0.7728928
250	0.6682564	0.4179912	0.1313193	0.8038516	0.6414536
300	0.7375699	0.4407367	0.1012627	0.7444384	0.5766163
350	0.8429309	0.4671027	0.1327175	0.7561243	0.7007469
400	0.7680118	0.4157825	0.0920105	0.7366365	0.6750487
450	0.6871060	0.3666507	0.1303036	0.6753924	0.5349143
500	0.7540173	0.3297600	0.0926977	0.7014962	0.6286345
550	0.5984199	0.3681113	0.1229053	0.7747346	0.6653093
600	0.6897267	0.5345884	0.1207904	0.8232983	0.7694592
650	0.6513020	0.4369556	0.0945461	0.8171683	0.6476509
700	0.7971157	0.4954280	0.1819386	0.7419592	0.8319954
750	0.7850521	0.4899595	0.0888342	0.6708210	0.9216970
800	0.8730407	0.3656094	0.0776028	0.6324351	0.7903670
850	0.7722601	0.4341587	0.1402134	0.6546013	0.6382434
900	0.6650260	0.5654053	0.1419505	0.7296324	0.8457087
950	0.8063797	0.4602747	0.1622878	0.7148012	0.7313602
1000	0.8445296	0.4971636	0.1536350	0.7613519	0.5803249

0	0.6928961	0.5116537	0.1198706	0.7685884	0.8067529
50	0.8209641	0.4457382	0.0341155	0.5938021	0.6911668
100	0.7599660	0.5317590	0.0347045	0.7590523	0.6623732
150	0.7570207	0.4788375	0.0478728	0.6760568	0.7112288
200	0.7659696	0.5395863	0.0313173	0.8419232	0.6480416
250	0.8018640	0.4321578	0.0157927	0.7715658	0.6841046
300	0.6911390	0.3886936	0.0303673	0.6619295	0.6837537
350	0.6684490	0.5138054	0.0367693	0.7391239	0.6965737
400	0.8582965	0.5082290	0.0371459	0.8530878	0.7337213
450	0.7679429	0.4875103	0.0286718	0.7350747	0.8009526
500	0.7902717	0.4808081	0.0328642	0.8223663	0.7656879
550	0.7800133	0.5072562	0.0833000	0.8208282	0.7017995
600	0.7806624	0.4722254	0.1279851	0.6143248	0.7814036
650	0.7897917	0.5752088	0.1452637	0.7017850	0.7039078
700	0.8430160	0.6030456	0.1067438	0.6802382	0.6961484
750	0.7971923	0.5401620	0.1781296	0.7762439	0.7434648
800	0.6990682	0.4770579	0.0615435	0.7222460	0.7677666
850	0.7179686	0.5883728	0.1416111	0.6659129	0.7523238
900	0.7075451	0.4094089	0.1254213	0.6992878	0.7024730
950	0.6907626	0.4515816	0.1150366	0.6919913	0.6302516
1000	0.7042377	0.5127588	0.0936016	0.8102719	0.7094324

0	0.7167024	0.4572425	0.1129044	0.8565029	0.6862872
50	0.7767103	0.4430704	0.1221654	0.8681132	0.6829323
100	0.7557493	0.3722804	0.2043951	0.7613625	0.6661297
150	0.7390305	0.5261112	0.0851915	0.7396205	0.7228235
200	0.6754000	0.4060570	0.0921053	0.6939490	0.8737630
250	0.7594419	0.4435088	0.0946010	0.8394360	0.7728119
300	0.9000824	0.5237378	0.1304201	0.7692698	0.7099628
350	0.7809845	0.5172198	0.1071465	0.8235681	0.7107944
400	0.7118991	0.4036973	0.1376119	0.8346840	0.7843939
450	0.6360727	0.5070006	0.1106933	0.6325198	0.7595000
500	0.7840953	0.4932657	0.1294339	0.7573607	0.7693050
550	0.8469544	0.4769140	0.1383428	0.7272968	0.6718831
600	0.6868256	0.4053186	0.1073554	0.8986292	0.6499866
650	0.7878850	0.4625439	0.1069137	0.7940418	0.7468588
700	0.6514989	0.4513786	0.1649726	0.8120970	0.8749801
750	0.7964095	0.5191847	0.1384418	0.7192553	0.6597178
800	0.7036183	0.4956552	0.0692449	0.7467731	0.7254027
850	0.7654659	0.4407906	0.0763096	0.7318451	0.5622344
