"Time"	G1	G3	G5	G7	G8	G4	G83	G22	G6	G87	G85	G86	G54	G89	G88	G30	G29	G35	G99	G100	G32	G19	G18	G20	G81	G23	G80	G82	G51	G50	G58	G31	G78	G94	G93	G95	G91	G90	G17	G65	G16	G57	G52	G34	G55	G56	G33	G36	G37	G72

0	0.0964250	0.1537510	0.1290744	0.6741216	0.7350530	0.2813093	0.4740800	0.7926504	0.0515324	0.0020665	0.5504427	0.6503435	0.0897543	0.1044528	0.7694820	0.4487759	0.2850673	0.2504391	0.0376646	0.6877431	0.5449563	0.7450515	0.6619772	0.5371204	0.2741422	0.4049260	0.5812770	0.6591505	0.2158658	0.0457497	0.7872088	0.1958065	0.6412123	0.7788617	0.3782331	0.2243646	0.0133901	0.7691239	0.4108808	0.7128783	0.3574630	0.0739819	0.6122007	0.5947452	0.5136241	0.2499524	0.4965517	0.5660676	0.1083652	0.6479360
50	0.0738929	0.3483784	0.0506414	0.2871525	0.6388697	0.2788314	0.3370874	0.8275115	0.0125199	0.0007633	0.5380518	0.5143249	0.0792829	0.0874634	0.7236524	0.3380530	0.3331413	0.1657797	0.1241684	0.4801213	0.4222849	0.6667428	0.6005543	0.5100145	0.4115884	0.4395629	0.5591908	0.5774537	0.1934812	0.0242240	0.5185954	0.3389694	0.6385906	0.7647637	0.3830957	0.3437137	0.0106452	0.5101409	0.4625931	0.5464701	0.3434657	0.0628635	0.6208643	0.5020756	0.3623101	0.2464691	0.5020546	0.7342223	0.1144345	0.6571354
100	0.1148654	0.4266392	0.0360351	0.2333519	0.8087361	0.3098808	0.3278982	0.6280576	0.0111864	0.0027240	0.4437050	0.3481763	0.1161140	0.0426594	0.6495102	0.4062207	0.2959796	0.0919183	0.0582244	0.5723364	0.5440540	0.5981725	0.6176608	0.4888607	0.4299265	0.4503794	0.4531674	0.5249983	0.2950805	0.0324515	0.6352155	0.3381110	0.6370918	0.7282018	0.3876365	0.3504067	0.0099615	0.4564520	0.4166484	0.4471420	0.3652536	0.0801723	0.7078929	0.4105055	0.4019396	0.2841191	0.4357825	0.6414274	0.0740870	0.6669118
150	0.1074209	0.4815028	0.0163550	0.2237829	0.6711975	0.2931059	0.2711810	0.7573764	0.0114141	0.0002164	0.4316418	0.3191531	0.0837868	0.0689956	0.7305221	0.3629967	0.2589212	0.0540401	0.0494380	0.5204374	0.4115832	0.5571757	0.8648790	0.3177803	0.4459385	0.3173145	0.5252878	0.4340603	0.2784390	0.0248024	0.6252293	0.3435574	0.7015421	0.7328921	0.3557464	0.3740687	0.0099958	0.4879758	0.4892345	0.4853098	0.4091462	0.0426737	0.5656777	0.4363339	0.4417893	0.3030863	0.3638268	0.6603147	0.1460836	0.6634504
200	0.1073427	0.6432823	0.0100847	0.2155927	0.7620163	0.3231056	0.3329219	0.7460054	0.0188099	0.0004007	0.6258756	0.3371314	0.1124436	0.0604934	0.5737589	0.4351268	0.3494650	0.0541863	0.0558408	0.4211189	0.4363959	0.6050109	0.8047042	0.4257945	0.3428180	0.4197070	0.5433750	0.4805498	0.2508328	0.0230846	0.5840949	0.3736014	0.5886912	0.7192878	0.3338909	0.3323137	0.0217806	0.4914957	0.5249302	0.4073841	0.4026642	0.0352880	0.6240499	0.3960957	0.3747969	0.2658884	0.4794160	0.6105367	0.1452178	0.7526991
250	0.1068111	0.5195958	0.0043626	0.2282704	0.6660618	0.3381749	0.3085005	0.7176711	0.0078238	0.0044128	0.5207851	0.3738558	0.1266687	0.0404122	0.6661034	0.5078251	0.3077931	0.0607743	0.1201951	0.5436969	0.3678561	0.6558832	0.7043919	0.4246021	0.2684246	0.3038835	0.6269613	0.6500245	0.2228888	0.0337456	0.7448172	0.3598071	0.6757490	0.6184194	0.3399612	0.3335982	0.0098598	0.4300528	0.3734496	0.4495146	0.3370648	0.0497060	0.5804007	0.5028680	0.3416090	0.3494206	0.5105896	0.6949521	0.2423398	0.5424250
300	0.0895300	0.5831620	0.0062262	0.1575546	0.7417372	0.2863898	0.3171585	0.6247303	0.0148480	0.0016576	0.5608529	0.3125348	0.1286304	0.0794232	0.7928406	0.3847385	0.3512013	0.0445482	0.0783045	0.6175347	0.3967806	0.7658222	0.7535684	0.3480256	0.3288078	0.4222717	0.6210946	0.5452577	0.2379372	0.0397665	0.6696295	0.4256955	0.6878411	0.6597752	0.3641182	0.3791914	0.0111585	0.3627890	0.4862972	0.4420362	0.4174821	0.0497971	0.5183890	0.5695557	0.4622225	0.2806177	0.4073526	0.5725832	0.1564943	0.7400528
350	0.1019792	0.6851585	0.0147617	0.1956094	0.6679103	0.4769522	0.2874690	0.6632784	0.0231164	0.0008272	0.4174934	0.2640594	0.1017331	0.0530275	0.6134676	0.4008671	0.3487590	0.0642590	0.0414365	0.5318102	0.3970752	0.6769669	0.5824447	0.3645668	0.3675919	0.2972729	0.5450803	0.5187102	0.2379345	0.0270358	0.6530762	0.3957784	0.6089207	0.6541973	0.3819901	0.3469798	0.0204390	0.4580664	0.3387896	0.4497742	0.4636563	0.0753639	0.5225490	0.4144078	0.4511791	0.3170555	0.5247565	0.5392930	0.0978285	0.6141392
400	0.1356933	0.6680282	0.0060747	0.1582075	0.6319092	0.2993018	0.3057393	0.6278115	0.0099277	0.0000000	0.4396932	0.3300921	0.1433247	0.0432426	0.6346717	0.3695404	0.3752932	0.0366651	0.0343088	0.6262775	0.4385246	0.5288659	0.6618478	0.3683706	0.2295340	0.3294511	0.5885782	0.6716751	0.1694288	0.0268478	0.6754071	0.4057459	0.6285478	0.5573543	0.3268766	0.2207743	0.0232575	0.4278828	0.4863947	0.4347721	0.3877562	0.0589011	0.5147409	0.4972152	0.4416741	0.2276233	0.5483385	0.6181193	0.1415351	0.7176721
450	0.1260448	0.5089941	0.0074358	0.1437353	0.7885333	0.1977285	0.2520860	0.7577620	0.0084805	0.0066746	0.5354081	0.3353263	0.1729099	0.0643754	0.6843952	0.3960406	0.3867901	0.0781608	0.0343848	0.5231501	0.5129388	0.6872140	0.8346136	0.4819238	0.3256361	0.3246006	0.6664948	0.5277568	0.2438429	0.0252195	0.7268714	0.3141394	0.6700760	0.6345264	0.3533684	0.3920905	0.0225545	0.3907029	0.3508905	0.4672711	0.3700478	0.0844398	0.6484412	0.4029364	0.4972601	0.3398121	0.5543666	0.6268750	0.1440343	0.5682997
500	0.1307464	0.6026883	0.0095945	0.1693549	0.9113909	0.2835816	0.3033052	0.6863340	0.0204264	0.0056302	0.4595747	0.3264773	0.1097992	0.0546792	0.7609107	0.4428570	0.3228837	0.0516812	0.0611498	0.4850213	0.3462671	0.5832130	0.6568257	0.4278157	0.2953910	0.3203349	0.5727138	0.7283900	0.2233906	0.0470111	0.6917869	0.5014288	0.6783104	0.6748610	0.3043054	0.3157108	0.0303447	0.4231592	0.4195815	0.3857492	0.4466717	0.0783297	0.6959995	0.4340611	0.4505417	0.3479185	0.4870026	0.7705391	0.1311702	0.6178010
550	0.0921983	0.2773851	0.1033874	0.6080323	0.8201117	0.3044022	0.4803782	0.7098121	0.0282474	0.0002131	0.4988233	0.6157019	0.1672728	0.0426020	0.6712809	0.3144761	0.3671913	0.2579000	0.0793197	0.4833083	0.5723846	0.5248928	0.5989197	0.4267212	0.1985727	0.3907126	0.6636378	0.6772902	0.2176700	0.0302620	0.7796609	0.2010193	0.7506902	0.6570885	0.3059604	0.3640071	0.0072407	0.5953383	0.3338733	0.5860056	0.4138245	0.0808948	0.6166353	0.3360870	0.4122960	0.2713890	0.5071802	0.6563498	0.1321414	0.5619990
600	0.0628767	0.2237312	0.1219794	0.7675183	0.8151834	0.3922225	0.4685334	0.7928035	0.0345088	0.0004161	0.4147210	0.6173507	0.1174434	0.0554859	0.7042022	0.3723164	0.2840375	0.3231677	0.0501094	0.4543383	0.4730517	0.6144399	0.7939831	0.3889809	0.2517179	0.4175885	0.7480634	0.5888075	0.3018622	0.0353378	0.8296809	0.1110235	0.6953401	0.6269695	0.3845167	0.4032610	0.0062049	0.6214824	0.3858011	0.5725652	0.3422386	0.0689232	0.6513215	0.4213184	0.3837205	0.2980292	0.4615313	0.6966664	0.1618337	0.5575152
650	0.0907385	0.2124981	0.1690346	0.7582238	0.7576865	0.3391237	0.5527808	0.7482574	0.0180594	0.0057513	0.5033356	0.6934205	0.0913449	0.1055526	0.6970573	0.3716054	0.4168793	0.3344265	0.0876194	0.5175308	0.4836666	0.4842242	0.7512005	0.3327204	0.3678319	0.3948733	0.6491650	0.5784927	0.2385681	0.0502388	0.7568034	0.0952245	0.6221787	0.5841632	0.4081483	0.3345278	0.0034111	0.6348329	0.4255723	0.5861573	0.4634613	0.0487757	0.6219163	0.4632736	0.4753505	0.2344714	0.4593484	0.7581929	0.1234529	0.6734320
700	0.1008357	0.1049203	0.0966646	0.6595440	0.5518663	0.3475307	0.5967225	0.7547682	0.0114985	0.0059037	0.5494736	0.6738014	0.1125380	0.1099087	0.7736754	0.4503381	0.3666029	0.3554430	0.0510986	0.5384727	0.7397111	0.5710034	0.7162971	0.4958611	0.4773209	0.4110499	0.5686474	0.5550359	0.2602476	0.0301646	0.6362411	0.1289947	0.6456900	0.6798109	0.4516125	0.3471613	0.0185801	0.6821618	0.3924532	0.6880914	0.4349086	0.0729450	0.4635678	0.3439240	0.4168130	0.2205929	0.3406777	0.8326606	0.1859354	0.7388233
750	0.0679793	0.1132582	0.0698931	0.6318842	0.7097418	0.2146986	0.4724917	0.7836392	0.0339153	0.0019264	0.4625534	0.6713837	0.0929599	0.0840217	0.7757243	0.3737571	0.3734037	0.3535179	0.0585751	0.5391959	0.6366300	0.7020838	0.7337707	0.3395436	0.3594758	0.3843924	0.6778181	0.5604111	0.2113759	0.0178534	0.6310001	0.1348718	0.6307790	0.6992896	0.4073621	0.3417069	0.0233769	0.6351702	0.4460953	0.6180699	0.3179430	0.0612987	0.5874019	0.4966417	0.4751647	0.2488882	0.4645361	0.6054935	0.1460924	0.6916074
800	0.0826507	0.1798626	0.0888506	0.6160236	0.7212151	0.2271444	0.5772233	0.6534317	0.0327817	0.0015245	0.5315239	0.7014608	0.0850948	0.0879579	0.6746305	0.5849657	0.3962616	0.3213448	0.0643848	0.4887081	0.6349660	0.5943601	0.7398587	0.3660508	0.3944473	0.4008186	0.5749896	0.4754503	0.2157756	0.0160865	0.7291369	0.1478434	0.6539818	0.8083730	0.4344701	0.3610644	0.0215939	0.6491750	0.3729054	0.7113770	0.2767414	0.0963286	0.5723726	0.4388689	0.4417704	0.2620245	0.4235512	0.7089571	0.2185719	0.7097200
850	0.0673026	0.1618936	0.1082200	0.7244641	0.7883989	0.2631539	0.5823403	0.8139199	0.0160883	0.0013306	0.4658760	0.5933983	0.0902484	0.0764092	0.7641942	0.5127305	0.3695160	0.3157270	0.0424811	0.5393926	0.6275803	0.5412030	0.7949251	0.3082108	0.3768612	0.3534491	0.5597961	0.4586117	0.3110246	0.0385147	0.6744440	0.1088827	0.7061293	0.7014570	0.3732162	0.4219649	0.0057057	0.7864014	0.4049912	0.7290887	0.3213077	0.0722356	0.4855057	0.4548889	0.3438416	0.2876507	0.4844786	0.5379881	0.1503791	0.6219521
900	0.1540148	0.1482070	0.1732368	0.6662282	0.6636696	0.4126462	0.4999551	0.7904016	0.0076705	0.0005156	0.5020690	0.6309042	0.1102701	0.0893451	0.6847804	0.4843079	0.3132352	0.3271099	0.0774102	0.5314960	0.6464942	0.6350039	0.7234681	0.4175022	0.4451186	0.4554157	0.5794169	0.4374278	0.2693831	0.0266072	0.7999401	0.1090314	0.7328804	0.6211192	0.3727043	0.3924974	0.0045957	0.7585219	0.4380329	0.7384938	0.3758963	0.0628939	0.5273308	0.4001709	0.3754339	0.2969148	0.5448920	0.6705801	0.1403307	0.6729496
950	0.1162276	0.1806486	0.1299464	0.8107886	0.6420703	0.4532540	0.6319682	0.7381455	0.0129167	0.0009708	0.5808144	0.6402295	0.0683533	0.0466932	0.6366641	0.3975815	0.3125891	0.2364480	0.0705587	0.5493313	0.5209425	0.5850009	0.6654466	0.5345551	0.3887911	0.4669495	0.5025486	0.4833524	0.2690668	0.0410682	0.6711716	0.1703475	0.6111115	0.7317105	0.3864410	0.3084544	0.0083030	0.6196675	0.4434919	0.8058042	0.2954832	0.0361213	0.5250928	0.4243543	0.4814014	0.2632619	0.4036579	0.6514219	0.1800702	0.6598578
1000	0.1060796	0.1483223	0.1122211	0.5891534	0.8548231	0.1433094	0.5192235	0.8199673	0.0380867	0.0011744	0.5476379	0.7992791	0.1040765	0.0666830	0.6457557	0.4371635	0.2853126	0.3696261	0.1227546	0.5598769	0.6497434	0.5327977	0.7683904	0.4375356	0.4490628	0.3844733	0.5257320	0.4813378	0.2934533	0.0216823	0.7213504	0.1046279	0.6450349	0.6313159	0.4163881	0.3897088	0.0144322	0.6600801	0.3667205	0.6706513	0.3735078	0.0594879	0.5755725	0.4455710	0.4751145	0.1863033	0.4205603	0.7128434	0.2182748	0.7715099

0	0.1361622	0.1288216	0.1149104	0.6699736	0.6189231	0.3198004	0.5388188	0.8828540	0.0178994	0.0031637	0.6668478	0.6971817	0.1349906	0.1155673	0.6792540	0.4298585	0.3654590	0.2749794	0.0347252	0.6384829	0.6077357	0.5542900	0.6962434	0.4852699	0.3277815	0.4216040	0.7889822	0.6900010	0.2012763	0.0207473	0.7326425	0.1964665	0.6720035	0.6168096	0.4366267	0.2947916	0.0286572	0.6360576	0.3659675	0.7510931	0.3193328	0.0744761	0.4923852	0.5084063	0.4371518	0.3047383	0.3938536	0.6287371	0.1237217	0.8349359
50	0.1164335	0.4243786	0.1755623	0.7655483	0.6668326	0.4970477	0.4216934	0.6127425	0.0227148	0.0106539	0.4954330	0.2991884	0.1325962	0.1027504	0.3833260	0.4411398	0.2986416	0.4358062	0.0450539	0.4397107	0.6545077	0.5196257	0.6232629	0.4402295	0.3185505	0.2782047	0.6694078	0.5724291	0.2188286	0.0304311	0.6665764	0.1697965	0.8212752	0.5583831	0.3480512	0.3578440	0.0376463	0.4806171	0.3945500	0.4885543	0.2226138	0.0670041	0.5977851	0.5907383	0.5071167	0.0599474	0.4059028	0.6160064	0.1608525	0.6331593
100	0.1042913	0.4880486	0.1488406	0.7174540	0.6906567	0.6326512	0.4517613	0.6853153	0.0419079	0.0022838	0.5346273	0.1767420	0.1158889	0.0980524	0.3949311	0.4023495	0.3468232	0.3470710	0.0634552	0.4710861	0.5250964	0.5647040	0.6431744	0.4467633	0.2633566	0.3861647	0.7336666	0.5734722	0.1640362	0.0541652	0.7066180	0.1440467	0.7130116	0.6679167	0.4891905	0.3795784	0.0207853	0.3044178	0.4688246	0.5526682	0.2735575	0.0916911	0.5628695	0.3596844	0.5494904	0.0447342	0.3866455	0.6011340	0.0537393	0.7214233
150	0.1445990	0.4780972	0.1714870	0.6838483	0.6555256	0.5555401	0.4024778	0.7338185	0.0439594	0.0027651	0.6187506	0.1892702	0.1003636	0.1159475	0.3974727	0.3959275	0.2822322	0.3130988	0.0670934	0.4616228	0.5917908	0.5654328	0.5971718	0.4414907	0.2024930	0.4159903	0.6159769	0.5921474	0.2013782	0.0507092	0.6019426	0.1402187	0.7161817	0.6858294	0.3883465	0.4218137	0.0313989	0.3601135	0.4435886	0.5231647	0.1946391	0.0753139	0.4868495	0.4280337	0.5284022	0.0350705	0.5045926	0.6046864	0.1152697	0.7118129
200	0.1030797	0.4945021	0.1579666	0.6620688	0.7359438	0.6938923	0.4012913	0.7383589	0.0561641	0.0000000	0.5743137	0.1111318	0.0983177	0.0912500	0.4410197	0.3366070	0.3308487	0.3856285	0.0659094	0.6722740	0.6206085	0.6756329	0.6615015	0.4744171	0.2037683	0.4016232	0.4997949	0.5835970	0.2157732	0.0270629	0.7086541	0.1296466	0.6037906	0.5451756	0.3488507	0.2514610	0.0501860	0.2945001	0.4324732	0.3602618	0.2852251	0.1011033	0.4075646	0.5358793	0.6564622	0.0229113	0.4341377	0.6528877	0.1308907	0.7425338
250	0.1154051	0.5164468	0.1809802	0.6905105	0.6527828	0.7651332	0.3933156	0.7795007	0.0372459	0.0013567	0.5365294	0.1127199	0.0855507	0.0694499	0.3893052	0.3222339	0.2637418	0.3377069	0.0686658	0.7494239	0.5499135	0.6462354	0.5998353	0.3675932	0.2998701	0.4203557	0.6378814	0.5499971	0.1752833	0.0378082	0.8647624	0.1018400	0.5859877	0.6073561	0.3636156	0.3342988	0.0337752	0.4148492	0.4615551	0.4857712	0.3125052	0.0782358	0.5047236	0.5019070	0.5123589	0.0433156	0.5061353	0.7178313	0.1944867	0.7906068
300	0.1138662	0.4993798	0.0882963	0.7143022	0.6198591	0.8559078	0.3754303	0.7317106	0.0280664	0.0004174	0.5235302	0.1163684	0.1316487	0.0604915	0.3553728	0.3416569	0.3254073	0.3280777	0.0779549	0.5165600	0.5949784	0.5931567	0.6727165	0.3496461	0.2246840	0.4477675	0.6625999	0.5893984	0.1758109	0.0398142	0.7705541	0.1582718	0.6792071	0.5543064	0.3954497	0.3320071	0.0195110	0.3417049	0.3970604	0.4495248	0.2792631	0.1238896	0.5456970	0.5799789	0.5930544	0.0186382	0.4072581	0.6050765	0.1800012	0.7306518
350	0.1562392	0.5038212	0.0747165	0.7205063	0.6651915	0.7681420	0.3836664	0.7429791	0.0068686	0.0070961	0.4471770	0.1513688	0.0920057	0.0561614	0.3010360	0.2933245	0.4329610	0.3224581	0.0684814	0.6635022	0.6287239	0.6727703	0.7292010	0.5066140	0.3214977	0.5010060	0.6385964	0.5596759	0.1775664	0.0279575	0.7132754	0.1549862	0.6766143	0.6746236	0.3769657	0.2720300	0.0241572	0.3405077	0.3448971	0.4332999	0.2981356	0.0691794	0.5022547	0.4858858	0.6461982	0.0272659	0.4702866	0.6439861	0.1458013	0.7655028
400	0.1032288	0.5826251	0.0899404	0.6942959	0.6402616	0.6716337	0.4047794	0.7840632	0.0443356	0.0058563	0.4336999	0.1447906	0.1959282	0.0443189	0.4318032	0.3963659	0.3800035	0.3221543	0.0328202	0.5985578	0.5195879	0.6286437	0.6688767	0.3718024	0.3292413	0.3277978	0.6594584	0.5674767	0.3066187	0.0369020	0.8121120	0.1086773	0.7172223	0.6751879	0.3923237	0.3528384	0.0110049	0.3087338	0.4370843	0.4208174	0.4082337	0.0785226	0.4997765	0.6607438	0.4839244	0.0146079	0.5081500	0.5618703	0.1734089	0.6376073
450	0.1044869	0.5507046	0.0957429	0.6011150	0.6743030	0.6036067	0.2986428	0.6584124	0.0260873	0.0011567	0.4378739	0.0951040	0.1852005	0.0897269	0.4244215	0.3763392	0.3582088	0.3713405	0.0517978	0.4255840	0.5941724	0.6609675	0.8571088	0.4676328	0.3645054	0.4171669	0.4717632	0.5547092	0.2257129	0.0226057	0.7841264	0.1293968	0.7087723	0.5953766	0.3521023	0.3053330	0.0357219	0.3795842	0.3614867	0.4167443	0.3110713	0.0469279	0.5014006	0.4737802	0.5452443	0.0151148	0.4006223	0.7027730	0.1751148	0.7030106
500	0.1028175	0.4946337	0.1621366	0.6435551	0.7466499	0.6974865	0.3861540	0.5758028	0.0214309	0.0027781	0.4611096	0.1505469	0.1016722	0.0827979	0.3217147	0.4440516	0.3615680	0.3021849	0.0462119	0.5782716	0.6949301	0.6946087	0.7000254	0.4858884	0.3311737	0.3148856	0.6535719	0.6565486	0.2249710	0.0266470	0.6749753	0.1637749	0.7758118	0.5630834	0.3705777	0.3658948	0.0267404	0.2899199	0.4054215	0.6001308	0.2644788	0.0675510	0.6065801	0.4782524	0.6398431	0.0094248	0.4727298	0.6331640	0.1361381	0.7292175
550	0.1111405	0.2581353	0.1991268	0.6901489	0.7343869	0.3582615	0.3956339	0.5556544	0.0104469	0.0008758	0.4759978	0.4903085	0.1201269	0.0666968	0.5349358	0.4676057	0.2606928	0.3066037	0.0512289	0.5768851	0.5343639	0.8314009	0.9128198	0.5010822	0.2565406	0.2704913	0.5580088	0.6158948	0.2596262	0.0479661	0.7811926	0.1768716	0.6170356	0.7037122	0.2568483	0.3435116	0.0094017	0.6212992	0.5111647	0.6874784	0.3277494	0.0824031	0.5680228	0.5835284	0.4447733	0.1175101	0.5382155	0.5998774	0.1354972	0.7749626
