"Time"	G1	G2	G20	G10	G16	G4	G17	G8	G11	G56	G3	G5	G19	G12	G13	G14	G15	G50	G41	G52	G53	G51	G21	G22	G55	G42	G54	G40	G44	G39	G35	G49	G45	G48	G61	G9	G47	G43	G79	G57	G60	G89	G80	G84	G81	G82	G83	G88	G86	G78	G77	G75	G91	G90	G85	G58	G59	G99	G92	G93

0	0.5921067	0.0051761	0.4719473	0.3349041	0.0624263	0.5798883	0.1868129	0.0682457	0.1559189	0.5053677	0.0454622	0.2729530	0.8443750	0.0200183	0.2508792	0.0437451	0.5389428	0.7358472	0.4355614	0.7618561	0.0287526	0.2669036	0.4276649	0.2628517	0.1961684	0.5041176	0.5828283	0.6041255	0.2897531	0.4204223	0.7275509	0.0932281	0.3368996	0.7625147	0.2495949	0.0559770	0.3775335	0.0536451	0.6244212	0.0429066	0.2267344	0.0741189	0.0081580	0.4495111	0.4953244	0.5172333	0.0408972	0.1803692	0.8223883	0.3392842	0.0642074	0.7290855	0.0198909	0.4575378	0.7331610	0.5778583	0.6751876	0.7224784	0.4473359	0.0040514
50	0.8747971	0.0045567	0.4854979	0.1802016	0.0660901	0.6598920	0.1206193	0.0315981	0.1532530	0.6112850	0.0164502	0.1695021	0.7354322	0.0125589	0.2605557	0.0007371	0.4847196	0.7375267	0.4514649	0.6623152	0.0136761	0.2908325	0.3902613	0.2558214	0.1330903	0.4361417	0.1324126	0.3848466	0.1219258	0.3050215	0.7387795	0.1124160	0.2824944	0.3078814	0.6129487	0.0554160	0.3685920	0.2207102	0.6553207	0.0107474	0.3138263	0.0610196	0.0000000	0.4308796	0.4655722	0.5794213	0.0278152	0.1304401	0.9285112	0.3747829	0.0666618	0.7770195	0.0094967	0.4073515	0.8105779	0.5807151	0.5524145	0.4097050	0.4809680	0.0073235
100	0.5562141	0.0234879	0.4907806	0.0957336	0.0430907	0.6055513	0.0524151	0.0457267	0.1394480	0.5458268	0.0000792	0.1467119	0.7244374	0.0419557	0.3470729	0.0000778	0.4294006	0.8015614	0.4126246	0.6991485	0.0091550	0.3088134	0.2714880	0.1960824	0.1517258	0.3460414	0.1074872	0.4082799	0.0381994	0.2823181	0.7585149	0.0830417	0.2078539	0.2356603	0.6447328	0.1372010	0.4201279	0.1752348	0.7255111	0.0197597	0.4137496	0.0594120	0.0008432	0.3899789	0.4075163	0.6317997	0.0261704	0.3738127	0.6447051	0.4784877	0.0520226	0.8870640	0.0184336	0.3951231	0.7122947	0.6201288	0.5699255	0.4528733	0.6843272	0.0033213
150	0.5777523	0.0080753	0.4567062	0.1174212	0.0525067	0.6672149	0.0233592	0.0737149	0.1350616	0.5346501	0.0012181	0.1261947	0.7442806	0.0525521	0.3462673	0.0000000	0.4961661	0.6982223	0.3093318	0.6842751	0.0072162	0.4062334	0.2931013	0.1543135	0.1097995	0.5479926	0.0461801	0.3655968	0.0336173	0.2496209	0.5914954	0.0697608	0.1125977	0.1562200	0.6716699	0.1249705	0.2884650	0.2910557	0.7446525	0.0041110	0.4219730	0.0683252	0.0001429	0.4433098	0.3891359	0.4251248	0.0291776	0.1902442	0.8754783	0.4323847	0.0438285	0.7636249	0.0214041	0.4629724	0.7835567	0.6410510	0.4079627	0.3368068	0.7532922	0.0051138
200	0.5909819	0.0165228	0.4890573	0.1319329	0.1045053	0.5992293	0.0190501	0.0553227	0.1808448	0.6183805	0.0035325	0.1281110	0.6075906	0.0370575	0.4151922	0.0001002	0.4788709	0.7642604	0.2418626	0.7035520	0.0123336	0.3056341	0.3315195	0.0903106	0.1872810	0.3588198	0.0289187	0.4659064	0.0511143	0.2528321	0.5841977	0.0838997	0.1078330	0.1502853	0.6714832	0.1345114	0.3048145	0.2801269	0.5656568	0.0046833	0.4109311	0.0726606	0.0026182	0.4037729	0.3328156	0.6248003	0.0585866	0.2633374	0.7962447	0.4632875	0.0640900	0.8149453	0.0186582	0.5951997	0.5760550	0.6067509	0.3434775	0.4921001	0.5864618	0.0027343
250	0.6533944	0.0039042	0.5229695	0.1287794	0.0772156	0.6898129	0.0152639	0.0594574	0.1036489	0.5626375	0.0011077	0.1962319	0.5840371	0.0269798	0.4568274	0.0063153	0.5206209	0.8152129	0.2703407	0.7397055	0.0275250	0.2742441	0.2311848	0.1087194	0.1107074	0.3982428	0.0367640	0.4320665	0.0240540	0.2543236	0.4896820	0.0397010	0.1260238	0.1272555	0.8144476	0.1656567	0.2806855	0.3528933	0.8052293	0.0007960	0.3967059	0.1606868	0.0002182	0.4182645	0.4211344	0.5080623	0.0659147	0.1289471	0.7651809	0.3796042	0.0389541	0.6934865	0.0121462	0.5006569	0.7269969	0.5618008	0.3299324	0.4598842	0.6407382	0.0012439
300	0.4733452	0.0168903	0.5048214	0.1411197	0.1316016	0.4479865	0.0521559	0.0568252	0.1538217	0.7284253	0.0007378	0.1649861	0.5756874	0.0420159	0.4522318	0.0047466	0.4285409	0.7532546	0.2912131	0.7846996	0.0064993	0.2945827	0.2297575	0.1398576	0.1304389	0.3553634	0.0105148	0.4474445	0.0582279	0.1729903	0.3826148	0.0451200	0.1140760	0.1538139	0.6934985	0.1364694	0.2538150	0.2885403	0.6955886	0.0041702	0.3831930	0.0612430	0.0001923	0.3998197	0.4221051	0.6313483	0.0437198	0.1679118	0.7607170	0.5081512	0.0683023	0.8256716	0.0259322	0.5209949	0.7495930	0.6141646	0.3911783	0.3954505	0.6204416	0.0091367
350	0.6875112	0.0018607	0.4821401	0.1098626	0.1084667	0.4511927	0.0245572	0.0694407	0.1399238	0.6633169	0.0085343	0.1601748	0.8537826	0.0653760	0.3567686	0.0002440	0.5218984	0.6831763	0.2391105	0.7797013	0.0122421	0.3165618	0.3609389	0.0822869	0.1314762	0.3989325	0.0184509	0.4093781	0.0347097	0.3403546	0.5817513	0.0360319	0.1184887	0.1297445	0.6971595	0.1210226	0.3464629	0.1729026	0.8838180	0.0014452	0.4575781	0.1062476	0.0006805	0.4324437	0.4475481	0.6895363	0.0525719	0.1915978	0.7140928	0.4183730	0.0683529	0.7256994	0.0184728	0.4206448	0.7769129	0.6052467	0.3584747	0.4303710	0.5866822	0.0055205
400	0.6141253	0.0030172	0.5623982	0.1665574	0.0781902	0.5918155	0.0314492	0.1113327	0.1284046	0.7157006	0.0006010	0.1056545	0.6656115	0.0399941	0.3617140	0.0024552	0.5061679	0.7461968	0.2159931	0.7370935	0.0122599	0.3110656	0.2909457	0.0742996	0.1113474	0.4563843	0.0186907	0.4988766	0.1037121	0.2650429	0.6754821	0.0596982	0.1425365	0.1055282	0.7840047	0.1418104	0.3720904	0.1644675	0.6539089	0.0044558	0.3639069	0.0651410	0.0000416	0.5364861	0.4488319	0.6462833	0.0619873	0.2166237	0.6388014	0.3824096	0.0520133	0.6221902	0.0154553	0.4763749	0.6857705	0.7203616	0.3329801	0.4395140	0.6156596	0.0143658
