"Time"	G1	G3	G8	G5	G22	G4	G83	G7	G6	G87

0	0.9604172	0.4897116	0.1570527	0.1039827	0.7661122	0.7086046	0.2505970	0.0527831	0.0154296	0.0467005
50	0.6402191	0.4838715	0.1538274	0.0527120	0.8263907	0.7029853	0.3041058	0.0518565	0.0174331	0.0247219
100	0.5651286	0.4952219	0.1429677	0.0773239	0.7992671	0.6223669	0.3671582	0.0641632	0.0400229	0.0596179
150	0.6053871	0.4719934	0.1887439	0.1077750	0.9974274	0.6992685	0.3942020	0.0553228	0.0114884	0.0376979
200	0.4995726	0.4268628	0.2582791	0.1159403	0.7615313	0.4855410	0.3713561	0.1052060	0.0260943	0.0266912
250	0.6577243	0.4130413	0.1596102	0.1148794	0.7268579	0.6029454	0.2727717	0.0274570	0.0481867	0.0283958
300	0.5819542	0.4124378	0.1178030	0.1336679	0.6635023	0.5904704	0.3378871	0.0520794	0.0160998	0.0222263
350	0.6361634	0.3944927	0.1925239	0.0997478	0.8520196	0.5798339	0.3323727	0.0389689	0.0429374	0.0196774
400	0.5862177	0.4710198	0.2643130	0.0966197	0.7193678	0.5846319	0.3648562	0.0537303	0.0337585	0.0306663
450	0.5133180	0.4139436	0.2267944	0.1227399	0.5768103	0.6894751	0.3337818	0.0553651	0.0251139	0.0321935
500	0.5764734	0.4134177	0.1250587	0.1019680	0.8038156	0.4560425	0.3235309	0.0646176	0.0144374	0.0338425
550	0.6799827	0.4549817	0.1410656	0.1164183	0.7661229	0.6551442	0.4803471	0.0981788	0.0139703	0.0580679
600	0.7459414	0.5283003	0.1397319	0.1243424	0.8277820	0.5394885	0.4239683	0.0756969	0.0135867	0.0205437
650	0.8975360	0.4444988	0.2237937	0.1151319	0.7433547	0.6375376	0.2314457	0.0547232	0.0260404	0.0779388
700	0.7601429	0.4856418	0.2521411	0.1136084	0.5850666	0.6809306	0.3088801	0.0762260	0.0340029	0.0444860
750	0.9109815	0.5283377	0.1763890	0.0703791	0.5971630	0.6437568	0.2792213	0.0877784	0.0193643	0.0244117
800	0.7951715	0.4475163	0.2637060	0.1192634	0.8960082	0.7455366	0.4529266	0.1068466	0.0178503	0.0221505
850	1.0000000	0.4547738	0.1482730	0.1125327	0.6642575	0.8806438	0.3625576	0.0737777	0.0075433	0.0263042
900	0.7892869	0.4620140	0.1787849	0.1453324	0.7720299	0.6690123	0.3751130	0.1007381	0.0218936	0.0424313
950	0.8203910	0.4526852	0.1479723	0.0816078	0.9158823	0.8798180	0.3163156	0.0521773	0.0240514	0.0365215
1000	0.8593642	0.4527917	0.1842131	0.1273223	0.7146058	0.7881571	0.3279241	0.0669060	0.0095568	0.0157611

0	0.7411170	0.4844705	0.1719050	0.1446837	0.7602312	0.7852806	0.2529131	0.0585828	0.0237462	0.0299515
50	0.6409948	0.4737972	0.0769018	0.0674796	0.7224519	0.6455711	0.3535420	0.0801000	0.0492219	0.0528712
100	0.7972582	0.4723075	0.0393187	0.1119725	0.7865032	0.7951674	0.3339581	0.0636934	0.0287281	0.0646813
150	0.8221016	0.4536170	0.0314100	0.1004053	0.8538928	0.6106596	0.3160845	0.1002283	0.0368560	0.0353301
200	0.7570645	0.4957155	0.0200107	0.0829599	0.8891886	0.6831733	0.3260922	0.0508911	0.0184012	0.0365309
250	0.6476617	0.4721957	0.0255514	0.1650682	0.8015379	0.7856775	0.3852192	0.0621915	0.0190309	0.0463589
300	0.7301346	0.5730698	0.0513829	0.0946551	0.7093453	0.7377388	0.3211936	0.0863798	0.0090397	0.0473257
350	0.7123993	0.3925871	0.0282219	0.0930471	0.6558345	0.7597906	0.3014512	0.0878313	0.0525454	0.0541027
400	0.6735462	0.6543233	0.0189519	0.1391284	0.7647034	0.7510695	0.2657573	0.1337784	0.0086692	0.0326613
450	0.7030242	0.5253033	0.0180499	0.0588417	0.7313861	0.7365085	0.2248611	0.0743579	0.0301091	0.0573690
500	0.7503106	0.4571753	0.0159412	0.1075794	0.7654721	0.6288639	0.4074971	0.0483490	0.0159808	0.0367271
550	0.8129375	0.3246522	0.1179964	0.1015749	0.7586749	0.6562638	0.3517179	0.0318021	0.0374486	0.0437051
600	0.6470320	0.3740259	0.1968910	0.1339395	0.5781570	0.8097260	0.3291903	0.0476423	0.0151907	0.0178966
650	0.7452283	0.3443408	0.1402541	0.0794369	0.7851088	0.8314594	0.3202389	0.0565262	0.0358101	0.0269145
700	0.7433901	0.4408407	0.1939076	0.1168884	0.6467240	0.7439118	0.3896527	0.0556967	0.0188858	0.0270101
750	0.7577065	0.4203106	0.2377505	0.1170681	0.7000620	0.6408717	0.3278797	0.0589496	0.0237007	0.0575735
800	0.8334441	0.5259463	0.2285776	0.0851622	0.8496652	0.6922351	0.2826957	0.0429994	0.0132416	0.0200658
850	0.7865084	0.5053647	0.1346271	0.1222907	0.8313407	0.8435900	0.3829997	0.0761540	0.0175580	0.0684955
900	0.6304501	0.4768183	0.1733308	0.1545139	0.7774010	0.6963713	0.3074167	0.0675766	0.0068894	0.0542334
950	0.7539748	0.4182797	0.1048687	0.1392921	0.7320129	0.5577707	0.3444967	0.0747713	0.0096401	0.0316445
1000	0.7170153	0.4112733	0.1493957	0.1533226	0.9051155	0.7581682	0.2974912	0.0705702	0.0132513	0.0329668

0	0.7842669	0.4494115	0.1868754	0.0721065	0.7387206	0.7814789	0.2766072	0.0760548	0.0168619	0.0308545
50	0.6268442	0.5197712	0.1617461	0.1252692	0.6576133	0.7117068	0.3072210	0.0674762	0.0436885	0.1780261
100	0.6742268	0.6425786	0.1970742	0.0990759	0.7513559	0.7992221	0.3240639	0.0718041	0.0127162	0.1512889
150	0.8646217	0.6798331	0.1907006	0.0847745	0.7036733	0.6749509	0.2492018	0.0619303	0.0094889	0.2112867
200	0.7432169	0.6190721	0.2141807	0.0871801	0.6316471	0.6617746	0.2878512	0.0465064	0.0077969	0.2228776
250	0.7635304	0.8105169	0.2292883	0.0472743	0.7563242	0.5897935	0.4138733	0.0784301	0.0181009	0.3029406
300	0.7071078	0.7459311	0.1857332	0.1136042	0.8897403	0.6873895	0.2679242	0.0433182	0.0229858	0.1642114
350	0.7037901	0.6605050	0.1756247	0.0904540	0.9085619	0.7811710	0.3663279	0.0609857	0.0211240	0.2870333
400	0.6850039	0.6866223	0.2177111	0.1333329	0.6460109	0.7507091	0.4065821	0.0839850	0.0287232	0.1888497
450	0.8188537	0.7794236	0.1720916	0.1320235	0.7309897	0.7015919	0.3491007	0.0900430	0.0321292	0.1895142
500	0.9033170	0.7976088	0.1675951	0.0847003	0.7250422	0.6503552	0.3046645	0.0666088	0.0272211	0.2161268
550	0.8470168	0.5895157	0.1889091	0.1182382	0.7178724	0.6219923	0.3378212	0.0770401	0.0379893	0.0812934
600	0.7476565	0.6646098	0.1787231	0.0958123	0.7525062	0.7458921	0.4338136	0.0785200	0.0316389	0.0338554
650	0.8128134	0.6106360	0.1953121	0.1414189	0.9020176	0.6082711	0.3772945	0.0773718	0.0120019	0.0455588
700	0.7660434	0.4538967	0.1785684	0.1113292	0.8126830	0.6690022	0.3165422	0.0577063	0.0430593	0.0317593
750	0.7999912	0.5148909	0.1832791	0.1542602	0.7008119	0.6277569	0.3745322	0.0803684	0.0201345	0.0438589
800	0.7696408	0.5157161	0.1872703	0.0991678	0.7985309	0.7431420	0.3558696	0.0579871	0.0088665	0.0282267
850	0.7909309	0.3627513	0.1458113	0.1346589	0.7552216	0.7292514	0.3067660	0.0408792	0.0407623	0.0179085
900	0.7086640	0.4398684	0.1936491	0.1074097	0.8359413	0.7090305	0.3787774	0.0384906	0.0304051	0.0429533
950	0.9205433	0.3779085	0.1408555	0.1609165	0.7244860	0.8131802	0.3659429	0.0482964	0.0168576	0.0244616
1000	0.8323998	0.5166032	0.1625198	0.1583202	0.6662523	0.7099498	0.2995053	0.0719860	0.0369839	0.0209032

0	0.7296484	0.4806165	0.1662849	0.0908600	0.7227163	0.5831098	0.2726055	0.0622964	0.0270220	0.0611104
50	0.4974958	0.4425533	0.1408034	0.0788897	0.3930747	0.6792679	0.0679245	0.0720922	0.0302239	0.0230796
