"Time"	G1	G2	G20	G10	G4	G17	G16	G9	G18	G94	G11	G98	G7	G6	G46	G100	G36	G37	G38	G34	G3	G56	G35	G5	G19	G14	G13	G12	G15	G39	G41	G50	G51	G53	G52	G55	G21	G22	G42	G44	G49	G40	G45	G54	G47	G72	G67	G57	G43	G48	G61	G8	G95	G60	G58	G99	G59	G79	G81	G83	G82	G84	G89	G80	G88	G90	G91	G86	G85	G78	G77	G75	G93	G92	G69

0	0.5031305	0.1211095	0.6938037	0.0695321	0.4617075	0.5220904	0.3370744	0.4976829	0.1708764	0.6368632	0.1276908	0.7047448	0.0015443	0.4450497	0.0104335	0.6125413	0.0046669	0.0063098	0.6664725	0.6415472	0.0814568	0.4668805	0.2631317	0.5861753	0.4583669	0.2163804	0.6609220	0.2448671	0.1672519	0.3638415	0.7369919	0.1044948	0.1458892	0.3874785	0.2435817	0.4344386	0.6041830	0.6168647	0.3663202	0.6111123	0.7045532	0.3245528	0.4383582	0.0813457	0.6823650	0.7121182	0.4188003	0.5184625	0.0162892	0.5986234	0.6409578	0.0082212	0.4300226	0.0119343	0.7407000	0.7452695	0.6634071	0.7822184	0.5598846	0.0675165	0.0497645	0.0397923	0.1317285	0.0145282	0.0662413	0.7256219	0.2330172	0.7992036	0.1316987	0.0461293	0.4417538	0.3369432	0.0469502	0.3762153	0.5117043
50	0.5890178	0.0562388	0.6660210	0.1113861	0.5657369	0.4462951	0.2782774	0.4950809	0.2286456	0.3541815	0.1405307	0.4008178	0.0117939	0.4237353	0.0110387	0.6198369	0.0013876	0.3816076	0.6881622	0.6913878	0.0383652	0.5669499	0.2945398	0.4899824	0.4957452	0.2366719	0.7003821	0.2141929	0.1278454	0.4217156	0.5849758	0.1033900	0.0501204	0.4993831	0.3054749	0.4191540	0.5248899	0.6758402	0.4244953	0.4370691	0.6326907	0.3191262	0.6237718	0.0928568	0.6706975	0.4558258	0.3320578	0.4016015	0.4170377	0.6258115	0.5755716	0.2978757	0.4393014	0.0133560	0.6228194	0.7084332	0.6601232	0.5932515	0.7075482	0.0930928	0.0246291	0.0298853	0.4748473	0.0112818	0.0973835	0.9058203	0.4788058	0.2561439	0.1579571	0.0330168	0.3304028	0.4336064	0.0608929	0.3958249	0.4307908
100	0.5145496	0.0429426	0.6633425	0.0971747	0.6855793	0.3940003	0.3839651	0.5677479	0.3321281	0.2459847	0.1568373	0.4382838	0.0074133	0.5012963	0.0216936	0.5705251	0.0002698	0.5839423	0.6459602	0.5948387	0.0343433	0.5992592	0.3298582	0.3072569	0.4691496	0.2106854	0.7682239	0.1519187	0.1769913	0.4286898	0.5512040	0.1531981	0.0728081	0.3654012	0.2508276	0.4622901	0.4789121	0.6219481	0.4481654	0.3457491	0.6287337	0.3148777	0.7488416	0.0465490	0.6989781	0.4596527	0.2420638	0.5573814	0.6061521	0.6095516	0.5952753	0.4649960	0.3442312	0.0069591	0.7173606	0.6368867	0.6859133	0.6662457	0.5888139	0.1115538	0.0468180	0.0464888	0.5371590	0.0064831	0.1065412	0.5825767	0.5363496	0.1621700	0.1472680	0.0223103	0.4500289	0.3441470	0.0682664	0.3994394	0.3794926
150	0.5198701	0.0323519	0.6729950	0.1190098	0.6286569	0.2894704	0.2575522	0.5043147	0.1950277	0.2261800	0.1715956	0.5136367	0.0143081	0.5381165	0.0218329	0.5512899	0.0027771	0.5975251	0.7054174	0.6809578	0.0056968	0.7343267	0.2075479	0.4773241	0.5523406	0.2882766	0.5499220	0.2228326	0.1825545	0.3981279	0.5883986	0.1683030	0.0573323	0.3941780	0.3018391	0.3358459	0.3137080	0.5484352	0.4155869	0.2154090	0.5317148	0.2832331	0.7093751	0.0241713	0.8193338	0.3917109	0.3224658	0.4260041	0.5493351	0.5676255	0.7067532	0.5726499	0.3308113	0.0279866	0.9073564	0.7153027	0.6006691	0.5727799	0.6615625	0.0876173	0.0183553	0.0367605	0.5959906	0.0203605	0.1173712	0.8378694	0.4959442	0.1086747	0.1492625	0.0257260	0.4148774	0.3371241	0.0412187	0.4670659	0.4198392
200	0.4630273	0.0206373	0.6694639	0.0698639	0.6509740	0.3028120	0.2750333	0.4475428	0.2981400	0.2293062	0.1488770	0.4105467	0.0047656	0.6258274	0.0546358	0.5149959	0.0000000	0.6404014	0.6518011	0.6218626	0.0026449	0.9299482	0.3020558	0.2742398	0.5153469	0.2232954	0.6280913	0.2294501	0.2504647	0.3778076	0.4993231	0.1709954	0.0736600	0.3706744	0.2549201	0.3874570	0.3594732	0.4265307	0.5280279	0.2515667	0.5821317	0.3342475	0.6567715	0.0440520	0.6873026	0.4084496	0.1835363	0.5614789	0.5797549	0.5696584	0.6967551	0.4680913	0.2098501	0.0139083	0.5290191	0.6717732	0.6577104	0.5795577	0.6286045	0.0790418	0.0437193	0.0412005	0.4546358	0.0089231	0.0948095	0.7653611	0.6055503	0.2011945	0.1712909	0.0285078	0.3561727	0.3179549	0.0511697	0.4478272	0.3796870
250	0.5138403	0.0284453	0.6740556	0.1172484	0.5894851	0.2585094	0.2866665	0.4476103	0.3390668	0.2242447	0.1315264	0.5025185	0.0045974	0.5134050	0.0525373	0.5379716	0.0047919	0.6946501	0.6664784	0.6712290	0.0005642	0.6947106	0.2475872	0.3423410	0.5440696	0.1986122	0.6443669	0.2403797	0.2046807	0.3493362	0.5061999	0.2692132	0.0578649	0.2908174	0.2909951	0.4531719	0.3932357	0.3485169	0.3992214	0.2218818	0.6519409	0.3378246	0.6620164	0.0593202	0.7434126	0.4613203	0.2014390	0.4493275	0.6049126	0.7010087	0.6499103	0.4029705	0.2578048	0.0110963	0.6487618	0.6457765	0.6790078	0.6422906	0.6974351	0.1093601	0.0365405	0.0628164	0.5647342	0.0029253	0.1217812	0.6429029	0.7495480	0.1223093	0.1054014	0.0190257	0.3583629	0.3616584	0.0468735	0.4141691	0.3059530
300	0.4632787	0.0329402	0.6238866	0.1149166	0.5551715	0.3078528	0.2931687	0.5030211	0.2919907	0.2128788	0.1402850	0.4730657	0.0081515	0.5774050	0.0534490	0.5607929	0.0013632	0.7432465	0.7326930	0.6551590	0.0111245	0.7108568	0.2028713	0.4157313	0.5421211	0.2082930	0.7602490	0.3093448	0.3331899	0.5683851	0.5504339	0.3168211	0.0288545	0.4272899	0.2945446	0.3559144	0.2929228	0.3607815	0.4350687	0.1259172	0.6752058	0.3455136	0.6487365	0.0350260	0.7543003	0.4307581	0.1815104	0.4853238	0.5995222	0.5781821	0.6392136	0.5424336	0.2350397	0.0126376	0.6691283	0.7361316	0.5757339	0.6159678	0.6820636	0.0565816	0.0430559	0.0413998	0.6211933	0.0080119	0.0745934	0.7291738	0.5712731	0.1664429	0.2109193	0.0361414	0.4302057	0.3422103	0.0653772	0.4221701	0.3919337
350	0.4698336	0.0367277	0.6237358	0.0876664	0.6040224	0.3085336	0.3775616	0.4676680	0.2920259	0.2825462	0.1990271	0.4397034	0.0038283	0.5353446	0.0418855	0.6548185	0.0009066	0.7430944	0.6853913	0.7256012	0.0073118	0.5834619	0.2557498	0.4599370	0.3815606	0.2556655	0.7375911	0.3425427	0.2678352	0.3841964	0.5230270	0.1776949	0.0356437	0.3188479	0.2465296	0.4066705	0.2519536	0.3812181	0.4746773	0.2437657	0.5959008	0.3760426	0.6511585	0.0524265	0.6720938	0.3787623	0.1910739	0.6452540	0.5209963	0.4717063	0.6061390	0.4208208	0.2626542	0.0107747	0.8433246	0.7331947	0.7254585	0.6364986	0.5666057	0.0846374	0.0394775	0.0412353	0.6301931	0.0148894	0.0815430	0.7766007	0.6153727	0.1478142	0.1615470	0.0206321	0.4094473	0.3280110	0.0713316	0.3522457	0.4427264
400	0.4314309	0.0104544	0.6693451	0.1070926	0.6230071	0.2503179	0.3306781	0.4806703	0.2569663	0.2064841	0.2072347	0.5959875	0.0193150	0.6039258	0.0543560	0.6079910	0.0032564	0.6665458	0.7220212	0.6623931	0.0039708	0.5949520	0.3334941	0.3277484	0.4544605	0.2344159	0.7182098	0.2897021	0.2566311	0.3379073	0.6263324	0.1892965	0.0574055	0.3902731	0.2672133	0.4681018	0.3440103	0.3018107	0.4013259	0.3036569	0.6058461	0.3887832	0.6743831	0.0706536	0.6082668	0.4120349	0.1560073	0.5192343	0.5504911	0.5262384	0.5620615	0.5060068	0.1991248	0.0248854	0.7240293	0.6534669	0.6094709	0.6877437	0.6043278	0.0995432	0.0256895	0.0326548	0.6264727	0.0043227	0.1013417	0.7031512	0.5691277	0.1729436	0.1674292	0.0165332	0.3913263	0.3882912	0.0831263	0.4479004	0.4100334
