"Time"	G1	G3	G8	G4	G7	G83	G6	G89	G85	G5	G88	G54	G87	G86	G30	G29	G35	G99	G100	G32	G19	G18	G20	G81	G22	G23	G80	G82	G58	G51

0	0.0491504	0.0405204	0.7138542	0.0588100	0.6251510	0.5834864	0.4025386	0.1625330	0.7069840	0.4362099	0.2873299	0.3853558	0.0691105	0.1045190	0.4424440	0.2939299	0.0975369	0.6934081	0.5257496	0.5411156	0.4435504	0.7167489	0.6199528	0.2259905	0.7198200	0.7483197	0.3691967	0.0132500	0.8383797	0.2975230
50	0.0500926	0.0240709	0.3827008	0.0652341	0.6724370	0.4262621	0.4638922	0.2301279	0.4267174	0.3142167	0.3486552	0.2265448	0.1348443	0.0643322	0.4794602	0.3279878	0.0143904	0.6233090	0.5207754	0.4264913	0.3299883	0.7119672	0.5767830	0.1929592	0.4445362	0.8561177	0.3134571	0.0062273	0.2403267	0.5638310
100	0.0406757	0.0695678	0.2855150	0.0544129	0.6794579	0.3223140	0.3173626	0.0625339	0.5920948	0.3713603	0.2921447	0.1135213	0.3221505	0.1814499	0.4777174	0.3398583	0.0067976	0.6655512	0.5543275	0.3889058	0.2585058	0.7079858	0.6850285	0.1259055	0.2581885	0.6680834	0.2511293	0.0100191	0.1652212	0.6206874
150	0.0351615	0.0368768	0.3252812	0.0830268	0.6624867	0.3291416	0.2890887	0.0706268	0.6964198	0.4113076	0.3462091	0.0749512	0.4290919	0.2862468	0.5179843	0.4033673	0.0129982	0.6243438	0.5594527	0.4280244	0.2632525	0.5814752	0.5832013	0.0882723	0.1815477	0.8601037	0.2395490	0.0020172	0.2544494	0.6502401
200	0.0433863	0.0385594	0.2753385	0.0440904	0.6519054	0.3846620	0.2700120	0.0468942	0.7768658	0.3716717	0.3511673	0.0923808	0.3626157	0.4231588	0.5369258	0.4703258	0.0724813	0.5637656	0.6202069	0.4155938	0.2846047	0.7062195	0.7336756	0.0962947	0.1668795	0.7529762	0.2167480	0.0012692	0.2906325	0.6247518
250	0.0468363	0.0077574	0.2703828	0.0411547	0.6053220	0.3173307	0.2985746	0.0525099	0.4530797	0.4814895	0.3273048	0.0862247	0.4285863	0.4913844	0.2698346	0.4804894	0.0961970	0.5294701	0.7557674	0.3938217	0.2698983	0.8199821	0.8898598	0.0464635	0.1525550	0.8065705	0.1761662	0.0000000	0.1704026	0.6581612
300	0.0304180	0.0106584	0.2611282	0.0532029	0.5673424	0.2801172	0.2713357	0.0564757	0.5706747	0.6021550	0.3897102	0.1464150	0.5379619	0.5007219	0.4397839	0.4012966	0.1183314	0.5017071	0.7342696	0.4529845	0.3130446	0.7095680	0.6475305	0.0562862	0.1559283	0.8001855	0.1418406	0.0000000	0.1570473	0.5976745
350	0.0376060	0.0112974	0.2951072	0.0358577	0.5506402	0.3979971	0.3432216	0.0533373	0.6433785	0.5823599	0.3427000	0.0824693	0.4308149	0.4396883	0.4260219	0.4455388	0.1185206	0.4707172	0.7289409	0.3050659	0.2487843	0.7206503	0.5662735	0.0479259	0.1736595	0.8460919	0.2158386	0.0000000	0.1702186	0.6722978
400	0.0149276	0.0522011	0.2670182	0.0394345	0.5533562	0.3773849	0.2315725	0.0304852	0.5446211	0.5916300	0.3432289	0.1265468	0.4100662	0.3752090	0.3311345	0.4049544	0.1126178	0.4864272	0.7113255	0.3585554	0.3160361	0.7660942	0.5918972	0.0801119	0.0943388	0.7086791	0.2733537	0.0000149	0.1928672	0.5785548
450	0.0528670	0.0375717	0.2916416	0.0438059	0.6938804	0.3294325	0.4971841	0.0208399	0.5306090	0.4735992	0.3736660	0.0892367	0.4695868	0.4150817	0.3644286	0.3873735	0.0847828	0.4576916	0.6576865	0.3955792	0.2653334	0.7243564	0.6816009	0.0395687	0.1951693	0.6722558	0.2223151	0.0018427	0.1510261	0.5467986
500	0.0395310	0.0354723	0.2401374	0.0593532	0.6372595	0.2766303	0.2949815	0.0231286	0.5725688	0.5137729	0.3191706	0.0795987	0.4857370	0.4236106	0.4000708	0.3865415	0.0550180	0.5530603	0.6690832	0.3937390	0.2678305	0.6665995	0.6486897	0.0446567	0.1266465	0.7353426	0.2208926	0.0008667	0.1741227	0.6102487
550	0.0346952	0.0195394	0.4786295	0.0477388	0.7706561	0.4255446	0.3712058	0.0332798	0.6241755	0.4156037	0.2868437	0.3100808	0.3181712	0.3264539	0.2650414	0.4061476	0.1439172	0.4534378	0.5718365	0.5232969	0.5452425	0.6606135	0.5550534	0.0553988	0.4747340	0.5556659	0.3429827	0.0056601	0.6539665	0.1346969
600	0.0192448	0.0329982	0.4963979	0.0443644	0.7127346	0.6333524	0.4233084	0.0729195	0.5632162	0.4363782	0.4084263	0.4528997	0.0845536	0.1854942	0.3292869	0.3002170	0.1168456	0.6469672	0.5832883	0.4402877	0.5502519	0.8303618	0.5355083	0.1455559	0.5979244	0.7081231	0.3577982	0.0113081	0.7733714	0.2209870
650	0.0641227	0.0414641	0.6124318	0.0829756	0.6656680	0.4857703	0.6567604	0.1344865	0.5322370	0.3762494	0.2813203	0.4094944	0.1155291	0.1401416	0.4468892	0.3648637	0.0819193	0.6194545	0.6395458	0.5370371	0.5777369	0.6839722	0.5451106	0.1671369	0.5939477	0.6815429	0.3491257	0.0023082	0.5473845	0.2654657
