"Time"	G1	G3	G8	G5	G22	G4	G83	G7	G6	G87

0	0.8770515	0.4437975	0.2186567	0.1194285	0.7407189	0.7022533	0.3839254	0.1198124	0.0285229	0.0414248
50	0.6339169	0.4840816	0.1928479	0.0938555	0.7733509	0.7509407	0.2079002	0.0228607	0.0244778	0.0242105
100	0.8144785	0.3555866	0.1955401	0.1019801	0.5758464	0.6262362	0.2192796	0.0264873	0.0148938	0.0172405
150	0.6279011	0.6011171	0.2263580	0.1686068	0.8167298	0.7311633	0.1613687	0.0051264	0.0170369	0.0262967
200	0.6730346	0.4224116	0.2512861	0.1406247	0.6951107	0.6994900	0.1804796	0.0012198	0.0233044	0.0462943
250	0.7311421	0.4059956	0.1228517	0.1455386	0.8198149	0.8113500	0.2076555	0.0000000	0.0270750	0.0290105
300	0.7168869	0.3865558	0.1792896	0.0909071	0.8300163	0.5638787	0.2421079	0.0000432	0.0058794	0.0271992
350	0.6070675	0.4484255	0.1626311	0.1830440	0.8083381	0.6623839	0.2531115	0.0008897	0.0139047	0.0439383
400	0.7844762	0.3933497	0.1872353	0.1399423	0.7739437	0.6372837	0.2842603	0.0004449	0.0379798	0.0484685
450	0.6399017	0.4516937	0.2450247	0.1695062	0.8788862	0.7321591	0.2015081	0.0001011	0.0421354	0.0445503
500	0.5449496	0.4459391	0.1933995	0.1149807	0.8056271	0.7196945	0.2704174	0.0000497	0.0194229	0.0150513
550	0.8225284	0.3409595	0.1557130	0.1620689	0.8055442	0.6313313	0.3964046	0.0394072	0.0228694	0.0184417
600	0.7276214	0.4829975	0.1278104	0.1530024	0.7677911	0.7161440	0.3195359	0.0667063	0.0180373	0.0339298
650	0.8266866	0.4434534	0.1742382	0.1003807	0.8397384	0.6891894	0.3647950	0.0529676	0.0190208	0.0218295
700	0.8684383	0.3532095	0.2195980	0.1147432	0.7690921	0.6960220	0.2918130	0.0517256	0.0248349	0.0328387
750	0.6701581	0.4495108	0.1497299	0.0689128	0.7090108	0.7097961	0.3282953	0.0483083	0.0332101	0.0942632
800	0.7512239	0.4748679	0.1680087	0.1069997	0.7875105	0.6758423	0.2795669	0.0607072	0.0076828	0.0326206
850	0.6879951	0.3467851	0.2347975	0.1151052	0.8704615	0.7802013	0.3886188	0.0555954	0.0130237	0.0548744
900	0.6477132	0.3857655	0.1936891	0.1061823	0.7526118	0.6859218	0.3824439	0.0338826	0.0239804	0.0551682
950	0.7541176	0.5378692	0.1713434	0.0936567	0.7493442	0.5727822	0.3527512	0.0644516	0.0229010	0.0190917
1000	0.6856425	0.4852783	0.2206564	0.1210605	0.6248313	0.7469220	0.2988834	0.0561447	0.0231760	0.0185020

0	0.7858919	0.4609971	0.1389612	0.1555488	0.8626560	0.7099081	0.3215706	0.0807095	0.0279945	0.0312803
50	0.3654113	0.4568893	0.2421662	0.1288528	0.7267152	0.7172114	0.3062905	0.0072017	0.0141101	0.2931857
100	0.2168794	0.3147742	0.1752748	0.1885651	0.6654037	0.5616314	0.3138497	0.0039943	0.0012210	0.3316731
150	0.1885505	0.1637971	0.1637922	0.3869880	0.7526189	0.2680356	0.3213437	0.0116490	0.0016804	0.3303374
200	0.2028735	0.1229468	0.2184524	0.4608753	0.8072932	0.1138027	0.5511014	0.0222309	0.0021072	0.4432750
250	0.1474274	0.0630502	0.2563720	0.4378862	0.8493715	0.0828903	0.6292320	0.0067014	0.0008122	0.3603725
300	0.0821843	0.0920979	0.3105318	0.5122713	0.7906123	0.0486891	0.7221522	0.0366302	0.0019511	0.3993327
350	0.1084681	0.0191552	0.3244533	0.5440991	0.7852557	0.0189401	0.9312873	0.0522766	0.0060176	0.2680145
400	0.1205095	0.0251114	0.2292464	0.4481350	0.7355574	0.0160355	0.6263928	0.0240034	0.0048440	0.3478438
450	0.1339606	0.0276061	0.2307234	0.6116968	0.8960876	0.0156159	0.7748791	0.0991646	0.0057842	0.4238073
500	0.1359079	0.0390414	0.2525037	0.4536047	0.8247002	0.0355348	0.7523306	0.0383895	0.0088221	0.4923250
550	0.5148884	0.0549135	0.3026385	0.4892658	0.9388183	0.0751073	0.7291540	0.1315414	0.0221154	0.0968548
600	0.8323736	0.1760202	0.2135051	0.2660181	0.7174000	0.2866677	0.7518912	0.0691289	0.0189785	0.0533046
650	0.6846550	0.2574729	0.2407111	0.1644533	0.6198901	0.4366109	0.6837161	0.0859713	0.0323494	0.0304724
700	0.7105503	0.3273152	0.2317076	0.1366082	0.9030153	0.6028406	0.4232082	0.0935401	0.0361261	0.0369572
750	0.7764680	0.3014550	0.1430383	0.1265345	0.7994704	0.6888729	0.3228564	0.1002685	0.0124304	0.0507259
800	0.8196683	0.3918541	0.1674658	0.1123713	0.7630221	0.7012497	0.3509576	0.0714902	0.0213319	0.0360115
850	0.8335919	0.5148274	0.2529551	0.1116505	0.6967977	0.7187778	0.3176452	0.0502445	0.0336831	0.0414570
900	0.8118385	0.4901546	0.1639063	0.1119677	0.6681675	0.5843663	0.3424161	0.0424065	0.0104775	0.0250814
950	0.8549959	0.4453845	0.2328273	0.1295241	0.7551140	0.6299572	0.3470153	0.0458589	0.0197748	0.0327669
1000	0.7236875	0.5044455	0.1667680	0.0696657	0.8135475	0.6927782	0.3189777	0.0483900	0.0254378	0.0279885

0	0.7706722	0.4514007	0.2137366	0.1167569	0.8270178	0.7852597	0.3566103	0.0640283	0.0304197	0.0251681
50	0.5512559	0.6074288	0.0396858	0.0338343	0.7067606	0.7268207	0.2597046	0.0422505	0.0178095	0.0339340
100	0.6266010	0.3518716	0.0086942	0.0366500	0.7139797	0.5981578	0.3827458	0.0500506	0.0238277	0.0433922
150	0.6577182	0.3230741	0.0012304	0.0795360	0.6838771	0.6576069	0.4974450	0.0472454	0.0350041	0.0144639
200	0.4748501	0.3628015	0.0003907	0.1199739	0.5287716	0.5841736	0.3965289	0.0108545	0.0027008	0.0221779
250	0.5938754	0.2030715	0.0002905	0.0996448	0.6369492	0.4714011	0.4162830	0.0178707	0.0141639	0.0087907
300	0.6025143	0.2671570	0.0002667	0.0744497	0.5189700	0.4833495	0.4301016	0.0393833	0.0471213	0.0281705
350	0.7313429	0.2675955	0.0001786	0.0746845	0.6911871	0.5268123	0.3862221	0.0203021	0.0083103	0.0061595
400	0.5346448	0.2497933	0.0001771	0.0861467	0.7330124	0.6723848	0.3209942	0.0148213	0.0162302	0.0134205
450	0.5625887	0.3220541	0.0000773	0.0899433	0.7467497	0.6664982	0.4632555	0.0124726	0.0203844	0.0032478
500	0.5813948	0.3021247	0.0000167	0.0510206	0.7799030	0.6116732	0.3699996	0.0302278	0.0152724	0.0094855
550	0.6986491	0.3784280	0.1371147	0.1253266	0.8072283	0.7268380	0.2918912	0.1019295	0.0110580	0.0420098
600	0.8647043	0.4158788	0.1266655	0.1610851	0.7881996	0.7335942	0.3320829	0.0413048	0.0195929	0.0395901
650	0.8243936	0.4370611	0.1890939	0.1266612	0.8732284	0.6571280	0.3641539	0.0692042	0.0068818	0.0314266
700	0.6078504	0.3469280	0.1972324	0.1159073	0.9069122	0.6621142	0.3770311	0.0959644	0.0253009	0.0328337
750	0.7617186	0.3987358	0.1446281	0.1330132	0.7914485	0.5878028	0.4007216	0.0619464	0.0217941	0.0375787
800	0.6611347	0.3681840	0.1372131	0.1546193	0.8080557	0.7003443	0.3566851	0.0636738	0.0266017	0.0649289
850	0.7439523	0.4038454	0.1311497	0.1692055	0.6651078	0.6117780	0.3725944	0.0514437	0.0162822	0.0404182
900	0.7996554	0.3685293	0.1447095	0.0849687	0.7253703	0.7235310	0.3565066	0.0575551	0.0339416	0.0619180
