"Time"	G1	G3	G5	G8	G4	G83	G6	G7	G86	G85	G22	G87	G54	G89	G88	G30	G29	G35	G100	G99	G32	G81	G23	G19	G18

0	0.1740934	0.1468756	0.3475705	0.4266714	0.5486796	0.6939135	0.0313791	0.7912748	0.3391052	0.3280462	0.6480250	0.3009352	0.2470416	0.0178176	0.6155248	0.6453090	0.2040449	0.6780758	0.4444296	0.6864893	0.2515011	0.2342830	0.4284407	0.6113955	0.7726589
50	0.2092317	0.0577492	0.3716572	0.5256019	0.6229873	0.4332490	0.0589376	0.5995640	0.2863035	0.2677920	0.6341398	0.3703050	0.1252287	0.0114983	0.5303697	0.6458640	0.1560209	0.4754092	0.4161396	0.6079118	0.2469970	0.3075910	0.3448709	0.6729853	0.5969903
100	0.1773547	0.1260916	0.4801719	0.4848918	0.5293822	0.3202821	0.0440408	0.7455454	0.2164720	0.3149853	0.7622971	0.4553402	0.1047345	0.0027446	0.6570605	0.7588529	0.2373374	0.4177666	0.5153423	0.5597529	0.2185763	0.3565362	0.4276962	0.6219510	0.6679886
150	0.1641976	0.1175339	0.4699987	0.4378878	0.6706990	0.3294420	0.0297570	0.6785721	0.2028280	0.3122944	0.6419071	0.3088875	0.1122914	0.0087069	0.5975475	0.7605750	0.1930522	0.4777789	0.6152429	0.5013203	0.2247959	0.2566261	0.3620598	0.6547016	0.6379695
200	0.2432359	0.1410460	0.4423454	0.5501100	0.7795030	0.3434181	0.0378416	0.7710537	0.2210659	0.3052885	0.6680963	0.3335466	0.2106595	0.0108108	0.6675134	0.6637749	0.2094258	0.4742977	0.4562578	0.4741335	0.2059584	0.3240666	0.3973592	0.6245415	0.7235542
250	0.1664470	0.0972129	0.3456128	0.5775757	0.6523407	0.3799746	0.0440394	0.7195917	0.3085093	0.2909337	0.6585849	0.3694377	0.2135656	0.0171347	0.6958381	0.5355747	0.2134094	0.4804878	0.5556648	0.4846561	0.1557491	0.3614836	0.3476670	0.7459062	0.5936774
300	0.1612561	0.1268756	0.3780055	0.4662672	0.6400205	0.3662392	0.0451443	0.6163877	0.2743906	0.3546319	1.0000000	0.3209306	0.2188365	0.0066053	0.5660095	0.7513980	0.1729313	0.6168692	0.4753251	0.6735822	0.1572309	0.2614046	0.4204193	0.6670766	0.7007962
350	0.1693779	0.1093193	0.3897925	0.5153893	0.6651579	0.3242932	0.0253810	0.5021688	0.3830444	0.2940645	0.6488853	0.4002798	0.2510813	0.0159016	0.5374617	0.6191565	0.1480413	0.5014220	0.4423423	0.6024858	0.1888940	0.3076728	0.4355212	0.6859301	0.6315379
400	0.1985353	0.0913286	0.5399958	0.4417263	0.6273323	0.3620575	0.0472311	0.6772022	0.2661415	0.3134255	0.6050388	0.4374443	0.2360028	0.0076133	0.5339905	0.7193987	0.1735687	0.4991563	0.4183474	0.5978622	0.2058940	0.2358120	0.2938312	0.7194024	0.6376619
