"Time"	G1	G3	G8	G4	G7	G83	G6	G89	G85	G5	G88	G54	G87	G86	G30	G29	G35	G99	G100	G32	G19	G18	G20	G81	G22	G23	G80	G82	G58	G51

0	0.0267522	0.0367783	0.6724917	0.0606123	0.7414010	0.6213822	0.3137018	0.1642139	0.4927311	0.3889240	0.3881039	0.4487805	0.0883668	0.1386481	0.6157696	0.2901985	0.0591563	0.7086743	0.5883531	0.4712321	0.4695762	0.6732402	0.6343290	0.2140588	0.6812003	0.8365908	0.3474765	0.0102068	0.7456000	0.3575598
50	0.0462929	0.0250431	0.8313627	0.0140654	0.5092136	0.5825278	0.1428523	0.2585350	0.5854711	0.3142645	0.2846275	0.2650724	0.0918211	0.3149182	0.5970678	0.2645800	0.0320760	0.6559012	0.4990199	0.6251651	0.2981314	0.7847316	0.4907068	0.1497129	0.3367754	0.7390965	0.1261627	0.0000089	0.7560013	0.6765271
100	0.0267847	0.0241166	0.6261050	0.0617461	0.4755361	0.5733897	0.0894400	0.1239621	0.4918953	0.3463975	0.4109784	0.1608564	0.1925648	0.3750078	0.6522639	0.2025659	0.0115448	0.7708849	0.5683826	0.6718872	0.2126618	0.7214624	0.5723558	0.1985944	0.2603185	0.8386805	0.1732213	0.0001225	0.6319237	0.5974058
150	0.0468198	0.0362731	0.6243473	0.0805380	0.4662851	0.6603147	0.0673479	0.0297147	0.3331389	0.3237258	0.6424911	0.1961938	0.2961001	0.4166550	0.5165668	0.1833155	0.0072392	0.7242699	0.5266993	0.5618092	0.2822149	0.8755628	0.3875727	0.0877051	0.1226154	0.6279130	0.1439418	0.0021972	0.6651331	0.6872694
200	0.0263615	0.0540034	0.6187869	0.0364259	0.5315035	0.5769974	0.0508968	0.0548754	0.2590929	0.4747389	0.5152387	0.1712197	0.2592388	0.5071881	0.6035105	0.2123083	0.0088838	0.7085321	0.6584146	0.6462855	0.2377986	0.7756251	0.5477583	0.0690914	0.1276812	0.6842753	0.1805131	0.0003721	0.9293362	0.7210580
250	0.0548596	0.0470072	0.6649177	0.0439677	0.5539502	0.6869730	0.0584437	0.0719101	0.1942610	0.4294383	0.5524724	0.1161775	0.3119291	0.5094557	0.6115991	0.2063291	0.0409522	0.6441344	0.7113939	0.7064508	0.2007766	0.7563299	0.4872623	0.0863813	0.1083721	0.6895785	0.1950748	0.0008555	0.8072466	0.5792328
300	0.0430967	0.0303543	0.5914787	0.0669693	0.5545655	0.6336971	0.0887446	0.0334001	0.2155095	0.4692854	0.6426366	0.1049424	0.2975163	0.5221962	0.6378756	0.2566628	0.0266200	0.5759756	0.8394997	0.5612137	0.2064703	0.6853111	0.5717367	0.1298974	0.1069905	0.6972053	0.1944057	0.0005817	0.7086522	0.6041684
350	0.0433268	0.0257236	0.6497577	0.0947743	0.5701906	0.6733324	0.2527324	0.0213041	0.3749741	0.5339349	0.5053745	0.1431314	0.2891576	0.5013565	0.8155721	0.2517438	0.0159581	0.6478210	0.7472785	0.7496985	0.2100941	0.8332999	0.5658603	0.0401665	0.0866834	0.6005402	0.1700546	0.0024190	0.7484525	0.7137696
400	0.0606729	0.0298763	0.6970337	0.0955937	0.5725096	0.6734972	0.1472093	0.0238039	0.2860978	0.3827029	0.4280189	0.1204397	0.3418190	0.4853505	0.6085087	0.2362230	0.0188397	0.5926879	0.7169874	0.6391008	0.2192084	0.5570640	0.4334481	0.0644126	0.1263079	0.7644673	0.1413113	0.0011347	0.8669024	0.6696305
450	0.0466676	0.0370317	0.5018588	0.0412601	0.4641571	0.5330617	0.0708726	0.0235513	0.3187947	0.4570986	0.5153526	0.1838546	0.3994613	0.5464312	0.6451403	0.2464504	0.0133429	0.6455230	0.6466765	0.5533258	0.2645074	0.7514197	0.5776255	0.0843110	0.1191291	0.6545497	0.1122958	0.0004942	0.7593979	0.8125432
