"Time"	G1	G10	G2	G20	G17	G16	G4	G9	G11	G18	G94	G98	G7	G46	G6	G100	G36	G37	G38	G34	G3	G56	G35	G5	G19	G15	G12	G13	G14	G41	G50	G52	G53	G51	G21	G22	G55	G42	G44	G39	G49	G40	G54	G45	G47	G43	G61	G72	G67	G57	G48	G95	G8	G60	G59	G99	G58	G79	G82	G83	G81	G89	G84	G80	G88	G91	G90	G75	G78	G77	G86	G85	G69	G93	G92	G87	G68	G27	G96	G97	G63	G26	G25	G23	G24	G62	G76	G71	G74	G31

0	0.3372711	0.1258660	0.0645443	0.1032875	0.4074705	0.2708078	0.8157180	0.1018724	0.7988220	0.1733192	0.6335629	0.6428551	0.3367082	0.1802590	0.1403263	0.6726041	0.6940920	0.6794469	0.6171928	0.7579376	0.5739090	0.1119409	0.9403471	0.3095213	0.4876775	0.6135042	0.2953233	0.4378517	0.7445657	0.1650939	0.2978415	0.6485180	0.1229211	0.6116634	0.5077603	0.1991516	0.4784781	0.2051820	0.7372238	0.6350420	0.6214782	0.5207629	0.7037962	0.7375618	0.3695319	0.2681888	0.2214942	0.7203751	0.4814755	0.0272929	0.6037479	0.8331933	0.0070020	0.4399725	0.0112957	0.7437755	0.0176269	0.0840793	0.7586231	0.1615666	0.4682289	0.6514327	0.0372714	0.6316814	0.4203061	0.2708369	0.4023732	0.1237454	0.5746820	0.4912640	0.0570221	0.1024358	0.3701545	0.0911663	0.5837530	0.4142177	0.4415904	0.0000240	0.7502112	0.2605788	0.5066683	0.1036567	0.0366323	0.7904447	0.4759461	0.5471732	0.4029285	0.3513891	0.1667314	0.7082341
50	0.4560310	0.1061196	0.0453377	0.0899810	0.3455948	0.0839997	0.6265385	0.0627899	0.5566632	0.3240787	0.4918343	0.7708313	0.3972748	0.1914214	0.1634166	0.8557716	0.7171597	0.6468000	0.7839845	0.7446949	0.4657916	0.0854286	0.5725537	0.2735651	0.6680268	0.6671665	0.4155463	0.3640261	0.7099636	0.1316505	0.3523305	0.7497606	0.1354489	0.5813890	0.7038628	0.1199749	0.6010225	0.2155869	0.5704657	0.7128414	0.6043374	0.5773172	0.6095639	0.6057595	0.3084084	0.2451262	0.1551046	0.6773461	0.4298748	0.0211795	0.6788530	0.6564153	0.0441965	0.3434675	0.0020002	0.6573340	0.3617237	0.0597148	0.7524598	0.1354370	0.4128358	0.6298738	0.0206914	0.6485932	0.6225863	0.1319116	0.5179227	0.1459321	0.5869446	0.5513196	0.0420690	0.1620639	0.4423983	0.0787491	0.6709328	0.4640360	0.2085514	0.0005257	0.5874826	0.3338989	0.5751075	0.0668935	0.0228924	0.7155540	0.5382397	0.5974052	0.3674524	0.4219511	0.0866626	0.6280901
100	0.4327503	0.0827784	0.0423821	0.1814356	0.4424269	0.0335626	0.6363933	0.0925291	0.6983100	0.4306687	0.4461516	0.6680851	0.4946379	0.2826744	0.2012186	0.6835915	0.7172190	0.8002008	0.6342508	0.5267749	0.4307700	0.1375473	0.6837837	0.2085288	0.7236401	0.7784664	0.3603178	0.3853669	0.7352066	0.1355757	0.4832415	0.9108285	0.1074454	0.5776514	0.6446064	0.1445890	0.4082814	0.2702791	0.6038714	0.7558568	0.7309176	0.6192296	0.6743313	0.6355250	0.4121661	0.3038291	0.1898948	0.8941716	0.5289449	0.0199317	0.7089033	0.7531581	0.0061744	0.3243538	0.0310918	0.6364323	0.4327955	0.0940641	0.7673631	0.1739239	0.3949486	0.5700858	0.0362440	0.7205477	0.6261068	0.0851077	0.5642389	0.1446600	0.4784943	0.5355118	0.0785121	0.1979892	0.4248514	0.0306895	0.7645613	0.3560798	0.1154866	0.0003072	0.7024779	0.3767507	0.6696339	0.0176708	0.0339505	0.6272477	0.5351363	0.5899278	0.3735873	0.3754234	0.1477135	0.6906632
150	0.4405309	0.0774853	0.0447607	0.1460266	0.5043459	0.0128497	0.6980120	0.0625528	0.7914031	0.5232338	0.6642636	0.8372361	0.4065606	0.2097320	0.2965456	0.6737434	0.7746114	0.5723883	0.6796472	0.7032525	0.5064621	0.1614113	0.5701386	0.1903575	0.7562538	0.6540416	0.3497362	0.3651893	0.6989443	0.1211602	0.4434944	0.6694939	0.1034140	0.6351903	0.5679420	0.1349821	0.5183173	0.3357597	0.5231749	0.6904481	0.7391581	0.6163038	0.6406081	0.6396873	0.3286725	0.2084700	0.2314673	0.7907822	0.4420943	0.0252969	0.6980693	0.6704833	0.0119091	0.4290852	0.0826357	0.4760127	0.4464937	0.0869005	0.7890279	0.1649409	0.4637631	0.5470085	0.0325627	0.6424316	0.7025562	0.0530673	0.5078171	0.2026555	0.5191133	0.5274873	0.0803986	0.1897478	0.4192401	0.0708740	0.6724721	0.3689520	0.0719139	0.0000093	0.7325482	0.4267883	0.4191669	0.0123485	0.0117762	0.7317432	0.5030999	0.6787368	0.4153291	0.3580563	0.1358487	0.6937358
200	0.5172480	0.0644398	0.0723598	0.2445345	0.4949624	0.0084332	0.6929676	0.0392971	0.6776622	0.4578540	0.6998088	0.7098329	0.3712927	0.3148503	0.2180284	0.5109936	0.7286261	0.7599382	0.7116237	0.6193437	0.3821270	0.2149265	0.5281802	0.2346986	0.6884017	0.7278691	0.3937577	0.3647935	0.6517311	0.1355386	0.3205122	0.7833686	0.0700764	0.6774205	0.4490068	0.0638873	0.4197736	0.1844386	0.5678593	0.6831645	0.6899154	0.6127925	0.7266586	0.7405376	0.3257167	0.2231656	0.1923196	0.7172646	0.4871754	0.0311352	0.6767975	0.6740432	0.0168562	0.2900535	0.0605956	0.6200142	0.4720911	0.0638715	0.7171079	0.1131687	0.3987334	0.4803020	0.0344324	0.6228587	0.7438063	0.0533888	0.5565445	0.1515681	0.4801005	0.5886454	0.0326263	0.1140557	0.3709336	0.0406786	0.7498425	0.4752767	0.0391759	0.0002021	0.6113161	0.5365985	0.5097383	0.0143530	0.0217062	0.6031061	0.4330717	0.7324173	0.4156143	0.3192962	0.1347800	0.7400880
250	0.4006968	0.0810356	0.0515529	0.2863069	0.4214090	0.0182950	0.7058222	0.0638199	0.6062364	0.6051346	0.4913579	0.7263148	0.3877926	0.2720322	0.2355510	0.7258453	0.6692316	0.5729060	0.6908746	0.6035216	0.3649310	0.2557817	0.6186884	0.2348422	0.5562912	0.7014845	0.3734949	0.3436774	0.7047854	0.1509401	0.3952530	0.7177788	0.0550523	0.5459298	0.3913845	0.0821359	0.4607509	0.1235983	0.5373317	0.7793061	0.7181098	0.6122398	0.6194414	0.7370464	0.3385312	0.2946285	0.1141149	0.8286249	0.6132939	0.0378564	0.6485075	0.6911497	0.0177373	0.3438701	0.0803520	0.5318991	0.5474889	0.0698227	0.6375664	0.1287525	0.4456404	0.5597653	0.0255941	0.5984097	0.6904856	0.0216206	0.4849107	0.1645410	0.5799818	0.4872149	0.0614570	0.2077976	0.3648812	0.0487846	0.6200921	0.3944326	0.0513003	0.0001664	0.5934631	0.4206528	0.5109370	0.0147111	0.0257606	0.6593691	0.5323550	0.5397120	0.3596787	0.3135082	0.1101710	0.8027837
300	0.4318146	0.1237697	0.0433071	0.3059947	0.4119049	0.0056319	0.7083553	0.0402027	0.7263031	0.5675794	0.5739646	0.6097475	0.4537679	0.3260609	0.2190979	0.7089046	0.6923564	0.6969287	0.7623552	0.6357985	0.3616978	0.2285758	0.5582960	0.1970109	0.6208322	0.5968341	0.3675599	0.3675418	0.7798816	0.0889898	0.3614462	0.6405784	0.0690230	0.5210285	0.4730660	0.0968198	0.4758344	0.1890035	0.5518586	0.6533103	0.6946666	0.6276479	0.8171066	0.6627629	0.2818555	0.2723691	0.1703914	0.6383318	0.5715066	0.0180229	0.6076963	0.7846937	0.0283981	0.3643982	0.0772127	0.6353375	0.5518153	0.0648569	0.6613419	0.1608695	0.5377745	0.5016000	0.0843479	0.6773153	0.8309545	0.0421643	0.5275700	0.2183284	0.4816656	0.4432206	0.0741425	0.1263588	0.3215907	0.0446826	0.7821979	0.4637892	0.0394481	0.0000000	0.7372001	0.4552015	0.4491475	0.0196253	0.0232028	0.8641092	0.4171107	0.7351340	0.3551702	0.3347879	0.1873722	0.7260613
350	0.4292303	0.1110579	0.0340012	0.2481539	0.3631848	0.0034954	0.7202819	0.0373489	0.7256554	0.6170931	0.5237972	0.6286675	0.4559290	0.2393890	0.2457324	0.6613572	0.6808997	0.6865320	0.6515971	0.5410132	0.2990266	0.1812895	0.5354470	0.2185379	0.7518219	0.6437901	0.3675507	0.4436578	0.8114325	0.1102015	0.3203316	0.6476051	0.0666721	0.5947868	0.6150739	0.1248299	0.5226050	0.1722306	0.5653782	0.7362673	0.6612124	0.5000018	0.7526258	0.7693853	0.2892082	0.2557203	0.2107504	0.8038734	0.5270866	0.0233342	0.5002058	0.6470122	0.0061401	0.3297890	0.0894556	0.6696155	0.3904378	0.0737185	0.7686676	0.1607708	0.3693635	0.5390615	0.0284156	0.5674440	0.7700383	0.0572343	0.4632133	0.1243960	0.5269231	0.5074612	0.0424761	0.1298885	0.3712277	0.0456106	0.8151141	0.4737485	0.0464593	0.0000038	0.6426945	0.4244179	0.4562116	0.0284048	0.0106377	0.7108989	0.5320918	0.6281383	0.3807217	0.4292512	0.1251194	0.6828574
400	0.4842775	0.1553576	0.0410999	0.1509824	0.4313353	0.0018230	0.7434599	0.0391694	0.6514517	0.4877552	0.4264039	0.7156437	0.5704282	0.2615674	0.2207834	0.7169390	0.8994870	0.7104058	0.6572229	0.5731444	0.3319682	0.2875765	0.6295214	0.1402226	0.6715439	0.5769050	0.3897124	0.4001486	0.7324568	0.0707866	0.3864050	0.7068523	0.0956700	0.6270277	0.6082108	0.1086452	0.5258969	0.1897899	0.5468109	0.8238027	0.6164702	0.5589026	0.8161614	0.7141150	0.2680970	0.2098680	0.1882550	0.7313828	0.4038304	0.0134405	0.5294629	0.7978069	0.0244568	0.3364472	0.0751370	0.5325912	0.5188803	0.0821510	0.6928522	0.1460153	0.3433869	0.5627922	0.0363696	0.6843922	0.6632446	0.0348925	0.5129581	0.1079601	0.6063433	0.4330739	0.0682019	0.1414086	0.4348967	0.1096810	0.7683136	0.4081523	0.0286967	0.0001292	0.7323974	0.4160846	0.4924619	0.0344034	0.0201642	0.7252160	0.3921274	0.6028372	0.2995012	0.3609600	0.1467183	0.7318671
