"Time"	G1	G3	G8	G5	G4	G22	G83	G7	G6	G85	G86	G87	G54	G88	G89	G30	G29	G35	G100	G99	G32	G19	G18	G20	G81	G23	G80	G82	G51	G31	G58	G50	G78	G94	G95

0	0.0441112	0.0129826	0.7893150	0.7208456	0.0808180	0.7508258	0.0766906	0.6954634	0.7584930	0.1095544	0.7426252	0.4967036	0.0848891	0.6883319	0.4682435	0.4710583	0.2486520	0.7156560	0.6715797	0.0055607	0.7007802	0.3316112	0.6100321	0.5917774	0.0062922	0.4831418	0.1580546	0.3585547	0.0040548	0.2966514	0.8527814	0.0604873	0.2342755	0.6322105	0.6950410
50	0.0490178	0.0185167	0.6386555	0.2261760	0.1550606	0.7434660	0.0194050	0.6694824	0.5173800	0.1343460	0.3707563	0.5465329	0.0475805	0.4059217	0.3190962	0.3289640	0.2886407	0.2133919	0.5068383	0.0006037	0.3451697	0.3907772	0.6109292	0.6880995	0.0034687	0.4892665	0.1911763	0.3840839	0.2387315	0.2337386	0.7196980	0.0465061	0.2468984	0.6201958	0.6536885
100	0.0577790	0.0395617	0.8635473	0.1052799	0.0950396	0.7599770	0.0217301	0.6620181	0.5512044	0.0653239	0.1758440	0.5721946	0.0952488	0.2934975	0.2526328	0.4293251	0.1848825	0.2414938	0.5059312	0.0026644	0.4140435	0.5632840	0.6884578	0.6785837	0.0012825	0.4157763	0.1351679	0.3756064	0.2681359	0.1863958	0.7707835	0.0279522	0.3773969	0.7595210	0.7156378
150	0.0113983	0.0236811	0.7893740	0.0862341	0.0928910	0.6701230	0.0003673	0.6871814	0.6063456	0.0599672	0.1661822	0.5352484	0.0422696	0.3824784	0.3574324	0.7809673	0.1203429	0.1718918	0.4427288	0.0077410	0.2388451	0.5924046	0.5723297	0.7078987	0.0135244	0.5206837	0.1385944	0.3635920	0.2099077	0.2293371	0.7177406	0.0150209	0.4253591	0.8021194	0.7290479
200	0.0165338	0.0062166	0.6549660	0.0603550	0.0691034	0.5687974	0.0018015	0.7987677	0.5403957	0.0297949	0.1716732	0.6192619	0.0544368	0.2854790	0.2622768	0.6976191	0.1044974	0.1585931	0.4586836	0.0027362	0.2767260	0.5970794	0.5610747	0.5597767	0.0112240	0.5201784	0.1690712	0.3983360	0.2715623	0.3050394	0.7811959	0.0390227	0.2291742	0.6445414	0.7275461
250	0.0357425	0.0116617	0.6813582	0.1180586	0.1452311	0.7802471	0.0059024	0.7367729	0.4072205	0.0276648	0.1401525	0.5774947	0.0764565	0.3260997	0.2742883	0.5782148	0.1249475	0.2150514	0.5654058	0.0015750	0.2179988	0.5691444	0.6064521	0.5968158	0.0068575	0.4324746	0.2008785	0.3743383	0.2688191	0.3281069	0.6867308	0.0399544	0.2745796	0.5743713	0.8588040
300	0.0258727	0.0327831	0.6402373	0.1239321	0.0755990	0.7664358	0.0042361	0.7418662	0.5838749	0.0721114	0.1646891	0.4590948	0.1211009	0.2794109	0.2436790	0.6306989	0.1654662	0.1884714	0.6033844	0.0028972	0.1974066	0.6558904	0.5461025	0.5620107	0.0005675	0.5199092	0.1228530	0.4605802	0.3181572	0.2869757	0.4971131	0.0260326	0.4119292	0.6746558	0.8302569
350	0.0381659	0.0204950	0.7180591	0.1091705	0.0799019	0.6660566	0.0072059	0.8607906	0.5678687	0.0488515	0.2225374	0.4987708	0.0908023	0.2137639	0.2786018	0.6282491	0.1048463	0.1743058	0.5000000	0.0015701	0.2703516	0.6140587	0.5997617	0.5881149	0.0103306	0.5835979	0.0845380	0.3820053	0.2770028	0.3667775	0.6911251	0.0552176	0.4101493	0.6452659	0.7160965
400	0.0763971	0.0184926	0.6692205	0.0669662	0.1431846	0.7388999	0.0023874	0.8342148	0.4911476	0.0448881	0.1571203	0.5422046	0.0754376	0.2666108	0.2775969	0.7726234	0.0810878	0.2246686	0.5130218	0.0000000	0.2754087	0.6822921	0.6352554	0.6241823	0.0129980	0.4381591	0.1309901	0.3566278	0.2415382	0.2588041	0.7587980	0.0195537	0.2670360	0.6847960	0.7482815
450	0.0195397	0.0198385	0.7408813	0.1121213	0.1097417	0.8254071	0.0064120	0.7465437	0.7210441	0.0290398	0.2300445	0.4849896	0.0626006	0.2959644	0.2775341	0.5701667	0.1001033	0.2177479	0.2905491	0.0000000	0.2463764	0.5976274	0.6056453	0.6049578	0.0130802	0.5971744	0.1330511	0.2789235	0.3293496	0.3287595	0.7359970	0.0327318	0.3271279	0.6118285	0.5745791
500	0.0365244	0.0090258	0.6586321	0.1072923	0.0692840	0.7981533	0.0050103	0.6894381	0.6159935	0.0747979	0.1426883	0.4954845	0.0703327	0.3091884	0.3477457	0.6775824	0.0980346	0.2162338	0.4744692	0.0000855	0.2103413	0.5943550	0.5445597	0.6381301	0.0036113	0.6972922	0.1716344	0.2893086	0.3274879	0.3563515	0.8428840	0.0546552	0.3357334	0.7597281	0.8449630
550	0.0654343	0.0208525	0.6807974	0.5120827	0.0713202	0.8275573	0.0735320	0.5757752	0.6266780	0.0547691	0.5243376	0.6007464	0.0529480	0.6795564	0.2970771	0.6904217	0.1033687	0.6497654	0.8159382	0.0057741	0.4477986	0.6095892	0.6190343	0.6145281	0.0086313	0.5467217	0.1363427	0.3510063	0.0503915	0.4069102	0.7304943	0.0573998	0.3763818	0.7408925	0.6896160
600	0.0248984	0.0078529	0.7059299	0.5603793	0.0899594	0.8462571	0.0622648	0.9122864	0.7037458	0.0144036	0.7123040	0.5007885	0.0708050	0.6388267	0.3873228	0.6641902	0.1042771	0.6076535	0.6981888	0.0053517	0.8457615	0.3753256	0.7536183	0.7333040	0.0136195	0.5742791	0.1247020	0.4498617	0.0452932	0.4680069	0.7172747	0.0721586	0.3281171	0.7512438	0.5250813
650	0.0255295	0.0074275	0.7757956	0.7163977	0.0832433	0.7010584	0.0291863	0.7635936	0.7254565	0.0451825	0.7841167	0.4332431	0.0322460	0.7406559	0.3408452	0.6238140	0.0899682	0.6408147	0.7106540	0.0118732	0.6473165	0.3872215	0.6887844	0.6149654	0.0029341	0.4510272	0.1769853	0.4578662	0.0141347	0.4237360	0.7568188	0.0701967	0.2242612	0.6102012	0.8456255
700	0.0481502	0.0115064	0.7208029	0.7309961	0.0850252	0.6388531	0.0632886	0.8247747	0.7055360	0.0473893	0.7001159	0.4037872	0.0469959	0.9677742	0.3161805	0.6088092	0.1474191	0.5733856	0.8160897	0.0015970	0.6518044	0.4525683	0.6953627	0.6458431	0.0096751	0.6132902	0.0915953	0.3739193	0.0227527	0.2836104	0.7354206	0.0365792	0.2748458	0.6215880	0.6284017
750	0.0280880	0.0153301	0.7757457	0.6567994	0.0978438	0.7701185	0.0371064	0.7461909	0.7644873	0.0704346	0.7127128	0.3695201	0.0466172	0.6812138	0.3717592	0.5438670	0.1793686	0.6082860	1.0000000	0.0004656	0.7584625	0.3398642	0.7345875	0.6995412	0.0107186	0.5473284	0.1616374	0.4072059	0.0171329	0.3798153	0.7574563	0.0275876	0.3404770	0.6630912	0.6229759
800	0.0416954	0.0115484	0.8634103	0.6678009	0.0946204	0.7663814	0.0682166	0.6443645	0.6913537	0.0781786	0.9231870	0.5649377	0.0522884	0.7350098	0.4374046	0.5421599	0.1760947	0.7246978	0.7458311	0.0066405	0.6989047	0.3845757	0.6518282	0.7516593	0.0112784	0.4669407	0.1166984	0.3479892	0.0080773	0.4159897	0.8186049	0.0185309	0.3690205	0.7276729	0.7232002
850	0.0553462	0.0157710	0.7052808	0.6098791	0.1482932	0.7324361	0.0658107	0.6525835	0.6882244	0.0721458	0.7715017	0.5301432	0.1563378	0.6838299	0.3679882	0.4971943	0.1250556	0.6606288	0.7490575	0.0000887	0.7122840	0.3456601	0.7284403	0.6553142	0.0018512	0.5163854	0.1381752	0.3736040	0.0039912	0.3472176	0.7390746	0.0283155	0.3296561	0.7605668	0.6619626
900	0.0448121	0.0155985	0.6372813	0.6847591	0.1308062	0.6681507	0.0318043	0.6689183	0.8225780	0.0504399	0.6604186	0.4839825	0.0544068	0.6797143	0.3611858	0.4986501	0.1669426	0.7662796	0.7247408	0.0013959	0.7088324	0.3734005	0.7024432	0.7031532	0.0053525	0.5678347	0.1473639	0.3838740	0.0054202	0.3248411	0.5914401	0.0545240	0.3118378	0.6437790	0.7871471
950	0.0394434	0.0233331	0.6697335	0.5647915	0.1073438	0.7436458	0.0465593	0.7821136	0.8045084	0.0610964	0.7801982	0.5972883	0.0334969	0.5675013	0.3735963	0.4184640	0.1723044	0.7227325	0.6556175	0.0015222	0.6989221	0.3640199	0.7208014	0.6792510	0.0012848	0.6282041	0.1636028	0.3349454	0.0089348	0.4522156	0.6955970	0.0530916	0.3306540	0.6763560	0.6663915
